1. W|capere|330gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|capichera|lintori isola dei nuraghi vermentino igt|??|w|vermentino|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
247. W|capichera|lintori vermentino|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
248. W|capichera|lintori vermentino di sardegna|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
249. W|capichera|lintori vermentino di sardegna doc|??|w|vermentino|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
250. W|capichera|lintori vermentino sardegna|??|w|vermentino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
251. W|capichera|santigaini|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|capichera|santigaini|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
253. W|capichera|santigaini|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
254. W|capichera|santigiani|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|capichera|tambe rosato|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
256. W|capichera|tambe rosato|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
257. W|capichera|tambe rosato|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
258. W|capichera|tambe rosato isola dei nuraghi igt|??|p|??|??|??|NV|12|igt|leve|carne vermelha, massas, queijos curados|seco
259. W|capichera|vendemmia tardiva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|capichera|vendemmia tardiva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=259
261. W|capichera|vendemmia tardiva cantina capichera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|capichera|vendemmia tardiva vermentino igt bianco di sardegna|??|w|vermentino|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
263. W|capichera|vermentino|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
264. W|capichera|vermentino di gallura|??|w|vermentino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
265. W|capichera|vermentino di gallura superiore vignangena|??|w|vermentino|??|??|2023|12.5|superiore|medio|peixes, frutos do mar, saladas|seco
266. W|capichera|vermentino di gallura superiore vignangena|??|w|vermentino|??|??|2024|12.5|superiore|medio|peixes, frutos do mar, saladas|seco
267. W|capichera|vermentino di sardegna doc lintori|??|w|vermentino|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
268. W|capichera|vermentino di sardegna lintori|??|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
269. W|capichera|vermentino di sardegna lintori|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
270. W|capichera|vermentino in purezza|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
271. W|capichera|vermentino in purezza|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
272. W|capichera|vermentino in purezza|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=271
273. W|capichera|vermentino isola dei nuraghi|??|w|vermentino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
274. W|capichera|vermentino isola dei nuraghi|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
275. W|capichera|vermentino lintori|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
276. W|capichera|vermentino lintori|??|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
277. W|capichera|vermentino lintori|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
278. W|capichera|vermentino lintori|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=277
279. X
280. X
281. W|capichera|vermentino vt|??|w|vermentino|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
282. W|capichera|vignangena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|capichera|vignangena 2020 vermentino di gallura docg|??|w|vermentino|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
284. W|capichera|vignangena|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|capichera|vignangena vermentino di gallura docg|??|w|vermentino|??|??|2023|12.5|docg|medio|peixes, frutos do mar, saladas|seco
286. W|capichera|vignanghena|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|capichera|vt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|capichera|vt 2021 magnum with owc original wooden case|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|capichera|vt|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|capichera|vt|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|capichera|vt|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=290
292. W|capichera|vt|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=290
293. W|capichera|vt isola dei nuraghi igt|??|r|??|??|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
294. W|capichera|vt vendemmia tardiva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|capichera|vt vendemmia tardiva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
296. W|capichera|vt vendemmia tardiva isola dei nuraghi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|capidannu|capidannu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|capidannu|capidannu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=297
299. X
300. W|capile|neto costa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|capilla|del fraile|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|capilla|del fraile syrah vieja|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
303. W|capillary|tubing for lindr kontakt 4055k profi og pygmy 30k profi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|capim|limao 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|capim|limao folhas para cha granoi 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|capinera|bianco igp|??|w|??|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
307. W|capio|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
308. W|capio|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
309. W|capio|chardonnay napa valley|us|w|chardonnay|napa valley|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
310. W|capio|perita cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
311. W|capion|le songe deocene rouge|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|capionium|glgg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|capionium|glgg 1 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|capionium|glgg 17 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|capionium|juleglgg 17|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|capionium|portvinsglogg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|capirete|capirete|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|capirussu|susumaniello 2022 salento cantina santa barbara|??|r|susumaniello|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|capischera|rosso assaje|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|capismee|langhe doc domenico clerico piemonte italien|it|r|??|piemonte|??|2012|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
321. W|capismee|langhe nebbiolo doc 2021 domenico clerico|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
322. W|capismee|langhe nebbiolo doc domenico clerico|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
323. W|capita|vidal cava fuchs de vidal brut nature gran reserva|es|s|??|??|??|2020|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
324. W|capita|vidal cava fuchs de vidal reserva brut nature|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
325. W|capita|vidal cava fuchs de vidal reserva brut nature|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature|=324
326. W|capita|vidal cava fuchs de vidal reserva brut nature banda|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
327. W|capita|vidal cava fuchs de vidal unic brut nature|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
328. W|capita|vidal cava palau sola brut nature|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
329. W|capitain|gagnerot clos vougeot grand cru burgundy france 2022 750|fr|r|??|burgundy|??|2022|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
330. W|capitain|gagnerot cortonrenardes grand cru burgundy france 2022 750|fr|r|??|burgundy|??|2022|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
331. W|capitain|gagnerot echezeaux en orveaux|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|capitain|gagnerot echezeaux grand cru burgundy france 2022 750|fr|r|??|burgundy|??|2022|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
333. W|capitain|gagnerot hautes cotes de beaune blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
334. W|capitain|gagnerot savignylesbeaune 1er cru|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
335. W|capitaine|capitaine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|capitaine|cook argangs sardiner|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|capitaine|cook sardiner i olivenolie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|capitaingagnerot|aloxecorton 1er cru les moutottes|??|r|??|??|??|2021|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
339. W|capitaingagnerot|aloxecorton blanc 1er cru la coutiere|??|w|??|??|??|2023|12.5|1er cru|medio|peixes, frutos do mar, saladas|seco
340. W|capitaingagnerot|bourgogne hautes cotes de beaune les gueulottes|fr|r|??|bourgogne|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|capitaingagnerot|bourgogne rouge|fr|r|??|bourgogne|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|capitaingagnerot|corton charlemagne grand cru 2013 1|??|r|??|??|??|2013|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
343. W|capitaingagnerot|corton les grandes lolieres grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
344. W|capitaingagnerot|corton les marechaudes grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
345. W|capitaingagnerot|corton les renardes grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
346. W|capitaingagnerot|cortoncharlemagne grand cru 2017 1|??|r|??|??|??|2017|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
347. W|capitaingagnerot|echezeaux grand cru en orveaux|??|r|??|??|??|2021|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
348. W|capitaingagnerot|ladoix 1er cru la micaude|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
349. W|capitaingagnerot|ladoix 1er cru la micaude|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco|=348
350. W|capitaingagnerot|ladoix 1er cru la micaude rouge|??|r|??|??|??|2023|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
351. W|capitaingagnerot|ladoix 1er les bois boussot rouge|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|capitaingagnerot|ladoix 1er les grechons et foutrieres blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
353. W|capitaingagnerot|ladoix rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|capitaingagnerot|saint romain blanc chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
355. W|capitaingagnerot|savignylesbeaune 1er cru les charnieres rouge|??|r|??|??|??|2023|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
356. W|capital|capital|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|capital|860g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|capital|alc less|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|capital|amber|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|capital|amber 6pk cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|capital|federal ba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|capital|haze oasis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|capital|humano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|capital|libro primero vol 1 el|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|capital|libro primero vol 2 el|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|capital|libro primero vol 3 el|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|capital|long crisps smoky paprika 75gr madrid inspired|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|capital|seasonal 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|capital|shorts blancblue|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
370. W|capital|supper club|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|capital|wisconsin amber 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|capital|x good folk slake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|capital|x mountain culture west coast neipa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|capital|xpa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|capital|z zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
376. W|capital|zinfandel|??|r|zinfandel|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
377. W|capitalisme|rouge|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|capitalisme|rouge 2020 brendan tracey|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|capitalismo|canibal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|capitalismo|karaoke|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|capitan|cerveza bundle tinysobahbrewdog 12 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|capitan|de mar y guerra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|capitan|el perro marinero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|capitan|fanegas 2020 rioja la union|es|r|??|rioja|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|capitan|fanegas la union rioja|es|r|??|rioja|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|capitan|gaona|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|capitan|general|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|capitan|huk black pet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|capitan|huk spiced|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|capitan|morg white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
391. W|capitan|morgan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|capitan|morgan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
393. W|capitan|morgan black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|capitan|morgan black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=393
395. W|capitan|morgan black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=393
396. W|capitan|morgan mexico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|capitan|morgan spiced|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|capitan|morgan spiced 100|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|capitan|morgan spiced gold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|capitan|morgan spiced gold barrell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|capitan|morgan white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
402. W|capitan|morgan white 700 mlt|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
403. W|capitan|tomas reserva malbec cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
404. W|capitan|tomas reserva malbec cabernet franc|??|r|cabernet franc|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
405. W|capitan|tomas reserva malbec cabernet franc|??|r|cabernet franc|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
406. W|capitan|tomas reserva malbec cabernet franc|??|r|cabernet franc|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
407. W|capitan|tomas reserva malbec cabernet franc|??|r|cabernet franc|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
408. W|capitan|tomas reserva malbec cabernet franc off12xdecom|??|r|cabernet franc|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
409. W|capitan|tomas reserva malbec tannat|??|r|malbec|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
410. W|capitan|tomas reserva malbec tannat|??|r|malbec|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
411. W|capitan|tomas reserva malbec tannat|??|r|malbec|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
412. W|capitan|tomas reserva malbec tannat|??|r|malbec|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
413. W|capitan|xurelo 2022 bodegas albamar rias baixas spanien|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|capitanes|intrepidos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|capitanio|quarantia pinot grigio doc delle venezie|??|w|pinot grigio|??|??|2019|12.5|doc|leve|peixes, frutos do mar, saladas|seco
416. W|capitano|cerato 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|capitano|del palio monferrato doc dolcetto|??|r|dolcetto|??|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
418. W|capitano|del palio monferrato doc dolcetto|??|r|dolcetto|??|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=417
419. W|capitano|del palio monferrato dolcetto doc|??|r|dolcetto|??|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
420. W|capitano|del palio monferrato dolcetto doc|??|r|dolcetto|??|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=419
421. W|capitel|capitel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|capitel|capitel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=421
423. W|capitel|capitel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=421
424. W|capitel|capitel|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|capitel|capitel|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=424
426. W|capitel|ossian|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|capitel|capitel|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|capitel|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
429. W|capitel|croce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|capitel|croce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=429
431. W|capitel|croce 2019 anselmi|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|capitel|croce 2022 anselmi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|capitel|croce anselmi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|capitel|croce anselmi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=433
435. W|capitel|croce bianco veneto igt 2022 anselmi|it|w|??|veneto|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
436. W|capitel|croce igt anselmi|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
437. W|capitel|croce veneto bianco|it|w|??|veneto|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
438. W|capitel|crosara valpolicella classico|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
439. S
440. S
441. W|capitel|della crosara ripasso dop|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
442. W|capitel|della crosara valpolicella ripasso dop montresor|it|r|??|??|??|2022|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
443. W|capitel|della crosara valpolicella ripasso montresor|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|capitel|foscarino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|capitel|foscarino 2022 anselmi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|capitel|foscarino anselmi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|capitel|foscarino anselmi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=446
448. W|capitel|foscarino bianco veneto igt 2022 anselmi|it|w|??|veneto|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
449. W|capitel|foscarino veneto bianco|it|w|??|veneto|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
450. W|capitel|magnum|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|capitel|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
452. S
453. S
454. W|capitel|nicalo valpolicella superiore|it|r|??|??|??|2021|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
455. W|capitel|rocco ripasso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|capitel|san rocco ripasso valpolicella superiore|it|r|??|??|??|2019|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
457. W|capitel|san rocco rosso ripasso 2022 tedeschi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|capitel|san rocco valpolicella ripasso doc superiore|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
459. W|capitel|san rocco valpolicella ripasso doc superiore|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
460. W|capitel|tenda soave classico|it|r|??|??|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
461. W|capitel|tenda soave classico|it|r|??|??|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
462. W|capitelle|de centeilles|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|capitelle|rouge|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|capitelles|des fermes chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
465. W|capitelles|des fermes les muriers|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|capitelles|des fermes les muriers blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
467. W|capitelles|des fermes pays doc chardonnay|??|w|chardonnay|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
468. W|capitelles|des fermes pays doc chardonnay|??|w|chardonnay|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
469. W|capitelles|des fermes pays doc pinot noir|??|r|pinot noir|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
470. W|capitelles|des fermes pays doc pinot noir|??|r|pinot noir|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
471. W|capitello|sauvignon gris elkhead vineyard oregon|us|r|sauvignon|??|??|2022|13.5|??|leve|carne vermelha, massas, queijos curados|seco
472. W|capitello|syrah|??|r|syrah|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
473. W|capitello|valpolicella ripasso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|capitol|capitol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|capitol|charm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. X
