W|gordon|macphail private collection speyburn 592 cask 6045101 refill sherry butt bottled in|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordons|mediterranean orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|gordons|mediterranean orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|gordons|mediterranean orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|gordons|miniatura|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|mo12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|passion fruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|passionfruit cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=255
W|gordons|pink non alcohol|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
X
X
S
S
W|gordons|pink 07|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|pink 07 liter|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|pink cans|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|pink cans|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=283
W|gordons|pink 375|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|pink 375|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=285
W|gordons|pink 4 pk btls|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|pink cans|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=283
X
X
W|gordons|pink arcobello|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
X
X
X
X
X
X
W|gordons|pnk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
W|gordons|premium pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=299
S
S
W|gordons|premium pink 07|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premium pink 075|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premium pink 375|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premium pink 375|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=316
X
W|gordons|premium pink distilled|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premium pink distilled|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=319
X
W|gordons|premium pink tonic 025 ltr|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premium pink tonic 12 ltr|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|premiun pink lata|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|sem alcool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sem alcool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=325
W|gordons|shimmer berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|shimmer berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|gordons|shimmer berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|gordons|shimmer berry limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|shimmer berry limited edition new|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sicilan lemon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sicilia lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|gordons|sicilian lemon 07 liter|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sicilian lemon 375|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|sicilian lemon vm|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|space|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|space|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gordons|space|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gordons|space|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gordons|space|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gordons|strawberry passionfruit spritz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|strawberry passionfruit spritz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=354
S
S
X
X
X
X
W|gordons|tropical|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|tropical passion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|tropical passion fruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|tropical passionfruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|tropical passionfruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gordons|tropical passionfruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gordons|tropical passionfruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gordons|tropical passionfruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gordons|tropical passionfruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gordons|white peach|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gordons|white peach vm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gordura|de coco nina 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordura|vegetal primor 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gore|gore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gore|gore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|gore|gore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|gore|gore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|gore|cornas matthieu barret domaine du coulet|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gore|garlic bhadang 500 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gorelli|brigo sangiovese toscana igt|it|r|sangiovese|tuscany|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|gorelli|brunello di montalcino docg|it|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|brunello di montalcino le potazzine|it|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|il brigo sangiovese di toscana tuscany|it|r|sangiovese|tuscany|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|rosso di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|rosso di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|rosso di montalcino doc|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|rosso di montalcino doc tuscany|it|r|??|tuscany|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorelli|rosso di montalcino docg|it|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gorenje|glashylla med hallare for kylskap|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|sagrantino di montefalco|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|alchemia brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|goretti|arringatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|fontanella bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goretti|fontanella bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|goretti|fontanella rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|fontanella rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=399
W|goretti|grechetto colli perguni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|grechetto colli perugini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|grechetto colli perugini|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|grechetto colli perugini doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|grechetto colli perugini umbria italy|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|grechetto il moggio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|il moggio grechetto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|montefalco rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|montefalco sagrantino rosso docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|montefalco sagrentino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goretti|rosso montefalco le mura saracene|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goretti|sagrantino di montefalco docg|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gorey|wine cellar bottle bag double|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorey|wine cellar bottle bag single|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorge|best cheddar ales|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorge|fraiche ambree|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorge|fraiche blanche|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorge|fraiche blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorge|fraiche neipa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorge|seche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorge|seche seanbrendan tracey|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|gorgeous|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|and graceful orchid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|blanc de blancs champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorgeous|bunch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|cap classique nv rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorgeous|chardonnay pinot noir|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgeous|farm with two bed|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|georgia red|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|georgia white|ge|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
X
X
W|gorgeous|green cotton push up bra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|grenache|??|r|grenache|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|grenache|??|r|grenache|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=436
W|gorgeous|grenache old vine|??|r|grenache|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|grenache old vine small batch handmade rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgeous|grenache red|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgeous|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=441
W|gorgeous|grigio case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|gruner veltliner 6|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgeous|lace gown nightwear|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|lace pushup bra blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|mcc rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgeous|mcc rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=447
W|gorgeous|mix of roses and ferrero chocolates|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgeous|old vine shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|old vine small batch handmade shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|orchids arrangement|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|pinot noir chardonnay|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgeous|pinot noir chardonnay|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=453
W|gorgeous|pinot noir chardonnay|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=453
W|gorgeous|push up bra microfiber maroon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgeous|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=457
W|gorgeous|rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgeous|rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=459
W|gorgeous|rose sparkling nonalc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorgeous|shiraz old vine|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|shiraz old vine by thistledown|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorgeous|sparkling mcc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorgeous|spring sparkle 6btl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|spring sparkle12btl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|ten gerberas bunch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|tulle microfiber and lace pushup bra black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgeous|tulle microfiber and lace pushup bra pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorges|gorges|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorges|gorges|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=471
W|gorges|gorges|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorges|gorges|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=473
W|gorges|gorges|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorges|muscadet sevre et maine ac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi dume frappato|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi catarratto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi catarratto midor|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi coste a preola grillo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi coste a preola grillo sicilia doc|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi coste a preola nero davola|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi coste a preola nero davola doc organic|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi coste a preola nero davola sicilia sicily italy|it|r|??|sicily|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi dume frappato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi dume frappato sicilia doc|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi frappato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi grillo coste a preola|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi grillo doc organic|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi grillo sicillia costa a preiola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi kheire|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi kheire grillo riserva|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi maremeo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi maremeo sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorghi|tondi meridiano 12 zibibbo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi meridiano 12 zibibbo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=495
W|gorghi|tondi meridiano 12 zibibbo secco sicilia doc|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi nero davola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi nero davola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|gorghi|tondi nero davola costa a preiola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi nero davola coste a preola|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi palmares brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gorghi|tondi palmares extra dry spumante rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorghi|tondi palmares grillo spumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gorghi|tondi palmares rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorghi|tondi palmares rose extra dry|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorghi|tondi palmares spumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
