1. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|casa ferreirinha papa figos|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|casa ferreirinha papa figos|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|casa ferreirinha papa figos|red 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|casa ferreirinha papa figos|red wine 13 bot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|casa ferreirinha papa figos|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|casa ferreirinha papa figos|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=213
215. W|casa ferreirinha papa figos|tinto 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|casa ferreirinha papa figos|tinto 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|casa ferreirinha papa figos|vinho branco 2023 douro|pt|w|??|douro|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
218. W|casa ferreirinha papa figos|vinho tinto 2022 douro|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|casa ferreirinha papa figos|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
220. W|casa ferreirinha|planalto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|casa ferreirinha|planalto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|casa ferreirinha planalto|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
223. W|casa ferreirinha planalto|branco reserva doc 2023|pt|w|??|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
224. W|casa ferreirinha planalto douro|2022|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|casa ferreirinha planalto douro|2022|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=224
226. W|casa ferreirinha planalto douro|blanco 2022|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|casa ferreirinha planalto douro|branco|pt|w|??|douro|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
228. W|casa ferreirinha planalto douro|branco reserva 2023|pt|w|??|douro|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
229. W|casa ferreirinha planalto|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
230. W|casa ferreirinha planalto|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=229
231. W|casa ferreirinha planalto|reserva 2022|pt|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
232. W|casa ferreirinha planalto|reserva douro|pt|r|??|douro|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
233. W|casa ferreirinha planalto|reserva douro branco 2023|pt|w|??|douro|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
234. W|casa ferreirinha planalto|reserva douro branco 2023|pt|w|??|douro|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=233
235. W|casa ferreirinha planalto|reserva douro weiwein wein trocken dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
236. W|casa ferreirinha planalto|reserva douro weiwein wein trocken dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=235
237. W|casa ferreirinha planalto|reserva douro weiwein wein trocken dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=235
238. W|casa ferreirinha planalto|reserve white wine 13 bot|pt|w|??|??|??|NV|12.5|reserve|leve|frutos do mar, peixes, saladas|seco
239. W|casa ferreirinha planalto|white reserva 2022|pt|w|??|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
240. W|casa ferreirinha|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|casa ferreirinha quinta da|leda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|casa ferreirinha quinta da|leda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=241
243. W|casa ferreirinha quinta da leda|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|casa ferreirinha quinta da leda|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=243
245. W|casa ferreirinha quinta da leda|2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|casa ferreirinha quinta da leda|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|casa ferreirinha quinta da leda|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|casa ferreirinha quinta da leda|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|casa ferreirinha quinta da leda|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=248
250. W|casa ferreirinha quinta da leda|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|casa ferreirinha quinta da leda|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|casa ferreirinha quinta da leda|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
253. W|casa ferreirinha quinta da leda douro|red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|casa ferreirinha quinta da leda douro rotwein wein trocken|dop|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
255. W|casa ferreirinha quinta da leda douro rotwein wein trocken|dop|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=254
256. W|casa ferreirinha quinta da leda douro rotwein wein trocken|dop|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=254
257. W|casa ferreirinha quinta da leda douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|casa ferreirinha quinta da leda douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=257
259. W|casa ferreirinha quinta da leda douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=257
260. W|casa ferreirinha quinta da leda douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=257
261. W|casa ferreirinha quinta da leda douro|tinto 2019|pt|r|??|douro|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|casa ferreirinha quinta da leda douro|tinto 2021|pt|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|casa ferreirinha quinta da leda douro|tinto 2022|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|casa ferreirinha quinta da leda magnum|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|casa ferreirinha quinta da leda|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|casa ferreirinha quinta da leda|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|casa ferreirinha quinta da leda|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=266
268. W|casa ferreirinha quinta da leda|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=266
269. W|casa ferreirinha quinta da leda|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|casa ferreirinha quinta da leda|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=269
271. W|casa ferreirinha quinta da leda|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=269
272. W|casa ferreirinha quinta da leda|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|casa ferreirinha quinta de|leda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|casa ferreirinha quinta de|leda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=273
275. W|casa ferreirinha quinta leda|2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|casa ferreirinha quinta leda|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|casa ferreirinha res especial|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|casa ferreirinha|reserva especial|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
279. W|casa ferreirinha|reserva especial 075 tinto 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
280. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
281. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=280
282. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=280
283. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=280
284. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=280
285. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=280
286. W|casa ferreirinha|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=280
287. W|casa ferreirinha|reserva especial 2014 portugal|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
288. W|casa ferreirinha|reserva especial douro|pt|r|??|douro|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
289. W|casa ferreirinha|reserva especial tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
290. W|casa ferreirinha|reserva especial tinto 1996|pt|r|??|??|??|1996|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
291. W|casa ferreirinha|reserva especial tinto 2009|pt|r|??|??|??|2009|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
292. W|casa ferreirinha|reserva especial tinto 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
293. W|casa ferreirinha|reserva especial tinto 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=292
294. W|casa ferreirinha|reserva especial tinto 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=292
295. W|casa ferreirinha|special reserve douro red wine|pt|r|??|douro|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
296. W|casa ferreirinha tinta francisca|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|casa ferreirinha tinta francisca|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|casa ferreirinha|tinto esteva 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|casa ferreirinha|touriga femea tinto|pt|r|touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
300. W|casa ferreirinha vina grande douro|red 2017|pt|r|??|douro|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|casa ferreirinha|vinha grande|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|casa ferreirinha|vinha grande|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
303. W|casa ferreirinha|vinha grande|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
304. W|casa ferreirinha|vinha grande 2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casa ferreirinha|vinha grande 2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=304
306. W|casa ferreirinha|vinha grande 2018 vinho tinto douro|pt|r|??|douro|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|casa ferreirinha|vinha grande 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|casa ferreirinha|vinha grande branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
309. W|casa ferreirinha|vinha grande branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=308
310. W|casa ferreirinha|vinha grande branco 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
311. W|casa ferreirinha|vinha grande douro branco|pt|w|??|douro|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
312. W|casa ferreirinha|vinha grande douro branco 2023|pt|w|??|douro|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
313. W|casa ferreirinha|vinha grande douro doc|pt|r|??|douro|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
314. W|casa ferreirinha|vinha grande douro portugal|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|casa ferreirinha|vinha grande douro red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|casa ferreirinha|vinha grande douro red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=315
317. W|casa ferreirinha|vinha grande douro rose 2024|pt|p|??|douro|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
318. W|casa ferreirinha|vinha grande douro rotwein wein trocken dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
319. W|casa ferreirinha|vinha grande douro rotwein wein trocken dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=318
320. W|casa ferreirinha|vinha grande douro rotwein wein trocken dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=318
321. W|casa ferreirinha|vinha grande douro tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|casa ferreirinha|vinha grande douro tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
323. W|casa ferreirinha|vinha grande douro tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
324. W|casa ferreirinha|vinha grande douro tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
325. W|casa ferreirinha|vinha grande douro tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
326. W|casa ferreirinha|vinha grande douro tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
327. W|casa ferreirinha|vinha grande douro tinto 13 abv|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|casa ferreirinha|vinha grande douro tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|casa ferreirinha|vinha grande douro vinho rose|pt|p|??|douro|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
330. W|casa ferreirinha|vinha grande duoro tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|casa ferreirinha|vinha grande magnum tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|casa ferreirinha|vinha grande red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|casa ferreirinha|vinha grande red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=332
334. W|casa ferreirinha|vinha grande red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=332
335. W|casa ferreirinha|vinha grande red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|casa ferreirinha|vinha grande red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=335
337. W|casa ferreirinha|vinha grande red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=335
338. W|casa ferreirinha|vinha grande red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=335
339. W|casa ferreirinha|vinha grande rose 2015|pt|p|??|??|??|2015|12.5|??|leve|saladas, aves, queijos leves|seco
340. W|casa ferreirinha|vinha grande tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|casa ferreirinha|vinha grande tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|casa ferreirinha|vinha grande tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|casa ferreirinha|vinha grande tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=342
344. W|casa ferreirinha|vinha grande white 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
345. W|casa ferreirinha|vinha grande white 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco|=344
346. W|casa ferreirinha|vinha grande white 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco|=344
347. W|casa ferreirinha|vinha grande white portugal|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
348. W|casa ferreirinha|vinhas velhas 1|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|casa ferreirinha|vinho reserva especial magnum 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
350. W|casa ferreirinhanpapa figos douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|casa ferririnha quinta da leda|2011|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|casa fevre cuvee pirque|carmenere 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
353. W|casa fevre espino|gran cuvee cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
354. W|casa fevre espino|gran cuvee carmenere valle del maipo|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
355. W|casa fevre espino|gran reserva carmenere 2023|pt|r|carmenere|??|??|2023|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
356. W|casa fevre little quino|sauvignon blanc malleco|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
357. W|casa fevre quino|brut nature 750cc|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
358. W|casa fevre the blend|rouge|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|casa fina|red sangria premium caja 6 unidades|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|casa fina|rose sangria premium caja 6 unidades|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
361. W|casa fina|white sangria premium caja 6 unidades|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
362. W|casa fontanari|ancellotta|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|casa fontanari battonage|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
364. W|casa fontanari battonage|trebbiano toscano|pt|w|trebbiano|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
365. W|casa fontanari|brut blanc de blancs rieslingmalvasiachardonnay|pt|s|chardonnay, riesling|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
366. W|casa fontanari|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
367. W|casa fontanari|chardonnay batonnage|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
368. W|casa fontanari|chardonnay batonnage vinho branco|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
369. W|casa fontanari|chardonnay battonage 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
370. W|casa fontanari conhaque|do nonno|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|casa fontanari|esmeralda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|casa fontanari|espumante demi sec|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|demi-sec
373. W|casa fontanari|espumante moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
374. W|casa fontanari flora|esmeralda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|casa fontanari flora|espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
376. W|casa fontanari flora|espumante demisec|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
377. W|casa fontanari flora|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
378. W|casa fontanari flora|viognier merlot|pt|w|merlot, viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
379. W|casa fontanari|frollo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|casa fontanari isabel|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
381. W|casa fontanari|marselan|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|casa fontanari mion|brut blanc de blancs|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
383. W|casa fontanari mion|brut rose nebbiolo|pt|p|nebbiolo|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
384. W|casa fontanari mion demi|sec|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|demi-sec
385. W|casa fontanari mion|espumante blanc de blanc brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
386. W|casa fontanari mion|espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
387. W|casa fontanari|nebbiolo|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
388. W|casa fontanari|niagara|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|casa fontanari|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|casa fontanari|quasimodo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|casa fontanari|rose marselan 2020|pt|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
392. W|casa fontanari|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
393. W|casa fontanari|trebbiano espumante brut|pt|s|trebbiano|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
394. W|casa fontanari|trebbiano toscano batonnage|pt|w|trebbiano|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
395. W|casa fontanari|viognier 60 meses espumante brut|pt|s|viognier|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
396. W|casa freschi la signora|cabernet blend 2023|pt|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
397. W|casa freschi la signorina|white blend 2021|pt|w|??|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
398. W|casa freschi profondo|2013|pt|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|casa freschi profondo|cabernet shiraz malbec 2005|pt|r|malbec, shiraz|??|??|2005|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
400. W|casa galiotto|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
401. W|casa galiotto|cabernet sauvignon compre 5 leve 6|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
402. W|casa galiotto|cabernet sauvignon demisec|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
403. W|casa galiotto|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
404. W|casa galiotto|chardonnay compre 5 leve 6|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
405. W|casa galiotto|gran reserva angelo|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
406. W|casa galiotto|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|casa galiotto|merlot compre 5 leve 6|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|casa galiotto|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
409. W|casa galiotto|rose compre 5 leve 6|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
410. W|casa galiotto|tannat|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
411. W|casa galiotto|tannat compre 5 leve 6|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
412. W|casa galvis|blanc de noir brut ecologico|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
413. W|casa galvis|sauvignon blanc brut nature ecologico|pt|s|sauvignon blanc|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
414. W|casa geraldo|3 tons blend merlot syrah cabernet franc|pt|r|cabernet franc, syrah, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
415. W|casa geraldo|3 tons blend merlot syrah cabernet franc|pt|r|cabernet franc, syrah, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=414
