W|damoiseau arrange|mangue passion 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel florentin|florentin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel nougat|bar|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel nougatine|nougatine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel orangettes|orangettes|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel pate|a tartiner noisettes 250g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel pur|praline noisettes du piemont 250g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damyel raspbery|kaori|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan black|premium yamahai junmai daiginjo aiyama 38|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|bezy sniezynki 100 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|bueczki mleczne 400 g 10 sztuk|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|bueczki mleczne z czekolada 400 g 10 sztuk|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|morango 300 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|spod tortowy 200 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|spody tortowe 400 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan cake|spody tortowe kakaowe 400 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan d pak|almonds salted 235g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan d pak|cashews salted 215g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan d pak|cluster bouchees 180g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan d pak|pistachios salted 160g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan d pak|trail mix w cranberries 227g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|junmai|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|daiginjo banshu aiyama|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|daiginjo yamadanishi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|daiginjo yamadanishi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=256
W|dan junmai|daiginjo yamadanishiki|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|ginjo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|ginjo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=259
W|dan junmai|ginjo 15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan junmai|ginjo muroka nama genshu|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan kellys|colls craft|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan kidzz|chuggzz 4 into the chugiverse|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan pastorinis|rub garlic and herb|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan pastorinis|rub texas style|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan po|dan|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan sharespa|sharespa|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan sukker|500|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan vian|chardonnay doc 202324|fr|w|chardonnay|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|dan yamahai|junmai|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan yamahai|junmai|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=271
W|dan yamahai|junmai daiginjo banshu aiyama muroka nama genshu|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan yamahai|junmai daiginjo bizen omachi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan yamahai|junmai ginjo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dan yamahai|junmai ginjo bizen omachi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana|dana|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana antrikot|antrikot|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana biftek|ile penne makarna|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana blue|100 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana bonfile|bonfile|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon helms vineyard 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon helms vineyard 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco|=282
W|dana cabernet|sauvignon helms vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon helms vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco|=284
W|dana cabernet|sauvignon helms vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon helms vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=286
W|dana cabernet|sauvignon hershey vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon hershey vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon hershey vineyard 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon lotus vineyard 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon lotus vineyard 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=291
W|dana cabernet|sauvignon onda 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana cabernet|sauvignon onda doro 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana carpaccio|carpaccio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2006|fr|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2014|fr|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon helms vineyard 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=302
W|dana estate|cabernet sauvignon helms vineyard magnum 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2014|fr|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon hershey vineyard 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=310
W|dana estate|cabernet sauvignon hershey vineyard magnum 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2006|fr|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2014|fr|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2014|fr|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco|=316
W|dana estate|cabernet sauvignon lotus vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon lotus vineyard 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2010|fr|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=324
W|dana estate|cabernet sauvignon onda vineyard 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco|=326
W|dana estate|cabernet sauvignon onda vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco|=328
W|dana estate|cabernet sauvignon onda vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=330
W|dana estate|cabernet sauvignon onda vineyard 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=332
W|dana estate|cabernet sauvignon onda vineyard 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|cabernet sauvignon onda vineyard 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=335
W|dana estate|cabernet vaso 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2008|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=339
W|dana estate|helms vineyard 2012|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2012|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco|=341
W|dana estate|helms vineyard 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco|=343
W|dana estate|helms vineyard 2014 owc|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=346
W|dana estate|helms vineyard 2015 owc|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=349
W|dana estate|helms vineyard 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=349
W|dana estate|helms vineyard 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=353
W|dana estate|helms vineyard 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=353
W|dana estate|helms vineyard 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=356
W|dana estate|helms vineyard 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=356
W|dana estate|helms vineyard cabernet sauvignon 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|helms vineyard napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2012|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard 2014 owc|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard 2015 owc|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco|=374
W|dana estate|hershey vineyard cabernet sauvignon 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|dana estate|hershey vineyard cabernet sauvignon 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=378
W|dana estate|hershey vineyard cabernet sauvignon 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=380
W|dana estate|hershey vineyard cabernet sauvignon 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=382
W|dana estate|hershey vineyard cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=384
W|dana estate|hershey vineyard cabernet sauvignon 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard cabernet sauvignon 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=386
W|dana estate|hershey vineyard napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|hershey vineyard sauvignon blanc 2018|fr|w|sauvignon blanc|??|??|2018|12.5|??|medio|peixe, frutos do mar|seco
W|dana estate|lotus cabernet sauvignon 2006|fr|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2008|fr|r|cabernet sauvignon|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2009|fr|r|cabernet sauvignon|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2010|fr|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus cabernet sauvignon 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=402
W|dana estate|lotus vineyard 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco|=404
W|dana estate|lotus vineyard 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco|=404
W|dana estate|lotus vineyard 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2014 1pack owc|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=409
W|dana estate|lotus vineyard 2015 1pack owc|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=412
W|dana estate|lotus vineyard 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=412
W|dana estate|lotus vineyard 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=415
W|dana estate|lotus vineyard 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=418
W|dana estate|lotus vineyard cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|lotus vineyard cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco|=420
W|dana estate|lotus vineyard cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco|=420
W|dana estate|lotus vineyard napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|onda cabernet sauvignon 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|onda napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|vaso cabernet sauvignon 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estate|vaso cabernet sauvignon 2020|fr|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|2014 onda napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon helms vineyard 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon helms vineyard 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon helms vineyard 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon hershey vineyard 2014|fr|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon hershey vineyard 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon lotus vineyard napa valley 2010|us|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon napa valleylotus vineyard 2017|us|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon napa valleylotus vineyard 2017|us|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=435
W|dana estates|cabernet sauvignon onda 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|cabernet sauvignon onda napa valley 2019 js96pts 2019|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|helm vineyard 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dana estates|helm vineyard 2012|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
