1. W|christian bellang et fils|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
196. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
197. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=196
198. W|domaine francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
199. W|domaine fabien cochebizouard|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
200. W|cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
201. W|blanc maison charles noellat|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
202. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
203. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
204. W|antoine jobard|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
205. W|blagny camille guillaume boillot frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
206. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
207. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
208. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
209. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
210. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
211. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
212. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
213. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=203
214. W|domaine pierre morey|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
215. W|valet freres|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
216. W|philippe bouzereau|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
217. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
218. W|les clous camille guillaume boillot frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
219. W|jadot c6|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
220. W|jadot|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
221. W|domaine piguetgirardin|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
222. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
223. W|domaine henri boillot meursault frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
224. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
225. W|domaine francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
226. W|domaine cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
227. W|antoine jobard|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
228. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
229. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=228
230. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=228
231. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=228
232. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=228
233. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=228
234. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=228
235. W|nudant|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
236. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
237. W|les vignes de marguerite henri gilles buisson|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
238. W|henri germain|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
239. W|domaine roulot|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
240. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
241. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=240
242. W|domaine henri germain et fils|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
243. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
244. W|domaine gauffroy|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
245. W|domaine francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
246. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
247. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=246
248. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
249. W|gauffroy|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
250. W|domaine roulot|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
251. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
252. W|domaine henri germain et fils|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
253. W|domaine comte armand|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
254. W|domaine cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
255. W|antoine lienhardt|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
256. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
257. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=256
258. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=256
259. W|philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
260. W|olivier leflaive|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
261. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
262. W|maison joseph drouhin|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
263. W|louis latour|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
264. W|domaine roulot|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
265. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
266. W|domaine henri germain et fils|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
267. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
268. W|domaine francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
269. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
270. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco|=269
271. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
272. W|jadot|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
273. W|domaine roulot|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
274. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
275. W|domaine henri delagrange et fils|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
276. W|domaine henri boillot meursault frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
277. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
278. W|domaine cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
279. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
280. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
281. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
282. W|domaine francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
283. W|domaine cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
284. W|domaine chanson ac|meursault|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
285. W|domaine rodolphe demougeot|meursault|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
286. W|domaine cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
287. W|louis jadot beaune frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2014|13.5|AOC|medio|peixe, frutos do mar|seco
288. W|louis jadot beaune frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2013|13.5|AOC|medio|peixe, frutos do mar|seco
289. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2013|13.5|AOC|medio|peixe, frutos do mar|seco
290. W|domaine matrot meursault frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2012|13.5|AOC|medio|peixe, frutos do mar|seco
291. W|domaine jeanmarc boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2011|13.5|AOC|medio|peixe, frutos do mar|seco
292. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2004|13.5|AOC|medio|peixe, frutos do mar|seco
293. W|domaine cochedury|meursault|fr|w|chardonnay|bourgogne|meursault|2002|13.5|AOC|medio|peixe, frutos do mar|seco
294. W|jobard wood|meursault 1er poruzot dessus elevage prolonge domaine remi jobard wood case|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
295. W|pierre girardin|meursault 1er perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
296. W|perrieres boyermartenot|meursault 1er|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
297. W|perrieres boyermartenot|meursault 1er|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
298. W|jobard wood|meursault 1er genevrieres domaine remi jobard wood case|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
299. W|olivier leflaive|meursault 1er cru sous le dos dane domaine|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
300. W|domaine leflaive|meursault 1er cru sous le dos dane|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
301. W|domaine leflaive|meursault 1er cru sous le dos dane|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
302. W|dos dane|meursault 1er cru sous le|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
303. W|dos dane|meursault 1er cru sous le|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
304. W|domaine roger belland|meursault 1er cru santenots blanc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
305. W|domaine roger belland|meursault 1er cru santenots blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
306. W|arnaud baillot|meursault 1er cru santenots|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
307. W|arnaud baillot|meursault 1er cru santenots|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=306
308. W|arnaud baillot|meursault 1er cru santenots|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=306
309. W|domaine jacques prieur|meursault 1er cru santenots|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
310. W|domaine jacques prieur|meursault 1er cru santenots|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
311. W|cru santenots|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
312. W|philippe bouzereau|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
313. W|poruzots germain|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
314. W|domaine ramonet|meursault 1er cru poruzots cuvee jehan humblot|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
315. W|domaine ramonet|meursault 1er cru poruzots cuvee jehan humblot|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=314
316. W|domaine henri germain et fils|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
317. W|domaine francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
318. W|vincent latour|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
319. W|meursault poruzots|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
320. W|domaine francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
321. W|domaine henri germain et fils|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
322. W|domaine francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
323. W|domaine henri germain et fils|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
324. W|domaine francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
325. W|domaine francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
326. W|meursault poruzots|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
327. W|domaine francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
328. W|domaine colinmorey|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2013|13.5|AOC|medio|peixe, frutos do mar|seco
329. W|paul de la ronce|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2000|13.5|AOC|medio|peixe, frutos do mar|seco
330. W|francois mikulski|meursault 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|1994|13.5|AOC|medio|peixe, frutos do mar|seco
331. W|cru poruzots|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
332. W|domaine jobard morey|meursault 1er cru poruzot|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
333. W|dessus creusefond|meursault 1er cru poruzot dessus creusefond bourgogne|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
334. W|meursault porusots|meursault 1er cru porusots|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
335. W|meursault porusots|meursault 1er cru porusots|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
336. W|le moine|meursault 1er cru porusot lucien|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
337. W|jadot c6|meursault 1er cru porusot|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
338. W|shoulder level|meursault 1er cru perrieres upper|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
339. W|philippe bouzereau|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
340. W|louis latour|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
341. W|pierre morey|meursault 1er cru perrieres domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
342. W|pierre morey|meursault 1er cru perrieres domaine|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
343. W|pierre morey|meursault 1er cru perrieres domaine|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
344. W|domaine michelot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
345. W|de montille|meursault 1er cru perrieres domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
346. W|bernard millot|meursault 1er cru perrieres domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
347. W|armand heitz|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
348. W|perrieres ampeau|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2002|13.5|AOC|medio|peixe, frutos do mar|seco
349. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
350. W|domaine michel bouzereau|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
351. W|domaine matrot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
352. W|domaine henri germain et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
353. W|david moret|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
354. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
355. W|domaine matrot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
356. W|david moret|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
357. W|domaine michelot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
358. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
359. W|domaine matrot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
360. W|domaine henri germain et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
361. W|david moret|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
362. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
363. W|domaine matrot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
364. W|domaine henri germain et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
365. W|domaine armand heitz|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
366. W|chateau de meursault|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
367. W|maison moreycoffinet|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
368. W|domaine pierreyves colinmorey|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
369. W|domaine matrot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
370. W|domaine henri germain et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
371. W|domaine heitzlochardet|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
372. W|david moret|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
373. W|meursault perrieres|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
374. W|maison moreycoffinet|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
375. W|domaine pierreyves colinmorey|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
376. W|domaine matrot|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
377. W|domaine jacques prieur|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
378. W|domaine heitzlochardet|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
379. W|david moret|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
380. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
381. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
382. W|domaine michel bouzereau et fils|meursault 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
383. W|cru perrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
384. W|cru perrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=383
385. W|cru perrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=383
386. W|cru perrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=383
387. W|cru perrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=383
388. W|cru perrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=383
389. W|les santenots|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
390. W|de montille|meursault 1er cru les poruzots domaine|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
391. W|domaine francois mikulski|meursault 1er cru les poruzots|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
392. W|de montille|meursault 1er cru les porusots domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
393. W|de montille|meursault 1er cru les porusots domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=392
