W|finca traversa|cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vinoa|paraje penaboa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=230
W|finca vinoa|paraje penaboa 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|paraje penaboa 2020 1 botella de|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|pazo casanova treixadura ribeiro|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|ribeiro blanco 2023|es|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca vinoa|ribeiro do 2023|es|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|sobre lias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|treixadura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|treixadura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=238
W|finca vinoa|treixadura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=238
W|finca vinoa|treixadura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=238
W|finca vinoa|treixadura 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|white ribeiro 2021|es|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca vinoa|white ribeiro 2021|es|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco|=243
W|finca vista|argentinian malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vista|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vista|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=246
W|finca vista|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=246
W|finca vista|malbec 13|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vista|malbec 2023 mendoza argentina 130|ar|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vista|malbec 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vista|malbec mendoza|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vista|malbec mendoza x 24|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca wijnen|cadeaubon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca wolffer|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca wolffer|red wine 2019 argentina|ar|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca wolffer|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca wolffer|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco|=257
W|finca wolffer|white|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca wolffer|white 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca wolffer|white 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco|=260
W|finca wolffer|white wine 2021 argentina|ar|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca xaconero|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ygay|reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca zabaleta|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca zerezal|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca zerezal|reserva 2016|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca zuriena|zuriena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fincalas moras|reserve malbec|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|fincalegre|cava brut nature|es|s|??|??|??|NV|12|ava|leve|aperitivos; frutos do mar; canapes|brut nature
X
X
X
X
X
X
X
W|fincas chardonnay|y moscatel|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
X
W|fincas de|azabache rioja tempranillo blanco 2024|es|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fincas de|azabache rioja tempranillo blanco 2024|es|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco|=285
W|fincas de|azabache tempranillo blanco brut rioja spain nv 12 vol|es|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fincas de|landaluce crianza rioja alavesa bodegas landaluce|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|fincas de|landaluce tempranillo landaluce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fincas de|landaluce tempranillo riserva landaluce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fincas mx|cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|fincas mx|exploracion chardonnay 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fincas mx|petnat rose 2022|??|s|??|??|??|2022|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fincas mx|red cabernet sauvignonmerlotmalbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|fincas mx|vinicultores sparkling rose pet nat valle de guadalupe mexico|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
W|fincas pet|nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
W|fincas syrah|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fincas vinicultores|cabernet sauvignon merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|fincas vinicultores|chardonnay moscatel|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fincas vinicultores|grenache rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|fincas vinicultores|pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fincas vinicultores|vino natural cabernet s|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|finch|wine club|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fincher and|co wairau valley sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fincher co|sauvignon blanc awatere valley 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fincher co|show of hands pinot noir tinto 2020 cx 3uni|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finchs line|5th mile shiraz 2009|??|r|??|??|??|2009|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finchs line|syrah 2009 hunter valley australia|au|r|??|??|??|2009|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
W|find and|enjoy the right wine for you|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
W|find foster|pet nat allan 2020|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
W|find me|a wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|find the|right wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
W|find your|favourite chardonnay mixed 6|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
W|find your|mojo with moscato|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
W|finding places|pinot grigio|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finding places|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
X
X
X
X
X
S
X
X
X
X
X
X
X
X
X
X
X
X
W|fine amor|2019 domaine marc olivier bertrand|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fine blanche|du jura chateau darlay 46|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
X
X
X
S
S
S
S
S
S
S
S
S
X
X
W|fine|champagne|fr|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fine|champagne|fr|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=527
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fine de|bourgogne hors dage domaine henri naudinferrand|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
W|fine de|gamay de jules metras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
W|fine disregard|wine co altas piedras grenache sonoma county|us|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine disregard|wine co carignane 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine disregard|wine co chenin blanc chalone vineyard 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
W|fine faugeres|domaine leon barral 45|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
W|fine form|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fine inocente|valdespino sherry 37|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fine line|waitaki chardonnay 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
S
X
X
W|fine petit|champagne chateau de montifaud xo|fr|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fine petite|champagne xo|fr|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
W|fine rare|vintage villa gemma montepulciano 2001|??|r|??|??|??|2001|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine rare|vintage villa gemma montepulciano dabruzzo doc 2003|??|r|??|??|??|2003|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|fine rare|vintage villa gemma montepulciano dabruzzo doc 2005|??|r|??|??|??|2005|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
W|fine|red wine beaujolais 48|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
W|fine riesling|riesling|??|w|??|??|??|NV|10|??|leve|peixes; frutos do mar; saladas|seco
W|fine riesling|dq|??|w|??|??|??|NV|10|??|leve|peixes; frutos do mar; saladas|seco
W|fine riesling|feinherb 2021|??|w|??|??|??|2021|10|??|leve|peixes; frutos do mar; saladas|seco
W|fine riesling|feinherb gut hermannsberg|??|w|??|??|??|NV|10|??|leve|peixes; frutos do mar; saladas|seco
W|fine riesling|feinherb gut hermannsberg|??|w|??|??|??|NV|10|??|leve|peixes; frutos do mar; saladas|seco|=694
X
X
X
X
X
X
W|fine ruby|port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco|=702
W|fine ruby|port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco|=702
W|fine ruby|port delaforce|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|port doc|??|f|??|??|??|NV|20|doc|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|port dows|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|port kopke|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|port quinta do noval douro|pt|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|porto|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|porto kopke|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|porto kopke 195|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine ruby|quinta do estanho|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine ruby|the port that never says no|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
X
X
X
X
X
X
X
W|fine sparkling|wine asti 23|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine sparkling|wine cossack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine sparkling|wine cossack 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fine tawny|port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine tawny|port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco|=740
W|fine tawny|port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco|=740
W|fine tawny|port porto calem|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine tawny|port quinta da romaneira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine tawny|porto|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine tawny|porto kopke|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine tawny|quinta do estanho|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
X
X
X
X
X
W|fine|vintage cabernet sauvignon sigma rutherford napa valley ca 2019|us|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
X
X
X
X
W|fine|white port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine|white port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco|=760
W|fine|white port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco|=760
W|fine|white port grahams douro valley portugal|pt|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine|white port porto calem|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine|white port wine calem velhotes|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine|white porto kopke|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|fine|white porto kopke 195|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
X
X
X
W|fine|white wine gavi 37|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fine|white wine reserve 2023|??|w|??|??|??|2023|12.5|reserve|leve|peixes; frutos do mar; saladas|seco
W|fine|white wine schonburger 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fine|wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=774
W|fine|wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=774
W|fine|wine advent calendar 2025|??|r|??|??|??|2025|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine and gourmet basketone champagne|fr|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fine|wine and gourmet baskettwo red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine and gourmet baskettwo white|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fine|wine case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine date night trio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine dinner pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine duo red white gift set|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|fine|wine experience plan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine exquisite dips gift set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine focus wine subscription|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine friday 28th february an austrian wine symphony|??|r|??|??|??|NV|10|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine perfect pairings|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine plan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine red selection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|fine|wine second label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine tasting 1st june 2025|??|r|??|??|??|2025|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine tasting series rhone|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fine|wine white selection|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
X
X
X
X
X
X
W|fineline|champagne flute plastic 7 oz|fr|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|fineline|wine goblet 5oz plastic 2 pc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|fineline|wine stem plastic 11 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finell pinot|grigio sudtirolalto adige doc 2019|??|w|??|??|??|2019|12.5|doc|leve|peixes; frutos do mar; saladas|seco
X
X
X
X
X
X
X
W|fines bulles|blanc brut ou demisec|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fines bulles|brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|fines bulles|brut cremant vouvray|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
W|fines bulles|rose brut ou demisec|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
X
X
X
W|fines|spumante extra dry|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|finesparkling|brut rose sekt premium|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|finesparkling|brut sekt premium|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
X
W|finesse chardonnay|38|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finesse chardonnay|colombard witte wijn frankrijk|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
X
W|finesse merlot|cabernet red blend wijn frankrijk doos 6 flessen 420 pst|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finesse|red wine 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
X
X
W|finesse syrah|grenache rose wijn frankrijk|??|p|??|??|??|NV|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finest 10|yr old malvasia madeira henriques henriques|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finest 10|yr old sercial hh madeira henriques henriques|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
X
X
X
W|finest|brut bagrationi 1882|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
