W|lecole no 41|cabernet sauvignon walla walla washington 750|us|r|cabernet sauvignon|walla walla|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|leclerc|briant champagne brut reserve|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=216
W|leclerc|briant champagne blanc de meuniers brut zero|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne blanc de meuniers 1ste cru millesime brut zero bio|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne blanc de blancs millesime extra brut bio|fr|s|??|champagne|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne blanc de blancs millesime extra brut bio|fr|s|??|champagne|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=221
W|leclerc|briant champagne abyss millesime brut zero bio|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne abyss millesime brut zero bio|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut|=223
W|leclerc|briant ch d avize gc champagne b12|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant brut zero blanc de meuniers|??|s|??|??|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve kologisk champagne pa tilbud|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve 3ltr kologisk champagne pa tilbud|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve 3ltr|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut reserve|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=233
W|leclerc|briant brut reserve|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=233
W|leclerc|briant brut|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant blanc meuniers brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant blanc de meuniers millesime|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant blanc de meuniers brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant blanc de meuniers 1er cru|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant blanc de meunier premier cru brut zero champagne|fr|s|??|champagne|??|2016|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant blanc de blancs millesime extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant blanc de blancs extra brut millesime champagne france|fr|s|??|champagne|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant blanc de blancs extra brut millesime|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant basses prieres zero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant avize grand cru chateau davize blanc de blancs brut zero|??|s|??|??|??|2014|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant abyss rose champagne|fr|s|??|champagne|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant abyss millesime brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant abyss millesime|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant abyss millesime|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant abyss extra brut rose|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant abyss champagne brut zero|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant abyss brut zero|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant abyss brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant abyss|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant abyss magnum champagne unik smagsoplevelse|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant abyss magnum|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant abyss i gaveske|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant abyss champagne i gaveske unik|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant abyss i gaveske|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant abyss eksklusiv champagne gaveske|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant jubilumschampagne begrnset udgave|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant 150th anniversary|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant 150th anniversary brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=266
W|leclat de|valois pomerol|fr|r|??|pomerol|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclat de|valentin saintemilion grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|leclat|brut bio osco|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclat|leclat|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclat|mas combarela|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclat|leclat|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclat|leclat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclat|leclat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=274
W|leclat|leclat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=274
W|leclapart|lamateur blanc de blancs|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclapart|lamateur blanc de blancs|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclapart|david lamateur blanc de blancs champagne aoc extra brut vino spumante|fr|s|??|champagne|??|NV|12|aoc|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclapart|champagne 1er cru blanc de blancs extra brut lartiste|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclapart|champagne 1er cru blanc de blancs extra brut lapotre|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclapart|apotre blanc de blanc|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclairethiefaine|tirage liege avize grand cru champagne france|fr|s|??|champagne|??|2020|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|leclairethiefaine|terre blanche avize champagne france|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclairethiefaine|cuvee 03 constantin cramant grand cru champagne france|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|leclairethiefaine|champagne blanc de blancs cuvee 00 terre blanche extra brut base|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclairee|clairet de bordeaux vignobles ponty|fr|r|??|bordeaux|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclaire|thiefaine cuvee 04 mayeul blanc de blancs premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|leclaire|thiefaine cuvee 04 mayeul blanc de blancs premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco|=288
W|leclaire|thiefaine cuvee 03 constantin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclaire|thiefaine cuvee 02 guillemette rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|leclaire|thiefaine champagne terre blanche|fr|s|??|champagne|??|2022|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclaire|thiefaine champagne grand cru extra brut cuvee 01 apoline|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclair de|genie chocolat blanc au praline pistache diran 90g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclair de|genie chocolat au lait praline noisette du piemont 90g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclair|leclair|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclair|0|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclair|0|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckford|estate blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckers|eco esenta de lamaie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckers|bio habfixalo szolocukorral|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckers|bio borko sutopor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckerberg|riesling gg weingut winter|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|leckerberg|riesling gg magnum weingut winter|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|leckerberg|riesling gg|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|leckavegan|energy bitesmango coconut 20g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckavegan|energy barmango coconut 40g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckavegan|energy barbanana cinnamon 40g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leckavegan|energy bar pineapple banana 40g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecka|vegan energy bites tropical fruits 20g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecka|energy gel passion fruit 44g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecka|energy gel banana 44g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecitina de|soya 1200 mg mason natural|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecitina de|soja granulada quiero natural|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecitin|kapszula jutavit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecitin|kapszula 1200mg now|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecitin|kapszula 100db vitaking|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecithin|xtralife|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecithin|1360mg 100 softgels solgar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecite|200iu500mg capsule by 10s|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecir de|laubrac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecinquevigne|barolo docg damilano|??|r|??|??|??|2021|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|lecinaro|rosato frusinate fra diaure igp palazzo tronconi|??|p|??|??|??|2022|12.5|igp|leve|saladas; peixes grelhados; massas leves|seco
W|lecinaro|frusinate zitore igp palazzo tronconi|??|r|??|??|??|2024|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lecinaro|frizzante rosato frusinate giziello igp palazzo tronconi|??|s|??|??|??|2023|12|igp|leve|aperitivos; frutos do mar; canapes|seco
W|lecinaro del|frusinate palmieri|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuza|nebbiolo|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lechuza|garnacha carinena spain|??|r|garnacha|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuza|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuza|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=329
W|lechuza|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=329
W|lechuza|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=329
W|lechuguilla|tavi torres joven lote 6 clande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuguilla|tavi torres joven lote 5 clande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuguilla|tavi torres joven lote 2 clande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuguilla|parejo ensamble wheelericenizo juan fernandez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuguilla|parejo cenizo juan fernandez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuguilla|lupo lopez joven lote3 19 clande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuguilla|lupo lopez joven lote 3 18 clande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|verdemorada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|verde crespa la giralda kosher 130g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|unidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|un 2379|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|sweet crunchy eva 2 piezas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana viva 300g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana unidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana manantiales|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana hidroponica de invernadero ecologic x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana hidrop la giralda 140g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana 1ud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|romana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|roja hidroponica de invernadero ecologic x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|rizada unidad 1 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|rancho san jeronimo italiana verde pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|rancho san jeronimo italiana sangria pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|rancho san jeronimo francesa pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|radicchio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|olimpica verde crespa 200 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|mostaza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|morada un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|morada manantiales|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|mizuna verdemorada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|mix asiatica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|milanesa unidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|marina unidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|manteca u|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|manteca hydroponica un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|manteca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|larga pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga la|caserita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|italiana pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|inspirada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|iceberg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|hidroponica x und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|hidroponica x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|hidroponica verde puro x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|hidroponica verde crespa la giralda 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|hidroponica crespa morada la giralda 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|gourmet lisa verde 120 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|gourmet crespa verde 120 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|francesa corazon de eva 2 piezas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|eva italiana viva 1 pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|eva francesa viva 1 pieza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|eva corazones rusticos 4 piezas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|escarola hortinorte unidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|entera verde puro x und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga de|seda hidroponica manantiales x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga de|seda hidroponica frescas x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga de|seda hidroponica de invernadero ecologic x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga de|seda frescas 130g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga de|seda ecologic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga de|invernadero oakleaf don miguel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa viva x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa verde morada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa verde 1ud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa un 2855|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa roja viva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa morada und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa morada 1ud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa hydroponica un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa hidroponica manantiales x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa hidroponica de invernadero ecologic x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa cuisine co|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa bells x und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa bells|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa 1u|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|crespa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=410
W|lechuga|costina unidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|cogollos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|cogollo europeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|cogollo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|capuchina un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|butterhead viva x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|batavia 600g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|batavia 1000g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|batavia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|batavia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=420
W|lechuga|americana x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|americana viva x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|americana verde puro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|americana metro x unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|americana ecologic x un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|acedera roja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|2 unidades|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|lechuga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechuga|lechuga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=429
W|lechug|tropic hidrop hac la giralda 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechthaler|trentino dop pinot noir|it|r|pinot noir|trentino|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechthaler|teroldego rotaliano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechthaler|teroldego rotaliano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=433
W|lechthaler|teroldego rotaliano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=433
W|lechthaler|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechovice|muller thurgau|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechovice|muller thurgau|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=437
W|lechovice|blaufrankisch|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechovice|blaufrankisch|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=439
W|lechonaporcion|lechonaporcion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechona|vegana popurri x 300gr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechona|vegana pequena 220g el manjar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechona|vegana grande 350g el manjar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechona|tradicional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechon|with tray|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechon|kawali 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
