1. W|cara|sur field blend tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|carafe|bas armagnac 20 ans dartigalongue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|carafe|black tie bliss|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|carafe|black tie face to face|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|carafe|cabernet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|carafe|canard etain contenance 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|carafe|cornetto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|carafe|cornetto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=242
244. W|carafe|curly clear|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|carafe|delos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|carafe|diva contenance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|carafe|eggs by sebastian bergne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|carafe|eggs by sebastian bergne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=247
249. W|carafe|eggs by sebastian bergne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=247
250. X
251. W|carafe|en verre personnalisee juliou|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|carafe|en verre personnalisee jullou|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|carafe|en verre personnalisee professionnelle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|carafe|etain col et anse contenance 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carafe|eve|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carafe|evechen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|carafe|fire cone interieur cristallin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|carafe|flamingo by riedel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. X
260. W|carafe|folle blanche classique domaine tariquet|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
261. W|carafe|gizagiza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|carafe|grand rouge souffle bouche contenance 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|carafe|heartwood|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|carafe|hera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|carafe|highlands|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|carafe|highlands flasche deru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|carafe|hirahira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|carafe|ice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|carafe|jade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|carafe|konisk kolbe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|carafe|konisk kolbe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
272. W|carafe|lehmann grand rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|carafe|lehmann grand rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=272
274. W|carafe|lehmann grip|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|carafe|maia soufflee bouche|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|carafe|margaux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|carafe|merlot 1 vinovin|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
278. W|carafe|milano contenance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|carafe|modena avec cone interieur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|carafe|modena contenance 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|carafe|ombre|??|r|??|??|??|1934|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|carafe|performance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carafe|personnalisee de mariage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|carafe|poire prisonniere cherry rocher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|carafe|poule rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
286. W|carafe|prestige 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|carafe|pyramide verre cristal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carafe|reserva deru|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
289. W|carafe|rimini|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|carafe|sukisuki|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|carafe|sumikogashi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|carafe|tokkuri igaoribe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|carafe|tokkuri kuro shiro nagashi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|carafe|toupie avec socle metal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|carafe|universel gravee chais doeuvre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|carafe|vignoble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|carafe|xo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|carafe|xxo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|carafe|yogi xo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|carafes|skye contenance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|caraffa|col fondo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|caraffa|diva heritage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|caraffa|in vetro personalizzata torri cantine store|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|caraffa|madama cl 100|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|caraffa|madama cl 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|caraffa|prosecco extra dry doc treviso|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
307. W|caraffa|spritz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|carafoam|carafoam|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|carafoam|malt weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|carafoli|la divina lambrusco di sorbara|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
311. W|carafoli|la divina lambrusco di sorbara pet nat nv doc|??|s|lambrusco|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
312. W|carafoli|lonesta lambrusco di sorbara|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
313. W|carafoli|lonesta lambrusco di sorbara dry rose|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
314. W|carafoli|lonesta lambrusco di sorbara dry rose doc|??|s|lambrusco|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
315. W|carago|ginginha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|caragouille|caragouille|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|caraguilhes|corbieres blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
318. W|caraguilhes|corbieres rouge|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|caraguilhes|corbieres rouge|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|caraguilhes|corbieres rouge|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|caraguilhes|qin yu orange wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|caraguilhes|tian ran cinsault nas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|carahell|carahell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|carahell|malt weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|caraibe|66|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|caraibe|66 70gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|caraibe|hazelnut slivers 66 120gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|caraibes|caraibes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|caraibes|espagne rhum after aloe vera et miel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|caraibos|banane|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|caraibos|citron vert|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|caraibos|cocktail iles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|caraibos|coco cream 425g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|caraibos|cranberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|caraibos|cranberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|caraibos|cranberry class|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|caraibos|fraise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|caraibos|fraise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=337
339. W|caraibos|fraise vp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|caraibos|jus dorange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|caraibos|kiwi vert|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|caraibos|kokoscreme i dase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|caraibos|lemon citron vert vp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|caraibos|lococo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|caraibos|lococo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=344
346. W|caraibos|mai tai|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|caraibos|mojito|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|caraibos|nectar abricot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|caraibos|nectar banane|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|caraibos|nectar framboise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|caraibos|nectar goyave|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|caraibos|nectar mango|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|caraibos|nectar maracuja fr passie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|caraibos|nectar passion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|caraibos|nectar peche|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|caraibos|nectar poire|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|caraibos|pamplemousse rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
358. W|caraibos|passion maracuja vp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|caraibos|pomme clair|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|caraibos|pur jus dorange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|caraibos|sex on the beach|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|caraibos|yuzu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|caraibos|zombie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|caraibs|creme de coco kokoscreme 425 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|caraiman|st x24 sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|carajillo|43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|carajillo|43 285 mlt 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|carajillo|frontal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|carajillo|oro express|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|carajillo|oro express bap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|carajillo|regalo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|carajillo|roca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|caralis|demisec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|caralis|metodo classico|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
375. W|carallan|albarino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
376. W|carallan|albarino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
377. W|caralludo|albarino|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
378. W|caralludo|albarino rias baixas|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
379. W|caramalised|capsicum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|caramalised|sesame almonds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|caramalt|ebc 100g thomas fawcett|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|caramalt|25kg 2540 ebc thomas fawcett|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|caramanola|acero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|caramanola|acero con logo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|caramanola|de acero con mosqueton de|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|caramanola|de acero de colores|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|caramanola|de acero de colores en tono mate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|caramanola|escolar con logo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|caramanola|huawei 600cc aluminio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|caramanola|para ciclismo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|caramanola|rockbros ergonomica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|caramanola|stalney|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|caramanola|termica rockbros ergonomica antideslizante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|caramanolas|caramanolas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|caramany|caramany|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|caramany|signature rouge cotes du roussillon villages|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|caramany|sous la montagne|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|caramany|sous la montagne 2018 jeff carrel|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|caramba|caramba|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|caramba|alcohol spray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|caramba|chili fuerte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|caramba|chili fuerte 378 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|caramba|chili rojo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|caramba|chili rojo 378 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|caramba|chili verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|caramba|chili verde 378 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|caramba|sawsaw|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|caramba|sawsaw 378 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|caramba|the burner|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|caramba|the burner 378 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|carambar|caramel loriginal 320g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. X
413. W|carambar|per stuk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|carambola|bandeja|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|carambola|kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|carambola|premium x kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|carambola|x kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|carambola|x kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=417
419. W|carambolage|ii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|carambolage|ii 20232024|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|carambouille|carambouille|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|carambouille|carambouille|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=421
423. W|carambouille|carambouille|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|carambouille|vin de france bio|fr|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|caramel|caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|caramel|caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
427. W|caramel|caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
428. W|caramel|caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
429. W|caramel|15g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|caramel|252|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|caramel|a tartiner 230gr nougalet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. X
433. W|caramel|almonds mandel dragee 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|caramel|apple danish|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|caramel|apple pops 48ct|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. X
437. X
438. W|caramel|au beurre sale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|caramel|au beurre sale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=438
440. W|caramel|au beurre sale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=438
441. W|caramel|au beurre sale banane biscuiterie des venetes 220g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|caramel|au beurre sale bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|caramel|au beurre sale chocolat et fleur de sel biscuiterie des venetes 220g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|caramel|au beurre sale fine de bretagne aoc biscuiterie des venetes 220g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|caramel|au beurre sale local|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|caramel|au beurre sale mon secret beaute 220g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|caramel|au beurre sale sarrasin biscuiterie des venetes 220g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|caramel|au beurre sale vanille keks karamell butter u vanille 120g gavottes bretagne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|caramel|bar arahide si susan 60g korona|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|caramel|barberry 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|caramel|bottega crema di caramello karamellcremelikor 17 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. X
453. W|caramel|bretons in metal gift tin 150gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|caramel|candies 116g parallel import|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|caramel|candies sperlari lavazza 150 g|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
456. W|caramel|candies with filling 175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|caramel|candies with fruit flavor sperlari assortite 420g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|caramel|candies with menthol and eucalyptus sperlari 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|caramel|cashew w240|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|caramel|chiffon cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|caramel|christmas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. X
463. X
464. W|caramel|clouds vase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|caramel|cream 12psc x 45 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|caramel|cream 12psc x 45 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=465
467. W|caramel|cream guaname|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|caramel|cream la creme de la creme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|caramel|cream puff|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|caramel|crispy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|caramel|crunch 100 lady joseph|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|caramel|crunch cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|caramel|custard delight|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|caramel|dark choc marshmallow bar 55gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|caramel|date 265g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|caramel|de los alpes manjar 350gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|caramel|delight cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|caramel|delight port style|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
479. W|caramel|dream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|caramel|eclair 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|caramel|egg bonbons|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|caramel|filled crunchy toffee marshmallows 55g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|caramel|filled double caramel marshmallows 80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|caramel|filled mallows crunchy toffee|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
