W|georgia|tbilvino tsinandali rkatsiteli mtsvane|ge|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|da talha natalha talha red wine alentejo doc|pt|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|da talha natalha tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|da talha natalha tinto|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|da talha natalha tinto alentejo portugal|pt|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto branco|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto colheita tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto red wine|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto rotwein|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto vinho branco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto vinho tinto|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto vino blanco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geracoes|de xisto vino tinto|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto weiwein|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|de xisto white wine|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geracoes|m by tiago cabaco tinto|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|m tiago cabaco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geracoes|mario|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geraffineerde|suiker uit costa rica 25 kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerakis|gerakis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geral1|351 913 457 606|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|bertrand corbieresboutenac la forge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|clark|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|clark 25|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|duplessis chablis cru vaillons|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|durrell allatkert a kastely korul hasznalt ujszeru konyv 800 ft|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|durrell vadaszat felvevogeppel hasznalt ujszeru konyv 980 ft|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerald|talmard macon chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerald|talmard maconchardonnay cuvee jospeh talmard|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerald|vallee domaine de la cotellaraie la croisee st nicolas de bourgueil|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|geraldine|rose brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
X
W|geraldines|logo sticker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geraldines|natural wine club|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|geraldines|wine boots sticker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geralds|dry riesling pfalz|de|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geralds|dry riesling pfalz|de|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geralds|pinot noir pfalz|de|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geralds|pinot noir pfalz|de|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerand|bertrand gris blanc 13|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerani|gazoza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerani|gazoza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=269
W|gerani|gazoza 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerani|orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerani|orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=272
W|gerani|orange 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|geranium|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|geranium|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=275
W|geranium|geranium|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=275
W|geranium|geranium|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|44 alc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|adorata eau de toilette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
W|geranium|handsprit 706|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|hydrolat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|illoolaj kamala|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|illoolaj medinatural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|illoolaj neuston|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|lemon scent|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|geranium|olaj aromax|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|overproof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geranium|rose bath bomb|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|geraniumolie|terisk olie urtegaarden|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|belaid farjus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|belaid selection pjambon une tranche de la chapelle|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|belaid une tranche de paradis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|belaid une tranche de paradis rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|belaid une tranche nouvelle|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertand art de vivre blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertand art de vivre rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertand ch lhospitalet la clape languedocroussillon syrahgrenachemourvedre|fr|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertand cote des roses rose france|fr|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertand cote des roses rose france|fr|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertand cote des roses rose france|fr|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertand cote des sauv blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertand gris blanc rose wine 13bot|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertand heritage twin gift set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertand orange gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand gris blanc|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand castellum rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand gerard bertrand|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand la forge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand heritage 560 tautavel|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand orange gold|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aigle royal chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cotes de roses sauvignon blanc languedoc|fr|p|sauvignon blanc|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand domaine de laigle pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cote des roses languedoc art edition|fr|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses reserve limited edition art|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand heritage an 940 chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand heritage an 940 pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand le chouchou|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand orange gold|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand trouble xp cloudy red|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand trouble xp cloudy rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand 6eme sens|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand 6eme sens rosa igp pays doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand 6eme sens rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aigle noir chardonnay igp pays doc|??|w|chardonnay|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand aigle noir chardonnay igp pays doc|??|w|chardonnay|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=332
W|gerard|bertrand aigle royal chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand aigle royal pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand an 1152 cahors malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand an 560 cotes du roussillon villages tautavel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand an 806 corbieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand an 806 corbieres|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand an 806 corbieres|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=339
W|gerard|bertrand an 825 cremant de limoux brut rose|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand an 825 cremant de limoux brut rose|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut|=341
W|gerard|bertrand an 825 cremant de limoux brut sparkling|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand an 825 cremant de limoux brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand an 825 cremant de limoux brut|??|s|??|??|??|2023|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand an 873 minervois|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand an825 cremant de limoux brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand an940 pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop cotesduroussillon tautavel rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop cotesduroussillon tautavel rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gerard|bertrand aop cotesduroussillon tautavel rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gerard|bertrand aop cotesduroussillon tautavel rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=349
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=353
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=353
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=353
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|gerard|bertrand aop cotesduroussillonvillages rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|gerard|bertrand aop la clape blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand aop la clape blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=361
W|gerard|bertrand aop la clape blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=361
W|gerard|bertrand aop la clape blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=361
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=373
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=373
W|gerard|bertrand aop la clape rouge|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=373
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=381
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=381
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=384
W|gerard|bertrand aop languedoc gres de montpellier rouge|fr|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=384
W|gerard|bertrand aop languedoc montpeyroux rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop languedoc montpeyroux rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|gerard|bertrand aop languedoc montpeyroux rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|gerard|bertrand aop languedoc montpeyroux rouge|fr|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|gerard|bertrand aop minervois rouge|??|r|??|??|??|2015|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop minervois rouge|??|r|??|??|??|2015|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gerard|bertrand aop minervois rouge|??|r|??|??|??|2015|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gerard|bertrand aop minervois rouge|??|r|??|??|??|2015|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gerard|bertrand aop saintchinian rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop saintchinian rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|gerard|bertrand aop saintchinian rouge|??|r|??|??|??|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|gerard|bertrand aop terrasses du larzac blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand aop terrasses du larzac blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=398
W|gerard|bertrand aop terrasses du larzac blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=398
W|gerard|bertrand aop terrasses du larzac blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=398
W|gerard|bertrand aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=402
W|gerard|bertrand aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=402
W|gerard|bertrand aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=402
W|gerard|bertrand art de vivre blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand art de vivre clairette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre clairette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=407
W|gerard|bertrand art de vivre clairette blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand art de vivre clairette blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=409
W|gerard|bertrand art de vivre gsm blend france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre languedoc|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre languedoc|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=412
W|gerard|bertrand art de vivre languedoc|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=412
W|gerard|bertrand art de vivre languedoc|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=412
W|gerard|bertrand art de vivre languedoc|fr|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre languedoc rose|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand art de vivre languedoc rose|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=417
W|gerard|bertrand art de vivre languedoc rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre languedoc rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=419
W|gerard|bertrand art de vivre red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre red|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand art de vivre rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art de vivre vin rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand art vivre blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand aude hauterives blanc cigal|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand aude hauterives rouge cigal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aude hauterives rouge cigal wood box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand aude hauterives rouge cigal wood box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=430
W|gerard|bertrand ballerina brut rose cremant de limoux languedoc rossillon nv|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand ballerina brut rose cremant de limoux languedocrossillon|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand banyuls|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand banyuls|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=434
W|gerard|bertrand banyuls|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand banyuls|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=436
W|gerard|bertrand banyuls|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=436
W|gerard|bertrand banyuls rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand banyuls traditionnel|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand banyuls traditionnel vin doux naturel|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand blanc trouble xp cloudy wine france|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand brut blanc french cancan edition deluxe france|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand brut cremant de limoux an825|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand brut nature orange french cancan edition deluxe france|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gerard|bertrand brut nature rose french cancan edition deluxe france|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gerard|bertrand brut rose cremant de limoux an825|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
