1. W|casa relvas|alicante bouschet tinto 2022 igp alentejo|pt|r|alicante bouschet|alentejo|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
216. W|casa roja|tempranillo christmas edition|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
217. W|casa roja|viura|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|casa roja viura christmas|edition|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|casa rojo|alexander|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|casa rojo alexander the great vs the ham|factory|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|casa rojo alexander vs the ham factory|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|casa rojo alexander vs the ham factory|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=221
223. W|casa rojo alexander vs the ham factory giftbox met|3 flessen rood spanje ribera del duero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|casa rojo alexander vs the ham factory|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
225. W|casa rojo alexander vs the ham factory|reserva 2015|pt|r|??|??|??|2015|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
226. W|casa rojo alexander vs the ham factory ribera del duero|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|casa rojo alexander vs the ham factory ribera del duero|2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|casa rojo alexander vs the ham factory vino|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|casa rojo alvaro cereceda|albarino|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
230. W|casa rojo alvaro cereceda|albarino|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=229
231. W|casa rojo cl|98|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|casa rojo cl|98 giftbox met 3 flessen rood tempranillo spanje ribero del duero|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
233. W|casa rojo cl|98 rood tempranillo spanje ribero del duero|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
234. W|casa rojo cl|98 tempranillo 2023|pt|r|tempranillo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
235. W|casa rojo clon|98 tinto fino 15 2023|pt|f|??|??|??|2023|15|??|encorpado|sobremesas, queijos azuis, foie gras|seco
236. W|casa rojo clon|98 tinto fino 15 2023 0|pt|f|??|??|??|2023|15|??|encorpado|sobremesas, queijos azuis, foie gras|seco
237. W|casa rojo clone|98|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|casa rojo|do cava blanc|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
239. W|casa rojo|do cava blanc|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=238
240. W|casa rojo|do cava blanc|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=238
241. W|casa rojo el gordo del circe|verdejo 13 0|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
242. W|casa rojo el gordo del|circo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|casa rojo el gordo del circo|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|casa rojo el gordo del circo|2024 13 0|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|casa rojo el gordo del circo rueda|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|casa rojo el gordo del circo rueda|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=245
247. W|casa rojo el gordo del circo|verdejo|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
248. W|casa rojo el gordo del circo|verdejo 2022|pt|w|verdejo|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
249. W|casa rojo el gordo del circo|verdejo dop rueda 2021|pt|w|verdejo|??|??|2021|12.5|dop|leve|frutos do mar, peixes, saladas|seco
250. W|casa rojo el gordo del circo|verdejo spanje rueda|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
251. W|casa rojo enemigo|mio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|casa rojo enemigo|mio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
253. W|casa rojo enemigo|mio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
254. W|casa rojo enemigo mio|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|casa rojo enemigo mio|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|casa rojo enemigo mio|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=255
257. W|casa rojo enemigo mio|2024 135 0|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|casa rojo enemigo mio giftbox met|3 flessen rood spanje igp tierra de murcia|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
259. W|casa rojo enemigo mio jumilla|do 2021 rood|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|casa rojo enemigo mio magnum|2022 135 1|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|casa rojo la|gabacha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|casa rojo la gabacha|sauvignon blanc 2024 13 0 75l|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
263. W|casa rojo la marimorena|albarino|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
264. W|casa rojo la marimorena|albarino 2021|pt|w|albarino|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
265. W|casa rojo la marimorena|albarino dop rias baixas 2021|pt|w|albarino|??|??|2021|12.5|dop|leve|frutos do mar, peixes, saladas|seco
266. W|casa rojo la marimorena|albarino rias baixas do 2021 wit|pt|w|albarino|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
267. W|casa rojo las vinas|bastardas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|casa rojo las vinas bastardas jumilla|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|casa rojo las vinas bastardas jumilla|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=268
270. W|casa rojo macho|man|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|casa rojo macho man monastrell|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|casa rojo macho man monastrell|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|casa rojo macho man monastrell|dop jumilla 2019|pt|r|??|??|??|2019|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
274. W|casa rojo macho man monastrell jumilla|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|casa rojo macho man monastrell jumilla|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=274
276. W|casa rojo macho man monastrell jumilla|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|casa rojo macho man monastrell jumilla|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=276
278. W|casa rojo macho man monastrell jumilla|do 2019 rood|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|casa rojo|machoman|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|casa rojo machoman|0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|casa rojo machoman|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|casa rojo machoman|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=281
283. W|casa rojo machoman|2020 magnum 145 1|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|casa rojo machoman|2022 14 0|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|casa rojo machoman giftbox met|3 flessen rood spanje igp region de murcia|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
286. W|casa rojo machoman magnum|rood spanje igp region de murcia|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
287. W|casa rojo machoman monastrell|145 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|casa rojo machoman|rood spanje igp region de murcia|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
289. W|casa rojo maquinon priorat|2017|pt|r|??|priorat|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|casa rojo minami cuvee|2 2021 15 0|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|casa rojo mmm macho man|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|casa rojo mmm macho man monastrell|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|casa rojo molto negre|brut nature 2023 115 0|pt|s|??|??|??|2023|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
294. W|casa rojo molto negre|cava brut|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
295. W|casa rojo orange|republic|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|casa rojo the invisible man|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|casa rojo the invisible man|rioja|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|casa rojo the orange|republic|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|casa rojo the orange republic|2022 13 0|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|casa rojo the orange republic godello|igp castilla y leon 2024|pt|w|godello|??|??|2024|12.5|igp|leve|frutos do mar, peixes, saladas|seco
301. W|casa rojo the orange republic valdeorras|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|casa rojo the orange republic valdeorras|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
303. W|casa rojo the orange republic|wit godello spanje do valdeorras|pt|w|godello|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
304. W|casa rojo tinta fina|2020 15 0|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casa rojo|tintafina|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|casa rojo tintafina|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|casa rojo tintafina|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
308. W|casa rojo tintafina|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|casa rojo tintafina|2020 magnum 15 1|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|casa rojo tintafina|rood tempranillo spanje ribero del duero|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
311. W|casa rojo tintafina|tempranillo 15 0|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
312. W|casa rojo tokyo gomezrojo cuvee minami ii|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|casa rojo vinas bastardas|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|casa rojo vinas bastardas|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=313
315. W|casa rojo vinas bastardas|2023 0|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. X
317. W|casa romana vini berbereta|reserva brut nature 2019|pt|s|??|??|??|2019|12|reserva|leve|aperitivos, frutos do mar, sushi|brut nature
318. W|casa romana vini pagina|pinot noir rose 2021|pt|p|pinot noir|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
319. W|casa romero el emisario|pinot noir reserva|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
320. W|casa romero el emisario|reserva cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
321. W|casa romero el emisario|reserva carmenere 2021|pt|r|carmenere|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
322. W|casa romero el emisario|reserva pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
323. W|casa romero el emisario|reserva sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
324. W|casa romero el emisario reseva|carmenere 2021|pt|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
325. W|casa romero el infiltrado|carmenere 2021|pt|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
326. W|casa romero|sauvignon soul 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|casa romero viento puelche|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|casa romero viento puelche|pinot noir 2018|pt|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|casa romero viento puelche|syrah 2022|pt|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
330. W|casa romero yapai|espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
331. W|casa ronaldi|branco dolce lambrusco dellemilia|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
332. W|casa ronaldi|rose dolce lambrusco dellemilia|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
333. W|casa ronaldi|tinto dolce lambrusco dellemilia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|casa|rossa|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|casa|rossa|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|casa rossa|igp ille de beaute rouge 2022|pt|r|??|??|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
337. W|casa rossa|igp ille de beaute rouge 2022|pt|r|??|??|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco|=336
338. W|casa rossa ile du beaute|rouge 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|casa rossa|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
340. W|casa rossa|rouge 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|casa rossa|rouge 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|casa|rosso 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|casa s nv casa s|cava|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
344. W|casa s nv casa s|sparkling wine|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
345. W|casa safra|cava brut metodo tradicional|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
346. W|casa safra|cava brut rosado rose metodo tradicional|es|p|??|cava|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
347. W|casa safra|gran seleccion 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|casa safra monastrell|gran reserva 2002|pt|r|??|??|??|2002|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
349. W|casa safra|sauvignon blanc 2025 spain|pt|w|sauvignon blanc|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
350. W|casa safra|verdejo 2024 blanco|pt|w|verdejo|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
351. W|casa safra|verdejo 2024 rueda edicion exclusiva|pt|w|verdejo|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
352. W|casa safra|verdejo 2024 rueda sobre lias edicion oro verano|pt|w|verdejo|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
353. W|casa saint pierre de perpignan viogner|2020 alb sec|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|casa sala can sala|2007|pt|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|casa sala vinyes can sala|2013|pt|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|casa salvador|harmonia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|casa salvador suave|harmonia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|casa sant orsola asti|spumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
359. W|casa santa eufemia|10 anos tawny porto|pt|f|??|porto|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
360. W|casa santa eufemia|espumante bruto super reserva 2011|pt|s|??|??|??|2011|12|reserva|leve|aperitivos, frutos do mar, sushi|brut
361. W|casa santa eufemia lbv|2009 porto|pt|f|??|porto|??|2009|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
362. W|casa santa eufemia|reserve special ruby|pt|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
363. W|casa santa eulalia|alvarinho 2024|pt|w|alvarinho|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
364. W|casa santa eulalia|alvarinho branco|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
365. W|casa santa eulalia|alvarinho e trajadura branco|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
366. W|casa santa eulalia|alvarinho superior|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
367. W|casa santa eulalia|alvarinho superior|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=366
368. W|casa santa eulalia|alvarinho trajadura|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
369. W|casa santa eulalia|alvarinho trajadura|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=368
370. W|casa santa eulalia|alvarinho trajadura|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=368
371. W|casa santa eulalia|alvarinho trajadura 2024|pt|w|alvarinho|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
372. W|casa santa eulalia|alvarinho trajadura vinho verde|pt|w|alvarinho|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
373. W|casa santa eulalia|alvarinho trajadura vinho verde branco|pt|w|alvarinho|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
374. W|casa santa eulalia|alvarinho vinho verde|pt|w|alvarinho|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
375. W|casa santa eulalia|alvarinho white 2025|pt|w|alvarinho|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
376. W|casa santa eulalia|avesso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|casa santa eulalia|avesso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=376
378. W|casa santa eulalia avesso|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
379. W|casa santa eulalia avesso superior|vinho verde 2019|pt|r|??|vinho verde|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|casa santa eulalia avesso|white 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
381. W|casa santa eulalia|branco alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
382. W|casa santa eulalia|branco alvarinho trajadura|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
383. W|casa santa eulalia|branco avesso|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
384. W|casa santa eulalia|branco sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
385. W|casa santa eulalia|branco terroir velho mundo|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
386. W|casa santa eulalia grande escolha|alvarinho trajadura|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
387. W|casa santa eulalia grande escolha|alvarinho trajadura white 2025|pt|w|alvarinho|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
388. W|casa santa eulalia plainas alb|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|casa santa eulalia plainas alb|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=388
390. W|casa santa eulalia plainas azal|arinto white 2025|pt|w|arinto|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
391. W|casa santa eulalia plainas espadeiro|rose 2025|pt|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco
392. W|casa santa eulalia plainas loureiro|white 2024|pt|w|loureiro|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
393. W|casa santa eulalia plainas|rose espadeiro|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
394. W|casa santa eulalia|rose terroir velho mundo|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
395. W|casa santa eulalia|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
396. W|casa santa eulalia|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
397. W|casa santa eulalia|sauvignon blanc branco|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
398. W|casa santa eulalia spumante|bruto|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
399. W|casa santa eulalia superior|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
400. W|casa santa eulalia superior|alvarinho 2022|pt|w|alvarinho|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
401. W|casa santa eulalia terroir velho|mundo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|casa santa eulalia verde field blend|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|casa santa eulalia|vinho verde loureiro|pt|w|loureiro|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
404. W|casa santa eullia|alvarinho trajadura vinho verde 2020|pt|w|alvarinho|vinho verde|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
405. W|casa santa vitoria versatil|rose 2022|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
406. W|casa santa vitoria versatil|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|casa santar|8 parcelas tinto 2012|pt|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|casa santar curtimenta|branco 2020|pt|w|??|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
409. W|casa santar|reserva branco 075|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
410. W|casa santar|rose 2020|pt|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
411. W|casa santar|rose 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
412. W|casa santar|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|casa santar|vinha amores esp encruz bruto 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|casa santar|vinha dos amores touriga nacional tinto 2018|pt|r|touriga nacional, touriga|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
415. W|casa santar|vinha dos amores touriga nacional tinto 2019|pt|r|touriga nacional, touriga|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
416. W|casa sante eufemia lbv|2009|pt|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|casa sante eufemia lbv|2011|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|casa santiago cab|sauv|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|casa santiago|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
420. W|casa santiago|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=419
421. W|casa santiago|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=419
422. W|casa santiago|cabernetmerlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|casa santiago|cabernetmerlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=422
424. W|casa santiago|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
425. W|casa santiago|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=424
