1. W|carre|suino bisteca congelada pedaco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|carrera|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|carrera|y familia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|carreras|cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|carres|de chocolat noir 60|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|carres|de menthe joris 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|carres|du midi 2019gamet|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|carres|du midi champagne maison gamet|fr|s|??|champagne|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
217. W|carreta|botanera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|carreta|celebracion especial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|carreta|frutal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|carreta|mi corazon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|carreta|y cava tour y degustacion|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
222. W|carretal|red|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|carretal|rouge|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|carretal|rouge magnum|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|carretas|de mimbre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|carrete|fiero cue11nk de 20 kg con cuerda de polipropileno negra de 11 mm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|carretes|de 24 piezas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|carretilha|marine sports ventura gto vt10shil|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|carretilha|marine sports ventura vt10shi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|carretilha|marine sports ventura vt5shi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|carretilla|metalica de construccion pretul 55 ft3 con llanta 14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|carretilla|neumatica fierotruper 55 ft3 estructura tubular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|carreton|carreton|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|carretta|barolo cannubi|it|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|carretta|barolo cannubi|it|r|??|??|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|carretta|barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
237. W|carretta|barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=236
238. W|carretta|barolo cannubi|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|carretta|barolo cannubi|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=238
240. W|carretta|barolo cannubi|it|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|carretta|barolo cascina ferrero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|carretta|bricco manera nizza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|carretta|campofranco langhe riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
244. W|carretta|cannubi barolo|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|carretta|cascina bordino barbaresco riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
246. W|carretta|cayega roero arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|carretta|cayega roero arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=246
248. W|carretta|cayega roero arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=246
249. W|carretta|cayega roero arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=246
250. W|carretta|cayega roero arneis dobbelmgn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|carretta|cuvee san rocco rose extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
252. W|carretta|garassino barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|carretta|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|carretta|langhe nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
255. W|carretta|nebbiolo dalba doc|??|r|nebbiolo|??|??|1982|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
256. W|carretta|piemonte barbera|it|r|barbera|piemonte|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
257. W|carretta|roero arneis riserva canorei|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
258. W|carrette|pouilly fuisse|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|carrette|pouilly fuisse|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=258
260. W|carrette|pouillyfuisse 1er cru en servy|??|r|??|??|??|2020|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
261. W|carretto|cabernet franc 2018 vaq|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
262. W|carretto|cabernet merlot 2018 vqa|??|r|merlot|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
263. W|carretto|gewurztraminer riesling 2021 vqa|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
264. W|carriage|charge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|carriages|at midnight 14yo glen moray malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|carricante|carricante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|carricante|carricante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=266
268. W|carricante|bianco vossignoria doc|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
269. W|carricante|calabretta|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|carricante|carjcanti 2022 igt terre siciliane bio|it|r|??|sicilia|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
271. W|carricante|dop sicilia 2024 contrade sparse tenuta del vallone rosso|it|r|??|sicilia|??|2024|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
272. W|carricante|eruzione 1614 planeta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|carricante|idda bianco 2022 gaja e graci|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
274. W|carricante|igt 2020 massimo lentsch|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
275. W|carricante|igt 2021 massimo lentsch|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
276. W|carricante|igt don pippinu bianco 2019 vini scirto|??|w|??|??|??|2019|12.5|igt|medio|peixes, frutos do mar, saladas|seco
277. W|carricante|lavi colomba bianca sicily|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|carricante|sicilia|it|r|??|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|carricante|teatro cajjo organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|carricante|terre siciliane igt 2021 calabretta|it|r|??|sicilia|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
281. W|carricat|carricat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|carricat|alessandro viola|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carricat|alessandro viola|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=282
284. W|carricat|alessandro viola|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=282
285. W|carricat|carricat|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carricat|carricat|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=285
287. W|carricat|carricat|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carricato|tenute nynfa orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|carrick|pinot noir|??|r|pinot noir|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|carrick|bannockburn central otago chardonnay|nz|w|chardonnay|central otago|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
291. W|carrick|bannockburn central otago chardonnay|nz|w|chardonnay|central otago|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
292. W|carrick|bannockburn central otago chardonnay|nz|w|chardonnay|central otago|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
293. W|carrick|bannockburn central otago chardonnay|nz|w|chardonnay|central otago|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
294. W|carrick|bannockburn central otago chardonnay|nz|w|chardonnay|central otago|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
295. W|carrick|bannockburn central otago chardonnay|nz|w|chardonnay|central otago|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
296. W|carrick|bannockburn central otago dry riesling|nz|w|riesling|central otago|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
297. W|carrick|bannockburn central otago dry riesling|nz|w|riesling|central otago|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
298. W|carrick|bannockburn central otago le pet nat|nz|s|??|central otago|??|2024|12|??|leve|frutos do mar, aperitivos, sushi|brut
299. W|carrick|bannockburn central otago pinot blanc|nz|w|??|central otago|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
300. W|carrick|bannockburn central otago pinot gris|nz|w|pinot gris|central otago|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
301. W|carrick|bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|carrick|bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|carrick|bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|carrick|bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|carrick|bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|carrick|bannockburn central otago pinot noir rose|nz|p|pinot noir|central otago|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
307. W|carrick|bannockburn central otago pinot noir rose|nz|p|pinot noir|central otago|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
308. W|carrick|bannockburn central otago riesling|nz|w|riesling|central otago|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
309. W|carrick|bannockburn central otago riesling|nz|w|riesling|central otago|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
310. W|carrick|bannockburn central otago riesling|nz|w|riesling|central otago|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
311. W|carrick|bannockburn central otago riesling|nz|w|riesling|central otago|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
312. W|carrick|bannockburn central otago sauvignon blanc|nz|w|sauvignon blanc|central otago|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
313. W|carrick|bannockburn central otago sauvignon blanc|nz|w|sauvignon blanc|central otago|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
314. W|carrick|bannockburn central otago sauvignon blanc|nz|w|sauvignon blanc|central otago|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
315. W|carrick|bannockburn chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
316. W|carrick|bannockburn chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
317. W|carrick|bannockburn chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=316
318. W|carrick|bannockburn chardonnay 202122|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
319. W|carrick|bannockburn chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
320. W|carrick|bannockburn chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=319
321. W|carrick|bannockburn dry riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
322. W|carrick|bannockburn pinot blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
323. W|carrick|bannockburn pinot blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
324. W|carrick|bannockburn pinot blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
325. W|carrick|bannockburn pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
326. W|carrick|bannockburn pinot gris|??|w|pinot gris|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
327. W|carrick|bannockburn pinot gris|??|w|pinot gris|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=326
328. W|carrick|bannockburn pinot gris|??|w|pinot gris|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=326
329. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
333. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
334. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
335. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
336. W|carrick|bannockburn pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|carrick|bannockburn riesling|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
338. W|carrick|bannockburn rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
339. W|carrick|bannockburn sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
340. W|carrick|bannockburn sauvignon blanc 202223|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
341. W|carrick|billet doux bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|carrick|billet doux central otago pinot noir|nz|r|pinot noir|central otago|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|carrick|billet doux central otago pinot noir|nz|r|pinot noir|central otago|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|carrick|billet doux central otago pinot noir|nz|r|pinot noir|central otago|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=346
348. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=346
349. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=346
350. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|carrick|billet doux pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|carrick|billet doux pinot noir sulphur fee|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|carrick|billet doux pinot noir sulphur fee|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|carrick|billetdoux pinot noir|??|r|pinot noir|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|carrick|billetdoux pinot noir organic 2023 no sulphur|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|carrick|cabana hire|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|carrick|cairnmuir terraces chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
358. W|carrick|central otago new zealand|nz|r|??|central otago|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|carrick|central otago pinot noir|nz|r|pinot noir|central otago|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|carrick|central otago rose|nz|p|??|central otago|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
361. W|carrick|dry riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
362. W|carrick|dry riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=361
363. W|carrick|dry riesling|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
364. W|carrick|dry riesling|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=363
365. W|carrick|dry riesling|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=363
366. W|carrick|dry riesling|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=363
367. W|carrick|dry riesling|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
368. W|carrick|dry riesling screwcap|??|w|riesling|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
369. W|carrick|ebm chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
370. W|carrick|ebm chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
371. W|carrick|ebm chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=370
372. W|carrick|excelsior bannockburn pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|carrick|excelsior bannockburn pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|carrick|excelsior bannockburn pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=373
375. W|carrick|excelsior bannockburn pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=373
376. W|carrick|excelsior bannockburn pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=373
377. W|carrick|excelsior pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|carrick|excelsior pinot noir|??|r|pinot noir|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|carrick|excelsior pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|carrick|excelsior pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=379
381. W|carrick|excelsior pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=379
382. W|carrick|excelsior pinotn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|carrick|josephine bannockburn central otago riesling|nz|w|riesling|central otago|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
384. W|carrick|josephine riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
385. W|carrick|josephine riesling|??|w|riesling|??|??|2014|12.5|??|leve|peixes, frutos do mar, saladas|seco
386. W|carrick|josephine riesling|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
387. W|carrick|magnetic pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|carrick|magnetic pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=387
389. W|carrick|organic bannockburn central otago pinot noir rose|nz|p|pinot noir|central otago|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
390. W|carrick|pinot blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
391. W|carrick|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
392. W|carrick|pinot gris|??|w|pinot gris|??|??|2016|12.5|??|leve|peixes, frutos do mar, saladas|seco
393. W|carrick|pot de fleur bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|carrick|pot de fleur bannockburn central otago pinot noir|nz|r|pinot noir|central otago|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|carrick|pot de fleur central otago pinot noir|nz|r|pinot noir|central otago|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|carrick|pot de fleur pinot noir 201920|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|carrick|rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
398. W|carrick|rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
399. W|carrick|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
400. W|carrick|sauvignon blanc|??|w|sauvignon blanc|??|??|2015|12.5|??|leve|peixes, frutos do mar, saladas|seco
401. W|carrick|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
402. W|carrick|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
403. W|carrick|the death of von tempsky|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|carrick|the death of von tempsky|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=403
405. W|carrick|the death of von tempsky|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=403
406. W|carrick|the death of von tempsky|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=403
407. W|carrick|the death of von tempsky riesling|??|w|riesling|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
408. W|carrick|the magnetic pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|carrick|trust the chef experience|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|carrick|unraveled pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|carrick|unravelled central otago pinot noir|nz|r|pinot noir|central otago|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. X
413. W|carrick|unravelled co pnoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|carrick|unravelled co pnoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=413
415. W|carrick|unravelled organic central otago pinot noir|nz|r|pinot noir|central otago|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|carrick|unravelled organic central otago pinot noir|nz|r|pinot noir|central otago|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
420. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
421. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
422. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
423. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
424. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
425. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
427. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
428. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
429. W|carrick|unravelled pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
430. W|carrick|unravelled single vineyard central otago pinot noir|nz|r|pinot noir|central otago|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
