W|vinho|tinto marques de murrieta reserva edicao especial com estojo laranja 2021 rioja espanha|es|r|??|rioja|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserve trivento|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reservado tierra los andes|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva viu manent|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva viu manent|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=219
W|vinho|tinto malbec reserva terrazas|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva piedra negra|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva phebus|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva miolo|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva luigi bosca|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva humberto canale denario|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva farmus|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva farmus|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=227
W|vinho|tinto malbec reserva especial larentis|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva casillero del diablo|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva casillero del diablo|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=230
W|vinho|tinto malbec reserva argentino punto maximo|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva argentino pampa del sebo|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec reserva alta yari|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec punto maximo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec pulenta estate|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec pizzella la posta|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec phebus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec paso de piedra|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec organico piedra negra|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec montes alpha|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec monteagrelo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec mil vientos|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec mendoza promocao melhor custo beneficio|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec mediterraneo antigal aduentus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec malbec dv catena|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec magnum amalaya|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec luigi bosca|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec luigi bosca|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=248
W|vinho|tinto malbec luigi bosca|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=248
W|vinho|tinto malbec lote especial colome|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec los castanos terrazas de los andes|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec longitud|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec lican terrazas de los andes|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec la linda|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec la linda|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=255
W|vinho|tinto malbec la linda|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=255
W|vinho|tinto malbec la flor pulenta|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec la consulta bemberg|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec joffre y hijas|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec grand vin uco goulart|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec gran reserva malma|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec gran calcareo alta yari|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec golden reserve trivento|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec finjamos demencia|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec finca las moras intocables|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec finca las moras barrel|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec familia schroeder saurus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec estate humberto canale denario|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec estate colome|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec escorihuela familia gascon|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec el enemigo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec edicao limitada de sangre luigi bosca|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec doro vaccaro|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec doc argentino norton|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec de sangre luigi bosca|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec de sangre doc luigi bosca|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec cultura vinicola foppa ambrosicom pixcom pix5x desem juros|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec cultura vinicola foppa ambrosi com pix com pix 5 x de sem juros|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec cultura vinicola foppa ambrosi|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec cobos lujan de cuyo bramare|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec catena alta|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec catena alta|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=282
W|vinho|tinto malbec brote negro vina alicia|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec bonarda 78 tonel|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec begamo vinicola cavalleri|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec barrel fermented saurus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec bariloche familia schroeder saurus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec autentico colome|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec argentino pascual toso|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec argentino pampa del sebo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec argentino old vintage catena 2004|??|r|malbec|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec argentino catena|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec antigal uno|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec angelica zapata|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec altos del plata terrazas de los andes|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec alta yari|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec almaunica|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec 30 yardas bodegas otero ramos|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec 1831 oldest vines colome|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malacara red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malacara oak cask red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malacara malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malacara cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mala vida|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maisonblanche nature montagne st emilion 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maisonblanche montagnest emilion 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maisonblanche montagne st emilion 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maisonblanche montagne saintemilion 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maisonblanche montagne saintemilion 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche petra montagnesaintemilion 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche nature montagnesaintemilion 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche montagnesaintemilion 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche montagnesaintemilion 2010|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??|=315
W|vinho|tinto maison blanche 2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maison blanche 2000|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mainova 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magnun portugues cartuxa colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magnun portugues cartuxa colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=320
W|vinho|tinto magnum the winemakers secret barrels blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magnum the winemakers secret barrels blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=322
W|vinho|tinto magnum el principal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magnolia sanviogese terre di chieti igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magnolia sanviogese terre di chieti igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??|=325
W|vinho|tinto magnolia montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magnolia montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=327
W|vinho|tinto magno ariso grande reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magma primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto magico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mafia carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mafia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mafarrico a minha vinha 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mafarrico 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto madruga by valle madruga 2021 trasosmontes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto madreterra negroamaro salento organico igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto madre terra cicloz marselan 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto madame pilar reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto madame pilar grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto madame pilar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macula tandem|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maconcruzille rouge beaumont 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maconcruzille rouge 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macon rouge 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maceracion carbonica luis canas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macaw tannat demisec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vinho|tinto macaw demisec merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vinho|tinto macaw cabernet sauvignon elegante|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita tinto de castelao 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita reserva 2022 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita preta cuvee 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita letra f 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita letra a 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita irmaos e enologos 2022 douro doc|pt|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita fita preta o iluminista 2023 alentejo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita e sousao ou sera vinhao 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita cima corgo touriga nacional 2022 douro|pt|r|touriga|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita cima corgo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita chao dos eremitas tinta carvalha 2022 regional alentejano|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita as olgas 2017 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita as olgas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macanita a trincadeira nao e tao preta 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto macan rioja 2016|es|r|??|rioja|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto m torres carmenere andica reserva chileno|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto m torres andica cabernet sauvignon chile|cl|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto m chapoutier ermitage les greffieux 2019 vallee du rhone franca|fr|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lyngrove collection pinotage 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lyngrove collection pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lv reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lv lobo de vasconcellos reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lv lobo de vasconcellos 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lv colheita 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lusovini pedra cancela eco friendly 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lusitano reserva ervideira|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lupucinus reserva 2019 douro|pt|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lupucinus reserva 2018 douro|pt|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lupucinus colheita 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lupucinus colheita 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=379
W|vinho|tinto lupo nero rosso puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lupo nero rosso puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=381
W|vinho|tinto lupo meraviglia tre di tre rosso di puglia igt 2023 750mlcomprar|??|r|??|??|??|2023|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lupo meraviglia tre di tre rosso di puglia igt 2023|??|r|??|??|??|2023|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luna malbec tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz valduga com embalagem|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz porto syrah gran reserva 2017|pt|f|syrah|??|??|2017|20|gran reserva|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto luiz porto cabernet sauvignon 2017|pt|f|cabernet sauvignon|??|??|2017|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto luiz argenta terroir xxvii marselan e tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta shiraz desalcoolizado sem alcool|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la terroir xxvii vinho merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la terroir xxvii vinho marselan tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la jovem vinho mini shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la jovem red audrey 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la jovem red audrey|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la classico vinho mini merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la classico vinho mini merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=397
W|vinho|tinto luiz argenta la classico vinho mini cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta la classico barbera 2022|??|r|barbera|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta jovem shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta jovem red audrey|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta desalcoolizado syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico corte classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico cabernet franc vinho gaucho|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta classico cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=409
W|vinho|tinto luiz argenta classico cab sauvignon 6 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta cave merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta cave corte cave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta cave cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luiz argenta cave cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinhas velhas magnum 2022 1 regional beiras|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinhas velhas 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinhas velhas 2022 regional beiras|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinha das valadas pe franco 2017 regional beiras|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinha barrosa 2021 regional beiras|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato vinha barrosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato quinta do ribeirinho pe franco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato quinta do moinho 2009 regional beiras|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis pato baga touriga nacional 2024 regional beiras|??|r|touriga|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis felipe edwards claro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis canas rioja reserva familia|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis canas rioja reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis canas rioja gran reserva|es|r|??|rioja|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis canas rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luis canas rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
