W|branco|kendalljackson vintners reserve chardonnay 2021 california eua|??|w|chardonnay|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|italiano batasiolo moscato dasti|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano astralino|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano asio otus enigmatico 6 und|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano asio otus enigmatico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano asio otus|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano alice bel colle moscato dasti|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italia settesoli pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italia roccheta roero arneis docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italia nobilduca pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italia leonardo da vinci pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italia le casine pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italia borgo dei trulli vermentino|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|israelense hermon mount hermon galilee|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|israel la vie du castel blanc kosher vegano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|israel jerusalem hills muscat late harvest semi doce kosher|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|isla negra reserva sauvignon|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|isla negra reserva sauvignon|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=247
W|branco|isento reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|irmaos 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|iris chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|iris chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=251
W|branco|ionos roditismoschato|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|inzolia molino a vento orestiadi igp 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|invisivel ervideira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|invisivel ervideira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=255
W|branco|invincible number one douro 2021|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|intismista white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|intimista|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|intento chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|int|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|insula verdelho 2019 acores|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|inquilino moscatel de alexandria vinicola cristofoli bento goncalves rio grande do sul brasil|??|w|moscatel|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|inniskillin icewine vidal pearl niagara peninsula|??|w|??|??|??|NV|12.5|Icewine|leve|peixes, frutos do mar, saladas|seco
W|branco|inniskillin icewine vidal gold niagara peninsula|??|w|??|??|??|NV|12.5|Icewine|medio|peixes, frutos do mar, saladas|seco
W|branco|inniskillin icewine riesling niagara peninsula|??|w|riesling|??|??|NV|10.5|Icewine|leve|peixes, frutos do mar, saladas|seco
W|branco|infinitude semillon 2021 lisboa|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|infinitude malvasia 2021 colares lisboa|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|infinitude indigena 2021 lisboa|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|indomable blanc de malbec|??|w|malbec|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|indio rei huniverso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|implicit rosa santos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|imperial vin limited edition rcatiteli|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|ilha verdelho 2019 madeira|??|f|palomino|??|??|2019|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|ilha blanc de noirs madeira|??|f|palomino|??|??|NV|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|ilha blanc de noirs 2021 madeira|??|f|palomino|??|??|2021|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|il salentino bianco salento malvasia 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|il pumo chardonnay san marzano|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|il pozzetto verdicchio pilandro doc|??|w|verdicchio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|il padrino b grecanico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|icauna chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|i menin 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|i heart sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|i heart pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|i heart chardonnay demi sec|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|i feudi di romans ribolla gialla|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|i feudi di romans ribolla gialla|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=286
W|branco|hunters stoneburn riesling 2023|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hungaro sauska tokaji aszu 5 puttonyos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hungaro carpinus tokaji furmint dry|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hungaro carpinus tokaj furmint dry|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|humberto canale old vineyard riesling|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|humberto canale denario sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|humanitas reserva 2021|??|w|??|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|hugo mendes orange 2021 lisboa|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugo mendes lisboa fernaopires 2020 lisboa|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel riesling grossi laue 2013 alsacia franca|??|w|riesling|??|??|2013|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel riesling estate blanc 2016 alsacia franca|??|w|riesling|??|??|2016|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel riesling 2023 alsacia franca|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel pinot gris 2017 alsacia franca|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel gewurztraminer vendange tardive 2010 alsacia franca|??|w|??|??|??|2010|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel gewurztraminer 2022 alsacia franca|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel gentil alsace|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hugel gentil alsace|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=303
W|branco|hugel gentil 2023 alsacia franca|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|huet vouvray sec|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|huentala wines sombrero sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|huentala sombrero sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ht special edition tiago cabaco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|hsm esquecido|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hsm colheita selecionada|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|howards folly sonhador 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hortas do caseirinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|horizon by albert bichot chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes tradicao setubal|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes tradicao fernao pires arinto 2022 peninsula de setubal|pt|w|??|setubal|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes reserva 2021 doc palmela|??|w|??|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes old school signature setubal|pt|w|??|setubal|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes moscatel de setubal|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes grande reserva 2018 peninsula de setubal|pt|w|??|setubal|??|2018|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes colheita setubal|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|horacio simoes colheita 2021 peninsula de setubal|pt|w|??|setubal|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|honrado talha premium 2020 alentejo|pt|w|??|alentejo|??|2020|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|honrado 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|holminhos origem reserva 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|holminhos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ho reserva 2019 douro|pt|w|??|douro|??|2019|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|ho moscatel galego 2022 douro|pt|w|moscatel|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|ho 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|hiedler gruner veltliner loss|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hewitson gun metal riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hewitson gun metal riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco|=331
W|branco|hermann alvarinho jovem|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hermann alvarinho barricado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heritage patriarche|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heredias|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade sao miguel esquecido|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade sao miguel|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade paco vinha do conde|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade paco do conde antao vaz verdelho 2022 regional alentejano|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande viognier 2016 alentejo|pt|w|viognier|alentejo|??|2016|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande seven 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande seven|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande geracoes 2016 regional alentejano|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande antao vaz 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande amphora 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade grande 0|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade dos grous reserva alentejo|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade dos grous reserva 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade dos grous concrete 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade dos grous|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade dos gro alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso reserva 2024|??|w|??|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso reserva 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso elevage 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso elevage|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso cellar selection alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso cellar selection 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso cellar selection 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso cellar selection|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso arche 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso arche 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso arche|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do sobroso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim verdelho 2025 alentejo|pt|w|??|alentejo|??|2025|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim time capsule 2008 alentejo|pt|w|??|alentejo|??|2008|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim ribeiro moser arinto 2022 lisboa|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim mariana 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim fresh from amphora 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim colheita 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim clay aged 2022 alentejo doc|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim clay aged 2020 alentejo doc|pt|w|??|alentejo|??|2020|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim clay aged 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim clay aged 2017 alentejo doc|pt|w|??|alentejo|??|2017|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim amphora 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim amphora 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim amphora 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim alvarinho 2016 alentejo|pt|w|??|alentejo|??|2016|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do rocim 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do portocarro partage galego dourado 2018 peninsula de setubal|pt|f|palomino|setubal|??|2018|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|branco|herdade do peso sossego 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do moinho branco antao vaz 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do freixo reserva alentejo|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao verdelho 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao reserva 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao private selection 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao monte velho reserva 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao monte velho bio 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao monte velho 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao monte velho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao defesa do esporao 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao colheita 2021 regional alentejano|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do esporao alandra 2024 ivv portugal|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do arrepiado velho alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do arrepiado velho 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do arrepiado collection 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade do arrepiado 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de sao miguel resumo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de sao miguel esquecido 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de sao miguel esquecido|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de sao miguel colheita selecionada|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de sao miguel colheita seleccionada 2024 regional alentejano|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de gro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de ceuta 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade de ceuta 2018 regional alentejano|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade das servas vinhas velhas magnum 2020 1 regional alentejano|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade das servas vinhas velhas 2020 regional alentejano|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade das servas reserva magnum 2019 1 regional alentejano|??|w|??|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade das servas reserva 2021 regional alentejano|??|w|??|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade das servas arinto 2023 regional alentejano|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade das servas 2022 regional alentejano|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade da malhadinha nova 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade da candeeira reserva 2021 doc alentejo|pt|w|??|alentejo|??|2021|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade da candeeira encruzado 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade da candeeira colheita superior 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade da calada baron de b reserva 2020 alentejo|pt|w|??|alentejo|??|2020|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade da ajuda reserva 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade aldeia de cima reserva 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade aldeia de cima reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|herdade aldeia de cima garrafeira 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade aldeia de cima garrafeira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|herdade aldeia de cima alyantiju 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|henri kieffer riesling alsace|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|henri kieffer riesling 2022|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|henri kieffer gewurztraminer aoc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|henri kieffer gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heiderer mayer strawanzer 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heiderer mayer gruner veltliner selektion|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heiderer mayer gruner veltliner dac|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heiderer mayer gruner veltliner 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|heck collectio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|head rock reserva 2014 trasosmontes|??|w|??|??|??|2014|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|hdonnhoff riesling trocken|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hautescotes de nuits blanc le prieure 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hautescotes de beaune blanc scritch 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hautes cotes de nuits chardonnay 2019|??|w|chardonnay|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|haut berba le jardin de mon pere 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|haus klosterberg riesling markus molitor|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|haus klosterberg pinot blanc markus molitor|??|w|pinot blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hasso 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|haras de pirque albaclara 2024no pixem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|hannes sabathi ca66 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|halberth niagara seco bag|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|haha marlborough sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|haha hawkes bay chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
