W|vinho|tinto niepoort museu dos lagares 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mosquita muerta black cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mosquita muerta black blend malbec 2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgon marc jambon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgon lapierre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgado silgueiros colheita selecionada dao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgado do quintao clarete 2023 regional algarve|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgado do quintao castelao 2020 regional algarve|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada reserva 2015 douro|pt|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada porto tawny reserve|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto morgadio da calcada porto colheita 2009|pt|f|??|??|??|2009|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto morgadio da calcada mc 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada mc 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada douro reserva 2016|pt|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada colheita 2025 douro|pt|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morgadio da calcada colheita 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreystdenis premier cru aux cheseaux 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis premier cru les ruchots 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis premier cru les ruchots 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis premier cru aux cheseaux 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis premier cru aux cheseaux 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis premier cru aux charmes 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moreysaintdenis 1er cru aux cheseaux 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morey st denis premier cru les ruchots 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morey st denis premier cru aux cheseaux 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morey st denis michel noellat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morey saint denis 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande vitis unica cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande vitis unica cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=250
W|vinho|tinto morande terrarum single estate sauvignon blanc 2022|??|w|sauvignon blanc|??|??|2022|12|??|leve|peixes; saladas; massas leves|??
W|vinho|tinto morande terrarum single estate pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande terrarum single estate chardonnay 2023|??|w|chardonnay|??|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vinho|tinto morande terrarum single estate carmenere 2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande terrarum selected blocks syrahcabernet sauvignon 20222 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande terrarum selected blocks cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande terrarum reserva merlot 2023|??|r|merlot|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande terrarum reserva cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande seleccion de vinedos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande seleccion de vinedos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=260
W|vinho|tinto morande morande terrarum reserva pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande morande terrarum reserva carmenere 2023|??|r|carmenere|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande morande terrarum reserva cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande adventure vigno carignansyrah 2020|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande adventure el padre cabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande adventure el gran petit 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto morande adventure creole cinsaultpais 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montresor urban park appassimento 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montresor urban park appassim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montresor campo madonna cabernet sauvignon 2014 veneto italia|it|r|cabernet sauvignon|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montresor campo madonna cabernet sauvignon 2014 veneto italia|it|r|cabernet sauvignon|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??|=271
W|vinho|tinto montresor campo madona cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montresor amarone satinato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montinho sao miguel 2022 regional alentejano|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montgras reserva cabernet sauvignon syrah 2019|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montgras ninquen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montgras intriga cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montgras gran reserva limited release cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montgras antu syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monteviejo lindaflor la violeta malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montevertine montevertine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montevertine le pergole torte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montevertine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montessuy pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montessu igt 2019|??|r|??|??|??|2019|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes wings carmenere 145 2021|??|r|carmenere|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes winemakers choice merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes twins red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes twins red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=289
W|vinho|tinto montes toscanini reserva familiar tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscanini gran tannat premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscanini elegido reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscanini elegido bivarietal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscanini criado en roble tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscanini criado en roble blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscanini carlos montes tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes toscani reserva familiar cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes purple angel carmenere 145 2021|??|r|carmenere|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes purple angel carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes purple angel 202190no pix90no boleto9044em ate3xdesem juroscomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes purple angel 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes limited selection pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes folly syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes family reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes family reserva cabernet e carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes ermos reserva 2022 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes ermos reserva 2022|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes ermos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes ermos colheita 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes ermos colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes claros reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes claros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha m 202122no pix22no boleto22em ate3xdesem juroscomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha carmenere 2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=319
W|vinho|tinto montes alpha cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montes alpha cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano don guino 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano don guino 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=325
W|vinho|tinto montepulciano don guino 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=325
W|vinho|tinto montepulciano dabruzzo umani ronchi|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto montepulciano dabruzzo la piuma 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano dabruzzo farnese fantini|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano d abruzzo terra dei vestini fattore tenuta del priore doc 2020|it|r|montepulciano|toscana|montepulciano|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano d abruzzo sunnae tenuta del priore doc 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano d abruzzo kerrias tenuta del priore doc 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano d abruzzo farnese fantini 1|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano d abruzzo farnese fantini|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano d abruzzo doc marina cvetic 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montepulciano 45 fantini montepulciano dabruzzo 125 2024|it|r|montepulciano|toscana|montepulciano|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monteney bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monteney bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=339
W|vinho|tinto monteiro torres aragoneztrincadeiracastelao 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monteiro tawny porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto montefalco rosso abis migliosi doc 2021|??|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montecore primitivo di puglia igp 2020|??|r|primitivo|??|??|2020|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monteabellon tempranillo crianza ribera del duero do|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monteabellon ribera del duero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte xisto orbita 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte vide eu bouza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte velho jeroboam esporao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte velho esporao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte velho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte velho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=351
W|vinho|tinto monte velho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=351
W|vinho|tinto monte toscanini elegido tannatmerlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte romano sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte romano rosso blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte romano primitivo puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte romano primitivo puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=357
W|vinho|tinto monte romano cabernet sauvignon veneto|it|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte romano cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte reale suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte reale seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte paschoal cabernet reserva baby|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte meao vinha dos novos douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte meao vinha dos novos 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte meao vinha do cabeco vermelho 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte meao vinha da cantina baga 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte ermos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte ducay gran reserva san valero 2015 vinho espanhol dop carinena|??|r|??|??|??|2015|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes superior|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes poliphonia signature 2013 regional alentejano|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes poliphonia reserva 2023 regional alentejano|??|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes grande reserva 2017 alentejo|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes colheita selecionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos perdigoes alicante bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos cardeais reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos cardeais grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos cardeais garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos cardeais|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte dos cabacos reserva 2011|??|r|??|??|??|2011|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte do zambureijo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte do zambujeiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte do carrapatelo reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte do carrapatelo 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte del fra amarone della valpolicella doc classico|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte de seda 2021 regional alentejano|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte de pinheiros cartuxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte de pinheiros cartuxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=391
W|vinho|tinto monte de pinheiros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte de pinheiros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=393
W|vinho|tinto monte das servas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte das bagas de ouro 2020 alentejo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte das anforas 2023 alentejo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte das anforas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da vaqueira reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira vinha das romas 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira vinha das romas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira vinha das romas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=401
W|vinho|tinto monte da ravasqueira touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira touriga franca alentejo|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira touriga franca|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira selecao alicante bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira selecao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira reserva da familia alentejo|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira reserva da familia|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira premium 2014 alentejo|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira mr premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira encantado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira classico alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da ravasqueira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da raposinha alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da raposinha 2017 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da peceguina alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da peceguina 2023 regional alentejano|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da peceguina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da capela popular 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da capela popular 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=423
W|vinho|tinto monte da capela kapela tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da cal colheita seleccionada 2019 regional alentejano|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da cal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte da cal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=427
