W|lata|jardinera 4 legumbres 200grs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lat|ana abiyedh leather edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lat|ana abiyedh leather edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|lat|ana abiyedh edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lat|ana abiyedh edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=237
W|lat|al noble wazeer edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lat|al noble wazeer edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=239
W|lat|ajwad pink to pink edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lat|ajwad pink to pink edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=241
W|lat|42 reserva|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lat|24 carat pure gold edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lat|24 carat pure gold edp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|laszlo|bussay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laszlo|babiczki|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasu|muraje|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasu|lasu|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastucieux|cinsault rose 2022doos van 6|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastucieux|cinsault rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastucieux|chardonnay cave de saint chinian|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lastucieux|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lastucieux|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lastrologo|bottiglia numerata dipinta a mano 1500 esemplari piercarlo carcereri|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastricato|chianti rufina docg castello del trebbio|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|lastree|lastree|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastre|pelroge|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastre|flamenc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastre|demain cest loin|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|rose|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastours|rose|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastours|rose|??|p|??|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastours|huile dolive bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|grande reserve bw c6|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|grande reserve rr c6|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|blanc|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|blanc|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|blanc|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|rr c6|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|rr c6|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastours|rr c6|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastour|gaillac rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastore|masseria filimei salento igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lastone|veronese rosso igt le preare|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lastone|rosso veronese igt le preare 135|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lastkahn|lastkahn|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasting|love in vase|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasting|love|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasting|eyebrow w square|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasting|eyebrow w slim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasten|tuolit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastemia|spumante charley brut|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lastemia|langhe rosato|??|p|??|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastemia|langhe doc langhe tinto|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastemia|langhe doc langhe rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastemia|langhe doc langhe rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=288
W|lastemia|langhe doc langhe rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=288
W|lastemia|barolo cannubi|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastemia|barolo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastemia|barbera dalba superiore|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lastemia|barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laste|reisipadi erinevad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laste|nokamuts mickey mouse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laste|battle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastarria|reserva viognier|??|w|viognier|??|??|NV|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|lastarria|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|lastarria|gran reserva in vaderdag geschenk|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|lastarria|chardonnay gran reserva colchagua valley|cl|w|chardonnay|colchagua|??|NV|12.5|gran reserva|medio|peixes; frutos do mar; aves|seco
W|lastarria|carmenere reserva colchagua valley|cl|r|carmenere|colchagua|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|lastarria|carmenere gran reserva colchagua valley|cl|r|carmenere|colchagua|??|NV|13.5|gran reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|lastarria|carmenere classic central valley|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lastarria|cabernet sauvignon classic central valley|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lastar|tamjanika 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastar|rose 075|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lastar|pinot noir 075|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lastar|chardonnay triangl 075|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lastar|chardonnay 075|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lasta|strudla smokva 250g violeta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasta|strudla cokolada 250g violeta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasta|krem stapici ljesnjak violeta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasta|keksi lino cokolada 290g violeta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word white ol|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word white ol|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word white ol|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word subject 8893 ba brown raspberry cherry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word ssv24|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word rose 24|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|last|word rose ol|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|last|word red ol|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|word barrel aged raspberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|week of school wine 6pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|warrior cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|last|ward barbados 16y 60c astuccio|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|ward|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|ward habitation velier|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|ward|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|vintage|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|taste of summer whites mixed case|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|stand shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|last|stand shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|last|stand shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=333
W|last|stand shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=333
W|last|stand chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|stand chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|stand chardonnay 125|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|row we sail on hops|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|rites mix reserva 6 unidades|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|last|rites mix reserva 4 unidades|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|last|rites fin de los tiempos reserva carmenere 6 unidades|??|r|carmenere|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|last|rites fin de los tiempos reserva carmenere 4 unidades|??|r|carmenere|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|last|rites fin de los tiempos reserva cabernet sauvignon 6 unidades|??|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|last|rites fin de los tiempos reserva cabernet sauvignon 4 unidades|??|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|last|potion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|of the summer wine tasting case|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|of the summer wine mixed dozen special 25 off|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|of the summer wine 6pack 30 off|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|of the summer wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|of the last mixed case 434|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|of the first pinotage|??|r|pinotage|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|last|of the first pinotage|??|r|pinotage|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|last|nite wine x viteadovest paragulo natural red wine italy 125|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|last|night a riesling saved my life|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|mums babies wine tasting before christmas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|mums and babies wine tasting before christmas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|minute dinner party|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|man standing|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|light derbyshire vineyard chardonnay san luis obispo ca|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|light bannockburn riesling 6 bottles|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|light bannockburn riesling 12 bottles|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|light bannockburn riesling 12 bottle case deal|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|light bannockburn riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|last|laugh|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|hurrah sparkling 4pk|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|last|hurrah sparkling|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|last|hurrah sparkling|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco|=368
W|last|fry love card|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|drop 45 year old|??|r|??|??|??|1971|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|dance|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|christmas as a miss|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|christmas 12 bottles case|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|christmas 12 bottles case|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|last|call posledni tyden pred nami a kuryri uz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|call cats playing cards|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|bubbles saber combo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|bottle wines club free|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|bottle wine key|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|battle 1829 lost lake distillery 7ooml|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|battle 1829 lost lake distillery|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|battle 1829|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|battle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|battle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=385
W|last|barrel series|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|barrel series|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|barrel series|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|last|last|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassuperiora|bianco villa calicant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassuperiora|bardolino superiore|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassoloprimitivo|matera doc|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassolle|ad naturam rouge|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|strawberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|rosso base di acquavite di muller con ribes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lasso|raspberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|motel single barrel rye hbs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|motel aged 10 years single barrel rye cask strength|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasso|mix multi flavored|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|poke bowl kant klaar rijst|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|minuutje zilvervlies rijst|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|minuutje pandan 2st|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|minuutje basmatirijst|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|meer noten rijst|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|meer granen rijst|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|haverrijst minuutje|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|builtjes quinoa 1 persoon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|builtjes pandanrijst 1 persoon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassie|bio bulgur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasseter|family wines chermin de fer gsm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasseter|family winery voila sauvignon blancsemillon sonoma valley ca|us|w|sauvignon blanc|sonoma|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lasseter|family winery justi creek estate vineyards reminiscence cabernet sauvignon sonoma valley ca|us|r|cabernet sauvignon|sonoma|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lasseter|family winery amoureux malbec sonoma valley ca|us|r|malbec|sonoma|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lasseter|family paysage|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasseter|family chemin de fer|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassen|sie es knistern|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassemblage|rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassemblage|rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=420
W|lassemblage|rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=420
W|lassemblage|rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=420
W|lassemblage|grand vin villard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassemblage|grand vin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassemblage|edelzwicker|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassemblage|grand vin|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassemblage|grand vin|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=427
W|lassemblage|lassemblage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassegue|saintemilion grand cru|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lassegue|saintemilion|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassegue|saint emillion grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lassegue|saint emilion grand cru|fr|r|??|saint emilion|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lassegue les|cadrans bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassegue|cadrans red blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassegue|lassegue|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lasseaux|ratafia champenois champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lassarat|moulin a vent|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne smagekassen|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne saintveran le cras|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne saintveran cuvee prestige|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne saintveran cuvee plaisir|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne pouillyfuisse terroir|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne pouillyfuisse 1er gru clos du martelet|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassarat|fils bourgogne pouillyfuisse 1er gru clos de france|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassalle|rose premier cru chignylesroses reserve des grandes annee brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
X
X
W|lassalle|preference premier cru brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
W|lassalle|et filles champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lassalle|et filles brut champagne white brut 12 075|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lassalle|et filles brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lassalle|champagne brut case only|fr|s|??|champagne|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lassalle|blanc de blancs premier cru brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
W|lassalle|and filles brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lassak|wurttemberg riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|wurmberg lemberger|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|steige lemberger|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|steige lemberger|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|spatburgunder|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|spatburgunder|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|spatburgunder|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|riesling hessigheim|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|riesling hessigheim|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|riesling hambach|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|riesling hambach|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|lemberger|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|lemberger|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|lemberger|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|hornle pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|hornle pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|hornle|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassak|wurttemberg hessigheim riesling|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lassak|lassak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lassaigne|vignes de montgueux nv x fabio gea notu e lalbera|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
