W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru stemilion aoc|??|r|??|??|??|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru stemilion aoc|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau la couronne|grand cru stemilion aoc|??|r|??|??|??|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine bovy|grand cru stsaphorin|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru valmur|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru valmur|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru vineyards cabernet sauvignon collectors reserve|??|r|cabernet sauvignon|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru vineyards premium selection merlot|??|r|merlot|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru vinotherapy|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru vintages and heirloom grapes discover unique cuvees|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru vorburg pierre frick|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru vp extrabrut base 16 champagne ac|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru wine catering free flow|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wine funnel wscreen and base|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wineck schlossberg|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wrapped clare valley tim adams grenache tempranillo malbec|es|r|malbec|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wrapped great southern cabernet|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wrapped great southern chardonnay|??|w|chardonnay|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru wrapped great southern pinot noir|??|r|pinot noir|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wrapped great southern single vineyard shiraz|??|r|shiraz|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wrapped margaret river cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru wrapped old vine barossa shiraz|??|r|shiraz|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau maison blanche|grand cru yvorne chablais aoc|??|w|??|??|??|2023|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|chateau maison blanche|grand cru yvorne chablais aoc|??|w|??|??|??|2024|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|grand|cru zotzenberg|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru zotzenberg jeanpierre rietsch alsace|fr|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|crue 100 pinot noir extra brut|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|crus 12 months subscription upfront|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|crus classe of bordeaux wine dinner|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|crus pay as you go|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|curoulet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine ratte|grand curoulet|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=251
W|grand|cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=251
W|grand|cuvee 1531 de aimery cremant brut de limoux|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cuvee 1531 de aimery cremant rose brut de limoux|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cuvee|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=256
W|grand|cuvee extra brut classic penedes reserva colet viticoltors penedes spanien|??|s|??|??|??|2021|12|reserva|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cuvee corbieres castelmaure|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee alchemy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee brut blanc aoc cremant de die 12 bio|??|s|??|??|??|2021|12|aoc|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cuvee caberner vyber z hroznu biza|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee caberner|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee cajo millesimato dacastello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee cervene cabernet sauvignon frankovka pozdni sber moravino kacisdorfske pole hintertaly suche s 50|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee de purcari extra brut alb|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cuvee de purcari vintage extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cuvee dry red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee invino 390 stolzle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee invino 495 stolzle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee lafage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee luigi moio quintodecimo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee red vyber z hroznu|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee red|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee red vyber hroznu|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee reddy zemske pialek jager cervene vino suche|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cuvee rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|cuvee rose aoc 23|??|p|??|??|??|nv|12.5|aoc|leve|aperitivos, frutos do mar, saladas|seco
W|grand|cuvee rose brut millesimato|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cuvee sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cuvee trockener rotweincuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|de luxe sparkling champagne brut dry|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|de vaux blanc de blancs dallemand sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|de vaux sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|decor proposal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|dill pickles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine cote du jura|grand chardonnay la grande chaude|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|douglas expressions euphoric citric 6 piezas de|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|douglas lata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|duc rose 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|dugopis 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|duque dalba|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|duque dalba|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=294
W|grand|earl gray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=298
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=300
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=302
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=306
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=310
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine romanee conti|grand echezeaux|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=312
W|grand|echezeaux gc 375 owc drc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|echezeaux grand cru joseph drouhin|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|echezeaux grand cru lucien le moine|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|echezeauz grand cru lucien le moine|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|elan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|elan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=318
W|grand|empereur qualite roi de rome|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|empereur qualite sacre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|empereur vsop|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|empereur xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|empereur xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=323
W|chateau cerons rouge|grand enclos du|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de cerons blanc sec graves|grand enclos du|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau de cerons graves blanc|grand enclos du|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau de cerons rouge graves|grand enclos du|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|enclos graves|es|r|??|bordeaux|graves|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|epeautre s12u24 savoie single grain distillerie hautes glaces|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|estates cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|estates gold red blend|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|estates merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|estates merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|expressions of floral love|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|feketeleanyka|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fermage beurre au sel de mer de noirmoutier 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fermage beurre au sel de noirmoutier 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fermage beurre demisel au sel de noirmoutier 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|ferrero rocher 125|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fers fleurie vielles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|festival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fidele origine blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|fief muscadet sur lie cuvee vieilles vignes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fossil sancerre|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fossil sancerre|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|grand|fossil sancerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fossil sancerre|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|fossil sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|fossil sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=349
W|grand|fossil val de loire sauvignon blanc|fr|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|fouet de cuisine 6 fils en inox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|francais bordeaux|fr|r|??|bordeaux|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|francais bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|francais bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=354
X
W|grand|gerbeaud sutemenyvalogatas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|gimblett cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|gold 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|gold 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|gold chardonnay die wartezeit hat sich gelohnt|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|gold chardonnay une interpretation parfaite de ce cepage legendaire|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|grenoir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|gres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|grischunais|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|guilhem blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|guilhon bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|heart red pink roses box|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|heist club fall|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|heist club winter|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|grand|imperial grand augustin brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
S
W|grand|imperial porter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grand|inaugural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|inauguration all red flowers stand|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|italia spaghetti volkoren|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|itata blanco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|jacquet aoc ventoux les planetes rouge|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|jacquet aoc ventoux rendezvous sous le chene rose|??|p|??|??|??|2024|12.5|aoc|leve|aperitivos, frutos do mar, saladas|seco
W|grand|jacquet igp mediterranee le gourmand de vignes vendange tardive rouge|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|jacquet igp vaucluse les grands hommes rouge|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|jasmin chun feng|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|joueurs vignerons pharaohmoans red napa valley ca|us|r|??|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|jour|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|kadoo club 3 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|kadoo club 8 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|kadoo spiced|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|karas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|karas red wine ararat valley armenia|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|karas armenia|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|karas reserve red wine armenia|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|karas reserve red wine armenia|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=394
W|grand|koudou blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|koudou caramany|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|large blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|large rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|large rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|laval vin de france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|le rouge pinot noir france|fr|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|lecluze blanc grenache sauvignon 12|??|w|grenache|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|lecluze rose 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|lecluze rouge syrah merlot grenache 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|levita nature|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|listrac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau pierre bibian|grand listrac|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|lopin anjou aop|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|love|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|love ceramic red heart extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|love ceramic red heart reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|love ceramic red heart reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=412
W|grand|lunchbox with four compartments and one food jar dino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|luxe set makeup brushes headband pink lashes 29 piezas|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|luxury wooden plate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=417
W|grand|macnish 12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish 12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish 12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish 12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=421
W|grand|macnish 12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish 150th anniversary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|macnish 15yr sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grand|macnish sherry cask 15yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grand|macnish six cask edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|maestro costieres de nimes languedoc france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|maestro italiano chianti nuova generazione|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|maestro italiano governo alluso toscano rosso edizione limitata|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|maestro italiano governo alluso toscano rosso toscano|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|majestic heart|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|majestic magia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=434
W|grand|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=434
W|grand|malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec 15 vol|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec terrazas de los andes|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=440
W|grand|malbec|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=440
W|grand|malbec|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=440
W|grand|malbec mendoza|ar|r|malbec|mendoza|mendoza|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec mendoza|ar|r|malbec|mendoza|mendoza|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|malbec terrazas de los andes|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mane sparkling pearly semidry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|mane sparkling wine|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|manier conac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|manier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|manoir cab sauv res|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
