1. W|carruades|de lafite pauillac|fr|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|carstensens|tehandel hvid earl grey 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|carstensens|tehandel hvid panforte de sienna 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|carstensens|tehandel hvid te med fresh lemon og yoghurt 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|carstensens|tehandel hvid tempel te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|carstensens|tehandel ingefr skaret 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|carstensens|tehandel jule te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|carstensens|tehandel kamilleblomst kologisk 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|carstensens|tehandel kenya gfop marinym 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|carstensens|tehandel madame butterfly 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|carstensens|tehandel marys te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|carstensens|tehandel mrs kellys grnne vidunderblanding 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|carstensens|tehandel paske te sort 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|carstensens|tehandel prinsesse tatianas hvide teblanding 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|carstensens|tehandel rooibos country berry 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|carstensens|tehandel rooibos hole in one 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|carstensens|tehandel rooibos vesterhavs blanding 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|carstensens|tehandel skipper te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|carstensens|tehandel snderjysk blanding 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|carstensens|tehandel snderjysk te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|carstensens|tehandel sort ble og kvde te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|carstensens|tehandel sort flde te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|carstensens|tehandel sort magi 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|carstensens|tehandel sort te med chili chokolade trffel 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|carstensens|tehandel sort tranebr te 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|carstensens|tehandel sov godt 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|carstensens|tehandel taste of dubai 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|carstensens|tehandel tebrev cool mint|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|carstensens|tehandel tebrev hole in one|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|carsun|c1222|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carsus|blatina 2018 skegro|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carsus|stoka|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|carsus|trnjak 2018 skegro|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|cart|change or update|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|cart|table large|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cart|table medium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|carta|carta|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|carta|carta|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=261
263. W|carta|a|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|carta|a|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=263
265. W|carta|a los judios de yemen de maimonides|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|carta|a proveedores solicitando regalos navidenos|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
267. W|carta|agradecimiento regalo navidad empresa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|carta|al mundo y otros poemas|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
269. W|carta|al padre y otros escritos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|carta|black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|carta|blanca|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
272. W|carta|blanca 12 retornable|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
273. W|carta|blanca 12pk|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
274. W|carta|blanca 32oz|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
275. W|carta|blanca 375|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
276. W|carta|blanca 375|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=275
277. W|carta|blanca 40|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
278. W|carta|blanca 6pk|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
279. W|carta|blanca 6pk bottle|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
280. W|carta|blanca 6pk btl 12oz|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
281. W|carta|blanca 6pk btls|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
282. W|carta|da fitapreta alentejano tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carta|da fitapreta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|carta|da fitapreta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=283
285. W|carta|de agradecimiento a proveedores por regalos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carta|de cumpleanos cumpleanos scielo etiqueta personalizada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|carta|de cumpleanos cumpleanos scielo etiqueta personalizada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=286
288. W|carta|de entrega de arcon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|carta|de entrega de regalos a clientes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|carta|de lorenzo latorre a castillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|carta|de obsequio para clientes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|carta|de plata berberana 1969 rioja|es|r|??|rioja|??|1969|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|carta|de plata berberana 1969 rioja|es|r|??|rioja|??|1969|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=292
294. W|carta|de plata berberana 1969 rioja|es|r|??|rioja|??|1969|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=292
295. W|carta|de solicitud de canastas navidenas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|carta|de una desconocida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|carta|de una desconocida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=296
298. W|carta|de una desconocida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=296
299. W|carta|de venancio flores a gregorio jose de la pena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|carta|de venancio flores a nicomedes castro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|carta|doro bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|carta|marina albarino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
303. W|carta|navidena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|carta|negra 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|carta|nevada semi 750 mlt 115|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|carta|oro 375|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|carta|oro 375|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
308. W|carta|para entrega de regalos a clientes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|carta|para entrega de regalos a empleados|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|carta|para entregar un regalo a un cliente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|carta|para pedir regalos de navidad a una empresa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|carta|para solicitar canastas navidenas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|carta|para solicitar regalos a proveedores|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|carta|regalo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|carta|regalo 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|carta|regalo arcioni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|carta|regalo other wine shop|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|carta|roja gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
319. W|carta|roja grand reservada|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
320. W|carta|roja grand reservada monastrell miniature|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
321. W|carta|roja pura monastrell no added sulphur|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|carta|roja pura seleccion privada organic monastrell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|carta|roja seleccion privada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|carta|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
325. W|carta|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=324
326. W|carta|silver|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|carta|sport boysgirls touch fastening slipin shin guards|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
328. W|carta|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|carta|vieja 2019 gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
330. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
331. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
332. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
333. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
334. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
335. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
336. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
337. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
338. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
339. W|carta|vieja cabernet sauvignon 135|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
340. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
341. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
342. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=341
343. W|carta|vieja cabernet sauvignon|??|r|cabernet sauvignon|??|??|2025|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
344. W|carta|vieja cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
345. W|carta|vieja cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=344
346. W|carta|vieja cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
347. W|carta|vieja cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=346
348. W|carta|vieja cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
349. W|carta|vieja carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
350. W|carta|vieja carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=349
351. W|carta|vieja carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=349
352. W|carta|vieja carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=349
353. W|carta|vieja carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=349
354. W|carta|vieja carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=349
355. W|carta|vieja carmenere 14|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
356. W|carta|vieja carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
357. W|carta|vieja carmenere|??|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
358. W|carta|vieja carmenere|??|r|carmenere|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
359. W|carta|vieja carmenere gran reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
360. W|carta|vieja carmenere gran reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=359
361. W|carta|vieja carmenere reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
362. W|carta|vieja carmenere reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=361
363. W|carta|vieja chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
364. W|carta|vieja chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
365. W|carta|vieja chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
366. W|carta|vieja chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
367. W|carta|vieja chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
368. W|carta|vieja chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
369. W|carta|vieja chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
370. W|carta|vieja chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
371. W|carta|vieja chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
372. W|carta|vieja chardonnay gran reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
373. W|carta|vieja chardonnay gran reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=372
374. W|carta|vieja chardonnay gran reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=372
375. W|carta|vieja chardonnay gran reserva|??|w|chardonnay|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
376. W|carta|vieja chardonnay maule valley|cl|w|chardonnay|maule valley|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
377. W|carta|vieja chardonnay reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
378. W|carta|vieja chardonnay reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=377
379. W|carta|vieja chardonnay reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=377
380. W|carta|vieja chardonnay reserva|??|w|chardonnay|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
381. W|carta|vieja classic carmenere 075|??|r|carmenere|??|??|NV|13.5|classic|encorpado|carne vermelha, massas, queijos curados|seco
382. W|carta|vieja classic carmenere 075|??|r|carmenere|??|??|NV|13.5|classic|encorpado|carne vermelha, massas, queijos curados|seco|=381
383. W|carta|vieja classic merlot 075|??|r|merlot|??|??|NV|13.5|classic|encorpado|carne vermelha, massas, queijos curados|seco
384. W|carta|vieja classic merlot 075|??|r|merlot|??|??|NV|13.5|classic|encorpado|carne vermelha, massas, queijos curados|seco|=383
385. W|carta|vieja classic sauv blanc 750cc|??|w|??|??|??|NV|12.5|classic|medio|peixes, frutos do mar, saladas|seco
386. W|carta|vieja classic sauv blanc 750cc|??|w|??|??|??|NV|12.5|classic|medio|peixes, frutos do mar, saladas|seco|=385
387. W|carta|vieja fc gran reserva cabernet sauvignon 20|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
388. W|carta|vieja gold 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|carta|vieja gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
390. W|carta|vieja gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=389
391. W|carta|vieja gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
392. W|carta|vieja gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
393. W|carta|vieja gran reserva carmenere|??|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
394. W|carta|vieja gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
395. W|carta|vieja gran reserva chardonnay|??|w|chardonnay|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
396. W|carta|vieja late harvest|??|d|??|??|??|2011|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
397. W|carta|vieja limited cab suav|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|carta|vieja limited cab suav|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=397
399. W|carta|vieja limited carmenere 0|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
400. W|carta|vieja limited carmenere 0|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=399
401. W|carta|vieja limited release cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
402. W|carta|vieja limited release carmenere|??|r|carmenere|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
403. W|carta|vieja limited release chardonnay bco meio seco|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
404. W|carta|vieja limited release chardonnay bco meio seco|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
405. W|carta|vieja limited release gewurztraminer|??|w|gewurztraminer|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
406. W|carta|vieja limited release merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
407. W|carta|vieja limited release reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
408. W|carta|vieja limited release reserva syrah 2021 chile|cl|r|syrah|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
409. W|carta|vieja limited release syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
410. W|carta|vieja limited syrah 0|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
411. W|carta|vieja limited syrah 0|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=410
412. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
413. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
414. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
415. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
416. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
417. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
418. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
419. W|carta|vieja merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=412
420. W|carta|vieja merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
421. W|carta|vieja merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
422. W|carta|vieja merlot rose|??|p|merlot|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
423. W|carta|vieja merlot rose|??|p|merlot|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
424. W|carta|vieja prestige cabernet sauvignon|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
425. W|carta|vieja prestige gran res cabernet 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|carta|vieja prestige gran res cabernet 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
427. W|carta|vieja prestige gran res carmenere 0|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
428. W|carta|vieja prestige gran res carmenere 0|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=427
429. W|carta|vieja prestige syrah|??|r|syrah|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
430. W|carta|vieja reserva 2020 valle de loncomilla cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
431. W|carta|vieja reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
432. W|carta|vieja reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=431
433. W|carta|vieja reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
434. W|carta|vieja reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
435. W|carta|vieja reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=434
436. W|carta|vieja reserva carmenere|??|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
437. W|carta|vieja reserva carmenere|??|r|carmenere|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
438. W|carta|vieja reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
439. W|carta|vieja reservado cabsauvmerlot|??|r|merlot|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
440. W|carta|vieja reservado cabsauvmerlot|??|r|merlot|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco|=439
441. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
