W|hacienda|lopez de haro blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|monasterio ribera del duero|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero do|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero reserva|??|r|??|??|??|2004|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero reserva|??|r|??|??|??|2009|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero reserva|??|r|??|??|??|2009|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|hacienda|monasterio ribera duero reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera duero reserva especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio rva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio t cza 34|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio tinto cosecha do|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio tinto reserva do|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|montecastro crianza bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|montecastro reserva bot|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|montecorto albarino rias baixas spain|es|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|montecorto vinas viejas tempranillo|es|r|tempranillo|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monterrey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|napoles santorini|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|navarro blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|navarro blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=240
W|hacienda|navarro reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|navarro reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|hacienda|oponguio cupreata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|oponguio ensamble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|oponguio espadin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|oponguio frutal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|oponguio herbal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|oponguio seco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|pradolagar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|pradolagar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=250
W|hacienda|pradolagar reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|pradolagar reserva|??|r|??|??|??|1997|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=254
W|hacienda|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=254
W|hacienda|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|riesling|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|san juan pinot noir|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san juan syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel blend coahuila|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel cabernet franc merlot guanajuato|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel cabernet franc merlot reserva|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel cabernet francmerlot|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel cabernet sauvignon reserva coahuila|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel malbec reserva|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel malbec reserva|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=268
W|hacienda|san miguel malbec reserva coahuila|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel nebbiolo 750 mlt 134|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel nebbiolo gran bacchus de oro|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel nebbiolo reserva|??|r|nebbiolo|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel shiraz malbec reserva|??|r|shiraz|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel shiraz malbec reserva coahuila|??|r|shiraz|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel shiraz tempranillo y cabernet|es|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel shirazmalbec reserva|??|r|shiraz|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel syrah guanajuato|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel syrahmalbec|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel syrahtempranillocabernet|es|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel tempranillo guanajuato|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel tempranillo reserva|es|r|tempranillo|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel tempranillo reserva|es|r|tempranillo|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=285
W|hacienda|san miguel tempranillo reserva coahuila|es|r|tempranillo|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|san miguel tempranillocabernet|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=289
W|hacienda|solano cascorrales|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano finca cascorrales|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano finca cascorrales|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano finca cascorrales|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=293
W|hacienda|solano finca pena lobera|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano finca pena lobera|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano los cascorrales|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano pena lobera|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano pena lobera|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano ribera del duero finca cascorrales|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano seleccion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano seleccion|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano seleccion|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano seleccion|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano vinas viejas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano vinas viejas|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano vinas viejas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|solano vinas viejas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=307
W|hacienda|solano vinas viejas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=307
W|hacienda|solano vinas viejas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=307
W|hacienda|terra duro rumors roble|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|terra duro toro do rumors|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|terra duro toro do rumors|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=312
W|hacienda|toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|hacienda|trinidad cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|trinidad malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|ucedinos godello|??|r|godello|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|valvares|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|vieja anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|vieja anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|hacienda|vieja anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|hacienda|vieja anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|hacienda|vieja anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|hacienda|vieja blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|vieja blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=325
W|hacienda|vieja blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=325
W|hacienda|vieja blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=325
W|hacienda|vieja repo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|vieja reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|vieja reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|hacienda|vieja reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|hacienda|vieja reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|hacienda|vieja reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|hacienda|vieja reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|hacienda|villarta besanas crianza do rotwein wein trocken spanien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|villarta tozara tinto vdt rotwein wein trocken spanien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|vizcondesa roble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|vizcondesa roble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|hacienda|white zinfandel|??|w|zinfandel|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|white zinfandel|??|w|zinfandel|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=340
W|hacienda|wine cellars claire de lune sonoma county chardonnay|us|w|chardonnay|california|??|1979|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|zorita crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|zorita crianza tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|zorita natural reserve syrah arribes|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|zorita tempranillo crianza|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackenberg|hackenberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|poschorr munich gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschor munich 6 pk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschor oktoberfest bottles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschor verre weiss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschor weisse 6 pk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr anno 1417 keller bier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr hefe weis 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr hefe weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr hefe weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=356
W|hacker|pschorr hefe weisse b50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr keller 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr keller bier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr kellerbier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr kellerbier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|hacker|pschorr kellerbier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|hacker|pschorr kellerbier 1417 can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr kellerbier 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr kellerbier anno 1417 can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr kellerbier bottle multipack 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner dunkel 20x 05 liter mehrweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|hacker|pschorr munchner gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|hacker|pschorr munchner gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|hacker|pschorr munchner gold 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner gold can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner gold can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|hacker|pschorr munchner hell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner hell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=376
W|hacker|pschorr munchner hell 20x 05 liter mehrweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner hell 24|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munchner hell 5|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munich gold 1 2 barrel keg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munich gold 112oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munich gold nrb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr munich gold keg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|hacker|pschorr oktoberfest 112oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|hacker|pschorr oktoberfest 58|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|hacker|pschorr oktoberfest bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest marzen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr oktoberfest marzen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=393
W|hacker|pschorr oktoberfest mw 20 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr verre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr weissbier can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr weissbier 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr weissbier bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr weissbier can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=397
W|hacker|pschorr weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|pschorr weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=401
W|hacker|pschorr weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=401
W|hacker|pschorr weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=401
W|hacker|pschorr weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=401
W|hacker|pschorr weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=401
W|hacker|sangiovese igt toscana 135 vol|it|r|sangiovese|tuscany|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|sangiovese igt toscana 135 vol|it|r|sangiovese|tuscany|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=407
W|hacker|sangiovese igt toscana 135 vol|it|r|sangiovese|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|hacker|sangiovese igt toscana 135 vol|it|r|sangiovese|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=409
W|hackerpschorr|gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|hefe weie bugel 20x 05 liter mehrweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|kellerbier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|kellerbier 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|kellerbier anno 1417 can 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|munchener gold 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|munchener gold can 55|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|munchner gold bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|munchner hell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|naturtrubes kellbier bugel 20x 05 liter mehrweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|ocktoberfest 12oz btl 6 pk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=422
W|hackerpschorr|oktoberfest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=422
W|hackerpschorr|oktoberfest bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|oktoberfest marzen bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|radler|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|radler bugel 20x 05 liter mehrweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|weissbeir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|weissbier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|weissbier can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackerpschorr|weissbier can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=431
W|hackerpschorr|weisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacklberg|bayerwald brotzeitbier 49|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacklberg|urhell 49|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackleback|the caviar co 1oz tin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacklink|hacklink|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacklink|al|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacklink|paneli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacklink|satn al|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackney|diamonds|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hackney|doublelayer mesh tote bag in nylon fabric material|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacks|blackcurrent|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacks|regular|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacks|regular sweets 1pc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
