W|georges|laval cumieres brut nature jeroboam|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos de vougeot grand cru|??|r|??|??|??|1990|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos de vougeot grand cru|??|r|??|??|??|2002|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos de vougeot grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos de vougeot grand cru|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos de vougeot grand cru|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos de vougeot grand cru|??|r|??|??|??|2011|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg clos vougeot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux grand cru|??|r|??|??|??|1990|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux grand cru|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux grand cru|??|r|??|??|??|2012|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux grand cru|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux grand cru|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg gevrey chambertin cru|fr|r|??|bourgogne|gevrey chambertin|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges bas combe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges chaignots|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges les chaignots cru|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges les chaignots cru|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges les chaignots cru|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges les chaignots cru|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges les chaignots cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits saint georges les chaignots cru|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg nuits st georges les chaignots cru|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|1990|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|1993|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|2006|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg ruchottes chambertin grand cru|??|r|??|??|??|2011|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee la colombiere|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee la colombiere|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee la colombiere|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg vosne romanee la colombiere|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin capsule damage|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin capsule damage|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|georges|mugneret ruchottes chambertin capsule damage|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin capsule damage|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=273
W|georges|mugneret ruchottes chambertin|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=275
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|1978|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|1978|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=277
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|1982|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|1985|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|1985|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|2001|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|2001|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=283
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret ruchottes chambertin grand cru|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg echezeaux grand cru|??|r|??|??|??|2003|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg echezeaux grand cru 1|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg echezeaux grand cru 1|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg echezeaux grand cru 1|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitssaintgeorges au bas de combe 1|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitssaintgeorges premier cru les chaignots|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges au bas de combe 1|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges les chaignots cru 1mag|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges les chaignots cru 1|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges les chaignots cru 1|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges les chaignots cru 1|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges les chaignots cru 1|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg nuitsstgeorges les vignes rondes cru 1|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg ruchotteschambertin grand cru 1|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg ruchotteschambertin grand cru 1mag|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosne romanee 1|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee 1mag|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee 1|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee 1|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee 1|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee imperfect label 1|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretgibourg vosneromanee imperfect labels 1|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg chambolle musigny les feusselottes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg chambolle musigny les feusselottes|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg chambolle musigny les feusselottes|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg chambolle musigny les feusselottes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg chambolle musigny les feusselottes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg clos vougeot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg clos vougeot|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg clos vougeot|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg clos vougeot|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg clos vougeot|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg echezeaux|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg gevrey chambertin cru|fr|r|??|bourgogne|gevrey chambertin|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg nuits st georges les chaignots|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg nuits st georges les chaignots|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg nuits st georges les chaignots|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg nuits st georges les vignes rondes|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg ruchottes chambertin|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneretmugneret gibourg vosne romanee la colombiere|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|georges|noellat beaune cru clos de la mignotte|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat beaune clos de la mignotte cru|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat beaune les tuvilains cru|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat beaune les tuvilains cru|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat beaune les tuvilains cru|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat beaune les tuvilains cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat bourgogne|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat bourgogne rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat bourgogne rouge|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat bourgogne rouge|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat chambolle musigny feusselottes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat cotes de nuits|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat cotes de nuits village|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat cotes de nuits village|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat cotes de nuits villages rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=360
W|georges|noellat echezeaux|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux grand cru|??|r|??|??|??|2011|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=366
W|georges|noellat echezeaux grand cru 1|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat echezeaux grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat gevrey chambertin fontenys cru|fr|r|??|bourgogne|gevrey chambertin|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat gevrey chambertin fontenys cru|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2004|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2006|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2012|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=380
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru 1|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grands echezeaux grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grandsechezeaux grand cru|??|r|??|??|??|1978|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grandsechezeaux grand cru|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat grandsechezeaux grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat les tuvilains beaune premier cru aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin beaune mignotte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin beaune tuvilains|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin bourgogne hautes cotes de nuits|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin bourgogne hautes cotes de nuits|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin bourgogne hautes cotes de nuits|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin chambolle musigny|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin chambolle musigny les feusselottes cru|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin chambolle musigny les feusselottes cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin clos de vougeot grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin clos vougeot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin clos vougeot grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin clos vougeot grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin cotes de nuits|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin gevrey chambertin echezeaux|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin gevrey chambertin en champs|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin gevrey chambertin en champs|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=405
W|georges|noellat maxime cheurlin gevrey chambertin en champs|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin gevrey chambertin en champs|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin gevrey chambertin en champs|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin gevrey chambertin fonteny|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin morey saint denis|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin morey saint denis les monts luisants cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin nuits st georges les damodes cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin nuits st georges les vaucrains cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin pommard grands epenots|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin pommard les arvelets cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin pommard les leuvrieres|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|noellat maxime cheurlin pommard les saussilles cru|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
