W|latour|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=253
W|latour|latour|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=253
W|latour|latour|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=253
W|latour|latour|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=253
W|latour|latour|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1993|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1992|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1992|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=260
W|latour|latour|??|r|??|??|??|1991|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=263
W|latour|latour|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=263
W|latour|latour|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=263
W|latour|pauillac|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|latour|latour|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|latour|latour|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|latour|latour|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=272
W|latour|latour|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=272
W|latour|latour|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=272
W|latour|original wood case|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=277
W|latour|latour|??|r|??|??|??|1986|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1986|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=279
W|latour|corton grand cru|??|r|??|??|??|1985|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=282
W|latour|latour|??|r|??|??|??|1983|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1983|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=284
W|latour|high shoulder|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=287
W|latour|latour|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=287
W|latour|latour|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=287
W|latour|latour|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=287
W|latour|latour|??|r|??|??|??|1981|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1979|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1978|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1978|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=294
W|latour|latour|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=296
W|latour|latour|??|r|??|??|??|1976|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1976|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=298
W|latour|latour|??|r|??|??|??|1976|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=298
W|latour|latour|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=301
W|latour|latour|??|r|??|??|??|1974|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1968|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac top shoulder|??|r|??|??|??|1959|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1955|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=311
W|latour|latour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=311
W|latour|latour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=311
W|latour|latour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=311
W|latoque|reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latomi farm|210|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latomi farm|210|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=317
W|lato|sud vigna degli architetti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lato|sud nerello mascalese grottafumata|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lato|sud carricante grottafumata|??|w|carricante|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lato|scuro grawu|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lato|scuro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lato|goldberg variations chardonnay 522 z|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lato|fresh seaweeds 2kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lato|clara 100 bronner|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lato|clara grawu|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latlier du|vin flaskepropper le trio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latkova|taska vinokral gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latkova|taska vinokral|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latkova|taska|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latkes|mix|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|valpolicella superiore doc campo prognai|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|valpolicella ripasso superiore doc campo dei ciliegi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|valpolicella doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|soave doc campo le calle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|sette dame recioto di soave docg|??|d|??|??|??|NV|10|docg|encorpado|sobremesas; foie gras; queijos azuis|doce
W|latium|recioto della valpolicella docg septemviri|??|d|??|??|??|NV|10|docg|encorpado|sobremesas; foie gras; queijos azuis|doce
W|latium|morini valpolicella veneto italy|it|r|??|veneto|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini valpolicella superiore doc campo prognai rod|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini valpolicella ripasso campo dei ciliegi rod|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini valpolicella doc rod|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini valpolicella udsalg til 119 dkk|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini valpolicella|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini soave igt frisk hvidvin til salg|??|r|??|??|??|2019|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini soave igt|??|r|??|??|??|2019|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini soave igt|??|r|??|??|??|2019|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=346
W|latium|morini soave doc vit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini soave doc campo le calle vit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini ripasso kvalitetsvin til tilbudspris|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini recioto lkker dessertvin pa tilbud|??|d|??|??|??|2011|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|latium|morini recioto|??|d|??|??|??|2011|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|latium|morini passito sette dame gylden dessertvin|??|d|??|??|??|2013|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|latium|morini passito sette dame|??|d|??|??|??|2013|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|latium|morini igt forziello eksklusiv vin tilbud|??|r|??|??|??|2013|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini campo leon amarone|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini campo le calle soave veneto italy|it|r|??|veneto|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini campo le calle soave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini campo dei ciliegi valpolicella ripasso veneto italy|it|r|??|veneto|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone riserva 20112013 rdvin pa tilbud|??|r|??|??|??|NV|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone riserva 20112013|??|r|??|??|??|NV|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone riserva|??|r|??|??|??|2011|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone docg campo leon rod|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone della valpolicella campo leon veneto italy|it|r|??|veneto|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone campo leon|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|morini amarone campo leon|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=365
W|latium|igt rosso verona 4511|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|latium|campo prognai della valpolicella superiore doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|campo dei ciliegi valpolicella ripasso superiore veneto|it|r|??|veneto|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|amarone della valpolicella docg campo leon|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|latium|amarone della valpolicella doc campo leon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|amarone campo leon|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latium|amarone campo leon|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|weiss nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latitude|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=377
W|latitude|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=377
W|latitude|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|larmandier bernier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|crozeshermitage france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|champagne blanc de blancs extra brut larmandierbernier|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|latitude|champagne blanc de blancs extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|latitude|cape blend lyngrove platinum lyngrove wines jihoafricka republika 0|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|campuget|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|blanc des blancs extra brut larmandierbernier champagner|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|latitude|blanc de blancs extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|latitude|blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|blanc de blanc extra brut 0|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|latitude|blanc de blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|44 bordeaux superieur rouge chateau du bernat|fr|r|??|bordeaux|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|44|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|43 rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latitude|43 grenache syrah merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|43 chardonnay vermentino|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 sur lies sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 small batch pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|41 sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|41 pinot gris|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 pinot gris|??|w|pinot gris|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 nelson pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|41 nelson pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=405
W|latitude|41 moutere chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|41 chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=408
W|latitude|41 chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=408
W|latitude|41 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitude|4 seasons wine club|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|33o|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|latitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitude|latitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=414
W|latitud|vinho 33 malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|vinho 33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|sur merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|sur carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|sur cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|42 coleccion gran reserva|??|r|??|??|??|2005|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|latitud|roble|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|latitud|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|latitud|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|latitud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|latitud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=426
W|latitud|33o sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33o malbec|??|r|malbec|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33o malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33o chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33o chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 syrah de 750cc caja x 6un|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 sauvignon blanc argentino|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 rose de malbec argentino|??|p|malbec|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latitud|33 merlot 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latitud|33 mendoza chardonnay|ar|w|chardonnay|mendoza|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 mendoza chardonnay|ar|w|chardonnay|mendoza|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 malbec rose|??|p|malbec|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latitud|33 malbec rose|??|p|malbec|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=443
W|latitud|33 malbec|??|r|malbec|??|??|2025|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 malbec|??|r|malbec|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=448
W|latitud|33 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latitud|33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latitud|33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latite|cu branza de vaci sarata 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latita|personalizada con mini rosario y tarjeta bautismo y comunion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
X
W|latis|grande reserve malbec cahors|??|r|malbec|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latipica|gonella vini|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latinoamerica|las ciudades y las ideas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latino|wine dinner|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latino|sandia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latino|sandia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=464
W|latino|coconut|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latino|cereza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latino|cereza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=467
W|latinia|cantina santadi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latinia|latinia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latini|riserva igt spumante svizzero|??|s|??|??|??|NV|12|igt|leve|aperitivos; frutos do mar; canapes|seco
W|latin|vid sauvblanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latin|secco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latin|lover|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latin|deli tomatillos whole green tomato 790g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latin|deli hearts of palm whole 400g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latin|beach|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latin|antipasti artichoke hearts 400g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latimis|latimis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latimer|wine taster pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latimer|white wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latimer|rose wine|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latimer|red wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latigo|negro halloween|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latigo|mourverdre rose lost boy wines wo cape agulhas|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latiendo|vino tinto malbec syrah y merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latiendo|latiendo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latido de|sara wild garnacha blanca|??|r|garnacha|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara wild garnacha|??|r|garnacha|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara wild garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara wild garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=491
W|latido de|sara wild garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=491
W|latido de|sara white grenache|??|r|grenache|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara tinto wild garnacha|??|r|garnacha|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|latido de|sara garnacha tinto|??|r|garnacha|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara garnacha blanca|??|r|garnacha|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latido de|sara garnacha blanca|??|r|garnacha|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=498
