W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta le petit red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta le petit clos red blend in wood|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta le petit clos red blend 6 cs in wood|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta le petit clos|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta do valle de colchagua|cl|r|??|colchagua|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta chile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=210
W|lapostolle|clos apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=212
W|lapostolle|clos apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=212
W|lapostolle|clos apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=212
W|lapostolle|clos apalta|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=216
W|lapostolle|clos apalta|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=216
W|lapostolle|clos apalta exclusive|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=220
W|lapostolle|clos apalta|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta valle de apalta|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=227
W|lapostolle|clos apalta|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=227
W|lapostolle|clos apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|lapostolle|clos apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|lapostolle|clos apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|lapostolle|chardonnay grand selection|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|chardonnay cuvee alexandre atalayas vineyard|??|w|chardonnay|??|??|2013|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|casa sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|casa sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=237
W|lapostolle|casa sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=237
W|lapostolle|casa merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=240
W|lapostolle|casa merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=240
W|lapostolle|casa grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|casa grand selection merlot|??|r|merlot|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa grand selection chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|casa grand selection chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|casa grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|casa chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=250
W|lapostolle|casa chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=250
W|lapostolle|casa carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=253
W|lapostolle|casa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|casa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=255
W|lapostolle|carmenere valle del rapel chile|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|carmenere grand selection casa|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|carmenere cuvee alexandre apalta|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|canto de apalta|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|canto de apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon grand selection|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon grand selection|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=263
W|lapostolle|cabernet sauvignon cuvee alexandre apalta valley colchagua valley chile|cl|r|cabernet sauvignon|colchagua|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon cuvee alexandre|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon 69 z|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=268
W|lapostolle|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=268
W|lapostolle|cabernet franc cuvee alexandre apalta|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta vinho tinto|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta red rapel valley chile|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta red rapel valley chile|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=274
W|lapostolle|apalta red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=276
W|lapostolle|apalta red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=276
W|lapostolle|apalta red 6 cs|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=280
W|lapostolle|apalta red|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta red|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=282
W|lapostolle|apalta red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta le petit clos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta ensamblaje|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta colchagua valley|cl|r|??|colchagua|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta chile tinto|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=291
W|lapostolle|apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=291
W|lapostolle|apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=291
W|lapostolle|alex atalayas chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|alex apalta cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=82
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=134
W|lapostolle|clos apalta|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cabernet sauvignon cuvee alexandre apalta|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|la parcelle 8|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta le petit clos red blend|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|la parcelle|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alex chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexandre cabernet sauvignon alpata chile|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laposa|zenit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|wine estate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|vitorlas zenit badacsony|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|vitorlas alkoholmentes olaszrizling badacsony drs|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|szurkebarat badacsony drs|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|szurkebarat 0 drs|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|szurkebarat|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|sparkling wine selection|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|laposa|rose brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|laposa|rose bor|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laposa|rose|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laposa|rose badacsony drs|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laposa|rose 0 drs|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laposa|rizling friss badacsony drs|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|rizling friss badacsony drs|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|rizling a negyzeten szaraz feherbor 075|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|pinot gris szurkebarat|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laposa|pino szurkebarat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|olaszrizling bor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|olaszrizling badacsony drs|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|nagysomloi juhfark|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|keknyelu bor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|keknyelu badacsony drs|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|keknyelu|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|keknyelu|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=329
W|laposa|keknyelu|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|keknyelu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|illatos bor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|illatos|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|illatos badacsony drs|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|illatos 0 drs|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|hableany pezsgo rose brut badacsony drs|??|s|??|??|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|laposa|hableany pezsgo extra dry badacsony drs|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|hableany pezsgo brut badacsony drs|??|s|??|??|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|laposa|friss olaszrizling szaraz feherbor 075 drs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|friss olaszrizling 0 drs|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|friss bor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|friss|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|extra dry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|estate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|laposa|borterasz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|borbirtok vitorlas olaszrizling alkoholmentes v 0|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|borbirtok vitorlas olaszrizling alkoholmentes v|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|borbirtok|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|balatoni vitorlas zenit szaraz feher bor 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|balatoni rose szaraz 075|??|p|??|??|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laposa|balatoni illatos szaraz feherbor 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|badacsonyi zeusz|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|apukam vilaga badacsony|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|alkoholmentes olaszrizling 0 drs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|4hegy olaszrizling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|4hegy badacsony drs|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|4hegy badacsony|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laposa|4 hegy olaszrizling szaraz feherbor 075|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|variety pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nv apertivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic negroni ready to drink mocktail 8 oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic negroni 4pk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic negroni 4pk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=364
W|lapos|nonalcoholic negroni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic negroni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|lapos|nonalcoholic melograno mule|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic espresso martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic citrus spritz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalcoholic aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=371
W|lapos|nonalc negroni 8oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|nonalc aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|non alcoholic aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|non alcoholic aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=375
W|lapos|non alcoholic aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=375
W|lapos|negroni na 4pk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|negroni 00 4 pack cans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|negroni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|melograno mule pomegranate mule 00 4 pack cans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|espresso martini 00 4 pack cans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|citrus spritz 00 4 pack cans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|bundle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|aperitivo 00|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapos|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laporte|sancerre vivienne|??|f|??|??|??|2020|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre rouge les royaux|??|f|??|??|??|2019|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre rouge grandmontains|??|f|??|??|??|2019|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre les garennes|??|f|??|??|??|2018|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le rochoy|??|f|??|??|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le rochoy|??|f|??|??|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=391
W|laporte|sancerre le rochoy|??|f|??|??|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=391
W|laporte|sancerre le rochoy|??|f|??|??|??|2018|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le rochoy|??|f|??|??|??|2017|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le rochoy|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le grand rochoy vv|??|f|??|??|??|2018|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le grand rochoy|??|f|??|??|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre le grand rochoy|??|f|??|??|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=398
W|laporte|sancerre la comtesse|??|f|??|??|??|2024|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre la comtesse|??|f|??|??|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre la comtesse|??|f|??|??|??|2016|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre grandmontains|??|f|??|??|??|2024|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|sancerre aoc la comtesse|??|f|??|??|??|2019|20|aoc|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|pouillyfume les duchesses|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|pouillyfume la vigne de beaussoppet|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|pouillyfume aoc les duchesses white dry 135 075|??|f|??|??|??|2022|20|aoc|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|pouilly fume le vigne de beaussoppet|??|f|??|??|??|2021|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte|pouilly fume la vigne de beaussoppet|??|f|??|??|??|2020|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte le|bouquet sauvignon blanc|??|f|sauvignon blanc|??|??|2024|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte le|bouquet sauvignon blanc|??|f|sauvignon blanc|??|??|2017|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte le|bouquet loire valley sauvignon blanc|fr|f|sauvignon blanc|loire|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporte le|bouquet loire valley pinot noir rose|fr|p|pinot noir|loire|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laporte|sauvignon blanc le bouquet loire valley fr|fr|f|sauvignon blanc|loire|??|2023|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laporrona|brusone toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lapor|belo krapez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapor|belo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone|ramato pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapone|me verdicchio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone|lincluso merlotcabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapone|lescluso orvieto classico superiore|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone|lescluso orvieto classico|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone|lescluso orvieto classico|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone|lescluso orvieto classico|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone la|macchia umbria rosso|it|r|??|umbria|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapone|caianochardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapon|pinot noir de venthone aoc valais jean rene germanier sa vetroz|??|r|pinot noir|??|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|lapolzella|elizabetta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapolzella|alida|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapola|white ribeira sacra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapola|dominio do bibei|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapola|lapola|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
