W|branco|von winning weisser burgunder imperial 2021 alemanha|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano montgras de vine reserva chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vegano minimalista pinot grigio 2023|??|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano libalis by maetierra 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano enrique foster ique torrontes 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano altos del plata chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vecciano toscana bianco igt barbanera collezione famiglia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vaz de carvalho reserva especial 2016 douro|pt|w|??|douro|??|2016|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vaz de carvalho reserva 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vastago de gea torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|varanda do conde|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|van zellers co vz 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|valpacos trasosmontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valmarino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valmarino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=241
W|branco|vallegre reserva especial 2020 douro|pt|w|??|douro|??|2020|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vallegre rabigato 2025 douro|pt|w|??|douro|??|2025|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallegre moscatel galego 2024 douro|pt|w|moscatel|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallegre colheita 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|valle pradinhos the lost corner 2019 trasosmontes|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valle pradinhos reserva 2023 trasosmontes|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|valle pradinhos reserva 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|valle pradinhos grande reserva 2020 trasosmontes|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|valle longo 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|valle dos pradinhos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valle de passos trasosmontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado tres melros 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado prima douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado prima 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado prima|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vallado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vall da nogueirinha 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|valentini trebbiano dabruzzo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valentina piacione bianco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valentina piacione bianco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=264
W|branco|vale d maria douro superior doc|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|valdoeiro doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valdoeiro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valautin albillo real vinos de madrid 2021|??|w|albillo|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|valautin albillo real 2018|??|w|albillo|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|val moreira reserva 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|val moreira colheita 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vadio 2023 bairrada|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|v verdelho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uvva sauvignon blanc vinicola uvva mucuge chapada diamantina bahia safra 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uvva microlote chardonnay vinicola uvva mucuge chapada diamantina bahia|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uvva chardonnay vinicola uvva mucuge chapada diamantina bahia safra 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uvita uvita moscatel|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio viva el esencial sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio viva el esencial chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio toscanini classico blanc de blanc seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio sauvignon blanc garzon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio pueblo del sol sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio pizzorno sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio noble alianza chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio montes toscanini reserva familiar sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|uruguaio michellini i mufatto vinos de mar albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio marichal reserve collection albarino|??|w|albarino|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|uruguaio marichal periplo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio marichal marichal premium varietal sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio la virazon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio la virazon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=291
W|branco|uruguaio la hacienda chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio garzon estate viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio don pascual chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio complice parcelas seleccionadas chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio cepas nobles juan carrau sauvignon garrafa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|uruguaio casa grande sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|uruguaio albarino alta reserva gimenez mendez|??|w|albarino|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|uruguaio albarino alta reserva gimenez mendez|??|w|albarino|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=299
W|branco|uruguai don pascual coastal albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|umbria igt santa cristina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|umani verdicchio villa bianchi|??|w|verdicchio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ultreia godello raul perez|??|w|godello|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|two oceans pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|two oceans pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=305
W|branco|two oceans pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=305
W|branco|two oceans chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|two oceans chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=308
W|branco|tuzko riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tuzko pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tuzko gruner veltliner hungria|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tuttifrutti arrogant frog|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|turzko gruner veltliner 2022 hungaro|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|turbio ugni blanc 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|truffle hunter leda moscato dasti docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|truffle hunter leda moscato dasti docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=316
W|branco|truffle hunter leda langhe chardonnay doc|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trovati pinot grigio vigneti delle dolomiti igt 2022|??|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trovati pinot grigio 2024|??|w|pinot grigio|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trois atlantico 2021 peninsula de setubal|pt|w|??|setubal|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|trois atlantico 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trivento reserve white malbec|??|w|malbec|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|trivento reserve white malbec|??|w|malbec|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=323
W|branco|trivento reserve white malbec|??|w|malbec|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=323
W|branco|trinca bolotas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach riesling clos saint hune 2016 alsacia|??|w|riesling|??|??|2016|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach riesling classic alsacia|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach pinot gris reserve alsacia|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|trimbach pinot blanc alsacia|??|w|pinot blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach gewurztraminer cuvee des seigneurs de ribeaupierre alsacia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach gewurztraminer classic alsacia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach cuvee frederic emile 2017 alsacia|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trimbach cuvee frederic emile 2017 alsacia|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco|=333
W|branco|triade sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tres gigantes 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tres bagos lavradores da feitoria reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|trenel pouilly fuisse blanc chardonnay 13 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano winemakers vinicola foppa ambrosicom pixcom pix4x desem juros|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano winemakers vinicola foppa ambrosicom pixcom pix4x desem juros|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=339
W|branco|trebbiano winemakers vinicola foppa ambrosicom pixcom pix4x desem juros|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=339
W|branco|trebbiano winemakers vinicola foppa ambrosi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano wild miolo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano toscano solitude|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano toscano graciema vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|trebbiano toscana bianco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano piperino provveditore doc 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano dabruzzo valentini|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano d abruzzo masciarelli|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano colli dela toscana centrale 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trebbiano colli aprutini igt mezzo pieno 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|traversa sauvignon blanc 1|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trasosmontes po onze|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trapiche tesoro chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trapiche tesoro chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=354
W|branco|trapiche terroir series finca las piedras chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trapiche astica white wine|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|trapiche astica sweet white|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|traful chardonnaysemillon|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tradicional jota pe|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tradicional jota pe|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=360
W|branco|tradicion chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|touraine sauvignon 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|toso piemonte cortese doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|toscanini reserve chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|toscanini classic blanc de blancs|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|toscana bianco igt 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes yacochuya|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes phebus|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes la linda|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes la linda|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=370
W|branco|torrontes la linda|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=370
W|branco|torrontes expreso bodeguero|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes argentino hereford|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes altavid|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes altavid|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=375
W|branco|torrontes alta yari|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrontes alamos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torresella pinot grigio doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrelongares macabeo e chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrederos verdejo 2022|??|w|verdejo|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrederos verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torre romanica pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torre romanica|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torre de palma reserva da familia 2018 regional alentejano|??|w|??|??|??|2018|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|torre de palma reserva 2023 regional alentejano|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|torre de palma arinto alvarinho 2022 regional alentejano|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torrantes vitale|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|toro loco viura sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|toro loco viura sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=389
W|branco|toro de piedra sauvignon blanc reserva|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|toro de piedra sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|toro de piedra gran reserva late harvest 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|toro de piedra chardonnay reserva|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|tormaresca chardonnay puglia|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tordo loureiro premium edition 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|tordo alvarinho sur lies premium edition 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|tordo alvarinho premium edition 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|tordo alvarinho 2024 regional minho|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|torcello reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|torcello moscato giallo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
S|=178
W|branco|tonel20 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tonel 46 private selection chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tombacco tai igt veneto 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tokaji aszu 3 puttonyos 2014|??|w|??|??|??|2014|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|todos reserva arinto bairrada|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|todos colheita arinto bairrada|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|todos arinto reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|todos arinto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tnt chardonnay estate grown|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|titular reserva 2020 dao|pt|w|??|dao|??|2020|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|titular|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
S|=178
W|branco|titan of tavoravarosa daemon 2020 tavoravarosa|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|titan of tavora varosa daemon 2022 tavoravarosa|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|titan of douro reserva 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|titan of douro reserva 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|medio|peixes, frutos do mar, saladas|seco|=417
W|branco|titan of douro reserva 0|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|titan of douro fragmentado blend ii douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|titan of douro fragmentado blend i douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|titan indiegente siria 2023 beira interior|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tirado a ferros 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tirado a ferros 2015|??|w|??|??|??|2015|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tirado a ferros|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tinto espanhol mas 34 sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|timo vermentino san marzano|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tim grande reserva 2019 douro|pt|w|??|douro|??|2019|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|tierra de lechuzas semillon 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tiara|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tiago cabaco vinhas velhas 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|tiago cabaco vinhas velhas 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|tiago cabaco com premium alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|thomas barton reserva sauternes|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|thomas barton reserva graves|fr|w|??|bordeaux|graves|NV|12.5|AOC|medio|peixes, frutos do mar, saladas|seco
W|branco|this is not another lovely torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|thera sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|thera chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|theia muscadet 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|the prisoner chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|the grill master fan club sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|the grill master fan club sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
W|branco|the grill master fan club|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|thalassa chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|th chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|textura pura 2022 dao|pt|w|??|dao|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|textura pura 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|textura da estrela dao|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|textura da estrela 2022 dao|pt|w|??|dao|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|tetramythos roditis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|tetramythos retsina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
