1. W|wente|vineyards 1883 cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
252. W|wente|estate grown riverbank riesling|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
253. W|wente|estate grown chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
254. W|wente|estate beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
255. W|wente|erics chardonnay small lot|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
256. W|wente|erics chardonnay small lot|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
257. X
258. X
259. X
260. X
261. X
262. X
263. W|wente|charles wetmore reserve cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|reserve|encorpado|carne vermelha, massas, queijo|seco
264. W|wente|charles wetmore reserve cabernet sauvignon 2|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijo|seco
265. W|wente|charles wetmore reserve cabernet sauvignon|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijo|seco
266. W|wente|charles wetmore reserve cabernet sauvignon|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijo|seco|=N
267. W|wente|charles wetmore reserve cabernet sauvignon|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijo|seco|=N
268. X
269. W|wente|charles wetmore cabernet sauvignon single vineyard|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
270. W|wente|charles wetmore cabernet sauvignon livermore valley|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
271. W|wente|charles wetmore cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
272. W|wente|charles wetmore cabernet sauvignon 2021 single vineyard|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
273. W|wente|charles wetmore cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
274. W|wente|charles wetmore cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
275. W|wente|charles wetmore cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
276. W|wente|charles wetmore cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
277. W|wente|charles wetmore cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
278. W|wente|charles wetmore cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
279. W|wente|charles wetmore cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
280. X
281. W|wente|chardonnay riva range vineyard|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
282. W|wente|chardonnay riva ranch single vineyard|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
283. W|wente|chardonnay riva ranch 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
284. W|wente|chardonnay riva ranch|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
285. W|wente|chardonnay riva ranch|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
286. W|wente|chardonnay morning fog livermore valley|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
287. W|wente|chardonnay morning fog livermore valley|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
288. W|wente|chardonnay morning fog central coast ca|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
289. W|wente|chardonnay morning fog californie 2019|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
290. W|wente|chardonnay morning fog californie 2018|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
291. W|wente|chardonnay morning fog californie 2015|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
292. W|wente|chardonnay morning fog|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
293. W|wente|chardonnay morning fog|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
294. W|wente|chardonnay morning fog|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
295. W|wente|chardonnay morning fog|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
296. W|wente|chardonnay morning fog|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
297. W|wente|chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
298. W|wente|chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
299. W|wente|chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
300. W|wente|chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
301. W|wente|chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
302. W|wente|californie morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
303. W|wente|californian zinfandel beyer ranch 2020 usa|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
304. W|wente|cabernet sauvignon wetmore vineyard livermore valley 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
305. W|wente|cabernet sauvignon wetmore vineyard livermore valley 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
306. W|wente|cabernet sauvignon wetmore vineyard livermore valley 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
307. W|wente|cabernet sauvignon southern hills central coast ca|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
308. W|wente|cabernet sauvignon southern hills central coast ca|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
309. W|wente|cabernet sauvignon southern hills californie 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijo|seco
310. W|wente|cabernet sauvignon southern hills californie 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco
311. W|wente|cabernet sauvignon southern hills|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
312. W|wente|cabernet sauvignon southern hills|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
313. W|wente|cabernet sauvignon southern hills|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
314. W|wente|cabernet sauvignon southern hills|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
315. W|wente|cabernet sauvignon southern hills|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
316. W|wente|cabernet sauvignon sourthen hills|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
317. W|wente|cabernet sauvignon chas wetmore|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
318. W|wente|cabernet sauvignon charles wetmore single vineyard|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
319. W|wente|cabernet sauvignon charles wetmore|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
320. W|wente|cabernet sauvignon charles wetmore|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
321. W|wente|cabernet sauvignon 750 mlt 135|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
322. W|wente|cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
323. W|wente|cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
324. W|wente|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
325. W|wente|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
326. X
327. X
328. X
329. W|wente|beyer ranch zinfandel california 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijo|seco
330. W|wente|beyer ranch zinfandel california|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
331. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
332. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
333. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
334. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
335. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
336. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
337. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
338. W|wente|beyer ranch zinfandel 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
339. W|wente|beyer ranch zinfandel 2021 vin rosu|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
340. W|wente|beyer ranch zinfandel 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
341. W|wente|beyer ranch zinfandel 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
342. W|wente|beyer ranch zinfandel 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
343. W|wente|beyer ranch zinfandel 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
344. W|wente|beyer ranch zinfandel 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
345. W|wente|beyer ranch zinfandel 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
346. W|wente|beyer ranch zinfandel 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
347. W|wente|beyer ranch zinfandel 20|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
348. W|wente|beyer ranch zinfandel 075|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
349. W|wente|beyer ranch zinfandel 0|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
350. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
351. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
352. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
353. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
354. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
355. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
356. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
357. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
358. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
359. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
360. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
361. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
362. W|wente|beyer ranch zinfandel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
363. X
364. W|wente|beyer ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
365. W|wente|beyer ranch californian chardonnay 2019|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
366. W|wente|baily hill pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
367. W|wente|baily hill pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
368. W|wente|baily hill pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
369. W|wente|baily hill pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
370. W|wente|baily hill pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
371. W|wente|baily hill pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
372. W|wente|angels ink monterey pinot noir 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
373. W|wente|2018 nth degree chardonnay|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
374. W|wente|2014 riva ranch chardonnay arroyo seco monterey california|??|w|??|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
375. X
376. X
377. X
378. X
379. X
380. X
381. X
382. X
383. X
384. X
385. X
386. X
387. X
388. X
389. X
390. X
391. X
392. X
393. X
394. X
395. X
396. X
397. X
398. X
399. X
400. X
401. X
402. X
403. X
404. X
405. X
406. X
407. X
408. X
409. X
410. X
411. X
412. X
413. X
414. X
415. X
416. X
417. X
418. X
419. X
420. X
421. X
422. S
423. X
424. X
425. X
426. X
427. X
428. X
429. X
430. X
431. X
432. X
433. X
434. X
435. X
436. X
437. X
438. X
439. X
440. X
441. S
442. X
443. X
444. X
445. X
446. X
447. X
448. S
449. X
450. X
451. X
452. X
453. X
454. W|weningergere|phoenix merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
455. X
456. X
457. X
458. X
459. X
460. X
461. W|weninger|syrah 2005|??|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, massas, queijo|seco
462. X
463. X
464. X
465. X
466. X
467. X
468. W|weninger|stein furmint 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
469. W|weninger|stein furmint 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
470. X
471. X
472. X
473. X
474. X
475. X
476. X
477. X
478. X
479. X
480. X
481. X
482. X
483. X
484. X
485. X
486. X
487. X
488. X
489. X
490. X
491. W|weninger|regi iskola cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
492. X
493. X
494. X
495. X
496. X
497. X
498. X
499. X
500. X
501. X
502. X
503. W|weninger|pinot noir balf 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijo|seco
504. X
505. W|weninger|pinceszet stein furmint 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
506. W|weninger|pinceszet regi iskola cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
507. X
508. X
509. W|weninger|pinceszet hollesgrund syrah 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
510. W|weninger|pinceszet frettner soproni cabernet franc 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
511. X
512. X
513. X
514. X
515. W|weninger|merlot 2003|??|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, massas, queijo|seco
516. W|weninger|merlot 2002|??|r|??|??|??|2002|13.5|??|encorpado|carne vermelha, massas, queijo|seco
517. W|weninger|merlot 2000|??|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, massas, queijo|seco
518. X
519. X
520. X
521. X
522. X
523. X
524. X
525. X
526. W|weninger|hollesgrund syrah 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
527. X
528. W|weninger|hochacker blaufrankisch burgerland 2021 red dry 13 075|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
529. X
530. X
531. W|weninger|furmint vom kalk h 2019|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
532. W|weninger|furmint vom kalk 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
533. W|weninger|furmint vom kalk 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
534. W|weninger|furmint vom kalk 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
535. W|weninger|furmint stein 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
536. W|weninger|frettner cabernet franc h 2015|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
537. W|weninger|frettner cabernet franc 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
538. W|weninger|frettner cabernet franc 2016|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
539. W|weninger|frettner cabernet franc 2013|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
540. W|weninger|frettner cabernet franc 2012|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
541. W|weninger|frettner cabernet franc 2011|??|w|??|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
542. W|weninger|frettner cabernet franc 2009|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
543. X
544. X
545. X
546. X
547. X
548. X
549. X
550. X
551. W|weninger|cabernet franc 2006|??|w|??|??|??|2006|12.5|??|medio|peixes, frutos do mar, saladas|seco
552. W|weninger|cabernet franc 2003|??|w|??|??|??|2003|12.5|??|medio|peixes, frutos do mar, saladas|seco
553. W|weninger|cabernet franc 2002|??|w|??|??|??|2002|12.5|??|medio|peixes, frutos do mar, saladas|seco
554. W|weninger|burgenland syrah h 2016|at|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
555. X
556. X
557. X
558. X
559. X
560. X
561. X
562. X
563. X
564. X
565. X
566. X
567. X
568. X
569. X
570. X
571. X
572. W|wengier|chablis 1er cru vaillons 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
573. W|wengier|bourgogne chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
574. X
575. X
576. X
577. X
578. X
579. X
580. X
581. X
582. X
583. X
584. X
585. X
586. X
587. X
588. X
589. X
590. X
591. X
592. X
593. X
594. X
595. X
596. X
597. X
598. X
599. X
600. X
601. X
602. X
603. X
604. X
605. X
606. X
607. X
608. X
609. X
610. X
611. X
612. X
613. X
614. X
615. X
616. X
617. X
618. X
619. X
620. X
621. X
622. X
623. X
624. X
625. X
626. X
627. X
628. X
629. X
630. X
631. X
632. X
633. X
634. X
635. W|wendouree|shiraz mataro 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco
636. W|wendouree|shiraz mataro 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
637. W|wendouree|shiraz mataro 2008|??|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, massas, queijo|seco
638. W|wendouree|shiraz mataro 2006|??|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, massas, queijo|seco
639. W|wendouree|shiraz mataro|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
640. W|wendouree|shiraz malbec 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
641. W|wendouree|shiraz malbec 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco
642. W|wendouree|shiraz malbec 2012|??|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijo|seco
643. W|wendouree|shiraz 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
644. W|wendouree|shiraz 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
645. W|wendouree|shiraz 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
646. W|wendouree|shiraz 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
647. W|wendouree|shiraz 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijo|seco
648. W|wendouree|shiraz 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijo|seco
649. W|wendouree|shiraz 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco
650. W|wendouree|shiraz 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
651. W|wendouree|shiraz 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
652. W|wendouree|shiraz 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
653. W|wendouree|shiraz 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
654. W|wendouree|shiraz 2015|??|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijo|seco
655. W|wendouree|shiraz 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco
656. W|wendouree|shiraz 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco
657. W|wendouree|shiraz 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
658. W|wendouree|shiraz 2011|??|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijo|seco
659. W|wendouree|shiraz 2010|??|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijo|seco
660. W|wendouree|shiraz 2009|??|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, massas, queijo|seco
661. W|wendouree|shiraz 2008|??|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, massas, queijo|seco
662. W|wendouree|shiraz 2006|??|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, massas, queijo|seco
663. W|wendouree|shiraz 2004|??|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, massas, queijo|seco
664. W|wendouree|shiraz 2002|??|r|??|??|??|2002|13.5|??|encorpado|carne vermelha, massas, queijo|seco
665. W|wendouree|shiraz 2001|??|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, massas, queijo|seco
666. W|wendouree|shiraz 1997|??|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, massas, queijo|seco
667. W|wendouree|shiraz 1997|??|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
668. W|wendouree|shiraz 1994|??|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, massas, queijo|seco
669. W|wendouree|shiraz|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
670. X
671. W|wendouree|muscat of alexandria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
672. W|wendouree|malbec 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco
673. W|wendouree|malbec 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
674. W|wendouree|malbec 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco
675. W|wendouree|malbec 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
676. W|wendouree|malbec 2006|??|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, massas, queijo|seco
677. W|wendouree|malbec 2005|??|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, massas, queijo|seco
678. X
679. X
680. W|wendouree|cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
681. W|wendouree|cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
682. W|wendouree|cabernet sauvignon 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco
683. W|wendouree|cabernet sauvignon 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
684. W|wendouree|cabernet sauvignon 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
685. W|wendouree|cabernet sauvignon 2015|??|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijo|seco
686. W|wendouree|cabernet sauvignon 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco
687. W|wendouree|cabernet sauvignon 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
688. W|wendouree|cabernet sauvignon 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco
689. W|wendouree|cabernet sauvignon 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
690. W|wendouree|cabernet sauvignon 2012|??|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijo|seco
691. W|wendouree|cabernet sauvignon 2012|??|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
692. W|wendouree|cabernet sauvignon 2011|??|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijo|seco
693. W|wendouree|cabernet sauvignon 2010|??|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijo|seco
694. W|wendouree|cabernet sauvignon 2008|??|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, massas, queijo|seco
695. W|wendouree|cabernet sauvignon 2006|??|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, massas, queijo|seco
696. W|wendouree|cabernet sauvignon 2005|??|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, massas, queijo|seco
697. W|wendouree|cabernet sauvignon 2004|??|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, massas, queijo|seco
698. W|wendouree|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
699. W|wendouree|cabernet malbec 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
700. W|wendouree|cabernet malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijo|seco
