W|langhe|doc freisa lice adriano marco e vittorio|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|chardonnay doc massolino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=213
W|langhe|chardonnay doc massolino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=213
W|langhe|chardonnay doc massolino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=213
W|langhe|chardonnay doc marco capra|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=219
W|langhe|chardonnay doc marchesi di gresy|it|w|chardonnay|marche|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc cascina orizzonte|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc rizzi|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc marchesi di gresy|it|w|chardonnay|marche|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc marco capra|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc 0|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=228
W|langhe|chardonnay doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=228
W|langhe|chardonnay doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=228
W|langhe|chardonnay cadet bruno rocca|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay bujet doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay bujet franco conterno|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay botticella|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay bastia biologico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay bastia|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay bio|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay fletcher wines|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=242
W|langhe|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=242
W|langhe|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco|=245
W|langhe|chardonnay sonderpreis morra gabriele|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=249
W|langhe|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=249
W|langhe|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=249
W|langhe|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=249
W|langhe|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=249
W|langhe|bussiador chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bricco manzoni podere rocche dei manzoni|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bricco manzoni rocche dei manzoni|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bric amel doc|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco viognier doc centobricchi|??|w|viognier|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco viognier centobricchi|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco treuve malvira|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco tres plus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco sorriso paolo scavino|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco sorriso doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco sciulun franco conterno|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco scapulin ved 6 stk 17500 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco scapulin giuseppe cortese|??|w|cortese|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco scapulin giuseppe cortese|??|w|cortese|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco scapulin giuseppe cortese|??|w|cortese|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco sauvignon basarico adriano wit|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco sauvignon basarico adriano wit|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco rovella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco roagna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco riesling doc|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco rabel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco prinsipi conterno fantino|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco piero busso doc|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco malvira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco le coccinelle bio doc 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco langhet|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco foreste doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco dragon luigi baudana|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco dragon luigi baudana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco dragon badana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco dop alteni di brassica gaja|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc vionie sordo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc viognier cascina del monastero di grasso giuseppe|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco doc vigna meira poderi luigi einaudi wine outlet|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc vigna meira poderi luigi einaudi wine outlet|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=288
W|langhe|bianco doc vigna meira poderi luigi einaudi wine outlet|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=288
W|langhe|bianco doc vigna meira poderi luigi einaudi wine outlet|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=288
W|langhe|bianco doc vigna meira poderi luigi einaudi wine outlet|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=288
W|langhe|bianco doc vigna meira poderi luigi einaudi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc vigna meira poderi luigi einaudi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=293
W|langhe|bianco doc vigna meira poderi luigi einaudi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=293
W|langhe|bianco doc tres plus orlando abrigo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc tres plus orlando abrigo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=296
W|langhe|bianco doc tres plus orlando abrigo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=296
W|langhe|bianco doc timorasso sto fuori virna borgogno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc tataya rocche dei manzoni|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc rebelle agricola brandini|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc re di fiori braida|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc rabel cagliero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc rabel cagliero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=303
W|langhe|bianco doc piemont sciulun 20222023 franco conterno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc il fiore braida di giacomo bologna|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc il fiore braida di giacomo bologna|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=306
W|langhe|bianco doc il fiore braida di giacomo bologna|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=306
W|langhe|bianco doc il fiore braida di giacomo bologna|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=306
W|langhe|bianco doc il fiore braida di giacomo bologna|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=306
W|langhe|bianco doc il fiore braida|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc grillobianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc grillobianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=312
W|langhe|bianco doc grey reva|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc grey reva|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=314
W|langhe|bianco doc grey reva|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=314
W|langhe|bianco doc grey reva|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=314
W|langhe|bianco doc grey reva|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=314
W|langhe|bianco doc foreste sordo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc foravia silvano nizza|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc dragon luigi baudana gd vajra|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc dragon azienda agricola luigi baudana gd vajra|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc dragon azienda agricola luigi baudana gd vajra|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=322
W|langhe|bianco doc dragon azienda agricola luigi baudana gd vajra|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=322
W|langhe|bianco doc bussiador poderi aldo conterno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc bussiador poderi aldo conterno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=325
W|langhe|bianco doc bussiador poderi aldo conterno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=325
W|langhe|bianco doc bussiador poderi aldo conterno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=325
W|langhe|bianco doc bussiador aldo conterno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc bio quando azienda agricola camparo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc antica novella silvano bolmida|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc antica novella magnum silvano bolmida|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc roagna|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc roagna|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=333
W|langhe|bianco doc roagna|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=333
W|langhe|bianco doc roagna|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=333
W|langhe|bianco doc roagna|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=333
W|langhe|bianco doc podere ruggeri corsini|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc la spinetta|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc la spinetta|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc la spinetta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=342
W|langhe|bianco centobricchi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco casali del barone 1501|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco baudana gd vajra doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco arneis la vedettabarbaresco|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|bianco armonia doc|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco armando parusso|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco la spinetta|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco 1501 doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=355
W|langhe|bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=355
W|langhe|barbera fontanelle doc|??|r|barbera|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera doc casaret marziano abbona|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera doc bompe borgogno|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera doc bompe borgogno|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=360
W|langhe|barbera doc bompe borgogno|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=360
W|langhe|barbera doc bompe borgogno|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=360
W|langhe|barbera doc bompe borgogno|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera doc poderi luigi einaudi|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera doc poderi luigi einaudi|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=365
W|langhe|barbera doc poderi luigi einaudi|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=365
W|langhe|barbera doc poderi luigi einaudi|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=365
W|langhe|barbera doc poderi luigi einaudi|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=365
W|langhe|barbera cado anna maria abbona|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera altare dogliant cn|??|r|barbera|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera lapo berti|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|barbera doc cantina 12064 di dominik weigand|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|arneis ugo lequio|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis ugo lequio|??|w|arneis|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis tre fie marrone|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis tre fie|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis tre fie|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=377
W|langhe|arneis srej doc 0|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis sirena ca viola|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis runcneuv doc 0|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis rocche costamagna|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis rocche costamagna|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=382
W|langhe|arneis piemont italien|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis piemont italien|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=384
W|langhe|arneis montebertotto doc|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis montebertotto|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis matire doc alessandro rivetto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis libra tenuta parco valle della vite|??|w|arneis|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis langhet|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis in amphoris|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis franco conterno piemonte italie|it|w|arneis|piemonte|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis docg bio la giga radici e filari|??|w|arneis|??|??|2024|12.5|docg|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis docg borgogno rivata|??|w|arneis|??|??|2024|12.5|docg|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc sommo fontanabianca|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc sbarato|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc montebertotto castello di neive|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc montebertotto castello di neive|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=397
W|langhe|arneis doc montebertotto castello di neive|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=397
W|langhe|arneis doc de la bosio|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc damilano|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc bonora ca moranda|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc blange magnum ceretto bio|??|w|arneis|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc blange ceretto bio|??|w|arneis|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc biologico|??|w|arneis|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc bio bruno franco|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc bio bera ml 750 cod ber12|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc barivel cascina galarin|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc arveja prunotto|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=410
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=410
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=410
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=410
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=415
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=415
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=415
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=415
W|langhe|arneis doc|??|w|arneis|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=421
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=421
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=421
W|langhe|arneis doc scrimaglio|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=421
W|langhe|arneis doc punset|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc punset|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=426
W|langhe|arneis doc punset|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=426
W|langhe|arneis doc punset|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=426
W|langhe|arneis doc punset|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=426
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=431
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=431
W|langhe|arneis doc punset|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc punset|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=434
W|langhe|arneis doc|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc prunotto|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc|??|w|arneis|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|arneis doc|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=440
W|langhe|arneis doc|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=440
