W|camino de|chile limited edition|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=226
W|caldora montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=226
W|caldora colle dei venti montepulciano|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldas|touriga nacional tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcu winemakers selection|chile 2018|cl|r|??|valle central|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu winemakers selection|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu winemakers selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu winemakers selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=233
W|calcu winemaker s selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks sauvignon blanc semillon|semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calcu tiny blocks sauvignon blanc semillon|semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=237
W|calcu tiny blocks|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calcu tiny blocks|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=239
W|calcu tiny blocks malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=241
W|calcu tiny blocks|syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks|cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=247
W|calcu tiny blocks cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=249
W|calcu tiny blocks cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu tiny blocks cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=251
W|calcu|rose 2020|??|p|??|??|??|2020|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|calcu|malbec rose chile 2021|cl|p|malbec|valle central|??|2021|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|calcu|cabernet franc 2018|??|r|cabernet franc|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcu futa cabernet sauvignon|chile 2011|cl|r|cabernet sauvignon|valle central|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu futa cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu futa cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=257
W|calcu fotem|chile 2018|cl|r|??|valle central|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu fotem cabernet sauvignon|2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu fotem cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcu fotem cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=261
W|calcarios|do principal tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcario3|do principal tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcario3|do principal reserva tinto 2012|??|r|??|??|??|2012|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcario3|do principal chardonnay branco 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calcario3|do principal chardonnay branco 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calcario3 chardonay 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcario|do principal chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calcario 3|do principal reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calcario 3|do principal chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calcareo rio de los chacayes|chacayes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcareo coluvio de altamira|altamira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calcada velha adega mor|mor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calanica nero d avola silicia|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calanica nero d avola silicia|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=275
W|calanica nero d avola silicia|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=275
W|calanica grillo sicilia|doc|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calanica grillo sicilia|doc|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=278
W|calanica grillo sicilia|doc|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=278
W|calanica frappato terre siciliane|igt|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calanica frappato terre siciliane|igt|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=281
W|calanica frappato terre siciliane|igt|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=281
W|calamares verde|rose doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calamares verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calamares verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=285
W|calamares verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=285
W|calamares verde doce|branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calamares verde|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calamares verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calamares verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=290
W|calamares|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calamares|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calamares|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=293
W|calamares|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=293
W|calamares|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=293
W|calamares|branco verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calamares|branco verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=297
W|calamares|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calamares|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=299
W|calamares bco verde|doc 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calabuig tempranillo|tinto espanha|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cala rey|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cala rey sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cala rey|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cala rey|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cainelli addolorata|suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|cainelli addolorata|suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=307
W|cainelli addolorata seco|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cainelli addolorata seco|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=309
W|cafetin malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cafetin coleccion roble malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cafetin cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cafetin bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cafayate malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caetano vicentino merlot|blend de safras|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caetano vicentino|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|caetano vicentino cabernet sauvignon merlot|merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadus vista flores appellation chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cadus tupungato appellation malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadus tupungato appellation malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=320
W|cadus tupungato appellation cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadus tupungato apellation|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadus|single vineyard finca las tortugas malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cadus|single vineyard finca las torcazas malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cadus|single vineyard finca las torcazas malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco|=325
W|cadus signature series petit verdot|verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadus signature series petit verdot|verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=327
W|cadus signature series criolla|criolla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadus|blend de alturas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cadoucos|natur|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilla pipeno 5050|5050|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilla cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha pipeno pais cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha pipeno pais|pais|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha pipeno|pipeno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha pet nat|rose|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|cacique maravilha pet nat negro|negro|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|cacique maravilha pais cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha naturalmente|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha naranja|naranja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha gutiflower|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cacique maravilha gutiflower|gutiflower|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha cotpaiscabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacique maravilha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=345
W|cachao|tinto meia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cachao|tinto doc douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cachao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cacada real|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz xm|encruzado branco 1x|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|cabriz xm|encruzado branco 1x|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=351
W|cabriz|rose colheita selecionada doc dao|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|cabriz|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cabriz|tinto ip 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabriz|doc dao branco|pt|w|??|dao|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|cabriz|doc 2017 tinto portugal|??|r|??|??|??|2017|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabriz|2014 tinto|??|r|??|??|??|2014|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabriz|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabriz|doc dao colheita selecionada tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz|doc dao colheita selecionada tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=360
W|cabriz colheita selecionada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz colheita selecionada|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cabriz colheita selecionada|dao doc|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz colheita selecionada|dao 2021 branco portugal|pt|w|??|dao|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|cabriz colheita selecionada|dao 2019 tinto portugal|pt|r|??|dao|??|2019|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz colheita|rose ip 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cabriz colheita ip tto 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz c verde ip 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz c by cabriz ig terras da beira|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriz|cabriz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriolet touringa nacional|nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabriola by borsao|borsao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabreo il borgo toscana|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabreo il borgo folonari toscana|toscana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabra figa adega mor|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabra figa adega mor|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cabo de hornos cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo de hornos cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=378
W|cabo de hornos|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo de hornos|hornos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo de hornos|hornos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=381
W|cabo de hornos|hornos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=381
W|cabo da roca verde|doc selecao enologo portugues|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca touriga nacional tto 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca touriga nacional|especial|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|regional peninsula de setubal tinto portugues|pt|r|??|setubal|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|regional lisboa merlot tinto portugues|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|igp regional lisboa syrah tinto portugues|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|igp regional lisboa rose portugues|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|cabo da roca|doc bairrada baga tinto portugues|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|centenary vines baga tinto portugues|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca|bucelas doc arinto branco portugues|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|cabo da roca regional peninsula de|setubal selecao enologo tinto portugues|pt|r|??|setubal|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca regional peninsula de|setubal selecao enologo branco portugues|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|cabo da roca regional lisboa selecao enologo|tinto portugues|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca regional lisboa selecao enologo|rose portugues|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cabo da roca regional lisboa selecao enologo|branco portugues|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cabo da roca grande|igp reg lisboa cab sauv tinto portugues|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabo da roca baga|especial|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
X|=26
X|=26
X|=26
W|cabianca dolcetto dacqui|doc tinto italiano|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeza de piedra merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeza de piedra merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=406
W|cabeza de piedra malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeza de piedra malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=408
W|cabeza de piedra carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeza de piedra carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=410
W|cabeza de piedra cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeza de piedra cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=412
W|cabernet sauvignon uruguaio marta mendez|mendez|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|tinto seco santa colina|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|tinto demisec santa colina|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon select norton|norton|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon seco cappelletti|cappelletti|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|monte paschoal|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|monte paschoal|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=419
W|cabernet sauvignon|garibaldi|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|especial 120 valle central santa rita|cl|r|cabernet sauvignon|valle central|??|NV|14.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|especial 120 valle central santa rita|cl|r|cabernet sauvignon|valle central|??|NV|14.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco|=422
W|cabernet sauvignon|chileno valsierra kit leve 3 pague 2 3x|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|argentino pascual toso|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|argentino hereford|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon origem casa valduga|valduga|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon opi argentino|gran mascota|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon oak vinoh|vinoh|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon merlot miolo selecao|selecao|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon marques de casa concha|concha|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon intriga maxima chileno|tinto|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon intenso salton|salton|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|igt corte noa|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|igt corte noa|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=434
W|cabernet sauvignon|igt bepin de eto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon granja uniao garibaldi|garibaldi|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon giacomin kit 3 bags de|de|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon giacomin kit 2 bags de|de|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon giacomin bag|bag|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
