W|grain|par grain caroline lededente grain de minuit|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralo|franciacorta mgm astuccio extra brut franciacorta docg|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|extra brut
W|gralo|franciacorta saten brut franciacorta docg|??|s|??|??|??|2020|12|docg|leve|aperitivos, frutos do mar, canapes|brut
W|gralton|la sort de ponent|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralton|lo coster del crivi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralyn|estate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralyn|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralyn|estate reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralyn|estate reserve chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gralyn|estate reserve shiraz|??|r|shiraz|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gralyn|estate shiraz reserve|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grama|costa viola bianco igt|??|w|??|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gramadoelas|grenache blanc scions of sinai|??|w|grenache|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gramadoelas|grenache blanc 24|??|w|grenache|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graman|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graman|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=252
W|graman|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=252
W|graman|clairet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graman|clairet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=255
W|graman|clairet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=255
W|graman|cotes de bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graman|cuvee terroir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graman|entredeuxmers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graman|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|graman|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=261
W|graman|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=261
W|graman|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graman|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=264
W|graman|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=264
W|grambazan|etiqueta ambar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|branco|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|grande reserva branco|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|grande reserva branco|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|grande reserva tinto|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|reserva red|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|reserva tinto|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|reserva tinto 1|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|reserva tinto|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|reserva tinto|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grambeira|val pedro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grame|il vecchio poggio|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grame|malvasia ferlat|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grame|malvasia ferlat|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|gramelot|marche igt bianco|??|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gramenon|gramenon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone ceps centenaires la meme|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone rouge a pascal s|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone rouge la sagesse|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cdr la belle sortie|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|ceps cent la meme|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|ceps cent la meme|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=288
W|gramenon|ceps centenaires la meme|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|ceps centenaires la meme|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone belle sortie|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone il fait soif|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone l emouvante|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone l emouvante|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone la poignee de raisin|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone la vie on y est|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone poignee de raisins|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone rouge contre couleur|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone rouge la sagesse|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone rouge sierra du sud|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone sierra du sud|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|cotes du rhone sierra du sud|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine cotes du rhone poignees de raisins|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine cotes du rhone sagesse|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine cotes du rhone sierra de sud|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine cotes du rhone vie on y est|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine cotes du rhone vie on y est|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine cotes du rhone vinsobres la papesse|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|domaine vdf sagesse|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|emouvante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la belle sortie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la meme 20232024|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la papesse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la papesse|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la papesse|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la papesse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la papesse cotes du rhone|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la papesse cotes du rhone|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=318
W|gramenon|la sagesse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|la sagesse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|gramenon|pakket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|poignee de raisins|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|poignee de raisins cotes du rhone france grenache|fr|r|grenache|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|sierra du sud|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramenon|sierra du sud|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley syrah lagniappe|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah lagniappe|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars walla walla syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the third man|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars picpoul walla walla valley|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars antoine creek vineyard viognier lake chelan usa|us|w|viognier|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gramercy|cellars cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon columbia valley|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon columbia valley|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon columbia valley usa|us|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon lower east|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon lower east|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon lower east|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars cabernet sauvignon lower east|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|gramercy|cellars cabernet sauvignon lower east|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|gramercy|cellars cabernet sauvignon lower east columbia valley|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars columbia valley syrah lower east|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars grenache the third man|??|r|grenache|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars grenache the third man columbia valley|??|r|grenache|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars grenache the third man grenache columbia valley|??|r|grenache|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars inigo montoya tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars john lewis reserve syrah|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars john lewis reserve syrah walla walla valley usa|us|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars john lewis syrah walla walla valley|??|r|syrah|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars john lewis syrah walla walla valley|??|r|syrah|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|gramercy|cellars john lewis syrah walla walla valley|??|r|syrah|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|gramercy|cellars lagniappe red willow syrah|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lagniappe syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lagniappe syrah|??|r|syrah|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lagniappe syrah|??|r|syrah|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lagniappe syrah|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lagniappe syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lagniappe syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|gramercy|cellars lidiot du village mourvedre|??|r|mourvedre|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lidiot du village walla walla valley|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east bowery blend|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet sauvignon columbia valley washington|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet sauvignon columbia valley|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east cabernet sauvignon columbia valley|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east columbia vallet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east columbia vallet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=382
W|gramercy|cellars lower east columbia valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east columbia valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east columbia valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east columbia valley syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east columbia valley syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=389
W|gramercy|cellars lower east syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east syrah columbia valley|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars lower east syrah columbia valley usa|us|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars mourvedre lidiot du village|??|r|mourvedre|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars mourvedre lidiot du village|??|r|mourvedre|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars olsen vineyard rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gramercy|cellars picpoul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars picpoul|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars picpoul|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=398
W|gramercy|cellars picpoul walla walla valley|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars picpoul walla walla valley|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=400
W|gramercy|cellars picpoul walla walla valley washington united states|us|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars red willow syrah columbia valley usa|us|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars red willow syrah columbia valley usa|us|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars red willow vineyard lagniappe syrah|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars reserve cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars reserve cabernet sauvignon columbia valley|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars rose olsen vineyard yakima valley|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gramercy|cellars syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=409
W|gramercy|cellars syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=409
W|gramercy|cellars syrah columbia valley washington|us|r|syrah|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah john lewis walla walla valley|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah john lewis walla walla valley|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah lagniappe red willow|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah lower east|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah lower east columbia valley|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah red willow vineyard columbia valley|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah red willow vineyard columbia valley|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah walla walla valley|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah walla walla valley|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=420
W|gramercy|cellars syrah walla walla valley usa|us|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars syrah walla walla valley usa|us|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the bowery lower east|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the deuce syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the deuce syrah walla walla valley|??|r|syrah|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the deuce syrah walla walla valley|??|r|syrah|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|gramercy|cellars the third man grenache|??|r|grenache|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the third man grenache|??|r|grenache|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the third man grenache columbia valley wa|??|r|grenache|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the third man grenache syrah mourvedre|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars the third man grenache syrah mourvedre columbia valley usa|us|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|cellars viognier|??|w|viognier|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gramercy|cellars viognier|??|w|viognier|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gramercy|cellars viognier antoine creek vineyard lake chelan|??|w|viognier|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gramercy|cellars walla walla syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|gramercy|cellars walla walla syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|gramercy|cellars walla walla syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|gramercy|cellars walla walla valley syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|john lewis syrah walla walla valley|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|les collines syrah walla walla valley|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|les collines syrah walla walla valley ratingwa94|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|les collines vineyard walla walla valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|les collines vineyard walla walla valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=443
W|gramercy|les collines vnyd syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|lower east cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|lower east cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=446
W|gramercy|lower east cabernet sauvignon ratingag91|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|lower east mourvedre|??|r|mourvedre|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|lower east syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|lower east syrah ratingag91|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gramercy|park napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
