W|nacional aurora pinto bandeira chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscato giallo memorias|2010 garibaldi caixa 6|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato giallo memorias|2010 garibaldi|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato giallo castellamare|castellamare|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato giallo|giallo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato embrapa seco cappelletti|cappelletti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato de cezaro|cezaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato dasti prunotto|prunotto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato dasti le fronde|branco doc fontanafredda italiano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscato dasti dosman|docg bonfante chiarle 2023 branco italia|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscato dasti|docg vietti 2020 branco italia|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscato dasti|docg truffle hunter leda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato dasti|docg cabianca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato dasti|docg cabianca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=243
W|moscato dasti batasiolo|batasiolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato dast|docg fontanafredda italiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato d asti patrizi|patrizi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato d asti la rosa selvatica|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|moscato d asti fontanafredda le fronde|2021 branco italia|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
S
S|=250
W|moscatel trilogia 05|05|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal do bacalhoa 075|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal do 0|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal cef 075|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal bacalhoa superior 0|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal alambre benfica 6162 05|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal alambre 20 anos 050|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|setubal alambre 075|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel secret spot 10 anos 0|0|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel roxo superior bacalhoa 10 anos 075|075|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel roxo|setubal jmf 20 anos|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel roxo|setubal bacalhoa 5 anos 075|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel roxo|setubal alambre 5 anos 075|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel roxo 10 anos|do 0|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel roxo|roxo|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel portal|1996|??|w|moscatel|??|??|1996|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|moscatel portal|branco 0|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel portal|2007 0|??|w|moscatel|??|??|2007|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel piano|2011|??|w|moscatel|??|??|2011|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|moscatel mural favaios 0|0|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel kingsman|kingsman|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel invictus|douro 075|pt|w|moscatel|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel frisante|rose almaden|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|moscatel favaito|favaito|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios individual 0 50 un|un|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios|1999 0|??|w|moscatel|??|??|1999|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios|1989 075|??|w|moscatel|??|??|1989|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios|1989 0|??|w|moscatel|??|??|1989|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios|1980 edicao especial siza vieira 0|??|w|moscatel|??|??|1980|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios 075|075|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel favaios 0|0|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel espumante|branco|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|moscatel dsf sole 075|075|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel dsf|setubal superior cp o75 armagnac|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel dsf roxo|setubal superior cp 075|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel|do douro royal oporto|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|moscatel|do douro real companhia velha|pt|w|moscatel|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel de|setubal dom campos|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel de|setubal alambre jose maria da fonseca 2018 branco portugal|pt|w|moscatel|setubal|??|2018|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|moscatel de favaios|favaios|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel|branco galego quinta dos castelares 2020|??|w|moscatel|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel bastardinho de azeitao 40 anos 050|050|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel|moscatel|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|moscatel|moscatel|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=294
W|morin perefils|tradition|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morin pere fils|tradition|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morin pere e fils merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgon vieilles vignes domaine de la beche|beche|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgon les charmes marc jambon|jambon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgon grands cras jean phillipe guillot|guillot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgon domaine lapierre|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgon domaine lapierre|lapierre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgado silgueiros|dao branco|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|morgado de sta catherina|branco 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|morgado de silgueiros|silgueiros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgado de bucelas|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morgado bucelas|cuvee branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morgado bucelas arinto|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morgadio da torre|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morgadio da torre alvarinho|alvarinho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morgadio da andorinha verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|morgadio da andorinha verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morellino di scansano lionello marchesi|2022 tinto italia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morellino di scansano|scansano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morelino scansano rosso|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande visionario chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande visionario carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
S|=250
S|=250
S|=250
S|=250
S|=250
S|=250
W|morande selected blocks morande selected blocks pinot noir|2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande seleccion de parcelas chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande seleccion de parcelas carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
S|=250
S|=250
S|=250
S|=250
W|morande|morande late harvest sauvignon blanc chile 2024|cl|w|sauvignon blanc|valle central|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|morande|gewurztraminer|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande pionero sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande pionero|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|morande pionero|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande pionero|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande pionero|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande mil raices seleccion especial sauvignon blanc|2024 branco chile|cl|w|sauvignon blanc|valle central|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande mil raices seleccion especial chardonnay|2024 branco chile|cl|w|chardonnay|valle central|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande mil raices seleccion especial carmenere|2023 tinto chile|cl|r|carmenere|valle central|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande mil raices seleccion especial cabernet sauvignon|2023 tinto chile|cl|r|cabernet sauvignon|valle central|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande late harvest sauvignon blanc|2020|??|w|sauvignon blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande late harvest|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande la capilla cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|morande|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande|gewurztraminer|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=333
W|morande|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|morande|carmenere tto 1x|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|morande golden harvest golden harvest morande|chile|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande edicion limitada sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande edicion limitada carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande casa tinta morande casa tinta|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande black series pinot noir|2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande black series morande black series syrah|chile 2021|cl|r|syrah|valle central|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande bestiario|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morande adventure vigno|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure vigno carignan|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure vigno|chile 2018|cl|r|??|valle central|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure mediterraneo|chile 2018|cl|r|??|valle central|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure el padre|chile 2020|cl|r|??|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure el|gran petit chile 2021|cl|r|??|valle central|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure creole|chile 2019|cl|r|??|valle central|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure colinas de ranquil|chile 2020|cl|r|??|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure morande adventure bestiario|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure mediterraneo|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure el padre cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morande adventure bestiario|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morador|do navarra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|morador|do navarra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=372
W|morador|do navarra rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|morador|do navarra rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=374
W|morador|do navarra branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|morador|do navarra branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=376
W|mora valpolicella|classico 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|mora di sassi nizza|docg bonfante chiarle 2016 tinto italia|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|mora amarone della valpolicella|2016|??|r|??|??|??|2016|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montsecano refugio pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montsecano pinot noirmalbec|noirmalbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montsecano pinot noir|2011|??|r|pinot noir|??|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montsecano pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montsecano la leonie chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montsant mas donis old vines|vines|??|r|??|??|??|NV|14.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montsant capcanes mas donis barrica old vines|vines|??|r|??|??|??|NV|14.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montresor urban park appassim|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montresor satinato amarone della valpolicella|valpolicella|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montresor capitel madona cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montresor campo madonna cabernet sauvignon|2017 tinto italia|??|r|cabernet sauvignon|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montresor campo madonna cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montresor amarone satinato|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montmeyrac|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montmeyrac|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|montmeyrac|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montinho de s miguel|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras|pinot noir tinto|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=399
W|montgras|merlot tinto|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|early harvest rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|montgras|de vine sauvignon blanc 2024 branco chile|cl|w|sauvignon blanc|valle central|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montgras|de vine pinot noir 2023 tinto chile|cl|r|pinot noir|valle central|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|de vine merlot 2022 tinto chile|cl|r|merlot|valle central|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|de vine chardonnay 2025 branco chile|cl|w|chardonnay|valle central|??|2025|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montgras|de vine carmenere 2022 tinto chile|cl|r|carmenere|valle central|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|de vine cabernet sauvignon 2022 tinto chile|cl|r|cabernet sauvignon|valle central|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|de vine 2024 rose chile|cl|p|??|valle central|??|2024|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|montgras|csauv syrah tt|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montgras|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=412
W|montgras|carmenere tinto|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=415
W|montgras|cabernet syrah 2020 tinto chile|cl|r|syrah|valle central|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=419
W|montgras|cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras|cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=421
W|montgras|cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=421
W|montgras quatro|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras quatro|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=424
W|montgras quatro|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras quatro|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=426
W|montgras quatro|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras quatro|blanco branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras quatro|2023 tinto chile|cl|r|??|valle central|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras quatro|2023 branco chile|cl|w|??|valle central|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras ninquen|2022 tinto chile|cl|r|??|valle central|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras ninquen|2011|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras handcrafted cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras handcrafted 5 rare carignan|2020 tinto chile|cl|r|??|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras handcrafted 3 rare pinot noir|2020 tinto chile|cl|r|pinot noir|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras handcrafted 2 rare cinsault|2020 tinto chile|cl|r|??|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras handcrafted 1 rare riesling|2020 branco chile|cl|w|riesling|valle central|??|2020|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras|dark bold cabernet sauvignon 2023 tinto chile|cl|r|cabernet sauvignon|valle central|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras de vine sauvignon|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras de vine res pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras de vine res chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras de vine res carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras de vine res cab sauv|sauv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras day one|chardonnay 2023 branco chile|cl|w|chardonnay|valle central|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montgras day one|cabernet sauvignon 2023 tinto chile|cl|r|cabernet sauvignon|valle central|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras day one carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras day one cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras antu syrah|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras antu|single vineyard syrah 2023 tinto chile|cl|r|syrah|valle central|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras antu|single vineyard carmenere 2023 tinto chile|cl|r|carmenere|valle central|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras antu|single vineyard cabernet sauvignon 2023 tinto chile|cl|r|cabernet sauvignon|valle central|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras antu|single vineyard blend 2019 tinto chile|cl|r|??|valle central|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montgras antu carmenere tt|tt|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras antu carm|carm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras antu cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras antu cabernet sauvignon e carmenere|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
