1. W|aurelia visinescu|anima 3 fete negre|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, churrasco, queijo|seco
201. W|aurelien suenen|oiry grand cru|fr|s|chardonnay|champagne|oiry|2019|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut
202. W|aurelien suenen|oiry grand cru blanc de blancs|fr|s|chardonnay|champagne|oiry|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut|=198
203. W|aurelien verdet|nuits saint georges 1er cru|fr|r|pinot noir|burgundy|nuits saint georges|NV|13|1er cru|medio|carne branca, cogumelos, queijo|seco
204. W|aurelien verdet|hautes cotes de nuits blanc|fr|w|chardonnay|burgundy|hautes cotes de nuits|2009|13|aoc|medio|frutos do mar, aves, queijo|seco
205. W|aurelien verdet|gevrey chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|2020|13|aoc|medio|carne branca, cogumelos, queijo|seco
206. W|aurelien verdet|hautes cotes de nuits le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|NV|13|aoc|medio|aves, carne branca, queijo|seco
207. W|aurelien verdet|hautes cotes de nuits le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|2020|13|aoc|medio|aves, carne branca, queijo|seco
208. W|aurelien verdet|hautes cotes de nuits rouge le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|NV|13|aoc|medio|aves, carne branca, queijo|seco
209. W|aurelien verdet|hautes cotes de nuits rouge le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|NV|13|aoc|medio|aves, carne branca, queijo|seco|=208
210. W|aurelien verdet|hautes cotes de nuits rouge le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|2021|13|aoc|medio|aves, carne branca, queijo|seco
211. W|aurelien verdet|bourgogne rouge en luteniere|fr|r|pinot noir|burgundy|bourgogne|2021|13|aoc|medio|aves, carne branca, queijo|seco
212. W|aurelien verdet|bourgogne rouge en luteniere|fr|r|pinot noir|burgundy|bourgogne|2021|13|aoc|medio|aves, carne branca, queijo|seco|=211
213. W|aurelien verdet|hautes cotes de nuits le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|2016|13|aoc|medio|aves, carne branca, queijo|seco
214. W|aurelien verdet|chambolle musigny les condemennes|fr|r|pinot noir|burgundy|chambolle musigny|2017|13|aoc|medio|aves, carne branca, queijo|seco
215. W|aurelien verdet|chambolle musigny|fr|r|pinot noir|burgundy|chambolle musigny|NV|13|aoc|medio|aves, carne branca, queijo|seco
216. W|aurelien verdet|chambolle musigny|fr|r|pinot noir|burgundy|chambolle musigny|2020|13|aoc|medio|aves, carne branca, queijo|seco
217. W|aurelien verdet|chambolle musigny les condemennes|fr|r|pinot noir|burgundy|chambolle musigny|2017|13|aoc|medio|aves, carne branca, queijo|seco|=214
218. W|aurelien verdet|chambolle musigny les condemennes|fr|r|pinot noir|burgundy|chambolle musigny|2017|13|aoc|medio|aves, carne branca, queijo|seco|=214
219. W|aurelien verdet|cotes de nuits villages la pretiere|fr|r|pinot noir|burgundy|cotes de nuits villages|2017|13|aoc|medio|aves, carne branca, queijo|seco
220. W|aurelien verdet|gevrey chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|2017|13|aoc|medio|carne branca, cogumelos, queijo|seco
221. W|aurelien verdet|gevrey chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|2020|13|aoc|medio|carne branca, cogumelos, queijo|seco|=205
222. W|aurelien verdet|gevrey chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|2017|13|aoc|medio|carne branca, cogumelos, queijo|seco|=220
223. W|aurelien verdet|hautes cotes de nuits le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|2018|13|aoc|medio|aves, carne branca, queijo|seco
224. W|aurelien verdet|hautes cotes de nuits rouge le prieure|fr|r|pinot noir|burgundy|hautes cotes de nuits|2022|13|aoc|medio|aves, carne branca, queijo|seco
225. W|aurelien verdet|marsannay champs perdrix|fr|r|pinot noir|burgundy|marsannay|NV|13|aoc|medio|aves, carne branca, queijo|seco
226. W|aurelien verdet|marsannay champs perdrix|fr|r|pinot noir|burgundy|marsannay|NV|13|aoc|medio|aves, carne branca, queijo|seco|=225
227. W|aurelien verdet|marsannay champs perdrix|fr|r|pinot noir|burgundy|marsannay|2020|13|aoc|medio|aves, carne branca, queijo|seco
228. W|aurelien verdet|marsannay champs perdrix|fr|r|pinot noir|burgundy|marsannay|2020|13|aoc|medio|aves, carne branca, queijo|seco|=227
229. W|aurelien verdet|morey saint denis|fr|r|pinot noir|burgundy|morey saint denis|2015|13|aoc|medio|carne branca, cogumelos, queijo|seco
230. W|aurelien verdet|morey saint denis 1er cru les monts luisants|fr|r|pinot noir|burgundy|morey saint denis|2020|13|1er cru|medio|carne branca, cogumelos, queijo|seco
231. W|aurelien verdet|nuits saint georges|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|aoc|medio|carne branca, cogumelos, queijo|seco
232. W|aurelien verdet|nuits saint georges|fr|r|pinot noir|burgundy|nuits saint georges|2019|13|aoc|medio|carne branca, cogumelos, queijo|seco
233. W|aurelien verdet|nuits saint georges aux boudots|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|1er cru|medio|carne branca, cogumelos, queijo|seco
234. W|aurelien verdet|nuits saint georges aux boudots|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|1er cru|medio|carne branca, cogumelos, queijo|seco|=233
235. W|aurelien verdet|nuits saint georges les damodes|fr|r|pinot noir|burgundy|nuits saint georges|NV|13|1er cru|medio|carne branca, cogumelos, queijo|seco
236. W|aurelien verdet|nuits saint georges les damodes|fr|r|pinot noir|burgundy|nuits saint georges|2012|13|1er cru|medio|carne branca, cogumelos, queijo|seco
237. W|aurelien verdet|nuits saint georges les damodes|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|1er cru|medio|carne branca, cogumelos, queijo|seco
238. W|aurelien verdet|nuits saint georges les damodes|fr|r|pinot noir|burgundy|nuits saint georges|2020|13|1er cru|medio|carne branca, cogumelos, queijo|seco
239. W|aurelien verdet|nuits saint georges les hauts pruliers|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|1er cru|medio|carne branca, cogumelos, queijo|seco
240. W|aurelien verdet|nuits saint georges|fr|r|pinot noir|burgundy|nuits saint georges|NV|13|aoc|medio|carne branca, cogumelos, queijo|seco
241. W|aurelien verdet|nuits saint georges aux boudots|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|1er cru|medio|carne branca, cogumelos, queijo|seco|=233
242. W|aurelien verdet|nuits saint georges les damodes|fr|r|pinot noir|burgundy|nuits saint georges|2013|13|1er cru|medio|carne branca, cogumelos, queijo|seco
243. W|aurelien verdet|nuits saint georges boudots|fr|r|pinot noir|burgundy|nuits saint georges|2016|13|1er cru|medio|carne branca, cogumelos, queijo|seco
244. W|aurelien verdet|nuits saint georges boudots|fr|r|pinot noir|burgundy|nuits saint georges|2013|13|1er cru|medio|carne branca, cogumelos, queijo|seco
245. W|aurelien verdet|nuits saint georges aux boudots|fr|r|pinot noir|burgundy|nuits saint georges|2018|13|1er cru|medio|carne branca, cogumelos, queijo|seco|=233
246. W|aurelien verdet|vosne romanee vieilles vignes|fr|r|pinot noir|burgundy|vosne romanee|2022|13|aoc|medio|carne branca, cogumelos, queijo|seco
247. W|aurelien verdet|vosne romanee beaux monts|fr|r|pinot noir|burgundy|vosne romanee|NV|13|1er cru|medio|carne branca, cogumelos, queijo|seco
248. W|aurelien verdet|vosne romanee vieilles vignes|fr|r|pinot noir|burgundy|vosne romanee|NV|13|aoc|medio|carne branca, cogumelos, queijo|seco
249. W|aurelien verdet|vosne romanee vieilles vignes|fr|r|pinot noir|burgundy|vosne romanee|2020|13|aoc|medio|carne branca, cogumelos, queijo|seco
250. W|aurelien verdet|vosne romanee les beaux monts|fr|r|pinot noir|burgundy|vosne romanee|2014|13|1er cru|medio|carne branca, cogumelos, queijo|seco
