W|larousse|gastronomique en espanol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|rose de saignee 1er cru extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee 1er cru extra brut champagne france nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee 1er cru extra brut champagne france|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandierbernier|rose de maturation champagne|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|rose de maturation|??|p|??|??|??|2014|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandierbernier|rose de maturation|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandierbernier|nv terre de vertus disg 605|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|nv terre de vertus disg 1208|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|nv longitude extra brut blanc de blancs base 19|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|nv longitude base|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|nv latitude extra brut blanc de blancs base 21|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|nv blanc de blancs brut nature non dose 1er cru terre de vertus disg 08|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandierbernier|nv blanc de blancs brut nature non dose 1er cru terre de vertus disg 05|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandierbernier|nv base 15 longitude extra brut dig 18|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longtitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|longitude premier cru future arrival|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|longitude premier cru extrabrut blanc de blancs nv champagne|fr|s|??|champagne|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude premier cru extra brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude premier cru blanc de blancs extra brut nv|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|longitude extra brut blanc de blancs|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude champagne 1er cru blanc de blancs magnum white|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude blancs de blanc premier cru d95v93ws90|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|longitude blanc de blancs premier cru extra brut nv|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude blanc de blancs premier cru extra brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude blanc de blancs extrabrut 1er cru nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude blanc de blancs extrabrut 1er cru bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude blanc de blancs extra brut 1er cru|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|longitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=257
W|larmandierbernier|longitude bdb extra brut 1er cru nv|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude 1ier cru extrabrut bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude 1er cru extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude 1er cru extra brut champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude 1er cru extra brut blanc de blancs nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|longitude 1er cru champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude 1er cru blanc de blancs nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|longitude 1er blanc de blancs champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|longitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier les|chemins davize grand cru extra brut|??|s|??|??|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier les|chemins davize champagne grand cru extra brut|fr|s|??|champagne|??|2013|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier les|chemins davize champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier les|chemins davize|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier les|chemins davize|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier les|chemins davize|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=272
W|larmandierbernier|latitude nv 1mag|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|latitude future arrival|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|latitude extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=276
W|larmandierbernier|latitude extra brut blanc de blancs nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|latitude blanc de blancs nv champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|latitude blanc de blancs extrabrut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|latitude blanc de blancs extrabrut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=282
W|larmandierbernier|latitude blanc de blancs extrabrut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=282
W|larmandierbernier|latitude blanc de blancs extrabrut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|latitude blanc de blancs extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs extra brut larmandier bernier magnum 1|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs extra brut larmandier bernier|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs extra brut d94js93ws92wa90|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs extra brut champagne nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs extra brut champagne france nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs extra brut champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|latitude blanc de blancs champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|latitude blanc de blancs champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=293
W|larmandierbernier|latitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|latitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=295
W|larmandierbernier|latitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=295
W|larmandierbernier|latitude blanc de blanc champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|latitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|latitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=299
W|larmandierbernier|grand cru vieille vigne du levant|??|r|??|??|??|2012|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|grand cru les chemins davize champagne|fr|s|??|champagne|??|2014|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|extrabrut champagne latitude|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne terre de vertus nondose|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne rose de saignee extra brut nv|fr|s|??|champagne|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne rose de saignee extra brut 1er cru nv|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne longitude blanc de blancs extra brut 1er cru|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne les chemins davize grand cru extra brut|fr|s|??|champagne|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne les chemins davize blanc de blancs extra brut grand cru|fr|s|??|champagne|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne latitude extra brut nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne latitude extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne grand cru vielle vigne du levant|fr|s|??|champagne|??|2014|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne grand cru les chemins davize|fr|s|??|champagne|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne extrabrut vieilles vignes du levant|fr|s|??|champagne|??|2013|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne extra brut latitude|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut grand brut vieille vigne du levant|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut blanc de blancs latitude|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut blanc de blancs grand cru vieille vigne du levant|fr|s|??|champagne|??|2013|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut blanc de blancs grand cru les chemins davize|fr|s|??|champagne|??|2014|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut blanc de blancs grand cru les chemins davize|fr|s|??|champagne|??|2011|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut blanc de blancs 1er cru longitude|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne extra brut blanc de blancs 1er cru longitude|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=321
W|larmandierbernier|champagne brut non dose terre de vertus|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandierbernier|champagne brut nature blanc de blancs terre de vert|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandierbernier|champagne blanc de blancs premier cru|fr|s|??|champagne|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne blanc de blancs 1er cru extra brut longitude nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne 1er cru terre de vert|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|champagne 1er cru terre de vert|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=327
W|larmandierbernier|champagne 1er cru rose de saignee extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|champagne 1er cru extra brut longitude nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|blanc de noirs in wooden box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|blanc de noirs|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|blanc de noirs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|blanc de blancs latitude nv champagne france|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|bdb extra brut latitude|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee 1er cru extra brut|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|terre de verter cru blanc de blancs brut nature|??|s|??|??|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandierbernier|chemins davize grand cru blanc de blancs extra brut|??|s|??|??|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|chemins davize grand cru blanc de blancs extra brut|??|s|??|??|??|2015|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|terre de verter cru blanc de blancs brut nature|??|s|??|??|??|2008|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandierbernier|1er cru terre de vertus blanc de blancs champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|1er cru rose de saignee champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|1er cru longitude blanc de blanc nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|saignee rose gc|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|rose blanc brut 1cru 925 chardonnay 75 pinot noir cl75|??|s|chardonnay|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|perle brut 1cru aoc|??|s|??|??|??|NV|12|aoc|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|pere fils rose blanc brut 1er cru|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|pere fils dsage blanc de blancs millesime brut nature 1er cru|??|s|??|??|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandier|pere et fils champagne grand cru blanc de blancs espirit de cramant mono village brut|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|pere et fils champagne 1er cru rose blancs assemblage brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|pere et fils champagne 1er cru rose blancs assemblage brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=350
W|larmandier|guy nv cramant grand cru blanc de blancs brut|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|guy signe francois vieilles vignes blanc de blancs brut zero|??|s|??|??|??|2008|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|cremant garnd cru|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandier|brut grand cru esprit de cramant|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|bernier vv du levant grand cru magnum|??|r|??|??|??|2009|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vv du levant grand cru|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vv du levant grand cru|??|r|??|??|??|2014|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vv du levant grand cru|??|r|??|??|??|2013|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vv du levant grand cru|??|r|??|??|??|2011|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vv du levant grand cru|??|r|??|??|??|2008|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vieilles vignes du levant extra brut|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier vieille vignes de levant grand cru|??|r|??|??|??|2014|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier vieille vigne du levant millesime|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier terre de vertus non dose 1er cru|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier terre de vertus blanc de blanc brut nature champagne france 750|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandier|bernier terre de verter cru nondose|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier terre de vert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier rose de saignee premier cru nv|??|p|??|??|??|NV|12.5|premier cru|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|bernier rose de saignee nv|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|bernier rose de saignee new|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|bernier rose de saignee extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier rose de saignee extra brut 1er cru|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier rose de saignee 1er cru nv|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|bernier rose de saignee|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|bernier longitude premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier longitude extra brut blanc de blancs nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier longitude extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier longitude champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandier|bernier longitude blanc de blancs premier cru extra brut nv|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier longitude blanc de blancs premier cru extra brut nv|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut|=380
W|larmandier|bernier longitude blanc de blancs nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier longitude blanc de blancs extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier longitude blanc de blancs 1er cru nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier longitude blanc de blancs 1er cru nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=384
W|larmandier|bernier longitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier longitude 1er cru blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier longitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier longitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=388
W|larmandier|bernier levant vv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier les chemins davize millesime|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier les chemins davize millesime|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=391
W|larmandier|bernier les chemins davize millesime|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=391
W|larmandier|bernier les chemins davize millesime|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=391
W|larmandier|bernier les chemins davize millesime|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier les chemins davize grand cru|??|r|??|??|??|2016|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier les chemins davize|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier les chemins davize|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier latitude new|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier latitude extrabrut nv france|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandier|bernier latitude extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier latitude extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=401
W|larmandier|bernier latitude extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=401
W|larmandier|bernier latitude extra brut blanc de blancs champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier latitude extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier latitude champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandier|bernier latitude brut tradition nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|bernier latitude blanc de blancs nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier latitude blanc de blancs extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier latitude blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier latitude blanc de blanc extra brut champagne france nv 750|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier latitude bdb extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier latitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier grand cru vieille vigne du levantcramant nv|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier grand cru vieille vigne du levant|??|r|??|??|??|2013|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier grand cru les chemins davize|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier grand cru chemins davise|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier chemins dadvize extra brut grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier champagne terre de verter cru|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larmandier|bernier champagne latitude extra brut nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier champagne grand cru blanc de blancs les chemins davize extra brut|fr|s|??|champagne|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier champagne grand cru blanc de blancs les chemins davize extra brut|fr|s|??|champagne|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut|=421
W|larmandier|bernier champagne blanc de blancs longitude 1er cru extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier champagne blanc de blancs latitude extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier champagne blanc de blancs latitude extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=424
W|larmandier|bernier champagne blanc de blancs latitude extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=424
W|larmandier|bernier champagne 1er cru terre de vertus brut nature magnum|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandier|bernier champagne 1er cru terre de vertus brut nature magnum|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature|=427
W|larmandier|bernier champagne 1er cru terre de vertus blanc de blancs brut nature|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandier|bernier champagne 1er cru terre de vertus blanc de blancs brut nature|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut nature|=429
