W|las|vino the pirate blend|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tres de chozas carrascal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tres chozas carrascal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tres blanco|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=229
W|las|travinas entre aldeas|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|traviesas 36 meses tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|travesuras de naricita volumen 3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|trampas del miedo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|toscas inaki garrido|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tonas umbeel anejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tonas umbe reposado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tonas umbe joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tintas tinto|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tintas de bruno murciano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tintas de bruno murciano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=240
W|las|tinieblas y el alba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tinajas telmo ruth cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|tinajas ruben flora cabernet sauvignon carmenere|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|tinajas lorenzo gaspar carmenere merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tinajas gran reserva mix|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|tinadas tinto|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tinadas blanco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras original tinta de toro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras occidentales|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras el pego do toro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras el pego de javier rodriguez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras de javier rodriguez el teso alto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras de javier rodriguez|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tierras de javier rodriguez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tetas de tiresias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|teselas tinto pago finca elez bio|es|r|??|pago|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|teselas de elez 6 botellas|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|tasugueras blanco rioja alta doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|las|tablas alef bet 2515 cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|suertes verdejo old vines nisia|??|w|verdejo|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|suertes tinto|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|suertes suertes del marques|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|solidaridades misteriosas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|siete sendas las siete leyes de bnei noaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|siete sendas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|siete lunas de maali almeida|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|siete leyes espirituales del exito|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|siete hermanas 02 la hermana tormenta la historia de ally|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sevillanas obleas 25 piezas koz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sevillanas glorias con nuez 50 pzas de 20 grs koz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|seis alhajas graciano by valdemar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|seis alhajas graciano doca rioja|es|r|??|rioja|??|2016|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|las|seis alhajas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|seaoras medium oloroso sherry|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|las|salinas zuri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|salinas beltza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|salinas 5 striped rectangular cushion 55x40|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|salinas 2 striped rectangular cushion 55x40|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|salicaires reptilia rouge vdf|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias tinto|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias dominio del bendito|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|sabias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rozas comando g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rozas 1er cru comando g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas vinas viejas old vine garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas vinas viejas de san alejandro old|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas vinas viejas|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas vinas viejas|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas vinas viejas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas sauv blanc chili|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|rocas red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=299
W|las|rocas de san alejandro|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|rocas chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|rocas cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|rocas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|retamas del regajal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|retamas de el regajal|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|retamas de el regajal|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas seleccion monastrellshiraz magnum 1|??|r|shiraz|??|??|2001|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|renas seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=310
W|las|renas organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas monastrell rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|renas monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas macabeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas ecologico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas cuatro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|renas crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=318
W|las|relaciones peligrosas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|reinas del mar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|redes son nuestras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|recetas del mundo en las pelis de animacion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|recetas de navidad de sandra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|quintas|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|quebradas|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|quebradas|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=326
W|las|quebradas 100 monastrellved 6 stk 205 krstk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|quebradas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|quebradas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=329
W|las|puertas de la santidad shaarei keddushah|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la santidad shaare kedusha rab jaim vital|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la santidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la luz shaare orah|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la luz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la ley|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la gratitud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la gratitud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=337
W|las|puertas de la felicidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|puertas de la felicidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=339
W|las|pruebas de apolo la maldicion del campamento jupiter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|profecias de jeremias eija|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|preferidas tinto|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|preferidas blanco|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|planelos chenin blancchardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|planas single vineyard rioja real agrado|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|planas doca rioja blanco viura gran reserva|es|r|??|rioja|??|2018|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|planas doca rioja blanco viura gran reserva|es|r|??|rioja|??|2016|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras volcan|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras volcan|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras vina alarba|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras vina alarba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras vina alarba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=352
W|las|pizarras vina alarba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=352
W|las|pizarras vina alarba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=352
W|las|pizarras vina acered|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|pizarras syrah|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|pizarras pinot noir errazuriz|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras pinot noir errazuriz|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=359
W|las|pizarras pinot noir errazuriz|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=359
W|las|pizarras pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras pinot noir|??|r|pinot noir|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras pinot noir|??|r|pinot noir|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras las lomas 6 fl a 0|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras las lomas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras fabla 506 calatayud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras fabla 506|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras fabla 506|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras fabla 506|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=370
W|las|pizarras fabla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras fabla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=372
W|las|pizarras del jalon grenache|??|r|grenache|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras chardonnay errazuriz|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|pizarras chardonnay errazuriz|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=375
W|las|pizarras chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|pizarras|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pizarras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pisadas tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|pisadas tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|pisadas rioja doca la carbonera|es|r|??|rioja|??|2020|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|las|pisadas rioja 14|es|r|??|rioja|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|piedras malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|personas mas raras del mundo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perlas raicilla de costa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perlas raicilla de costa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=388
W|las|perlas raicilla costa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perlas raicilla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perlas de jalisco raicilla jalisco mexico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perlas de jalisco raicilla de costa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perfecciones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices viognier|??|w|viognier|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices viognier|??|w|viognier|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices viognier|??|w|viognier|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco|=396
W|las|perdices torrontes mendoza argentina|ar|r|??|mendoza|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices torrontes|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices tinamu lujan de cuyo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices tinamu doble magnum x 3000 cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices tinamu|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices tinamu|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices tinamu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices tinamu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=405
W|las|perdices syrah viognier|??|w|viognier|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices sb|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices sauvignon blanc agrelo argentina|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices sauvignon blanc agrelo argentina|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=413
W|las|perdices sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=413
W|las|perdices riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=416
W|las|perdices riesling|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices reserva tinamu|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva sauvignon blanc fume agrelo argentina|??|w|sauvignon blanc|??|??|2020|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|las|perdices reserva pinot noir vinho tinto seco argentina|??|r|pinot noir|??|??|2023|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva pinot noir|??|r|pinot noir|??|??|2019|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva malbec lujan de cuyo argentina|??|r|malbec|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva malbec lujan de cuyo argentina|??|r|malbec|??|??|2021|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva malbec lujan de cuyo argentina|??|r|malbec|??|??|2019|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva malbec x750cc|??|r|malbec|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva malbec vinho tinto seco argentina|??|r|malbec|??|??|2022|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva malbec|??|r|malbec|??|??|2018|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva don juan malbec syrah bonarda merlot agrelo argentina|??|r|merlot|??|??|2018|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva don juan malbec magnum argentina|??|r|malbec|??|??|2018|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva don juan doble magnum|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva don juan|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva don juan|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=432
W|las|perdices reserva chardonnay branco argentina|??|w|chardonnay|??|??|2023|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|las|perdices reserva cabernet sauvignon lujan de cuyo argentina|??|r|cabernet sauvignon|??|??|2022|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva bonarda|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices reserva albarino blanco|??|w|albarino|??|??|NV|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|las|perdices reserva albarino|??|w|albarino|??|??|2024|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|las|perdices reserva albarino vinho branco argentina|??|w|albarino|??|??|2023|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|las|perdices red blend agrelo argentina|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices red blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices red blend|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=445
W|las|perdices red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=445
W|las|perdices pinot grigio argentino|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices pinot grigio agrelo argentina|??|w|pinot grigio|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices pinot grigio|??|w|pinot grigio|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|perdices pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=452
W|las|perdices pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=452
W|las|perdices partridge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|perdices malbec vina las perdices malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices malbec rose vinho argentina|??|p|malbec|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|perdices malbec rose|??|p|malbec|??|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|perdices malbec rose|??|p|malbec|??|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|perdices malbec rose|??|p|malbec|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|perdices malbec half bottle|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices malbec agrelo argentina|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|perdices malbec agrelo argentina|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=462
W|las|perdices malbec|??|r|malbec|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
