W|gevrey|chambertin domaine robert philippe|fr|r|??|bourgogne|gevrey chambertin|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|gevrey|chambertin les evocelles|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|gevrey|chambertin les evocelles moine champy|fr|r|??|bourgogne|gevrey chambertin|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles domaine rossignol philippe rood|fr|r|??|bourgogne|gevrey chambertin|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|gevrey|chambertin les evocelles philippe livera|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles abichot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles lupecholet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles vielles vignes dugat py|fr|r|??|bourgogne|gevrey chambertin|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris rouge|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris rouge|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris rouge|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris rouge|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris rouge|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres qvevris rouge|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les genevrieres rouge|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les jeunes rois rouge domaine duroche inbond|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les marchais|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les marchais|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gevrey|chambertin les murots domcfr bichot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les murots rouge|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les murots rouge|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees domaine hubert lignier|fr|r|??|bourgogne|gevrey chambertin|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees domaine robert groffier pere fils|fr|r|??|bourgogne|gevrey chambertin|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees domaine robert groffier pere fils|fr|r|??|bourgogne|gevrey chambertin|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees domaine robert groffier pere fils|fr|r|??|bourgogne|gevrey chambertin|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees groffier|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees philippe cheron|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees philippe cheron|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees robert groffier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees robert groffier|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees robert groffier pere fils|fr|r|??|bourgogne|gevrey chambertin|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les seuvrees robert groffier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=211
W|gevrey|chambertin lignier|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin louis jadot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin louis latour|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin louis latour rouge|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin lupe cholet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin lupecholet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ma cuvee|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ma cuvee domaine mortet arnaud|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ma cuvee domaine mortet arnaud|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gevrey|chambertin domaine charles audoin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mags george lignier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin meix de la poulotte red|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin meocamuzet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes 3 fils|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes cinq terroirs domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes cinq terroirs denis mortet|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes cinq terroirs domaine denis mortet domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes cinq terroirs domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes cinq terroirs domaine mortet denis|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes cinq terroirs domaine mortet denis|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=234
W|gevrey|chambertin mes favorites domaine alain burguet|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes favorites domaine alain burguet|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=236
W|gevrey|chambertin mes favorites domaine alain burguet|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mes favourites vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mommessin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin mongeard mugneret|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin monopole clos de meixvelle domaine gelin|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin odoul coquard|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin old vines|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin organic|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ostrea domaine jean trapet pere fils|fr|r|??|bourgogne|gevrey chambertin|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin petit chapelle cru albert bichot|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin petite chapelle premier cru|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin petite chapelle premier cru|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin petite chapelle premier cru|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin pinot noir taupenotmerme|fr|r|pinot noir|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru aux combottes jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru cherbaudes jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru cherbaudes jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=253
W|gevrey|chambertin premier cru clos des issarts domaines faiveley|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru clos prieur jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru combe aux moines domaines faiveley|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru lavaux saint jacques|fr|r|??|bourgogne|gevrey chambertin|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru lavaux st jacques domaines faiveley|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru les cazetiers|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru les cazetiers domaines faiveley|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru les champeaux domaine tortochot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru petite chapelle jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin premier cru petite chapelle jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|gevrey|chambertin racine du temps vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin regnard|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin roche de bellene|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin rouge|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin rouge david duband|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin rouge les murots bio domaine du clos frantin bichot|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin sans soufre|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin symphonie domaine alain burguet|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin symphonie domaine alain burguet|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin terres blanches|fr|w|??|bourgogne|gevrey chambertin|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gevrey|chambertin thierry mortet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin v vignes charlopin rg|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vallet freres|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=292
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=292
W|gevrey|chambertin vieilles vignes bad label|fr|r|??|bourgogne|gevrey chambertin|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine bernard coillot pere et fils|fr|r|??|bourgogne|gevrey chambertin|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine harmandgeoffroy|fr|r|??|bourgogne|gevrey chambertin|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes serafin|fr|r|??|bourgogne|gevrey chambertin|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine rossignoltrapet domaine rossignoltrapet|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine rossignol trapet|fr|r|??|bourgogne|gevrey chambertin|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes tortochot|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|gevrey|chambertin vieilles vignes closerie des alisiers rood|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=307
W|gevrey|chambertin vieilles vignes klassisk bourgogne vin|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes vincent girardin|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=312
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=312
W|gevrey|chambertin vieilles vignes vincent girardin|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes chateau de laborde|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes chateau de marsannay|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine geantet pansiot|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine geantet pansiot|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=319
W|gevrey|chambertin vieilles vignes domaine humbert|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine pierre labet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaine tortochot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes domaines faiveley|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes gerard seguin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes jacques rossignol|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=326
W|gevrey|chambertin vieilles vignes les marchais domaine pierre naigeon|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes philippe charlopinparizot|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vieilles vignes rouge aoc|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vielles vigne domaine bachelet|fr|r|??|bourgogne|gevrey chambertin|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vielles vignes|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vielles vignes by geantet pansiot|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vielles vignes domaine gallois|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vielles vignes pinot noir borgogna jaffelin|fr|r|pinot noir|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vielles vignes rossignol trapet|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin village|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin village domaine serafin pere fils|fr|r|??|bourgogne|gevrey chambertin|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin village domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin village domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin village jane eyre maison jane eyre|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin village|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin villages|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin villages|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|gevrey|chambertin villages|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|gevrey|chambertin villages|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|gevrey|chambertin villages serafin|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin vv rossignol trapet|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot mgn|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot jero|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot mgn|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|clos stjacques jadot|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
