1. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2022|13.0|igt|medio|frutos do mar, peixe, salada|seco
192. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=191
193. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=191
194. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=191
195. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=191
196. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
197. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2011|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
198. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
199. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|1996|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
200. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|1990|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
201. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
202. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=201
203. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=201
204. W|gaja|barolo|it|r|nebbiolo|piemonte|barolo|1961|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
205. W|gaja|barbera d alba|it|r|barbera|piemonte|alba|1969|13.5|doc|medio|massas, carne suina, queijo|seco
206. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
207. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
208. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
209. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
210. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
211. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=210
212. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=210
213. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=210
214. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=210
215. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
216. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=215
217. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
218. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=217
219. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=217
220. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
221. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=220
222. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
223. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=208
224. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=208
225. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=208
226. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
227. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2011|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
228. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2009|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
229. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
230. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=229
231. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2003|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
232. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|2001|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
233. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1998|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
234. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
235. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1996|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
236. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1988|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
237. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1988|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=236
238. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1985|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
239. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1982|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
240. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1978|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
241. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1976|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
242. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1973|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
243. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1971|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
244. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|1970|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
245. W|gaja|barbaresco sori tildin|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
246. W|gaja|barbaresco sori tilden|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
247. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
248. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
249. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
250. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
251. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
252. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=251
253. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=251
254. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=251
255. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
256. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=255
257. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=255
258. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
259. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=258
260. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=258
261. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
262. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=261
263. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
264. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
265. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=264
266. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=264
267. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
268. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2011|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
269. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
270. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2003|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
271. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2001|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
272. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2001|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=271
273. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1999|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
274. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1998|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
275. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
276. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1996|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
277. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1995|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
278. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1990|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
279. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1985|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
280. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1982|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
281. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1974|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
282. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1971|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
283. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|1967|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
284. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
285. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=284
286. W|gaja|barbaresco sori san lorenzo|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=284
287. W|gaja|barbaresco san lorenzo|it|r|nebbiolo|piemonte|barbaresco|2009|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
288. W|gaja|barbaresco riserva|it|r|nebbiolo|piemonte|barbaresco|1958|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
289. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
290. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
291. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2001|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
292. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
293. W|gaja|barbaresco infernot|it|r|nebbiolo|piemonte|barbaresco|1970|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
294. W|gaja|barbaresco infernot|it|r|nebbiolo|piemonte|barbaresco|1967|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
295. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1974|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
296. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1971|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
297. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1970|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
298. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
299. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
300. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=299
301. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
302. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=301
303. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=301
304. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=301
305. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=301
306. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=301
307. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
308. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=307
309. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=307
310. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
311. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=310
312. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=310
313. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=310
314. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
315. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=314
316. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
317. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=316
318. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
319. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
320. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
321. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=316
322. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2000|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
323. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1971|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
324. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1971|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=323
325. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1958|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
326. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1958|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=325
327. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
328. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
329. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=316
330. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
331. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=330
332. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=314
333. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
334. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=316
335. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=318
336. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
337. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=327
338. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
339. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1982|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
340. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1974|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
341. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|1971|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=323
342. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
343. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=342
344. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=342
345. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=342
346. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=342
347. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|doc|encorpado|carne vermelha, trufa, queijo curado|seco
348. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
349. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
350. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
351. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=350
352. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=350
353. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=350
354. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
355. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=354
356. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
357. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=356
358. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=356
359. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
360. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=359
361. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=348
362. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
363. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=362
364. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2006|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
365. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2005|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
366. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2004|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
367. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2004|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=366
368. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2003|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
369. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2001|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
370. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|2000|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
371. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1999|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
372. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1998|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
373. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
374. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=373
375. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=373
