W|grand|soir rollon elixir set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape vieilles vignes|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape vieilles vignes|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur cdp|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur cdp blanc|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|veneur cdp rouge le miocene|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|grand|veneur chateauneuf du pape|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape les origines|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape origines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape rouge les origines|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape vieilles vignes|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape vieilles vignes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape vv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape vieilles vignes|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape vieilles vignes|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur cotes du rhone les champauvins|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur cotes du rhone les champauvins blanc|fr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|veneur cotes du rhone reserve|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur cotes du rhone rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur les origines cdp|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|grand veneur lirac sixte|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur vieilles vignes|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur vielles vignes chateauneuf du pape|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur vv cdp|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur vv chateauneufdupape|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vernet|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|via fondator chardonnay eco|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|via fondator feteasca neagra eco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|via fondator muscat ottonel eco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|via fondator white blend eco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|village|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village blanc bordeaux sup c12|fr|w|??|bordeaux|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|village blanc bordeaux sup c6|fr|w|??|bordeaux|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|village rouge c6 bordeaux sup|fr|r|??|bordeaux|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village bordeaux superieur|fr|r|??|bordeaux|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village bordeaux superieur|fr|r|??|bordeaux|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village bordeaux superieur red|fr|r|??|bordeaux|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village bordeaux superieur white|fr|w|??|bordeaux|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|village bordeaux superieur white|fr|w|??|bordeaux|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|village bourdeaux|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|village vignerons grand village rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|grand|vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|grand|vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|grand|vin fabre montmayou|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin a d vineyard ashes diamonds|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin askalon ben ami|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau guiraud bordeaux white|grand vin blanc sec de|fr|w|??|bordeaux|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vin cap royal bordeaux superieur|fr|r|??|bordeaux|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau leovillelas cases|grand vin france bottle|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau lhospitalet|grand vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de bordeaux|fr|r|??|bordeaux|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos floridene|grand vin de bordeaux blanc graves aoc|es|w|??|bordeaux|graves|2018|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|chateau les berthets blaye cotes de|grand vin de bordeaux bordeaux|fr|r|??|bordeaux|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau leydetvalentin|grand vin de bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau fontvieille|grand vin de bordeaux cotes de bourg|fr|r|??|bordeaux|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau angelus|grand vin de bordeaux hommage a elisabeth bouchet|fr|r|??|bordeaux|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau haut grignon|grand vin de bordeaux medoc cru bourgeois|fr|r|??|bordeaux|medoc|nv|13.5|cru bourgeois|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau guibeau puisseguin saintemillion kosher red|grand vin de bordeaux vieux wine|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine maldant pauvelot|grand vin de bourgogne aloxecorton aoc|fr|r|??|??|??|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine maldant pauvelot|grand vin de bourgogne beaune premier cru les aigrots|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine maldant pauvelot|grand vin de bourgogne beaune premier cru les cent vignes 1285 bottiglie prodotte|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de bourgogne blanc saint romain sarnin berrux|fr|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|domaine du clos frantin|grand vin de bourgogne grand cru aoc chambertin albert bichot|fr|r|??|??|??|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine du clos frantin|grand vin de bourgogne grand cru aoc echezeaux albert bichot|fr|r|??|??|??|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine du clos frantin|grand vin de bourgogne grand cru aoc grandsechezeaux albert bichot|fr|r|??|??|??|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de bourgogne grand cru aoc montrachet albert bichot|fr|r|??|??|??|2015|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine du clos frantin|grand vin de bourgogne grand cru aoc richebourg albert bichot|fr|r|??|??|??|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine clerget|grand vin de bourgogne grand cru echezeaux en orveaux|fr|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine leflaive|grand vin de bourgogne pouilly fuisse|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de bourgogne robert goulley bourgogne chardonnnay|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de bourgogne rouge cassagne montrachet sarnin berrux|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine maldant pauvelot|grand vin de bourgogne santenay rouge aoc|fr|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour|grand vin de|??|r|??|??|??|1986|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour|grand vin de|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour pauillac ac|grand vin de 1gcc|??|r|??|??|pauillac|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour pauillac ac|grand vin de 1gcc|??|r|??|??|pauillac|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=315
W|chateau latour pauillac ac|grand vin de 1gcc|??|r|??|??|pauillac|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour pauillac ac|grand vin de 1gcc|??|r|??|??|pauillac|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=317
W|chateau palmer|grand vin de|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de jordanie cabernet sauvignonpinot noir|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de lafite rothschild|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville de las cases saint julien|??|r|??|??|saint julien|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville du marquis de las 2nd gcc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville du marquis de las cases|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville du marquis de las cases|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville las cases|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville las cases|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville las cases|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville las cases|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de leoville marquis de las cases red|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de reignac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de reignac|grand vin de reignac|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de reignac|grand vin de reignac|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de reignac|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de reignac aoc bordeaux superieur rouge|fr|r|??|bordeaux|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de reignac bordeaux superieur|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de sauternes barsac|??|d|??|??|sauternes|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|vin de stellenbosch rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin de stellenbosch cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon pricing per case of 6|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon pricing per case of 6|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon merlot pricing per case of 6|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignon merlot pricing per case of 6|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignonmerlot|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch cabernet sauvignonmerlot|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch mcc brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|vin de stellenbosch mcc brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=349
W|grand|vin de stellenbosch mcc brut|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|vin de stellenbosch mcc brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|vin de stellenbosch mcc brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=352
W|grand|vin de stellenbosch method cap classique chardonnay pinot noir|??|w|pinot noir|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vin de stellenbosch method cap classique pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch pinotage|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin de stellenbosch pinotage|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|grand|vin de stellenbosch rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin de stellenbosch rose pricing per case of 4|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin de stellenbosch rose pricing per case of 6|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin de stellenbosch rose|??|p|??|??|??|2019|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin de stellenbosch sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vin de stellenbosch sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
W|grand|vin de stellenbosch sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vin de stellenbosch sauvignon blanc pricing per case of 6|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vin de stellenbosch shiraz pricing per case of 6|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de suronde|grand vin de suronde anjou blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vin du beaujolais moulinavent doc vin vechi de colectie|fr|r|??|??|??|1998|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau corbieres rouge chateau pechlatt|grand vin du|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour|grand vin fra|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour|grand vin fran|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour|grand vin from|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin leoville|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin leoville|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|grand|vin leoville|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|grand|vin leoville marquis las cases|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin liquoreux de france aither|fr|f|??|??|??|2010|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grand|vin liquoreux de france creme de tete|fr|f|??|??|??|2010|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grand|vin list 3 2 a|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 2 b|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 2 c|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 2 d|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 2 e|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 2 f|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 2 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 4|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin list 3 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin minervois la liviniere aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin mousseux petit royal caves de seyssel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin pauillac premier grand cru classe|??|r|??|??|pauillac|2011|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin pinot noir aoc wolfer|??|r|pinot noir|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau la coste|grand vin rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin rose le coste|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vin rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|grand|vin rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau lhospitalet gerard bertrand|grand vin rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau la coste|grand vin rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin rouge corbieres aop|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin rouge de cazebonne graves|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin son mayol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin son mayol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=403
W|grand|vin son mayol|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin son mayol vdt 15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin son mayol vdt 17|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin son mayol vdt 19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vin son mayol vdt 19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=408
W|chateau latour|grand vin van|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vins de bordeaux goudbekroonde bordeauxwijnen 6 flessen in luxe houten kist|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vins des princes millesime|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vins mas de daumas gassac blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=414
W|grand|vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=414
W|grand|vintage cuvee 250eme anniversaire 15 liter|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage grand cru|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage grand cru|??|r|??|??|??|2010|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage grand cru|??|r|??|??|??|2011|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage grand cru|??|r|??|??|??|2012|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage grand cru|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage grand cru|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|grand|vintage cabernet sauvignon trocken weingut pethwetz|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage 30 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage 40 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage 50 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vintage blanc|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vintage blanc|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vintage blanc im geschenkkarton|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vintage blanc im geschenkkarton|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vintage champagne serveaux|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|vintage collection brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|vintage extrabrut|??|s|??|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|vintage extrabrut|??|s|??|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|brut|=438
W|grand|vintage moet chandon champagne|fr|s|??|champagne|??|2004|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|vintage rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|vintage rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=441
W|grand|vintage rose|??|p|??|??|??|2013|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
