W|gaveske|med 2 udvalgte alkoholfrie speciall|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi bric sassi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi bric sassi sarotto|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi bric sassi sarotto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi ca da bosio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi conte di alari|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi cortese|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavi|di gavi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=228
W|gavi|di gavi docg olim bauda piemonte|it|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg olim bauda piemonte|it|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg bricco dei guazzi|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg bricco dei guazzi|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=233
W|gavi|di gavi docg bricco dei guazzi|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=233
W|gavi|di gavi docg monchiero carbone|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg olim bauda piemonte|it|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|gavi|di gavi docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|gavi|di gavi docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|gavi|di gavi docg bruno broglia broglia|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg gavi del comune|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg la ficaia piemonte|it|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg la meirana broglia|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg levi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg masseria dei carmelitani|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg piccolo ernesto|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg scrimaglio piemonte|it|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg sorino|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi docg tenuta il bergo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi donna bianca docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi figini italy|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi fontanafredda|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi fratelli antonio e raimondo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi giordano lombardo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi giustiniana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi guasti clemente|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la contessa broglia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la contessa broglia piedmont italy|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la giustiniana docg piedmont italy|it|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la meirana broglia|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la meirana broglia piedmont italy|it|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la scolca etbianca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la scolca etbianca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=264
W|gavi|di gavi la scolca etichetta nera|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la scolca etnera docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi la scolca etnera docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=267
W|gavi|di gavi la smilla|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi le rive docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi luca bosio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi lugarara la giustiniana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi lugarara la giustiniana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=272
W|gavi|di gavi lugarara la giustiniana piedmont ita|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi marchesi di barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi marchesi di barolo|it|r|??|barolo|barolo|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi marchesi di barolo|it|r|??|barolo|barolo|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi marco bonfante docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi masseria dei carmelitani|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi masseria dei carmelitani|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=279
W|gavi|di gavi masseria dei carmelitani docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi minaia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi monchiero carbone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi naje|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi nuovo quadro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi nuovo quadro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=285
W|gavi|di gavi nuovo quadro|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi nuovo quodro|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi patrizi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi roberto sarotto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi rovereto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi rovereto picollo ernesto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi santa seraffa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi tenuta olim bauda|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi terre antiche|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi terre antiche la giustiniana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi terre antiche la giustiniana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=296
W|gavi|di gavi terre antiche la giustiniana|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi terre da masseria dei carmelitani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi terre da masseria dei carmelitani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|gavi|di gavi tuffo morgassi superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi villa sparina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di gavi villa sparina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=302
W|gavi|di tassarolo la fornace cinzia bergaglio|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di tassarolo la fornace|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|di tassarolo la fornace cinzia bergaglio|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|doc linea oro volpi|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|gavi|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|gavi|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|gavi|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|gavi|docg nicola bergaglio|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg box of|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg cantine volpi 0|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg cantine volpi 075 l288 kcpuvodne339 kc|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg 0|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg antico monastero|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg balbi soprani|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la mesma|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la zerba|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg pio cesare|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg 24 fontanafredda|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg anfora|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg anfora la zerba|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg aresca|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg bianco secco etichetta nera la scolca|??|w|??|??|??|2022|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|gavi|docg bio|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg ca adua gavi gavi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg ca bianca|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg ca bianca|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=332
W|gavi|docg casali del barone|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg de la bosio|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune caposio 125|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|gavi|docg del comune di gavi|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|gavi|docg del comune di gavi maneo|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi monteroton js 92p|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=342
W|gavi|docg del comune di gavi fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=342
W|gavi|docg del comune di gavi fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=342
W|gavi|docg del comune di gavi fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=342
W|gavi|docg del comune di gavi cortem fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi cortem fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=347
W|gavi|docg del comune di gavi cortem fontanafredda|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=347
W|gavi|docg del comune di gavi fossili|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi i ronchetti|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavi rastrellino|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di gavirovereto fontanassa fontanassa|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg del comune di tassarolo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg di gavi metodo classico brut arde|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|brut
W|gavi|docg di gavi rolona|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg di gavi vigna vecchia rovereto|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg di tassarolo fornaci|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg etichetta biancala scolca lt 075|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg gavi villa sparina|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg gavi dei gavi etichetta nera la scolca|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg gavi dei gavi limited edition la scolca|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg il mandorlo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg il rocchain 075|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la battistina|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la meirana broglia restposten|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la minaia|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la rocca coppo|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la rocca coppo|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=368
W|gavi|docg la rocca coppo|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=368
W|gavi|docg la scolca|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg la smilla|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg le marne|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg le marne michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg le marne michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|gavi|docg le marne michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|gavi|docg le marne michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|gavi|docg le marne michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|gavi|docg le rive|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|gavi|docg molinetto|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg palas michele chiarlo|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg palas michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg palas michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|gavi|docg palas michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|gavi|docg palas michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|gavi|docg palas michele chiarlo|??|r|??|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|gavi|docg piccolo ernesto|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg pio cesare|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg pio cesare|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=389
W|gavi|docg pise la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg pise la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gavi|docg pise la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gavi|docg pise la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gavi|docg pise la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gavi|docg pleo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg pleo la raia|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg pleo la raia|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=397
W|gavi|docg pleo la raia|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=397
W|gavi|docg relys molinetto|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg ricossa|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg ricossa piedmont|it|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg riserva|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg riserva dantan la scolca|??|r|??|??|??|2012|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg riserva vigna madonnina|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg salluvi|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg spumante metodo classico molinetto|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|seco
W|gavi|docg tenuta la rocca coppo|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg terrabruna|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg terrarossa|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg terrarossa la zerba|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg vie di san rocco|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg villa broglia broglia|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg villa martino|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|docg white wine|??|w|??|??|??|nv|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|gavi|docgbosiocaja con 6 botellas de|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|dogc dei gavi etichetta nera|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|etichetta nera barrique dario bergaglio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|folli benato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|folli benato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=419
W|gavi|fontanafreda|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|francesco rinaldi|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|frizzante docg|??|s|??|??|??|2021|12|docg|leve|aperitivos, frutos do mar, canapes|seco
W|gavi|frizzante sparkling spinola doc castello di tassarolo|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gavi|gelsomora|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la battistina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la battistina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|gavi|la battistina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|gavi|la battistina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|gavi|la battistina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|gavi|la battistina|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la battistina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la battistina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=432
W|gavi|la battistina case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la bollina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la bollina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=435
W|gavi|la caplana|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la chiara|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la fornace|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la fornace|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=439
W|gavi|la luciana araldica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la luciana docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la rocca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la rocca coppo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la scolca|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la scolca bianco secco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavi|la scolca docg la scolca|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la scolca etbianca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
