1. W|cascade heights|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
237. W|cascaval ser wedzony|350g|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|cascaval svalia|45|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|cascaval tare|parnigio|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|cascaval traditional 450g|vlasie|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|cascaval vegetal 25kg|toast|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|cascavea de scorteni ferma|moldoveanu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|cascavel comme un lezard au soleil biologique|aoc muscat de beaumesdevenise dessert|??|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
244. W|cascavel les terroirs des papes aop chateauneufdupape|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|cascavel monts vertiges ventoux|aoc ventoux rouge|??|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
246. W|cascavel sables argiles|aoc vacqueyras rouge|??|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
247. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|cascian pennacurrado bricco lago dolcetto daalba|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|cascina adelaide|barbera dalba amabilin 2019|??|r|barbera|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
250. W|cascina adelaide|barbera dalba amabilin 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
251. W|cascina adelaide|barbera dalba preda superiore piedmont 2019|it|r|barbera|piedmont|??|2019|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
252. W|cascina adelaide|barbera dalba superiore preda 2019|??|r|barbera|??|??|2019|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
253. W|cascina adelaide|barbera dalba vigna preda 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
254. W|cascina adelaide|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|cascina adelaide|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=254
256. W|cascina adelaide|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=254
257. W|cascina adelaide barolo|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|cascina adelaide barolo|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=257
259. W|cascina adelaide barolo|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cascina adelaide barolo|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=259
261. W|cascina adelaide barolo|4 vigne|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|cascina adelaide barolo|4 vigne|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=261
263. W|cascina adelaide barolo|4 vigne 2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|cascina adelaide barolo baudana|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|cascina adelaide barolo baudana|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=264
266. W|cascina adelaide barolo baudana|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=264
267. W|cascina adelaide barolo boutellier|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|cascina adelaide barolo boutellier key|2013 inaugural vintage|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|cascina adelaide barolo bussia|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|cascina adelaide barolo bussia|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|cascina adelaide barolo bussia|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|cascina adelaide barolo cannubi|2006|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|cascina adelaide barolo cannubi|2014|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|cascina adelaide barolo cannubi|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|cascina adelaide barolo cannubi|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=274
276. W|cascina adelaide barolo cannubi|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|cascina adelaide barolo cannubi|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|cascina adelaide barolo cannubi|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=277
279. W|cascina adelaide barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
280. W|cascina adelaide barolo|docg 4 vigne|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
281. W|cascina adelaide barolo fossati|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|cascina adelaide barolo fossati|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cascina adelaide barolo fossati|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|cascina adelaide barolo fossati la morra|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|cascina adelaide barolo per elen riserva|2004|it|r|??|??|??|2004|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
286. W|cascina adelaide barolo pernanno|2010|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|cascina adelaide barolo preda|2004|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|cascina adelaide barolo preda|2006|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|cascina adelaide barolo preda|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|cascina adelaide barolo preda|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|cascina adelaide barolo preda|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|cascina adelaide barolo preda|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=291
293. W|cascina adelaide barolo riserva per elen|2013|it|r|??|??|??|2013|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
294. W|cascina adelaide bussia|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|cascina adelaide dolcetto di diano|dalba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|cascina adelaide dolcetto di diano dalba|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|cascina adelaide fossati barolo piedmont italy|2019|it|r|??|piedmont|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|cascina adelaide langhe nascetta di novello|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|cascina adelaide langhe|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
300. W|cascina adelaide langhe|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=299
301. W|cascina adelaide langhe|nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
302. W|cascina adelaide nascetta piedmont|2022|it|r|??|piedmont|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. X
304. X
305. W|cascina albano dolcetto|dalba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|cascina albano dolcetto dalba|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|cascina albano dolcetto dalba|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
308. W|cascina albano langhe arneis|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|cascina albano langhe arneis|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=308
310. W|cascina albano|nebbiolo dalba 2020|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
311. W|cascina albano|nebbiolo dalba 2020|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=310
312. W|cascina albano|smagekasse|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|cascina albano vin smagekasse oplev|piemonte|it|r|??|piemonte|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|cascina albaterra el|frissante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|cascina albaterra il|frissante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|cascina alberta barbaresco|giacone|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|cascina alberta barbaresco giacone|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|cascina alberta|barbera d alba 2022|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
319. W|cascina alberta|barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
320. W|cascina alberta|brut nature|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
321. W|cascina alberta langhe|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
322. W|cascina alberta langhe|nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
323. W|cascina amalia barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
324. W|cascina arione|1978 barolo riserva|it|r|??|??|??|1978|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
325. W|cascina arione|1985 barolo jeroboam|it|r|??|??|??|1985|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|cascina arione|1990 barolo jeroboam|it|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|cascina ballarin barolo bricco rocca|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|cascina ballarin barolo bussia|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|cascina ballarin barolo bussia|2016 eksklusiv vin til salg|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|cascina ballarin tre ciabot barolo|docg 2018|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
331. W|cascina barban albera|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|cascina|baricchi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|cascina baricchi barbaresco|docg riserva quindicianni 2010|it|r|??|??|??|2010|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
334. W|cascina baricchi barbaresco|docg riserva rose delle casasse tinto 2019|it|p|??|??|??|2019|12.5|docg|leve|saladas, aves, queijos leves|seco
335. W|cascina baricchi barbaresco quindiccianni|2007|it|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|cascina baricchi barbaresco riserva quindicianni|2007|it|r|??|??|??|2007|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
337. W|cascina baricchi barbaresco riserva quindicianni|2008|it|r|??|??|??|2008|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
338. W|cascina baricchi barbaresco riserva quindicianni|2008|it|r|??|??|??|2008|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=337
339. W|cascina baricchi barbaresco riserva quindicianni|2010|it|r|??|??|??|2010|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
340. W|cascina baricchi barbaresco riserva rosa delle casasse|2017|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
341. W|cascina baricchi barbaresco riserva rosa delle casasse|2017|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=340
342. W|cascina baricchi barbaresco riserva rosa delle casasse|2017|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=340
343. W|cascina baricchi barbaresco riserva rosa delle casasse|2019|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
344. W|cascina baricchi barbaresco riserva rosa delle casasse|2019|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=343
345. W|cascina baricchi barbaresco riserva rosa delle casasse|2019|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=343
346. W|cascina baricchi barbaresco riserva|rose delle casasse 2011|it|p|??|??|??|2011|12.5|riserva|leve|saladas, aves, queijos leves|seco
347. W|cascina baricchi barbaresco riserva|rose delle casasse 2016|it|p|??|??|??|2016|12.5|riserva|leve|saladas, aves, queijos leves|seco
348. W|cascina baricchi barbaresco riserva|rose delle casasse 2017|it|p|??|??|??|2017|12.5|riserva|leve|saladas, aves, queijos leves|seco
349. W|cascina baricchi barbaresco riserva|rose delle casasse 2019|it|p|??|??|??|2019|12.5|riserva|leve|saladas, aves, queijos leves|seco
350. W|cascina baricchi barbaresco|rose delle casasse 2016|it|p|??|??|??|2016|12.5|??|leve|saladas, aves, queijos leves|seco
351. W|cascina baricchi barbaresco|rose delle casasse 2016|it|p|??|??|??|2016|12.5|??|leve|saladas, aves, queijos leves|seco|=350
352. W|cascina baricchi barbaresco|rose delle casasse riserva 2016|it|p|??|??|??|2016|12.5|riserva|leve|saladas, aves, queijos leves|seco
353. W|cascina baricchi|barbera dalba 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
354. W|cascina baricchi|barbera dalba riva della coda|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
355. W|cascina baricchi|barbera dalba riva della coda 2020|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
356. W|cascina baricchi ca va sans dire|2016 piedmont italy|it|r|??|piedmont|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cascina baricchi ca va sans dire bianco timorasso|2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|cascina baricchi ca va sans dire italia|branco 2016|it|w|??|??|??|2016|12.5|??|leve|frutos do mar, peixes, saladas|seco
359. W|cascina baricchi ca va sans dire piedmont italy|2014|it|r|??|piedmont|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|cascina baricchi ca va sans dire timorasso|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|cascina baricchi et voila|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|cascina baricchi et voila metodo|classico 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|cascina baricchi et voila metodo|classico 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=362
364. W|cascina baricchi jamais metodo|classico nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|cascina baricchi jamais metodo|classico nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=364
366. W|cascina baricchi jonny|gambato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|cascina baricchi jonny|gambato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=366
368. W|cascina baricchi jonny gambato|nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|cascina baricchi quindicianni barbaresco riserva|2006|it|r|??|??|??|2006|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
370. W|cascina baricchi quindicianni barbaresco riserva|docg italy 2008|it|r|??|??|??|2008|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
371. W|cascina baricchi regina di felicita|nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|cascina baricchi regina di felicita|nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=371
373. W|cascina baricchi riserva|rose dell casasse 2016|??|p|??|??|??|2016|12.5|riserva|leve|saladas, aves, queijos leves|seco
374. W|cascina baricchi riserva|rose delle casasse barbaresco italia tinto 2019|it|p|??|??|??|2019|12.5|riserva|leve|saladas, aves, queijos leves|seco
375. W|cascina baricchi riva della coda|barbera dalba piedmont italy 2020|it|r|barbera|piedmont|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
376. W|cascina baricchi|rose delle casasse barbarecso 2018 piedmont italy|it|p|??|piedmont|??|2018|12.5|??|leve|saladas, aves, queijos leves|seco
377. W|cascina baricchi|rose delle casasse barbaresco 2018|it|p|??|??|??|2018|12.5|??|leve|saladas, aves, queijos leves|seco
378. W|cascina baricchi|rose delle casasse barbaresco riserva 2017|it|p|??|??|??|2017|12.5|riserva|leve|saladas, aves, queijos leves|seco
379. W|cascina baricchi|rose delle casasse barbaresco riserva 2018|it|p|??|??|??|2018|12.5|riserva|leve|saladas, aves, queijos leves|seco
380. W|cascina baricchi|rose delle casasse barbaresco riserva docg italy 2017|it|p|??|??|??|2017|12.5|docg|leve|saladas, aves, queijos leves|seco
381. W|cascina baricchi|rose delle casasse riserva 2017|??|p|??|??|??|2017|12.5|riserva|leve|saladas, aves, queijos leves|seco
382. W|cascina baricchi spumante metodo|classico brut blanc de noirs et voila|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
383. W|cascina barisel la cappelletta|barbera dasti superiore 2019|??|r|barbera|??|??|2019|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
384. W|cascina barisel monferrato|dolcetto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|cascina barisel|moscato dasti|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
386. W|cascina barroero piemonti piritott mogyoro|200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|cascina barroero piemonti piritott sos mogyoro|200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|cascina belmonte natty bombo petnat|rose lombardy italy nv|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
389. W|cascina belmonte naturae marzemino|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|cascina belmonte serese manzoni bianco benaco bresciano|igp|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
391. W|cascina belverdere polenta mit truffel italien|1 x 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cascina belverdere polenta mit truffel italien|12 x 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|cascina belverdere polenta mit truffel italien|3 x 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|cascina belverdere polenta mit truffel italien|6 x 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|cascina bernino|1974 barbaresco|it|r|??|??|??|1974|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|cascina bersano barolo|1959|it|r|??|??|??|1959|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|cascina bersano barolo|1959|it|r|??|??|??|1959|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=396
398. W|cascina bersano barolo|1959|it|r|??|??|??|1959|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=396
399. W|cascina boccaccio infernot bianco frizzante|2019|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, sushi|brut
400. W|cascina boccaccio infernot ri|rosso frizzante 2019|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, sushi|brut
401. W|cascina bongiovanni|2013 barolo docg piedmont italy|it|r|??|piedmont|??|2013|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
402. W|cascina bongiovanni|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|cascina bongiovanni|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|cascina bongiovanni barolo|2014|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|cascina bongiovanni barolo|docg 2020|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
406. W|cascina borgatta borgatta piedmont|italy|it|r|??|piedmont|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|cascina borgatta la milla dolcetto|2015 14|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|cascina borgatta lamilla piedmont|italy|it|r|??|piedmont|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|cascina boschetti barolo|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|cascina boschetti gamba barolo|white label|it|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
411. W|cascina boschetti gomba barolo serni|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
412. W|cascina boschetti gomba roero arneis spumante|brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
413. W|cascina bruciata|barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|cascina bruciata barbaresco rio|sordo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|cascina bruciata barbaresco riserva rio|sordo|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
416. W|cascina bruciata barolo cannubi|muscatel|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|cascina bruciata barolo cannubi muscatel|2014|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|cascina bruciata langhe|nebbiolo usignolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
419. W|cascina bruni barbaresco|docg riserva fanin 2013|it|r|??|??|??|2013|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
420. W|cascina bruni bricco|rosso barolo docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
421. W|cascina bruni campodelpelo|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|cascina bruni culumbe|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco
423. W|cascina ca rossa funsu|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|cascina ca rossa grignolino|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|cascina ca rossa grignolino|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|cascina ca rossa grignolino|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|cascina ca rossa le coste|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|cascina ca rossa merica|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|cascina ca rossa mompissano|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|cascina ca rossa roero|docg le coste 2019|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
431. W|cascina ca rossa valmaggiore|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cascina canova ghemme|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
433. W|cascina carlot|aive|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|cascina carlot fiori di campo|moscato dasti docg 2025 vino dolce|??|w|moscato|??|??|2025|12.5|docg|leve|frutos do mar, peixes, saladas|seco
435. W|cascina carlot iris asti|doc dolce vino spumante dolce|??|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
436. W|cascina carlot|moscato d asti fiori di campo 2025|??|w|moscato|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
437. W|cascina carlot|runc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cascina carlot|sarot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cascina carlot|viu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|cascina carra carlot|barbera dalba 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
441. W|cascina carra runsue|nebbiolo dalba doc 2021|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
442. W|cascina carra tita|nebbiolo dalba superiore doc 2019|??|r|nebbiolo|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
443. W|cascina castlet|barbera dasti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
444. W|cascina castlet|barbera dasti della vespa|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
445. W|cascina castlet|barbera dasti il nido|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
446. W|cascina castlet|barbera dasti vespa 2022|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
447. W|cascina castlet|barbera monferrato doc vivace goj|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
448. W|cascina castlet litina|barbera dasti superiore doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
