W|gran siesta|biodinamico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano half wheel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano large wedge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano mantova 360 gr app|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano oltre 12 mesi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano porcionado 250gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano rueda|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano small wedge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano sottovuoto 200 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano stravecchio dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano style 1kg aprox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano style 4kgs aprox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano vatsario 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padano whole wheel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
W|grana|padanogalbani100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grana|padanovatsario|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaatappel|azijn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaatappel|vermouth distileria weisshorn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaatappelazijn|granaatappelazijn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaatounasiirup|caiman|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaccia|bisson|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaccia|costa de vigne massimo alessandri|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaccia|igt colline del genovesatobisson lt 075|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granaccia|stissa doc riviera ligure di ponente|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granacha|granacha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granache|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|granada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|granada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=264
W|granada|alborona moscato wine|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|alborona rose wine|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granada|alborona white wine|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granada|congeladaarilos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|hills 91344|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|importada und|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|journal in vegan leather material with pen hoop|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|nacional kilo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|vallet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|vallet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|granada|vallet 6 cs 64 pf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|vallet 64 pf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|vallet aperitivo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granada|vallet aperitivo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
S
S
W|granada|wine alborona la mia anima|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granade|bits 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadie|prunotto rosato langhe docg|it|p|??|langhe|langhe|2022|12.5|docg|leve|aperitivos, frutos do mar, saladas|seco
W|granadilla|granadilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|granadilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=285
W|granadilla|granadilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=285
W|granadilla|400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|cong 500grs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|especial unid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|extra unidad|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|extra unid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|kilo 1000 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|malla 20un|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|oxapampa und|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|pet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granadilla|seleccion familiar|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|tipo exportacion 4un|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadilla|verdejo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granadilla|und|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|granadina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|granadina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|granadina|granadina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|granadina|granadina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|granadina|alicante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|artesanal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|colosal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|el bosque|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|gerardin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|grandel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|litro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|madrilena|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|matias rivas 500cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|medio litro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|mitjans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|mitjans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=317
W|granadina|mitjans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=317
W|granadina|mitjans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=317
W|granadina|mitjans 900cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|mitjans bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|mosaico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|pacifico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|primor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|rives litro sin alcohol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|sa rives|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|the black by deep|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granadina|the black by deep|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=328
W|granadu|cannonau di sardegna doc tenute smeralda|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granaio|chianti classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granaio|chianti classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|granaio|chianti classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=332
W|granaio|chianti classico docg fattorie mellini|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|granajolo|le j blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granajolo|le j rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granajolo|le j rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=336
W|granajolo|minustellu rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granajolo|monika blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granajolo|monika blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=339
W|granajolo|monika rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granajolo|monika rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granajolo|sciaccarellu rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granajolo|sciaccarellu rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|granalla|granalla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granalla|granalla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|granalla|granalla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|granalta|espadin tobasiche 1 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granara|chiaretto bardolino rose doc|??|p|??|??|??|nv|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|granara|chiaretto rose tommasi|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granara|chiaretto rose tommasi|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=350
W|granarolo|500|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granarolo|mozzarella fresca 4 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granas|de colores 100 grs quiero natural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granas|de colores 200 grs quiero natural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granas|grageas formitas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granat|granat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granat|granat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|granat|granat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|granat|granat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|granat|granat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|granat|granat|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granat|granat|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granat|jabko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granat|karneol citrin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatalma|forte kapszula dr chen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatalma|kapszula interherb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatalmaecet|granatalmaecet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatalmas|partybee mezbor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfel|granatapfel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfel|balsamico von kreta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfel|gefullt edelbitterschokolade 100g confiserie berger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfel|likor kaufen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfelbalsamico|granatapfelbalsamico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfelkerne|granatapfelkerne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfellikor|von bottega|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatapfellikor|von giffard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatble|90 kapsler naturdrogeriet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatble|balsamico condimento|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatble|balsamico condimento|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|granatble|sbe med olivenolie bellas 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatble|te 70 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatble|te grnhvid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granate|plateado mayim achronim con lavabo diseno blanco marbel 13 cm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granate|spritz granatapfelsecco aromatisiertes weinhaltiges getrank|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatis|hatziioannou estate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|granato|granato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|granato|19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|foradori|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=392
W|granato|foradori|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|granato|teroldego foradori|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|vigneti delle dolomiti igt foradori|??|r|??|??|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|granato|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|elisabetta foradori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|22|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|bio foradori 1|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|by foradori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|foradori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|foradori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=405
W|granato|foradori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=405
W|granato|foradori|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|foradori|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=394
W|granato|merlot ticino doc|??|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego foradori bd vin nature|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego foradori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vdd igt bio|??|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vigneti delle dolomiti igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vigneti delle dolomiti igt|??|r|??|??|??|2015|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vigneti delle dolomiti igt|??|r|??|??|??|2017|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vigneti delle dolomiti igt doppel|??|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vigneti delle dolomiti igt|??|r|??|??|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granato|teroldego vigneti delle dolomiti igt|??|r|??|??|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=419
W|granato|teroldego vigneti delle dolomiti igt|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|granatova|jablka 1kg z recka|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatu|casa comerci|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatu|igp calabria rosato di casa comerci|??|p|??|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|granatus|granatus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granatus|granatus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|granatus|granatus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|granatus|granatus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|granatus|granatus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|granatus|rose pgi attiki papagiannakos 125 abv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granazza|granazza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granazza|granazza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=431
W|granazza|granazza|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granazza|di sardegna cantina giuseppe sedilesu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granazza|sulle bucce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granazza|sulle bucce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=435
W|granazza|sulle bucce|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granazza|sulle bucce cantina giuseppe sedilesu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granbaza|etiqueta ambar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|rias baixas albarino etiqueta verde|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=441
W|granbazan|albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=441
W|granbazan|albarino|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino ambar|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino ambar|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino amber|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino don alvaro d bazan|??|w|albarino|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta ambar|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta ambar|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=449
W|granbazan|albarino etiqueta ambar|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=449
W|granbazan|albarino etiqueta ambar|??|w|albarino|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta ambar|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta ambar|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta ambar rias baixas|??|w|albarino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde|??|w|albarino|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde|??|w|albarino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|granbazan|albarino etiqueta verde rias baixas|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqueta verde rias baixas|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=462
W|granbazan|albarino etiqueta verde rias baixas|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=462
W|granbazan|albarino etiqueta verde rias baixas spain|es|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino etiqyeta verde|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino limousin|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino limousin|??|w|albarino|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino limousin|??|w|albarino|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino limousin rias baixas|??|w|albarino|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino limousin rias baixas|??|w|albarino|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=470
W|granbazan|albarino rias baixas limousin|??|w|albarino|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino verde|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino verde|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=473
W|granbazan|albarino verde|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|albarino verde|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granbazan|ambar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granbazan|ambar|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granbazan|ambar|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granbazan|ambar do rias baixas|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
