W|franschoek cellars|the last elephant|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|arancia bio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|ascolana tenera premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|basilico bio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|biologico premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|classic duo pack|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|classico extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|classico extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=238
W|frantoio agostini|classico extra vergine olijfolie blik|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|hurticinum premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|hurticinum premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=241
W|frantoio agostini|hurticinum premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=241
W|frantoio agostini|limonolio bio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|marche igp premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|IGP|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|origine duo pack|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|piccantissimo bio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|rosmarino bio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|sublimis premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio agostini|sublimis premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=249
W|frantoio agostini|sublimis premium extra vergine olijfolie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=249
W|frantoio arrabiata|kaste 180g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio di|santagata donegllia artisokid 290g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio famiglia|mela 180|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio meresool|urtidega 270g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|intense and medium fruity|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|king|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|lattina arcobaleno da|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|lobster|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|mother nature|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|octopus|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|prickly pear|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio muraglia|sardine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio olio|extravergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio organic|chianti classico dop evoo high phenolic 656mgkg|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio pahklikreem|90g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio paikesekuivatatud|tomatid 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio paikesekuivatatud|tomatite pate 90g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio pesto|180g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio pesto|90g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio piprad|180g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|carciofini in olio di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|confezione regalo sapori liguri|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|confezione regalo sapori liguri special|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|crema di carciofi in olio di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|crema di ortica in olio di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|crema di pomodori secchi in olio di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|filetti di acciughe piccanti sottolio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|filetti di acciughe sottolio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|filetti di tonno sottolio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|olio extravergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|olio extravergine di oliva monocultivar taggiasca|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|olive taggiasche denocciolate in olio extravergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|olive taggiasche in salamoia|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|pate di olive taggiasche|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|peperoncini farciti con acciughe e capperi in olio extravergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|peperoncini farciti con tonno in olio extravergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|pesto alla genovese con aglio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|pesto alla genovese senza aglio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|pesto rosso|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio secondo|pomodori secchi sotto olio extravergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio suured|rohelised oliivid 290g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio taggiasca|oliivid soolvees 300g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio taggiasche|oliivipate 90g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio taidetud|piprad 180g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio trevi|flaminio olive denocciolate in olio evo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantoio truhvli|kaste 80g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2022 pouilly fuisse madrigal|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2022 saint veran a la roche|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2022 saint veran les montchanins|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2022 vireclesse les raspilleres|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2024 macon villages clos st pancras|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2024 pouilly fuisse madrigal|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2024 saint veran a la roche|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2024 saint veran de prisse a chasselas|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|2024 saint veran les montchanins|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|macon villages les carruge 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|maconvillages clos saint pancras 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|maconvillages clos saint pancras burgundy fr 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|pouillyfuisse madrigal 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|saint veran a la cote 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|saint veran montchanin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|saint veran prelude|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|saint veran prelude 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|saintveran de prisse a chasselas 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|saintveran prelude 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|savagnin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz chagnoleau|vireclesse les raspilleres 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|cave se rebiffe 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|cave se rebiffe 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=319
W|frantz saumon|chenin blanc le chapitre 2019|fr|w|chenin blanc|??|??|2019|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|chenin blanc mineral plus 2020|fr|w|chenin blanc|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|chenin blanc mineral plus 2020|fr|w|chenin blanc|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco|=322
W|frantz saumon|colombard vin de frantz 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|la boutanche rose 2020|fr|p|??|??|??|2020|13.5|??|medio|frutos do mar, saladas|seco
W|frantz saumon|la cave se rebiffe pet nat rose 2021 12|fr|s|??|??|??|2021|12|??|medio|aperitivos, frutos do mar|brut
W|frantz saumon|la cave se rebiffe petnat rose 2023|fr|s|??|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut
W|frantz saumon|la ptite gaule du matin 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|la ptite gaule du matin 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=328
W|frantz saumon|le chapitre 2019 montlouis france|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|le chapitre montlouis sur loire 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|menu pineau 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|mineral pl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|mineral plus 2020 loire valley france|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|mineral plus chenin blanc 2020|fr|w|chenin blanc|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|petillant naturel la petite gaule du matin 2022|fr|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar|extra brut
W|frantz saumon|petite gaule du matin petnat nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|frantz saumon|saumon bondesir 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|sauvignon blanc loire|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|vin de frantz 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz blanc 2022 loire valley france|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|vin de frantz chenin 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz chenin blanc 2023|fr|w|chenin blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|vin de frantz chenin blanc 2023|fr|w|chenin blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco|=344
W|frantz saumon|vin de frantz colombard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz gascogne 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz gascogne blanc 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|frantz saumon|vin de frantz melon 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz menu pineau 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz saumon|vin de frantz menu pineau 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=350
W|frantz saumon|vin de frantz rose 2022|fr|p|??|??|??|2022|13.5|??|medio|frutos do mar, saladas|seco
W|frantz saumon|vin de frantz rose 2022|fr|p|??|??|??|2022|13.5|??|medio|frutos do mar, saladas|seco|=352
W|frantz saumon|vin de frantz rose 2022|fr|p|??|??|??|2022|13.5|??|medio|frutos do mar, saladas|seco|=352
W|frantz saumon|vin de frantz sauvignon 2495|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz w|langguth cuvee rot|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantz w|langguth cuvee weiss|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantzen cauble|2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantzen cauble|napa valley cabernet sauvignon 2023|us|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantzeskos spirit|3 stars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frantzeskos spirit|5 stars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franui|franui|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franvosne romanee|domain nudant|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franvosne romanee|domain nudant|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=363
W|franvosne romanee|luis latour|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franvosne romanee|luis latour|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=365
W|franz and|friends gruner veltliner|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz anton|pinot noir baden|de|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz chagnoleau|maconvillages|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz etz|gruner veltliner 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz ferdinand|103|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz friederich|red crown|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz friederich|red crown|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=372
W|franz friederich|riesling spatlese|fr|w|riesling|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|franz friederich|riesling spatlese|fr|w|riesling|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=374
W|franz friends|gruner veltliner|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz friends|gruner veltliner|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|franz friends|gruner veltliner|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|franz friends|gruner veltliner|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|franz friends|gruner veltliner|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|franz friends|gruner veltliner 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz friends|gruner veltliner kremstal|at|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz friends|gruner veltliner kremstal|at|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=382
W|franz gojer|alto adige blauburgunder 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|alto adige karneid sauvignon 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|alto adige vernatsch alte reben schiava 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|glogglhof kerner karneid 2022 white|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|franz gojer|glogglhof st magdalener classico 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|glogglhof st magdalener classico sudtirol 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|kerner 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|kerner karneid 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|lagrein granat|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|lagrein granat 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|lagrein granat 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|lagrein granat 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=394
W|franz gojer|lagrein granat 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=394
W|franz gojer|lagrein granat 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=394
W|franz gojer|magdalener classico 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|pinot nero 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|saint magdalener vigna rondell 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|sauvignon blanc 2022|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|franz gojer|sauvignon karneid 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|st magdalener 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|st magdalener classico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|stmaddalena classico 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|stmaddalena classico 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=405
W|franz gojer|stmaddalena classico 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=405
W|franz gojer|vernatsch alte reben|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|vernatsch alte reben|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=408
W|franz gojer|vernatsch alte reben|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=408
W|franz gojer|vernatsch rose 2022|fr|p|??|??|??|2022|13.5|??|medio|frutos do mar, saladas|seco
W|franz gojer|weissburgunder karneid|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz gojer|weissburgunder karneid|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=412
W|franz haas|alto adige doc moscato rosa 2024|fr|r|??|??|??|2024|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|alto adige doc pas dose 2019|fr|r|??|??|??|2019|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|alto adige doc pinot nero 2022|fr|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|alto adige doc pinot nero schweizer 2021|fr|r|??|??|??|2021|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|alto adige pinot nero 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|blanc de noirs pas dose 2018|fr|w|??|??|??|2018|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|blauburgunder doc dv 2023|fr|r|??|??|??|2023|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|blauburgunder doc schweizer 2022|fr|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|dolomiti pinot grigio|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|dolomiti pinot grigio 2023|fr|w|pinot grigio|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|dolomiti pinot grigio 2025|fr|w|pinot grigio|??|??|2025|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|dolomiti pinot nero 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|gewuerztraminer|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|gewurztraminer|fr|w|gewurztraminer|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|gewurztraminer|fr|w|gewurztraminer|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=427
W|franz haas|gewurztraminer 2017 075|fr|w|gewurztraminer|??|??|2017|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|gewurztraminer 2023|fr|w|gewurztraminer|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|gewurztraminer 2023|fr|w|gewurztraminer|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco|=430
W|franz haas|gewurztraminer 2023|fr|w|gewurztraminer|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco|=430
W|franz haas|gewurztraminer 2024|fr|w|gewurztraminer|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|gewurztraminer 2024|fr|w|gewurztraminer|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco|=433
W|franz haas|gewurztraminer 2024|fr|w|gewurztraminer|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco|=433
W|franz haas|gewurztraminer alt adige doc 2023|fr|w|gewurztraminer|??|??|2023|12.5|DOC|medio|peixe, frutos do mar|seco
W|franz haas|gewurztraminer alto adige doc|fr|w|gewurztraminer|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|franz haas|gewurztraminer alto adige doc 2022 vino bianco|fr|w|gewurztraminer|??|??|2022|12.5|DOC|medio|peixe, frutos do mar|seco
W|franz haas|istante|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|istante 2020 alto adige doc|fr|r|??|??|??|2020|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|istante 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|istante 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|istante igt 2022|fr|r|??|??|??|2022|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|franz haas|la grein alto adige doc 20202021|fr|r|??|??|??|NV|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=445
W|franz haas|lagrein|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=445
W|franz haas|lagrein|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=445
W|franz haas|lagrein 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=451
W|franz haas|lagrein alto adige doc|fr|r|??|??|??|NV|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein doc|fr|r|??|??|??|NV|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|franz haas|lagrein igt 2021|fr|r|??|??|??|2021|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|franz haas|lepus pinot bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|lepus pinot bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=456
W|franz haas|lepus pinot bianco 2021|fr|w|??|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|franz haas|lepus pinot bianco alto adige doc|fr|w|??|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|franz haas|manna|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|franz haas|manna|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=460
W|franz haas|manna|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=460
