1. W|casa coste|piane valdobbiadene prosecco docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
230. W|casa da|passarella abanico reserva tinto dao|pt|r|??|dao|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
231. W|casa da|passarella colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
232. W|casa da|passarella enxerita tino dao|pt|r|??|dao|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|casa da|passarella enxertia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|casa da|passarella enxertia alfrocheiro|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|casa da|passarella enxertia alfrocheiro tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|casa da|passarella enxertia jaen tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|casa da|passarella enxertia tinta roriz red|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|casa da|passarella enxertia tinta roriz tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|casa da|passarella enxertia tinta roriz tinto|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. X
241. X
242. X
243. W|casa da|passarella fugitivo barcelo white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
244. W|casa da|passarella fugitivo bastardo red|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
245. W|casa da|passarella fugitivo tinta carvalha tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|casa da|passarella fugitivo tinta pinheira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|casa da|passarella fugitivo uvacao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|casa da|passarella o abanico doc dao reserva czerwone 0|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
249. W|casa da|passarella o abanico tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|casa da|passarella o enologo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|casa da|passarella o enologo encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|casa da|passarella o enologo encruzado|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
253. W|casa da|passarella o enologo encruzado|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
254. W|casa da|passarella o enologo encruzado branco|??|w|??|??|??|2021|12.5|do|medio|peixes, frutos do mar, saladas|seco
255. W|casa da|passarella o enologo vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|casa da|passarella o enologo vinhas velhas 2018 075 vinho|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|casa da|passarella o enologo vinhas velhas magnum tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|casa da|passarella o enologo vinhas velhas tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|casa da|passarella o enologo vinhas velhas tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|casa da|passarella o fugitivo|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. X
262. X
263. X
264. W|casa da|passarella o fugitivo barcelo branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
265. W|casa da|passarella o fugitivo bastardo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|casa da|passarella o fugitivo bastardo|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
267. W|casa da|passarella o fugitivo bastardo 2021 dao doc|pt|r|??|dao|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
268. W|casa da|passarella o fugitivo bastardo tinto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
269. W|casa da|passarella o fugitivo branco curtimenta|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
270. W|casa da|passarella o fugitivo branco em curtimenta|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
271. W|casa da|passarella o fugitivo branco em curtimenta dao doc|pt|w|??|dao|??|2018|12.5|doc|medio|peixes, frutos do mar, saladas|seco
272. W|casa da|passarella o fugitivo bruto natural nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
273. W|casa da|passarella o fugitivo colheita tardia branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
274. W|casa da|passarella o fugitivo curtimenta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
275. W|casa da|passarella o fugitivo curtimenta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=274
276. W|casa da|passarella o fugitivo curtimenta white|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
277. W|casa da|passarella o fugitivo doc dao tinta pinheira 0|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
278. W|casa da|passarella o fugitivo doc dao uva cao 0|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
279. W|casa da|passarella o fugitivo doc dao v centenarias 16 0|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
280. W|casa da|passarella o fugitivo pinot noir tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|casa da|passarella o fugitivo rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
282. X
283. W|casa da|passarella o fugitivo tinta amarela tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|casa da|passarella o fugitivo tinta pinheira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|casa da|passarella o fugitivo tinta pinheira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=284
286. W|casa da|passarella o fugitivo tinta pinheira tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|casa da|passarella o fugitivo tinto cao tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|casa da|passarella o fugitivo uvacao branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
289. W|casa da|passarella o fugitivo vinhas centenarias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|casa da|passarella o fugitivo vinhas centenarias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=289
291. W|casa da|passarella o fugitivo vinhas centenarias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=289
292. W|casa da|passarella o fugitivo vinhas centenarias|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|casa da|passarella o fugitivo vinhas centenarias|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=292
294. W|casa da|passarella o fugitivo vinhas centenarias|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=292
295. W|casa da|passarella o fugitivo vinhas centenarias tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|casa da|passarella o oenologo doc dao enxertia jaen 0|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
297. W|casa da|passarella o oenologo doc dao old vines czerwone 0|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
298. W|casa da|passarella o oenologo encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|casa da|passarella o oenologo encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=298
300. W|casa da|passarella o oenologo encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=298
301. W|casa da|passarella o oenologo encruzado|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
302. W|casa da|passarella o oenologo encruzado|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
303. W|casa da|passarella o oenologo encruzado branco|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
304. W|casa da|passarella o oenologo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casa da|passarella o oenologo tinto vinhas velhas|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|casa da|passarella o oenologo vinhas velhas|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|casa da|passarella o oenologo vinhas velhas|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
308. W|casa da|passarella o oenologo vinhas velhas 2020 tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|casa da|passarella o oenologo vinhas velhas red|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|casa da|passarella rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
311. W|casa da|passarella rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=310
312. W|casa da|passarella somontes colheita branco dao portugal|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
313. W|casa da|passarella somontes colheita tinto dao portugal|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|casa da|passarella tinto dao|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|casa da|passarella villa oliveira 125 anos red|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|casa da|passarella villa oliveira 125 anos tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|casa da|passarella villa oliveira 1a edicao white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
318. W|casa da|passarella villa oliveira 2a edicao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|casa da|passarella villa oliveira 2a edicao 20152019 branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
320. W|casa da|passarella villa oliveira barcelo branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
321. W|casa da|passarella villa oliveira encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|casa da|passarella villa oliveira encruzado branco|??|w|??|??|??|2020|12.5|do|medio|peixes, frutos do mar, saladas|seco
323. W|casa da|passarella villa oliveira encruzado dao|pt|r|??|dao|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
324. W|casa da|passarella villa oliveira encruzado white|??|w|??|??|??|2019|12.5|do|medio|peixes, frutos do mar, saladas|seco
325. W|casa da|passarella villa oliveira touriga nacional|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|casa da|passarella villa oliveira touriga nacional dao|pt|r|touriga nacional|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|casa da|passarella villa oliveira vinha centenaria pai daviz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|casa da|passarella villa oliveira vinha centenaria pai daviz 2018 tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|casa da|passarella villa oliveira vinha das pedras altas tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|casa da|passarella villa oliveira vinha do provincio dao branco|pt|w|??|dao|??|2019|12.5|do|medio|peixes, frutos do mar, saladas|seco
331. W|casa da|passarella vindima|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|casa da|passarella vindima|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
333. W|casa da|passarella vindima 2011 tinto|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|casa da|passarella vindima|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|casa da|passarella vindima|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|casa da|passarella vindima|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
337. W|casa da|passarella vindima 2014 tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|casa da|passarella vindima 2014 tinto dao|pt|r|??|dao|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|casa da|passarella vindima de 2009 tinto|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|casa da|passarella vindima de 2014 tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|casa da|passarella vindima red|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|casa da|passarella vindima tinto|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|casa da|passarella vindima tinto|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|casa da|passarella vindima tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|casa da|passarella vindima tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=344
346. W|casa da|passarella vinhas velhas o oenologo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|casa da|passarella vinhas velhas o oenologo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=346
348. W|casa da|passarella white portugal|pt|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
349. W|casa da|passarellla o enologo vinhas velhas 3x tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|casa da|passrella abanico tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|casa da|ressa reserva br|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
352. W|casa da|ressa reserva tt|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
353. W|casa da|ribeira slow living villa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|casa da|senra alvarinho loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|casa da|senra alvarinho loureiro branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
356. W|casa da|senra loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|casa da|senra loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=356
358. W|casa da|senra loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=356
359. W|casa da|senra loureiro branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
360. W|casa da|senra loureiro vinho verde branco|pt|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
361. W|casa da|senra premium vinho verde alvarinho e loureiro|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|casa da|tapada grande escolha loureiro branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
363. W|casa da|tapada superior alvarinho e loureiro branco|??|w|??|??|??|NV|12.5|superior|medio|peixes, frutos do mar, saladas|seco
364. W|casa da|tapada superior alvarinho loureiro verde branco|??|w|??|??|??|2020|12.5|superior|medio|peixes, frutos do mar, saladas|seco
365. W|casa da|tojeira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|casa da|tojeira espumante blanc des blancs reserva bruto 075|??|s|??|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
367. W|casa da|tojeira espumante branco bruto 075|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
368. W|casa da|tojeira espumante pet nat branco bruto 075|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
369. W|casa da|tojeira espumante pinot noir reserva bruto 075|??|s|pinot noir|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
370. W|casa da|tojeira premium tinto 2024 075|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|casa da|tojeira tojeira alvarinho|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|casa da|tojeira tojeira brut nature sparkling arinto|??|s|??|??|??|2024|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
373. W|casa da|tojeira tojeira brut sparkling reserva red blend|??|s|red blend|??|??|2022|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
374. W|casa da|tojeira tojeira brut sparkling reserva rose blend|??|s|??|??|??|2022|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
375. W|casa da|tojeira tojeira brut sparkling reserva white blend|??|s|white blend|??|??|2022|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
376. W|casa da|tojeira tojeira petnat azal white|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
377. W|casa da|tojeira tojeira rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
378. W|casa da|tojeira tojeira white blend|??|w|white blend|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
379. W|casa da|tojeira vinho verde alvarinho 2023 075|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|casa da|tojeira vinho verde alvarinhotrajadura 2023 075|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|casa da|tojeira vinho verde azal 2023 075|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|casa da|tojeira vinho verde branco arinto gescolha 2022 075|pt|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
383. W|casa da|tojeira vinho verde branco grande reserva 2019 075|pt|w|??|??|??|2019|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
384. W|casa da|tojeira vinho verde branco premium 075|pt|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
385. W|casa da|tojeira vinho verde chardonnay 2021 075|pt|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
386. W|casa da|tojeira vinho verde loureiro 2023 075|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|casa da|tojeira vinho verde rose 2024 075|pt|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
388. W|casa da|tojeira vinho verde rose pinot noir 2023 075|pt|p|pinot noir|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
389. W|casa da|tojeira vinho verde tinto grande reserva 2021 075|pt|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
390. W|casa da|urra branco 2022 cx 3uni|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
391. W|casa da|urra colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
392. W|casa da|urra colheita seleccionada 2017 red wine|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|casa da|urra colheita seleccionada alentejo tinto|pt|r|??|alentejo|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|casa da|urra colheita seleccionada tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|casa da|urra colheita selecionada branco 2018 cx 3uni|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
396. W|casa da|urra colheita selecionada tinto 2019 cx 3uni|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|casa da|urra colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|casa da|urra reserva 2017 red wine|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
399. W|casa da|urra reserva 2017 white wine|??|w|??|??|??|2017|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
400. W|casa da|urra reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
401. W|casa da|urra reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
402. W|casa da|urra reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
403. W|casa da|urra rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
404. W|casa da|urra rose 2021 cx 3uni|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
405. W|casa da|urra tinto 2020 cx 3uni|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|casa da|urra tinto vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|casa da|urra vinhas velhasreserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
408. W|casa dalmear|arthur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|casa dalmear|riesling branco|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
410. W|casa dalmear|tinto selection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|casa dalmear|venustas rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
412. W|casa dambra|aglianico|??|r|aglianico|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|casa dambra|biancolella frassitelli ischia doc|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
414. W|casa dambra|falanghina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|casa dambra|forastera campania|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|casa dambra|forastera ischia doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
417. W|casa dambra|frasitelli ischia bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
418. W|casa dambra|frassitelli blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
419. W|casa dambra|ischia bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
420. W|casa dambra|ischia bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
421. W|casa dambra|ischia bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=420
422. W|casa dambra|ischia bianco 2023 case only|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
423. W|casa dambra|ischia bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
424. W|casa dambra|ischia bianco 2024 case only|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
425. W|casa dambra|ischia bianco campania 2023 13 075|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
426. W|casa dambra|ischia bianco doc|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
427. W|casa dambra|ischia biancolella 2023 case only|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
428. W|casa dambra|ischia biancolella 2024 case only|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
429. W|casa dambra|ischia biancolella frassitelli 2023 case only|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
430. W|casa dambra|ischia frasitelli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|casa dambra|ischia la vigna dei mille anni per e palummo 2020 case only|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|casa dambra|ischia leninfe 2023 case only|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|casa dambra|ischia leninfe 2024 case only|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|casa dambra|mario dambra rosso 2019 case only|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|casa dambra|per e palummo ischia rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
436. W|casa darca|unoaked tinto douro|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|casa daristi|bitter orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. S
439. W|casa daristi|kalani coconut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|casa daristi|kalani coconut liquer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. S
442. S
443. W|casa daristi|narano bitter orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. S
445. S
446. W|casa daristi|xta liqueuer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|casa daristi|xtabentun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|casa daristi|xtabentun classic|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
449. S
450. S
451. S
452. W|casa darrochella|cerval|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|casa darrochella|cerval|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=452
454. W|casa darrochella|cerval tinto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|casa darrochella|cerval tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|casa darrochella|cerval tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=455
457. W|casa darrochella|douro grandes quintas|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|casa darrochella|reserva especial douro tinto|it|r|??|douro|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
459. W|casa darrochella|reserva especial tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
