W|girlan|chardonnay riserva curlan|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|vernatsch doc fass nr 9|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=225
W|girlan|vernatsch doc gschleier alte reben|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|vigna ganger mazon pinot nero riserva doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|vigna ganger pinot noir mazon riserva|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|weissburgunder doc dv|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|weissburgunder doc platt riegl|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|weissburgunder doc platt riegl|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|weissburgunder doc platt riegl|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|girlan|weissburgunder doc platt riegl|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|girlan|weissburgunder riserva doc flora|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|weissburgunder riserva doc flora|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|wine girlan marna sud alt adg chard|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|wine girlan marna sud alt adg chard|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=237
W|girlan|wine girlan chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|wine girlan sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girle|led neonskilt 14 farger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|girlie|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girlie|rose case|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|3d wellie size 4 infant2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|aqua shoes size 95|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|bad habits bev|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|bamboo loungewear|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|bamboo loungewear tiger vineyard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|beauty kitchen play set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
W|girls|briefs pack of 5 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|briefs pack of 7 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|checked blazer orange lilac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|checked shorts orangelilac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|christening gown ruffles style no 7 without hat white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girls|christening gown style no6 white and gold|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girls|cotton rich knee high socks pack of 5|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|cotton rich knitted trousers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|cotton rich shorts pack of 4 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|crop linen top lilac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|crop linen top orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|dress|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|dress purple checks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|ergonomic kids canvas shoes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|flared leggings star|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|foamies guzman hirise stay vibin white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girls|hands free slipins bounder pro light pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|hat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|in the vineyard white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|girls|just wanna have wine stemless wine glasses|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|just want to have fun|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|kids pantylet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|led neonskilt infinite 3d|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|leggings 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|leggings 66g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|linen shorts purple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|linen sun hat orange breathable summer hat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|liplicious sweet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|girls|liplicious sweet critter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|girls|logo shorts pink jubilee nylon|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|long sleeve dress dachshund|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|long sleeve rash top tropicana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|muti function pencilcase sweet critter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|girls|night away 1night stay for 4 with massage breakfast wine more at princess spa lodge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|night conversation cards|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|night in|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|night in|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=291
W|girls|night in home wine tasting selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|night in red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|night in sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|girls|night napkins|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|night out extravaganza spa dinner 1night stay|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|organic cotton blouse olivia bougainvillea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|organic cotton blouse olivia lilac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|organic cotton long sleeve top sweet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|girls|organic muslin sun hat with floral print|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|overall 901|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|girls|pink plaid dress adjustable straps|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|pink top cherry|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|pink tutu skirt cherry|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|printed briefs pack of 7 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|ruffle socks pack of 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|seamfree briefs pack of 3 613 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|seamfree crop top pack of 2 612 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|series resin pot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|short sleeve dress leopard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|short sleeve rash top sea life|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|short sleeve rash top tropicana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|shorts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|sleeveless top|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|slim fit blouses pack of 3 416 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|soccer shorts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|stain release shortsleeved slim polo shirts pack of 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|stretch jersey leggings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|stretch slim fit trousers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|summer dress star|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|swim turban bohemian strawberry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|tank|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|tank top|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|tank top 903|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|tenceltm micro modal ultra soft camisoles set of 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|thermal longsleeved tops pack of 2 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|thermal shortsleeved tshirts pack of 2 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|thermal sleeveless vests pack of 3 214 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|top 901|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|trendy lips gloss with keychain good day|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|turban swim hat pink mallow|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girls|umie organza bolero in beige|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|uv swim set cream padma mundra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|waist ties|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|wedgiefree full coverage shorties set of 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|wedgiefree panty briefs set of 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|who grind|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girls|will be girls|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girnar|instant premix lemongrass chai 140 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girnar|premix kashmiri kahwa 5n sachets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|bello 12 month gift|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|bello 3 month gift|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|bello 6 month gift|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|bello an italian wine club by flatiron wines|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|d italia 9 april|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de abargues|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de abargues|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=348
W|giro|de abargues|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de abargues|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de abargues pepe mendoza|ar|r|??|mendoza|mendoza|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de abargues|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de abargues giro|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|de rosas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|deiana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|deiana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=356
W|giro|del gorner muscat|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|del gorner nature reserva brut|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|giro|di boa tenuta macchiarola|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|di boa malvasia bianca salento igt tenuta macchiarola|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|di boa tenuta macchiarola|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=360
W|giro|di sardegna|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|di vite errante rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|di vite scarpente|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|ditalia|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|ditalia|it|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|ditalia|it|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|giro|ditalia mixed case|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|ditalia proeverij italiaanse wijnen donderdag 28 mei|it|r|??|??|??|2026|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|ditalia sixpack|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|italia|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|linguistico teoria literaria y teoria historica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|litro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|lr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|lr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|giro|pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giro|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giro|ribot ab origine brut cava|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot ab origine brut cava 3 x|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot ab origine brut cava rosat 3 x|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot ab origine brut rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot cava ab origene rosado brut|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot cava brut reserva|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot cava mare brut nature gran reserva|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut nature
W|giro|ribot cava masia parera brut|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot cava uma brut gran reserva|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot cava uma brut grand reserva|es|s|??|??|??|2018|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|giro|ribot dolc xarello muscat 37|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|ribot karamba blanc de blancs penedes jovenspain|es|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giro|ribot mare gran reserva cava|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|seco
W|giro|ribot solstici|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|sella mosca|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giro|sella mosca|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=393
W|giro|sella mosca|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=393
W|giro|sella mosca|??|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girocollo|con drago di kaulon acquamarina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girocollo|con drago di kaulon viola e rosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girocollo|con medaglione s maria della consolazione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girocollo|scilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|girofle|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|alvarinho branco|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|alvarinho white|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girofle|douro branco|pt|r|??|douro|douro|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|douro tinto|pt|r|??|douro|douro|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|loureiro verde branco|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|red|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girofle|salento igp rosato garofano|??|p|??|??|??|2025|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|girofle|salento igp rosato 375 garofano|??|p|??|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|girofle|white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girogio|rivetti la spinetta campe barolo|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|castello di bossi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|girolamo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|girolamo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=413
W|girolamo|persoonlijke aanbeveling|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|contessa filomarino rosato 13|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|luxardo maraschino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|luxardo maraschino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=417
W|girolamo|monte dei coci apass prim salento 16|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|monte dei coci apassim 15|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|monte dei coci bianco fiano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|monte dei coci bianco verdeca|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|monte dei coci primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|monte dei coci primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|pizzo rosso puglia primitivo 14|it|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo a rina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=428
W|girolamo|russo a rina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=428
W|girolamo|russo a rina sicily italy|it|r|??|sicily|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina doc etna rosso rot|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina doc etna rosso rouge|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina doc etna rosso rouge|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=435
W|girolamo|russo a rina doc etna rosso rouge|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=435
W|girolamo|russo a rina doc etna rosso tinto|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna italy nerello mascalese blend|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=443
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=443
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=446
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|girolamo|russo a rina etna rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|girolamo|russo a rina etna rosso bio doc bio|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=453
W|girolamo|russo a rina etna rosso sicily|it|r|??|sicily|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina etna rosso sicily italy|it|r|??|sicily|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina mt etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo a rina mt etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=457
W|girolamo|russo a rina nerello mascalese etna rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo arina etna rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo calderara sottana etna rosso sicily italy|it|r|??|sicily|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo castello di bossi toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna bianco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
