1. W|carys|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
232. W|casa americo|touriga nacional|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|casa americo|touriga nacional|??|r|touriga nacional|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|casa americo|touriga nacional tinto|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|casa americo|touriga nacional tinto 1 ccx|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|casa americo|touriga nacional tinto|??|r|touriga nacional|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|casa americo|touriga nacional tinto magum 1|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|casa americo|vinhas centenarias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|casa americo|vinhas centenarias|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|casa americo|vinhas centenarias tinto|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|casa americo|vinho branco 2021 075|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
242. W|casa americo|vinho rose dao dop|pt|p|??|dao|??|NV|12|dop|leve|carne vermelha, massas, queijos curados|seco
243. W|casa americo|white dao dop|pt|w|??|dao|??|NV|12.5|dop|medio|peixes, frutos do mar, saladas|seco
244. W|casa amigos|anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|casa amigos|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
246. W|casa amigos|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|casa anza|cabernet sauvignon 750 mlt 137|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
248. W|casa anza|reserva blanco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
249. W|casa araujo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
250. W|casa araujo|cabernet sauvignon safra|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
251. W|casa araujo|cabernet sauvignon safra|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=250
252. W|casa araujo|cask cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
253. W|casa araujo|cask cabernet sauvignon safra|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
254. W|casa araujo|cask cabernet sauvignon safra|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=253
255. W|casa araujo|cask chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
256. W|casa araujo|cask malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
257. W|casa araujo|cask malbec safra|??|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
258. W|casa araujo|cask tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
259. W|casa araujo|cask tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=258
260. W|casa araujo|cask tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=258
261. W|casa araujo|cask tempranillo vinho fino tinto seco produto organico|??|f|tempranillo|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
262. W|casa araujo|cask tempranillo vinho fino tinto seco produto organico|??|f|tempranillo|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=261
263. W|casa araujo|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
264. W|casa araujo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
265. W|casa araujo|malbec safra|??|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
266. W|casa arrochela|vila flor valle da peca tinto|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|casa arrochela|vila flor vinhas das trigueiras branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
268. W|casa arrochela|vinha do cerval 0|??|r|??|??|??|2016|13.5|do|medio|carne vermelha, massas, queijos curados|seco
269. W|casa aurora|villa de albares poula|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|casa aurora|blanco biba vinas viejas 34|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
271. W|casa aurora|clos pepin|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|casa aurora|la bota biba vinas viejas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|casa aurora|la galapana 34|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|casa aurora|la nave|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|casa aurora|la nave bierzo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|casa aurora|la nave bierzo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=275
277. W|casa aurora|la nave villa de albares bierzo spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|casa aurora|pepink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|casa aurora|poula|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|casa aurora|valle del rio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|casa aurora|vino de pueblo clos pepin albares bierzo alto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|casa aurora|vino de pueblo clos pepin blanco albares bierzo alto|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
283. W|casa aurora|vino de pueblo poula albares bierzo alto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|casa azar|anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|casa azar|joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|casa azar|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|casa azul|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
288. W|casa azul|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=287
289. W|casa azul|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=287
290. W|casa azul|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=287
291. W|casa azul|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=287
292. W|casa azul|cocktails margarita 4pk12oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|casa azul|cocktails playa variety pack 8pk12oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|casa azul|family collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|casa azul|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
296. W|casa azul|organic anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|casa azul|organic anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=296
298. W|casa azul|organic blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
299. W|casa azul|organic blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=298
300. W|casa azul|organic blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=298
301. W|casa azul|organic reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|casa azul|organic reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
303. W|casa azul|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|casa azul|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=303
305. W|casa azul|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=303
306. W|casa azul|variety 8pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. X
308. W|casa azzurra|parmigiano reggiano rape 60g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. X
310. W|casa balaguer|balaguer|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|casa balaguer|andres carull|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|casa balaguer|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
313. W|casa balaguer|el carro de la mata|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|casa balaguer|el rosado de padilla|??|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
315. W|casa balaguer|el telar kologisk|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|casa balaguer|la casica del abuelo kologisk|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. S
318. S
319. S
320. S
321. S
322. W|casa balaguer|sein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|casa balaguer|sein vino de finca kologisk|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|casa balaguer|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|casa balaguer|tragolargo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|casa balaguer|tragolargo alicante tinto monastrell|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|casa balaguer|tragolargo blanco 2021 13|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
328. W|casa balaguer|tragolargo blanco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
329. W|casa balaguer|tragolargo blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
330. W|casa balaguer|tragolargo blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=329
331. W|casa balaguer|tragolargo monastrell|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|casa balaguer|tragolargo monastrell kologisk|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|casa balaguer|tragolargo moscatel malvasia kologisk|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|casa balaguer|tragolargo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|casa balaguer|tragolargo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|casa balaguer|tragolargo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
337. W|casa balaguer|tragolargo tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|casa balaguer|tragolargo tinto|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|casa balaguer|tragolargo white ko|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
340. W|casa balaguer|vino tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|casa bamvina|alkalized cocoa powder dutch processed 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|casa bardonecca|cioccolato bianco da uve leggermente appassite 2024 sicilia|it|w|??|sicilia|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
343. W|casa bardonecca|primitivo di manduria 2023 collezione de famiglia|??|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
344. W|casa bardonecca|susumaniello oak collection 2024 salento collezione di famiglia|??|r|susumaniello|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|casa baricalino|barbera dalba doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
346. W|casa baricalino|barolo docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
347. W|casa baricalino|dolcetto dalba doc|??|r|dolcetto|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
348. W|casa bauza|bauza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|casa bauza|alboroto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|casa bauza|alboroto carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
351. W|casa bauza|alboroto carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=350
352. W|casa bauza|alboroto carmenere 750 cc|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
353. W|casa bauza|atrevido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|casa bauza|atrevido|??|r|??|??|??|2018|13.5|do|medio|carne vermelha, massas, queijos curados|seco
355. W|casa bauza|atrevido|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
356. W|casa bauza|atrevido 750 cc|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
357. W|casa bauza|atrevido blend valle del maipo|cl|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
358. W|casa bauza|atrevido cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
359. W|casa bauza|atrevido ensamblaje|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
360. W|casa bauza|atrevido ensamblaje tinto|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
361. W|casa bauza|atrevido ensamblaje tinto|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
362. W|casa bauza|atrevido mezcla tinta|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
363. W|casa bauza|gala brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
364. W|casa bauza|gala brut espumante 750 cc|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
365. W|casa bauza|icono isabel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|casa bauza|isabel|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|casa bauza|isabel 750 cc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|casa bauza|isabel carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
369. W|casa bauza|isabel carmenere|??|r|carmenere|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
370. W|casa bauza|isabel carmenere|??|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
371. W|casa bauza|mezcla tinta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|casa bauza|presumido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|casa bauza|presumido carmenere|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
374. W|casa bauza|presumido carmenere|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco|=373
375. W|casa bauza|presumido carmenere|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco|=373
376. W|casa bauza|presumido carmenere|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco|=373
377. W|casa bauza|presumido carmenere|??|r|carmenere|??|??|2020|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
378. W|casa bauza|presumido carmenere|??|r|carmenere|??|??|2023|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
379. W|casa bauza|presumido carmenere 750 cc|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
380. W|casa bauza|presumido carmenere magnum 1500 cc estuche de madera|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
381. W|casa bauza|presumido carmenere valle del maipo|cl|r|carmenere|??|??|2022|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
382. W|casa bauza|presumido magnum carmenere|??|r|carmenere|??|??|2022|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
383. W|casa bauza|valiente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|casa bauza|valiente cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
385. W|casa bauza|valiente cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
386. W|casa bauza|valiente cabernet sauvignon 750 cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
387. W|casa bauza|valiente magnum cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
388. W|casa bauza|veraz cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
389. W|casa bauza|veraz cabernet franc|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
390. W|casa bauza|veraz cabernet franc 750 cc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
391. X
392. W|casa beade|ribeiras de armea agudelo|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|casa beade|riberas de armea blanco|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
394. W|casa belfi|anfora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|casa belfi|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
396. W|casa belfi|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=395
397. W|casa belfi|bianco|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
398. W|casa belfi|bianco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
399. W|casa belfi|bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
400. W|casa belfi|bianco bio frizzante 105|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
401. W|casa belfi|bianco bio frizzante col fondo pet nat|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
402. W|casa belfi|bianco colfondo frizzante veneto italy|it|s|??|veneto|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
403. W|casa belfi|casera frontin spumante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
404. W|casa belfi|col fondo prosecco frizzante|it|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
405. W|casa belfi|colfondo bio frizzante nv|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
406. W|casa belfi|colfondo bio frizzante white 105|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
407. W|casa belfi|colfondo frizzante|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
408. W|casa belfi|colfondo rosso frizzante red 10|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
409. W|casa belfi|frizzante bianco nv veneto italy|it|s|??|veneto|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
410. W|casa belfi|frizzante rosso|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
411. W|casa belfi|frizzante rosso|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=410
412. W|casa belfi|naturalmente frizzante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
413. W|casa belfi|naturalmente frizzante anfora|??|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
414. W|casa belfi|naturalmente frizzante bianco|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
415. W|casa belfi|naturalmente frizzante rosso|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
416. W|casa belfi|naturalmente frizzante rosso|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=415
417. W|casa belfi|naturalmente frizzante rosso|??|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
418. W|casa belfi|naturalmentefrizzante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
419. W|casa belfi|naturalmentefrizzante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=418
420. W|casa belfi|naturalmentefrizzante keykeg|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
421. W|casa belfi|naturalmentefrizzante rosso|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
422. W|casa belfi|naturlamente frizzante|??|s|??|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut
423. W|casa belfi|prosecco colfondo 100 glera veneto northern italy|it|s|glera|veneto|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
424. W|casa belfi|prosecco naturalmente frizzante|it|s|??|??|??|2017|12|??|leve|frutos do mar, aperitivos, sushi|brut
425. W|casa belfi|prosecco rosso colfondo 100 raboso piave veneto northern italy|it|s|??|veneto|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
426. W|casa belfi|raboso frizzante|??|s|??|??|??|2016|12|??|leve|frutos do mar, aperitivos, sushi|brut
427. W|casa belfi|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|casa belfi|rosso|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|casa belfi|rosso bio frizzante 105|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
430. W|casa belfi|rosso bio frizzante col fondo pet nat|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
431. W|casa belfi|rosso delle venezie|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|casa belfi|rosso frizzante|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut
433. W|casa belfi|rosso frizzante nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
434. W|casa belfi|rosso nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|casa belfi|vino rosso biologico frizzante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
436. W|casa bella|bella|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|casa bella|lambrusco bianco eigt|??|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut
438. W|casa bellalbero|lambrusco reggiano rosato|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
439. W|casa belo|sermen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|casa belo|vino spiegelau|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|casa benasal|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
442. W|casa benasal|elegant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|casa benasal|elegant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=442
444. W|casa bennati|soraighe ireos rossi veronese|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|casa bennati|soraighe ireos rosso 135 abv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|casa bennati|soraighe libet soave classico|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
447. W|casa beppe|primotivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|casa bianca|asolo prosecco brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
449. W|casa bianca|asolo prosecco brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=448
450. W|casa bianca|asolo prosecco extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
451. W|casa bianca|asolo prosecco frizzante|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
452. W|casa bianca|asolo prosecco frizzante 020 liter|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
453. W|casa bianca|asolo prosecco superiore docg brut|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
454. W|casa bianca|extra dry valdobbiadene prosecco superiore docg italian sparkling wine|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
455. W|casa bianca|millesimato dry valdobbiadene prosecco superiore docg italian sparkling wine|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
456. W|casa bianca|prosecco brut treviso doc nv|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
457. W|casa bianca|prosecco brut treviso doc nv|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut|=456
458. W|casa bianca|prosecco brut treviso nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
459. W|casa bianca|prosecco rose brut treviso doc nv|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
460. W|casa bianca|valdobbiadene prosecco superiore extra dry|it|s|??|??|??|NV|12|superiore|leve|frutos do mar, aperitivos, sushi|brut
