W|leche de|coco organica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht entera x4 unds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht entera 1 unds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht entera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht deslactosada x4 unds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht deslactosada descremada 1 unds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht deslactosada descremada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht deslactosada 1 unds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina uht deslactosada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina surtido 6uds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina entera sixpack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina deslactosada sixpack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|alpina deslactosada caja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|almendra silk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|almendra original unsweetened|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|all bran vainilla deslacosada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|all bran nuez deslacosada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|algarra deslactosada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|activavena gloria uht ninos caja paquete 6un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|actimel fermentada natural botella 600g 6un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|a2 celema semidescremada deslactosada x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|0 grasa descremada alqueria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leche|0 grasa alqueria 6und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|sauvignon blanc bio|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|rockrose bio 125|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechburg|rockrose bio|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechburg|rock rose kologisk|??|p|??|??|??|2018|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechburg|riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|pinot noir bio|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|pinot grigio kologisk|??|w|pinot grigio|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|lechinta sauvignon blanc bio|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|lechinta rockrose bio|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechburg|lechinta riesling de rin bio|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|lechinta pinot noir bio|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|lechinta pinot gris bio|??|w|pinot gris|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|lechinta neuburger bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|lechinta muscat golden bio|??|w|muscat|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|lechinta gewurztraminer bio|??|w|gewurztraminer|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|lechinta feteasca regala bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|lechinta feteasca neagra bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|lechinta elerose bio|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechburg|lechinta chardonnay bio|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|il frizzante rose organic sec|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lechburg|il frizzante rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lechburg|il frizzante organic sec|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lechburg|il frizzante alb bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lechburg|il frizzante alb bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=284
W|lechburg|il frizzante alb|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lechburg|golden muscat bio|??|w|muscat|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|gewurztraminer sec bio|??|w|gewurztraminer|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|gewurztraminer bio|??|w|gewurztraminer|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|frizzante spago alb bio|es|s|??|pago|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lechburg|feteasca regala lechinta doc|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|feteasca regala kologisk|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|feteasca neagra bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|feteasca neagra|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechburg|elerose bio 125|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechburg|chardonnay bio doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|chardonnay kologisk|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechburg|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechazo|entero de castilla asado con patatas panaderas|es|r|??|castilla|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechazo|asado en horno de lena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechauve|monthelie rouge|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechauve|monthelie rouge|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=301
W|lechauve|monthelie rouge|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechauve|monthelie rouge|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=303
W|lechauve|hautes cotes de beaune|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechauve|hautes cotes de beaune|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|lechat|fleur de loire sauvignon blanc|fr|w|sauvignon blanc|loire|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechappee|chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lechappee|belle rouge mas de cadenet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|belle rose mas de cadenet|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechappee|belle rose vin de france|??|p|??|??|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lechappee|belle blanc mas de cadenet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|belle blanc de blancs extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|lechappee|belle vin de france|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|belle|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|belle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|belle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=316
W|lechappee|lechappee|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|lechappee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lechappee|lechappee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=319
W|lechapee|lechapee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|premium piwo jasne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|premium 4 cans x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|life|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|free piwo bezalkoholowe o smaku yuzu i pomelo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|free piwo bezalkoholowe o smaku smoczego owocu i winogrona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|free piwo bezalkoholowe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|free active hydrate piwo bezalkoholowe mango i cytryna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|can|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|bottle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|6pk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lech|4pk cans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leceknit|vest with leaves detail black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecea|tinto crianza rood|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecea|rioja reserva doca|es|r|??|rioja|??|2015|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lecea|rioja gran reserva doca|es|r|??|rioja|??|2012|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecea|rioja crianza doca|es|r|??|rioja|??|2018|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lecea|reserva|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecea|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecea|grand reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecea|gran reserva rood|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecea|gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecea|crianza blanco doca|??|r|??|??|??|2018|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lecea|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecea|corazon de lago doca|??|r|??|??|??|2022|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lecea|clarete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecea|clarete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=346
W|lecea|carazon de lago|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecea|blanco chardonnay wit|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecea|bianco crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble bodegas resalte de penafiel|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=352
W|lecco|roble|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble ribera del duero|es|r|??|ribera del duero|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=357
W|lecco|reserva|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecco|reserva bodegas resalte de penafiel|??|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecco|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lecco|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=361
W|lecco|crianza bodegas resalte de penafiel|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|crianza|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecco|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=365
W|leccioni|chianti|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones|sobre los filosofos de la politica de aristoteles a hannah arendt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones|sobre color|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones|preliminares de filosofia de las ciencias un enfoque hermeneutico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|vuelo navarra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|vuelo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|vida jojmat jaim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|una pandemia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|quimica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|la historia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciones de|la historia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=376
W|lecciones|lecciones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccio|monferrato chiaretto rose|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|leccio|monferrato chiaretto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccio del|corno chianti classico dop high phenolic 630mgkg evoo giacomo grassi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccio|chiaretto rose monferrato doc|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|leccio|chiaretto monferrato doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccino|pitted olives 3kg drained|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccino|olives pitted in brine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccino|oliven kologisk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccino|ekstra jomfru olivenolie enkeltsort kologisk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccino|alla celentana damico 270|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccino|leccino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccine|oliivit 550g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciaia|rosso toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lecciaia|orvieto classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecciaia|orvieto classico|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leccia|vivaio del cavaliere|es|s|??|cava|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leccia|chianti classico riserva docg|??|r|??|??|??|2021|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|leccia|chianti classico docg|??|r|??|??|??|2022|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|leccia|bruciagna chianti classico gran selezione docg|??|r|??|??|??|2020|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|lecci|e brocchi il chiorba chianti classico riserva|??|r|??|??|??|2015|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|lecci|e brocchi chianti classico ragonaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecci|e brocchi chianti classico riserva|??|r|??|??|??|2018|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|lecci|e brocchi chianti classico riserva|??|r|??|??|??|2016|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|leccellenza|valdostana in edizione oro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|beverage center triple zone lcs600vx2dp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|63 bottle wine cabinet single zone black lkcv63n|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|44 bottle wine cabinet dual zone lj44vn2zbu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|bottle wine cabinet dual zone lj40vn2z2dbu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|303 bottle wine cabinet dual zone lcs300vn2z1d|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|294 bottle wine cabinet single zone lj294vn|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|268 bottle wine cabinet dual zone lj268vn2z|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|248 bottle wine cabinet single zone lcs240vn1z1d|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|226 bottle wine cabinet dual zone lcs230vn2z1d|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|220 bottle wine cabinet dual zone black lcs140vn2z2d|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|195 bottle professional wine cabinet lcs300vx1zpro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|188 bottle wine cabinet dual zone side by side black lcs200vn2z2d|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|168 bottle wine cabinet single zone black lks168vn|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|168 bottle wine cabinet single zone black lek168pv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|168 bottle cellar single zone lkv168pndx|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|157 bottles label view single zone lcs155vn1zpro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|140 bottle wine cabinet triple zone stainless steel lelk1403zpvx|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|140 bottle wine cabinet triple zone black lek1403zpv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecavist|12 bottle wine cabinet single zone lccv12b|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecat|allure|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecart|bousselet signature grand cru brut rose|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lecart|bousselet signature grand cru brut|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lecarre|vs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
S
S
S
S
S
S
W|lecarre|orange liqueur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
S
S
W|lecailler|gros plant du pays nantais sur lie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecailler|lecailler|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leca|400g podravka|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lec|wet tissues for pets mouth ear eye 3 x 80pcs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebus|seeded baguette|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebus|multigrain baguette|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebus|croissant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrun|pouilly fume|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrun|bestick 4 rektangulara skiffertallrikar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebron|james|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|volnay 1er cru les lurets|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|savigny les beaune aux grands liards|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|savigny les beaune 1er cru les serpentieres|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|pernand vergelesses les belles filles blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|pernand vergelesses 1er sous fretille blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|monthelie aux fournereaux|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebreuil|bourgogne mont battois rouge|fr|r|??|bourgogne|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrescade|lebrescade|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrescade|marcel richaud|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrescade|marcel richaud|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrescade|lebrescade|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebrescade|lebrescade|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=455
W|lebrescade|lebrescade|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=455
W|lebrascade|mg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebranche|criollo fresco x kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leboscq|medoc cru bourgeois 0|fr|r|??|medoc|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebon|co vol 2 2 lp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebon|co|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebolle|pinot noir extra dry rose millesimato spumante|??|s|pinot noir|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lebolle|0 non alcoholic sparkling vibes|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lebohang|motaung she knows she can fly away|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebohang|motaung had to make it on my own|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnat|petnat rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lebnat|petnat red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnat|petnat gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnat|gold|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|ahmar natural red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|ahmar by mersel wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|ahmar|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|ahmar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|abyad natural white|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|abyad by mersel wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|abyad|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lebnani|abyad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leblondlenoir|champagne brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leblondlenoir|brut tradition magnum|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leblondlenoir|brut old disgorged nv 1|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leblon|reserva especial|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
