1. W|casteddu|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|castel firmian fildirose|pinot grigio rose 125|??|p|pinot grigio|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
203. W|castel firmian fildirose|pinot grigio rose 2023|??|p|pinot grigio|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
204. W|castel firmian fildirose vigneti delle dolomiti|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|castel firmian|filobianco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|castel firmian filobianco dolomiti|igt 2024|??|r|??|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
207. W|castel firmian|filorosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|castel firmian|filorosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=207
209. W|castel firmian|filorosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=207
210. W|castel firmian filorosso|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|castel firmian filorosso dolomiti|igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
212. W|castel firmian filorosso duoverpakking|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|castel firmian filorosso|red blend 135|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|castel firmian|gewurztraminer|??|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
215. W|castel firmian|gewurztraminer 2020|??|w|gewurztraminer|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
216. W|castel firmian|gewurztraminer doc wochy 0|??|w|gewurztraminer|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
217. W|castel firmian|gewurztraminer trentino doc|??|w|gewurztraminer|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
218. W|castel firmian|gewurztraminer trentino doc 2022 vino bianco|??|w|gewurztraminer|??|??|2022|12.5|doc|leve|frutos do mar, peixes, saladas|seco
219. W|castel firmian|gewurztraminer trentino doc 2023 vino bianco|??|w|gewurztraminer|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
220. W|castel firmian|lagrein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|castel firmian|lagrein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|castel firmian|lagrein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
223. W|castel firmian|lagrein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
224. W|castel firmian|lagrein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
225. W|castel firmian lagrein|2023 6 bottles|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|castel firmian lagrein|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|castel firmian lagrein en|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
228. W|castel firmian lagrein mezzacorona|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|castel firmian lagrein|reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
230. W|castel firmian lagrein riserva|2022|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
231. W|castel firmian lagrein riserva trentino|doc 2021 vino rosso|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
232. W|castel firmian lagrein|rosato|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
233. W|castel firmian lagrein|rosato|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=232
234. W|castel firmian lagrein|rosato 2024|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
235. W|castel firmian lagrein|rosato trentino doc rosewein wein trocken italien 1 x 0|??|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
236. W|castel firmian lagrein|rosato trentino doc rosewein wein trocken italien 12 x 0|??|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
237. W|castel firmian lagrein|rosato trentino doc rosewein wein trocken italien 3 x 0|??|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
238. W|castel firmian lagrein|rosato trentino doc rosewein wein trocken italien 6 x 0|??|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
239. W|castel firmian lagrein trentino|doc rotwein wein trocken italien 1 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
240. W|castel firmian lagrein trentino|doc rotwein wein trocken italien 12 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
241. W|castel firmian lagrein trentino|doc rotwein wein trocken italien 3 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
242. W|castel firmian lagrein trentino|doc rotwein wein trocken italien 6 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
243. W|castel firmian marzemino|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|castel firmian marzemino trentino|doc rotwein wein trocken italien 1 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
245. W|castel firmian marzemino trentino|doc rotwein wein trocken italien 12 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
246. W|castel firmian marzemino trentino|doc rotwein wein trocken italien 3 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
247. W|castel firmian marzemino trentino|doc rotwein wein trocken italien 6 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
248. W|castel firmian|merlot 2024|??|r|merlot|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|castel firmian|merlot italy|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|castel firmian|merlot trentino doc rotwein wein trocken italien 1 x 0|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
251. W|castel firmian|merlot trentino doc rotwein wein trocken italien 12 x 0|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
252. W|castel firmian|merlot trentino doc rotwein wein trocken italien 3 x 0|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
253. W|castel firmian|merlot trentino doc rotwein wein trocken italien 6 x 0|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
254. W|castel firmian mezzacorona teroldego rotaliano superiore|riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
255. W|castel firmian|moscato giallo|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
256. W|castel firmian|moscato giallo|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=255
257. W|castel firmian|moscato giallo|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=255
258. W|castel firmian|moscato giallo|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=255
259. W|castel firmian|moscato giallo|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=255
260. W|castel firmian|moscato giallo 105|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
261. W|castel firmian|moscato giallo 2024|??|w|moscato|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
262. W|castel firmian|moscato giallo 2024|??|w|moscato|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=261
263. W|castel firmian|moscato giallo mezzacorona 2024|??|w|moscato|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
264. W|castel firmian|moscato giallo trentino|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
265. W|castel firmian|moscato giallo trentino doc 2023|??|w|moscato|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
266. W|castel firmian|moscato giallo trentino doc weiwein wein su italien 1 x 0|??|w|moscato|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
267. W|castel firmian|moscato giallo trentino doc weiwein wein su italien 12 x 0|??|w|moscato|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
268. W|castel firmian|moscato giallo trentino doc weiwein wein su italien 3 x 0|??|w|moscato|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
269. W|castel firmian|moscato giallo trentino doc weiwein wein su italien 6 x 0|??|w|moscato|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
270. W|castel firmian muller thurgau|doc trentino 2019|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
271. W|castel firmian muller thurgau|trentino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|castel firmian muller thurgau trentino|doc 2020 vino bianco|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
273. W|castel firmian nerofino|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|castel firmian nerofino|rosso doc wochy 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
275. W|castel firmian nerofino|rosso vigneti delle dolomiti igt trentino doc rotwein wein cuvee trocken italien 1 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
276. W|castel firmian nerofino|rosso vigneti delle dolomiti igt trentino doc rotwein wein cuvee trocken italien 12 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
277. W|castel firmian nerofino|rosso vigneti delle dolomiti igt trentino doc rotwein wein cuvee trocken italien 3 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
278. W|castel firmian nerofino|rosso vigneti delle dolomiti igt trentino doc rotwein wein cuvee trocken italien 6 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
279. W|castel firmian|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
280. W|castel firmian|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=279
281. W|castel firmian|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=279
282. W|castel firmian|pinot grigio 0375 liter 2024|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
283. W|castel firmian|pinot grigio 125|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
284. W|castel firmian|pinot grigio 2023 6 bottles|??|w|pinot grigio|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
285. W|castel firmian|pinot grigio 2024|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
286. W|castel firmian|pinot grigio 2024|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=285
287. W|castel firmian|pinot grigio 2024 half bottle|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
288. W|castel firmian|pinot grigio 2025|??|w|pinot grigio|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
289. W|castel firmian|pinot grigio 750 mlt 125|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
290. W|castel firmian|pinot grigio italy|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
291. W|castel firmian|pinot grigio mezzacorona 2024|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
292. W|castel firmian|pinot grigio riserva|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
293. W|castel firmian|pinot grigio riserva|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=292
294. W|castel firmian|pinot grigio riserva 13 0|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
295. W|castel firmian|pinot grigio riserva 2023|??|w|pinot grigio|??|??|2023|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
296. W|castel firmian|pinot grigio riserva 2023|??|w|pinot grigio|??|??|2023|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=295
297. W|castel firmian|pinot grigio riserva in geschenkverpakking|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
298. W|castel firmian|pinot grigio riserva trentino doc wochy 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
299. W|castel firmian|pinot grigio trentino|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
300. W|castel firmian|pinot grigio trentino doc|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
301. W|castel firmian|pinot grigio trentino doc|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=300
302. W|castel firmian|pinot grigio trentino doc|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=300
303. W|castel firmian|pinot grigio trentino doc mezzacorona|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
304. W|castel firmian|pinot grigio trentino doc weiwein wein grauburgunder trocken italien 1 x 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
305. W|castel firmian|pinot grigio trentino doc weiwein wein grauburgunder trocken italien 12 x 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
306. W|castel firmian|pinot grigio trentino doc weiwein wein grauburgunder trocken italien 3 x 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
307. W|castel firmian|pinot grigio trentino doc weiwein wein grauburgunder trocken italien 6 x 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
308. W|castel firmian|pinot grigio trentino doc wochy 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
309. W|castel firmian|pinot grigio trentino riserva 2023|??|w|pinot grigio|??|??|2023|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
310. W|castel firmian|pinot nero 2022 6 bottles|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|castel firmian riserva|chardonnay|??|w|chardonnay|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
312. W|castel firmian riserva|chardonnay|??|w|chardonnay|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=311
313. W|castel firmian riserva|chardonnay|??|w|chardonnay|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=311
314. W|castel firmian riserva|chardonnay|??|w|chardonnay|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=311
315. W|castel firmian riserva|lagrein|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
316. W|castel firmian riserva|lagrein|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=315
317. W|castel firmian riserva|lagrein|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=315
318. W|castel firmian riserva|lagrein|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=315
319. W|castel firmian riserva|lagrein|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=315
320. W|castel firmian riserva|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
321. W|castel firmian riserva|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=320
322. W|castel firmian riserva|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=320
323. W|castel firmian riserva|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=320
324. W|castel firmian riserva|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=320
325. W|castel firmian riserva|pinot grigio 2023 6 bottles|??|w|pinot grigio|??|??|2023|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
326. W|castel firmian riserva teroldego|rotaliano|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
327. W|castel firmian riserva teroldego|rotaliano|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=326
328. W|castel firmian riserva teroldego|rotaliano|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=326
329. W|castel firmian riserva teroldego|rotaliano|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=326
330. W|castel firmian riserva teroldego|rotaliano|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=326
331. W|castel firmian riserva teroldego rotaliano|2022|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
332. W|castel firmian riserva teroldego rotaliano|2022 6 bottles|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
333. W|castel firmian|rosato doc teroldego rotaliano 2019|??|p|??|??|??|2019|12.5|doc|leve|saladas, aves, queijos leves|seco
334. W|castel firmian rotaliano teroldego trentinoalto adige|italia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|castel firmian|sauvignon 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|castel firmian|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
337. W|castel firmian|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=336
338. W|castel firmian|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=336
339. W|castel firmian|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=336
340. W|castel firmian|sauvignon blanc italy|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
341. W|castel firmian|sauvignon trentino doc weiwein wein trocken italien 1 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
342. W|castel firmian|sauvignon trentino doc weiwein wein trocken italien 12 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
343. W|castel firmian|sauvignon trentino doc weiwein wein trocken italien 3 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
344. W|castel firmian|sauvignon trentino doc weiwein wein trocken italien 6 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
345. W|castel firmian teroldego|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|castel firmian teroldego|riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
347. W|castel firmian teroldego riserva|2022|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
348. W|castel firmian teroldego riserva|sauvignon trentino doc rotwein wein trocken italien 1 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
349. W|castel firmian teroldego riserva|sauvignon trentino doc rotwein wein trocken italien 12 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
350. W|castel firmian teroldego riserva|sauvignon trentino doc rotwein wein trocken italien 3 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
351. W|castel firmian teroldego riserva|sauvignon trentino doc rotwein wein trocken italien 6 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
352. W|castel firmian teroldego|rotaliano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|castel firmian teroldego|rotaliano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=352
354. W|castel firmian teroldego|rotaliano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=352
355. W|castel firmian teroldego|rotaliano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=352
356. W|castel firmian teroldego|rotaliano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=352
357. W|castel firmian teroldego rotaliano|0375 liter 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|castel firmian teroldego rotaliano|13|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|castel firmian teroldego rotaliano|doc rubino 2018|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
360. W|castel firmian teroldego rotaliano riserva|13 0|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
361. W|castel firmian teroldego rotaliano riserva|doc wochy 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
362. W|castel firmian teroldego rotaliano|rubino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|castel firmian teroldego rotaliano superiore riserva|2022|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
364. W|castel firmian teroldego rotaliano trentino|13 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|castel firmian teroldego rotaliano trentino|doc rotwein wein trocken italien 1 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
366. W|castel firmian teroldego rotaliano trentino|doc rotwein wein trocken italien 12 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
367. W|castel firmian teroldego rotaliano trentino|doc rotwein wein trocken italien 3 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
368. W|castel firmian teroldego rotaliano trentino|doc rotwein wein trocken italien 6 x 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
369. W|castel freres graves superieures|grand moelleux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|castel freres jean beauvillon|sancerre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|castel freres jean beauvillon sancerre|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|castel freres jean beauvillon val de loire|sauvignon blanc|fr|w|sauvignon blanc|loire|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
373. W|castel freres maison castel|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
374. W|castel freres maison castel|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|castel freres maison castel|sauvignon blanc cotes de gascogne|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
376. W|castel freres|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|castel freres|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
378. W|castel freres|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
379. W|castel giocondo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|castel giocondo brunello di montalcino|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|castel giocondo brunello di montalcino|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|castel giocondo brunello|docg montalcino 2012|it|r|??|??|??|2012|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
383. W|castel gold|brut blanc de blancs|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
384. W|castel gold|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
385. W|castel|gran vin 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|castel|grand vin 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|castel|grand vin 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=386
388. W|castel|grand vin 2023 magnum 3 15|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|castel|grand vin 20233|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|castel huniade|cabernet sauvignion sgr|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
391. W|castel huniade|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
392. W|castel huniade|cabernet sauvignon 137|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
393. W|castel huniade|cabernet sauvignon cramele recas|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
394. W|castel huniade|cabernet sauvignon doc sgr|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
395. W|castel huniade|cabernet sauvignon miniatura|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
396. W|castel huniade|cabernet sauvignon vin rosu sec 6 x 0|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
397. W|castel huniade feteasc regala|125|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|castel huniade|feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|castel huniade|feteasca neagra 144|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|castel huniade|feteasca neagra cramele recas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|castel huniade|feteasca neagra doc sgr|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
402. W|castel huniade|feteasca regala|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
