W|grangehurst|pinotage|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|blanco moscatel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granito|cabernet sauvigno carmenere|??|r|carmenere|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cabernet sauvignon carmenere vina bouchon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru alvarinho|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru 20222021 alvarihno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru alvarinho branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru alvarinho branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru alvarinho luis seabra douro portugal|pt|r|??|douro|douro|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru alvarinho verde branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru alvarinho vinho verde doc|pt|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=248
W|granito|cru dao encruzado bical sercial|pt|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|cru dao doc|pt|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|de cadalso garnacha|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|de cadalso garnacha sierra de gredos spain|es|r|garnacha|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|de cadalso garnacha 22|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|de gredos garnacha sierre de gredos spain|es|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|del cadalso garnacha|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|del cadalso garnacha sierra de gredos vinos de madrid 750 ml|??|r|garnacha|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|del cadalso garnacha sierra de gredos vinos de madrid 750 ml|??|r|garnacha|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|mezcla de merlot tempranillo y grenache bodega barisal ensenada mexico|es|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|pais|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|pais 22|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|pais itata valley|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|rosato cantina del mandrolisai|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granito|rosso cantina del mandrolisai|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|rufete blanca vinas del cambrico salamanca spain|es|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granito|semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granito|semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=266
W|granito|semillon j bouchon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granito|ti doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granito|tinto blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granitsplitter|granitsplitter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granitsplitter|granitsplitter|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granity|tumbler|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granius|white wine|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granizado|colcafe jet 40 gr u|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granizo|elixir 473cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granizo|nebuchadnezzar apa 470cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granizo|plateaux 473cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja doc alentejo|pt|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
S
W|granja|amareleja moreto pefranco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja moreto pefranco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|granja|amareleja premium doc alentejo encostas dalqueva|pt|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja premium red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja red reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja reserva doc alentejo|pt|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja reserva tinto|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|amareleja white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granja|de nuestra senora de remelluri rioja reserva|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|de remelluri gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mel serras de portugal|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mym caja 12 mob vino de autor mezcla tinta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mym caja 12 yida vino de autor moscat de frontignan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mym caja 6 mob vino de autor mezcla tinta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mym caja 6 yida vino de autor moscat de frontignan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mym mob vino de autor mezcla tinta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|mym yida vino de autor moscat de frontignan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nomada joven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nomada joven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|granja|nuestra senora de remelluri gran reserva spain|es|r|??|??|??|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri lindes de remelluri salinillas de buradon|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri lindes de remelluri vinedos de labastida|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri lindes de remelluri vinedos de labastida rioja doca spain|es|r|??|rioja|rioja|2010|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri lindes de remelluri vinedos de san vicente|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri lindes de remelluri vinedos de san vicente rioja doca spain|es|r|??|rioja|rioja|2010|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri blanco|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granja|nuestra senora de remelluri remelluri blanco rioja doca spain|es|w|??|rioja|rioja|2021|12.5|doca|medio|peixes, frutos do mar, saladas|seco
W|granja|nuestra senora de remelluri remelluri gran reserva rioja doca spain|es|r|??|rioja|rioja|2014|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri gran reserva rioja doca spain|es|r|??|rioja|rioja|2015|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva|??|r|??|??|??|2006|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva rioja|es|r|??|rioja|rioja|2007|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva rioja|es|r|??|rioja|rioja|2009|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva rioja|es|r|??|rioja|rioja|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva rioja|es|r|??|rioja|rioja|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva rioja|es|r|??|rioja|rioja|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri reserva rioja 3pack 10 12|es|r|??|rioja|rioja|2007|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri rioja doca spain|es|r|??|rioja|rioja|1997|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri rioja gran reserva|es|r|??|rioja|rioja|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri remelluri rioja reserva|es|r|??|rioja|rioja|1994|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=322
W|granja|nuestra senora de remelluri reserva rioja spain|es|r|??|rioja|rioja|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri rioja doca yjar|es|r|??|rioja|rioja|2020|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|nuestra senora de remelluri rioja doca yjar|es|r|??|rioja|rioja|2021|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|granja|remelluri gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|granja|remelluri gran reserva|??|r|??|??|??|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|2013|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva 14|??|r|??|??|??|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=335
W|granja|remelluri remelluri gran reserva rioja spain|es|r|??|rioja|rioja|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri remelluri gran reserva rioja spain|es|r|??|rioja|rioja|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri rioja gran reserva|es|r|??|rioja|rioja|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|remelluri rioja gran reserva|es|r|??|rioja|rioja|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|san francisco miel de flores 425g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao cabernet franc suave|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao cabernet sauvignon tinto seco|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao cabernet sauvignon tinto seco|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=346
W|granja|uniao carbernet franc tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao carbernet franc tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=348
W|granja|uniao malvasia branco suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao malvasia branco suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=350
W|granja|uniao malvasia suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao merlot nacional vinho rose|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granja|uniao merlot rose|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granja|uniao merlot tinto seco|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao merlot tinto seco|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=356
W|granja|uniao riesiling branco seco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao riesiling branco seco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=358
W|granja|uniao riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granja|uniao rose seco merlot|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granja|uniao rose seco merlot|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=361
W|granja|uniao tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao tannat nacional vinho tinto seco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao tannat tinto seco nacional|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granja|uniao tannat tinto seco nacional|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|granjeio|blanc de blancs branco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|granjoux|beechworth chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granjoux|shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granjoux|shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granjoux|syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grankrans|25 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grankvist|21 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granma|granma|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|heritage syrah viognier|??|w|syrah|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|heritage syrah viognier hk|??|w|syrah|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|gradient verdelho|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|gradient verdelho hk|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|heritage syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|heritage syrah hk|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|midnight harvest chenin blanc|??|w|chenin blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|midnight harvest chenin blanc hk|??|w|chenin blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|verdelho|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|verdelho hk|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|asoke cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|asoke cabernet sauvignon syrah hk|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|durif|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|durif hk|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|spring unwooded chenin blanc|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|spring unwooded chenin blanc hk|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|viognier|??|w|viognier|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|viognier hk|??|w|viognier|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granmonte|bussaba natural sweet wine|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|granmonte|bussaba natural sweet wine hk|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|granmonte|gradient alvarinho|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|gradient alvarinho hk|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granmonte|sakuna rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granmonte|sakuna rose hk|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|granmonte|cremant methode extra brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|granmonte|cremant methode extra brut hk|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|granny|goose tortillos barbecue 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos barbecue 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos barbecue flavored corn snacks 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos barbecue flavored corn snacks 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos barbecue flavored corn snacks 25g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos chili 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos chili 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|granny|goose tortillos chili flavored corn snacks 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos chili flavored corn snacks 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos chili flavored corn snacks 25g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos chilli 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos corn snacks barbeque 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos corn snacks barbeque 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos corn snacks barbeque 25g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos corn snacks chili 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|goose tortillos corn snacks chili 25g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|gothards royal vanilla ice cream buy 1 get 1 free june|??|r|??|??|??|2026|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|gothards strawberries cream ice cream buy 1 get 1 free june|??|r|??|??|??|2026|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
W|granny|smith 1 kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|smith apple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granny|smith apple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=424
W|granny|smith apple piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grannys|apple pie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grannys|secret wild blueberry whole fruit preserve 375g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grannys|seeds selected homefried without salt 500g best before 12062026|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grannys|seeds selected sunflower seeds homefried without salt 300g best before 15062026|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|a grano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|a grano 20162017|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|a grano|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|a grano graciano tinto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|a grano tempranillo tinto|es|r|tempranillo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|carmenere la poda corta rapel valley chile|cl|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|deep casserole|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|ginger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|long cutting board small|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|mate original bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|saraceno 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|saraceno biologico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|saucepan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|shallow caserole|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|stockpot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grano|wok|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granola|australia keto low carb morango vanilla harts 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granola|australia keto low carb original harts 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granola|holme mill jordans fruits e nuts 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granola|holme mill jordans red fruits 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granolak|granolak|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granolie|terisk olie urtegaarden|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|76 cannelloni 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|bio fusilli 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|bio penne rigate 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|bio spaghetti 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|bucatini 500 g pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|cannelloni 250 g pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|capellini angel hair 500g|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|couscog|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|couscokg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|dedicato farfalloni 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|dedicato fettuccine 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
