W|vinho|tinto seco pinot noir gradevole dom bernardo|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de tomares reserva rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de tomares gran reserva rioja|es|r|??|rioja|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de tomares crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de riscal reserva rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de murrieta reserva finca ygay rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de casa concha pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de casa concha peumo carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de caceres reserva rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de caceres gran reserva rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de caceres gaudium rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de caceres crianza rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marques de borba colheita alentejo doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marlborough sun brings out the moon pinot noir|nz|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mario geisse costero pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mariana herdade do rocim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco maragato cuvee familia bebber lote iv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco manos negras artesano pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco manoella douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec zanotto campestre|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec vistamontes|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec vintage don guerino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec vaz|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec terroir selection don guerino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec terroir exclusivo casa valduga|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec reserva trivento|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec reserva familia bebber 2021|??|r|malbec|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec reserva familia bebber|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec reserva don miguel|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec reserva almaunica|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec montes alpha|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec latitud 33o 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec kaiken ultra 2018|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec etchart estate|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec don miguel|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec don laurindo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec cordero en piel del lobo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec argentino mendoza dante robino varietales|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec anubis|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco malbec agnus lidio carraro|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco macan rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco macan clasico rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lyv pays doc grenache igp|??|r|grenache|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lyngrove platinum pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lyngrove paltinum latitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luiz porto syrah|pt|f|syrah|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto seco luiz argenta pinot noir classico|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luiz argenta merlot terroir xxvii|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luiz argenta marselantannat terroir xxvii|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luiz argenta jovem shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luiz argenta jovem red audrey|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luiz argenta cabernet sauvignon classico|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luigi bosca pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luigi bosca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lugarotti cadetto igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco luca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lozco merlot marselan pgi|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lovico suhindol gamza aoc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco louis latour valmoissine pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco louis latour cote de beaune villages|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco louis latour chassagnemontrachet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco louis latour bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco louis latour bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=274
W|vinho|tinto seco louis latour aloxecorton les chaillots|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lote negro malbeccabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lote 43 miolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco los vascos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco los riscos reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco los intocables bourbon barrel malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco los arraez parcela|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco los arraez lagares|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lobo de vasconcellos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lionello marchesi rosso di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lionello marchesi morellino di scansano poggio alle sughere docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lidio carraro elos touriga nacional tannat|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lidio carraro dadivas pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lidio carraro dadivas merlotcabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco libanes domus ishtar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco leyda estate syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco leyda estate merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco leyda estate carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco les valentines saintemilion grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco leon perdigal cotes du rhone|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco legend of dracula feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco le serre nuove dellornellaia doc 2021|??|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco le serre nuove dell ornellaia doc 2022|??|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco le pergole torte 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco le difese tenuta san guido igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco le casine chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lavoro icone larentis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lauri viana hedone gran reserva syrah|??|r|syrah|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lauri viana hedone blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lauri viana blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco laurento sangiovese riserva umberto cesari|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco latitude chile cabernet sauvignon|cl|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco latitud 33 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco las perdices syrah viognier|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vinho|tinto seco las perdices malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco las perdices chac chac malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco las 2 ces crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco las 2 ces|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapparita castello di ama 2019 igt|??|r|??|??|??|2019|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle grand selection c sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle cuvee alexandre c sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle clos apalta|cl|r|??|colchagua valley|apalta|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lapostolle apalta 2021|cl|r|??|colchagua valley|apalta|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco lacertilia tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la vieille ferme|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la spinetta il colorino di casa nova igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la spinetta ca di pian barbera dasti superiore|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la reserve de leoville barton 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la piu belle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la mora morellino di scansano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la linda malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la linda cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la fiole cotes du rhone|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la colina carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la casa brunello di montalcino caparzo docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco la bernardine chateauneufdupape|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle reserva c sauvignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle gran reserva organico carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle gran reserva organico c sauvignon|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle cuvee los lingues carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle cuvee los lingues cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle cerro basalto mediterranio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koyle cerro basalto carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco kosta browne pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koan carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco koan cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco kim gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco kekfrankos tuzco birtok|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco kanonkop kadette pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco kaiken ultra malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco julia florista bag in tube|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco judas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jovem tannat uruguaio aromas frutas negras madura taninos leves bom volume|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jovem malbec uruguaio aromas frutas vermelhas frescas toque especiarias taninos finos elegantes acidez equilibrada|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco joaao paulo ii gradus vocatus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jeremic kanon merlot cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jacopo biondi santi sassoalloro oro 2019 igt|??|r|??|??|??|2019|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jacopo biondi santi sassoalloro igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jacopo biondi santi sassoalloro 30 anniversario 2021 igt|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco jacopo biondi santi braccale igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco izadi crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco italiano puglia primitivo di manduria dop magma|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco italiano duchetti montepulciano dabruzzo garrafa|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco italiano domodo primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco isole e olena cepparello 2020 igt|??|r|??|??|??|2020|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco insolente graciano doca rioja|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco insieme toscana poggio alle sughere|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco infiel douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco imperial vin 1977 cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|1977|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco imperial vin 1977|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco imperial vin 1685 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco identidade gran terroir corte casa valduga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco identidade gran terroir corte casa valduga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=371
W|vinho|tinto seco idda etna rosso 2021 dop|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco idda etna rosso 2020 dop|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco hormiga negra malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco horizon lointain blend 2023 sul da franca|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco hermandad malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco hermandad blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco guyot reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco guidalberto toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco guado al tasso antinori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gravas del maipo cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grande reserve xinomavro naoussa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grand theatre bordeaux merlot|fr|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grand bateau bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran toqui syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran toqui cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran reserva rioja faustino kit leve 3 pague 2 3x|es|r|??|rioja|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran reserva rioja faustino kit leve 3 pague 2 3x|es|r|??|rioja|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=388
W|vinho|tinto seco gran reserva domiciano 2018|??|r|??|??|??|2018|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran reserva concentus pizzato|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran premium nebbiolo viapiana|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran corte merlottannat capoani|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gran baculo 2022 salvattore|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grafite touriga nacional douro|pt|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grafite tinta roriztempranillo douro|pt|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grafite grande reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco grafite douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco golden reserve petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco golden reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco go up reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco giacomo grimaldi barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco geracoes mario salton salton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco georgian sun sunset red saperavialeksandrouli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco georgian sun red garnet saperavi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gauchezco reserva cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco garzon single vineyard tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco garzon estate tannat de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gamla syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gamla pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gamla cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gamay nouveau capoani|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gaja sito moresco langhe 2020 dop|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gaja camarcanda promis 2021 igp|??|r|??|??|??|2021|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gaja camarcanda promis 2020 igt|??|r|??|??|??|2020|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco gaja barbaresco 2020 dop|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco frida kahlo carmen reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco frida kahlo carmen reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco freixenet do rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco franc beausejour margaux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco fracao unica pinot noir casa perini|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
