W|vinho|tinto la celia pioneer reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j p chenet cabernet syrah doc igp|??|r|syrah|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j p chenet cabernet syrah doc igp|??|r|syrah|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=221
W|vinho|tinto j p chenet cabernet syrah doc igp|??|r|syrah|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=221
W|vinho|tinto j moreau fils pinot noir bourgogne|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j lohr hilltop cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j lohr cypress merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j lohr cypress cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j de jose de sousa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j christopher volcanique pinot noir 2018 eua|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j christopher medici vineyard pinot noir 2017 eua|??|r|pinot noir|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto j christopher basalte pinot noir 2018 eua|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto izadi seleccioncomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto izadi larrosa negracomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto itinera montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano zolla primitivo di manduria vigneti del salento|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano zolla primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano yume tre autoctoni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano why not nero davola syrah doc reserva|??|r|syrah|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano why not negroamaro primitivo zinfandel igt|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vulcanici sangiovese puglia igt meio seco|??|r|sangiovese|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vulcanici montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano volpetto chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vito cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vitis nostra nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano villa fabrizia lambrusco amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano villa fabrizia lambrusco amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=245
W|vinho|tinto italiano villa fabrizia brunello di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano villa cerna riserva docg chianti classico|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano villa antinori toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano villa antinori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vigneti del vulture tufarello nero di troia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vigneti del vulture pipoli aglianico del vulture doc|??|r|aglianico|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vigneti del vulture piano del cerro aglianico del vulture doc|??|r|aglianico|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vigne vecchie primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vigne vecchie negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vesevo ensis aglianico taurasi docg|??|r|aglianico|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano vesevo aglianico beneventano igt|??|r|aglianico|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano venturini valpolicella classico superiore doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano venturini valpolicella classico doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano venturini amarone della valpolicella campo masua|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano valvriginio collerosso chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano valnova barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano valentina piacione rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano truffle hunter leda nebbiolo dalba doc|??|r|nebbiolo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano truffle hunter leda langhe rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano truffle hunter leda langhe rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano truffle hunter leda barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano truffle hunter leda barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano truffle hunter leda barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano trevini sangiovese rubicone|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano toscana sangiovese cecchi|it|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano toscana rosso geografico le mire|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano toscana rosso|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tosca rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tosca chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano torrevento primo primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tignanello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terredora pago dei fusi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terredora aglianico|??|r|aglianico|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terre solicello igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terre siciliane shiraz il paradosso|??|r|shiraz|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terre siciliane igt corvo|??|r|??|sicilia|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terre natuzzi rosso toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terre natuzzi rosso toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??|=283
W|vinho|tinto italiano terre natuzzi don giovanni chianti classico docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano terre natuzzi chianti reserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tenute poggiocaro rosso di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tenute poggiocaro brunello di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tenute poggiocaro brunello di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=288
W|vinho|tinto italiano tenute poggiocaro brunello di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=288
W|vinho|tinto italiano tenuta santantonio valpolicella ripasso superiore monti garbi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tenuta di nozzole chianti classico riserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tenuta di nozzole chianti classico docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tenuta alzatura sagrantino docg montefalco|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tempranillo rioja beronia|es|r|tempranillo|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tempore|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tavernello rosso d italia|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano tavernello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano syrah terre siciliane duca di saragnano|??|r|syrah|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano syrah sogno mediterraneo casadei|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sweet red frisante mosketto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano susumaniello salento sette spezie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano stemmari passiata terre siciliane igt|??|r|??|sicilia|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano stemmari nero davola 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano stemmari nero davola 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=304
W|vinho|tinto italiano stemmari decorato rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano stemmari cantodoro sicilia doc|it|r|??|sicilia|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sta lucia rosso castellani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sta lucia rosso castellani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=308
W|vinho|tinto italiano sogno italiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano settesoli wave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano settesoli riserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano settesoli nero d avola|??|r|nero d avola|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano settesoli nerello mascalese|??|r|nerello mascalese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano settesoli bio nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sette spezie primitivo salento san vicenzo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano schol sarmenti riserva nerio negroamaro doc nardo|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano scaia corvina|??|r|corvina|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sartirano figli piemonte dolcetto|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano sartirano figli barolo doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano santalmazi sangiovese garrafa|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano santa maria dei servi toscana gattavecchi|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano santa fosca vino rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano santa cristina toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sansilvestro barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sangiovese vanita|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sangiovese toscana castellani|it|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sangiovese toscana castellani|it|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=327
W|vinho|tinto italiano sangiovese selezione di famiglia il palazzo|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san vincenzo negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro san silvestro piemonte rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro riserva costa di bussi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro primera tavola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro primera rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro patres barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro nebbiolo dalba doc|??|r|nebbiolo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro langhe rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano san silvestro langhe rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=337
W|vinho|tinto italiano san silvestro barbera dasti|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano sal terrae il palazzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rubicone sangiovese giancarlo|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rubicone sangiovese giancarlo|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=341
W|vinho|tinto italiano roversi barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano roversi barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rosso tinto toscana kosher vegano|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rosso di montepulciano gattavecchi|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rosso di montalcino lamerica|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rosso di montalcino lamerica|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=347
W|vinho|tinto italiano rosso di montalcino fattoria dei barbi|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rosso di montalcino fattoi doc|it|r|??|toscana|montalcino|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano romolo toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano romeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano romagnoli emilia pinot nero igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano romagnoli emilia pinot nero igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??|=353
W|vinho|tinto italiano roero arneis giacomo fenocchio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rocchetta valmorena barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rocchetta leopoldo piemonte pinot nero doc 2018|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rocchetta futurosso monferrato rosso doc 2017|??|r|??|??|??|2017|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rocchetta futurosso monferrato doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rocchetta dolcetto dalba 2019|??|r|dolcetto|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano rocchetta dolcetto dalba|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano rocca sangiovese primitivo di puglia|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rocca nero di troia pug|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rivetto marcarini barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rivetto langhe nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rivetto dolcetto dalba|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano rivetto barolo serralunga dalba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rivetto barolo leon riserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rivetto barbera dalba|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rivetto barbaresco ce vanin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano riondo amarone della valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rilievo pinot nero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano rilievo montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano refosco friuli doc rauscedo|it|r|??|friuli|magredi|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano quattro conti negroamaro puglia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano puglia aglianico primitivo igt|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano promis igt toscana angelo gaja|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano priscus primitivo di manduria dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo verosso|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo salento natale verga safra 2019|??|r|primitivo|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo salento caleo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo s masso antico|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo puglia vagamondo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo puglia vagamondo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=383
X
W|vinho|tinto italiano primitivo itinera|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo di manduria puglia 2017|??|r|primitivo|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo di manduria mandorla|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo di manduria bellaia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primitivo del tarantino i monili|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano primaio san silvestro primaio dolcetto dalba|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano primaio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poggio felice montepulciano dabruzzo vinho|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poggio dei vigneti monte pulciano dabruzzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poggio dei salicio chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poggiatico sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poggiatico rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poggiatico chianti riserva|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poderi del paradiso silicum igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poderi del paradiso saxa calida igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poderi del paradiso paterno ii rosso igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poderi del paradiso mangiafoco rosso toscana igt 2021|it|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poderi del paradiso chianti colli senesi riserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano poderi del paradiso a filippo rosso igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pio cesare oltre elegante e complexo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pio cesare barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pinot nero veneto kosher vegano|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pinot nero blauburgunder|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano piemonte roversi barbera|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano piccini rosso memoro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano piccini memoro ditalia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano piccini chianti riserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano peter zemmer pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano peter zemmer lagrein|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pazzia primitivo puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pazzia negroamaro puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano passaia toscana cielo|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano panorama chianti riserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pandora salice salentino magnum dop|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pandora primitivo magnum igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pandora negroamaro magnum igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano pandora negroamaro 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano origines italicae nero davola sicilia doc|it|r|??|sicilia|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano origines italicae montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano notte rossa primitivo salento|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano notte rossa negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
