W|rose|cabriz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|africano nederburg|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|africano golden kaan|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|adele|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|adegamae pinta negra pack 2020 ig lisboa|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|adega mayor selecao bio 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|adega mayor pinot noir 2021 alentejo|pt|p|pinot noir|alentejo|??|2021|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|adega mae lisboa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|a table vdf 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|a table rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|a rose is a rose luigi bosca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|a lisa pays du var rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|a deja de silgueiros|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|a de coligny tourmaline 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|99 rosas edicao especial|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|99 rosas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|750mlcomprar|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|7 by seven|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|7 by seven|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=267
W|rose|7 by seven|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=267
W|rose|6eme sens|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|4 fun|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|281 chateau minuty|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|2024 cx 6 unid|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|2019 doc alentejo|pt|p|??|alentejo|??|2019|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|1808 rose blend reserva 2018|??|p|??|??|??|2018|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|1808 blush 2023 doc beira interior|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|1808 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
S
W|rose|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=280
W|rosamara|doc chiaretto rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|sv quinta do morgado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|sv quinta do morgado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=283
W|rosado|suave campo largo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rosado|seco di mallo caixa com 6 unidades|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|seco di mallo caixa com 12 unidades|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|seco altos da divisa salvattore|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|seco adega chesini|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|rocim mariana vr 125 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|licoroso tradicional|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|licoroso evolucao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|goes tradicao licoroso doce|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|goes tradicao licoroso doce|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=293
W|rosado|frances doc gem pays rooftop|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|espanhol terroso monastrel kosher vegano|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|de mesa seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosado|de mesa seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=297
W|rosacker riesling|grand cru cave hunawihr|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frutos do mar, saladas|seco
W|rosabelle|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosabelle|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=300
W|rosa de|argentina malbec rose|ar|p|malbec|mendoza|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rosa da neve|neve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rosa da mata|mata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette e cazes|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette e cazes|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette e cazes|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=306
W|roquette e cazes|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=306
W|roquette cazes xisto 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette cazes|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette cazes|tinto 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette cazes|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roquette cazes|cazes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ropiteau freres les plants nobles pinot noir|2020|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ropiteau freres les plants nobles pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ropiteau freres les plants nobles chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rompecabezas malbec|argentina 2018|ar|r|malbec|mendoza|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rompecabezas cabernet sauvignon|argentina 2018|ar|r|cabernet sauvignon|mendoza|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rompecabezas|blend argentina 2018|ar|r|??|mendoza|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romolo toscana|igt 2019 tinto italia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romolo toscana|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romolo toscana|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=321
W|romolo toscana|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=321
W|romolo rosso toscana|igt oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romolo rosso toscana|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romolo rosso toscana|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romeno prahova valley merlot|rose|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|romeno prahova valley feteasca regala|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|romeno prahova valley|branco feteasca regala|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|romeno la umbra|branco feteasca regala|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|romeno concert prestige|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|romeno byzantium rosso dealu mare|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romeno byzantium|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|romeno byzantium blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romenia domeniile tohani feteasca regala|regala|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romeira|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|romeira|regional alentejano|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|romano cunha vinhas velhas|branco 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|romanero tempranillo|tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romaneira dona clara|tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|romanee saintvivant|saintvivant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rola|tinto reserva douro doc portugues|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rola|tinto douro portugal|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|rola|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rola|douro doc red|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rola|douro touriga nacional|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|rola|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|rola|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=347
W|rola|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=347
W|rola|douro grande reserva|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rol de coisas antigas|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roger sabon le sabounet|sabounet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roger sabon le sabounet|sabounet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=352
W|roger sabon le plaisir blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roger sabon le plaisir blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=354
W|roero arneis|docg cabianca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roero arneis|docg cabianca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=356
W|roero arneis|doc terredavino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roero arneis bianco|bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rodes carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roda|2020|??|r|??|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|roda|2015|??|r|??|??|??|2015|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|roda i|2018|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rock angel|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rochebin bourgogne pinot noir tto 1x|1x|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roche audran|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roche audran|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|roche audran chateauneufdupape|chateauneufdupape|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roche audran cesar|cesar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roche audran blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roccheta moscato felice|felice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca sangiovese primitivo di puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca rosso de salento|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca rosso de salento|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=373
W|rocca di montegrossi|chianti classico|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca di montegrossi|chianti classico|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco|=375
W|rocca delle macie ser gioveto|gioveto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca delle macie rubizzo|rubizzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca delle macie|chianti classico tinto|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca delle macie|chianti classico riserva tinto|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca delle macie|chianti classico 2022|it|r|??|toscana|chianti|2022|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca del nibbio montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca|chianti riserva|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca|chianti riserva|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco|=383
W|rocca|chianti classico|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca|chianti classico|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco|=385
W|rocca amarone della valpolicella|classico docg|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocca amarone della valpolicella|classico docg|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=387
W|rocas de sena vivino 41 mega oferta|oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocas de sena|sena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rocas de sena|sena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=390
W|roca|tinto malbec e merlot|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roca|tinto bonarda e sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roca malbec e merlot|merlot|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roca exclusivo chenin e chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|roca bonarda sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roca bonarda sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=396
W|roca bonarda e sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|roc dopale grenache merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robertson winery chenin blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robertson pinotage|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robertson gewurztraminer|branco doce|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|robertson gewurztraminer|gewurztraminer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robertson chenin blanc|2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi woodbridge zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi woodbridge zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=405
W|robert mondavi woodbridge zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=405
W|robert mondavi woodbridge|white zinfandel|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|robert mondavi woodbridge|white zinfandel|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=408
W|robert mondavi woodbridge|white zinfandel|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=408
W|robert mondavi woodbridge red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi woodbridge red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=411
W|robert mondavi woodbridge pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi woodbridge pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=413
W|robert mondavi woodbridge chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|robert mondavi woodbridge chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=415
W|robert mondavi woodbridge cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi woodbridge cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=417
W|robert mondavi twin oaks chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|robert mondavi twin oaks chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=419
W|robert mondavi twin oaks cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi twin oaks cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=421
W|robert mondavi private selection zinfandel|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=424
W|robert mondavi private selection red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=426
W|robert mondavi private selection pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=428
W|robert mondavi private selection pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=428
W|robert mondavi private selection pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=428
W|robert mondavi private selection heritage red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection chardonnay|2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|robert mondavi private selection chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|robert mondavi private selection chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=434
W|robert mondavi private selection chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=434
W|robert mondavi private selection cabernet sauvignon|2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=438
W|robert mondavi private selection cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=438
W|robert mondavi private selection barrels merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection barrels chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|robert mondavi private selection barrels chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=442
W|robert mondavi private selection barrels cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selection barrels cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=444
W|robert mondavi private selection barrels cabernet sauv|sauv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private selec cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private heritage red|blend garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi private 100 cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi p selection cab 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi oakville cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi oakville cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=451
W|robert mondavi napa valley pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi napa valley pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=453
W|robert mondavi napa valley cabernet sauvignon|reserve|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi napa valley cabernet sauvignon|reserve|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=455
W|robert mondavi napa valley cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|robert mondavi napa valley cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=457
W|rivetto marcarini barbaresco|barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rivetto langhe nebbiolo|nebbiolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riveras del chillan cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rivalta vina santa ema|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riunite lambrusco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riunite f moscato frisante|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|ritual pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ritual monster block casablanca pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ritual casablanca sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ritual casablanca pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ritual casablanca chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ritual alcaparral block casablanca syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riscal 1860 roble tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riscal 1860 roble tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=471
W|ripiano luiz argenta la jovem|jovem|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
