W|gitton|pere et fils sancerre lamiral|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe pinot nero la tartufaia|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe pinot nero la tartufaia case only|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri marassio barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri marassio barolo docg piedmont italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri marassio barolo docg piedmont italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|giulia|negri nebbiolo langhe|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri nebbiolo langhe|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=225
W|giulia|negri nebbiolo langhe|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=225
W|giulia|negri nebbiolo langhe|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=225
W|giulia|negri pian delle mole langhe italy nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri pian delle mole langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri pian delle mole langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=230
W|giulia|negri pian delle mole langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri pian delle mole langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri pinot nero la tartufaia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri pinot nero langhe doc la tartufaia|it|r|??|langhe|langhe|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari barolo docg piedmont italy|it|r|??|barolo|barolo|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari barolo docg piedmont italy|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari barolo italy nebbiolo|it|r|nebbiolo|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari la tartufaia barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari marassio barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenari pian delle mole langhe nebbiolo piedmont italy|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenarri barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri serradenarri barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=244
W|giulia|negri serradenarri barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=244
W|giulia|pecorino cataldi madonna|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulia|pecorino terre aquilane igt cataldi madonna|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giulia|pecorino terre dabruzzo cataldi madonna|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulia|toscana igt|it|r|??|tuscany|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|verona igt rosso|??|r|??|??|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|verona igt rosso|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|monferrato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giuliana|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=254
W|giuliana|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=254
W|giuliana|prosecco doc extra dry|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|giuliana|prosecco extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giuliana|prosecco veneto|it|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giuliana|tartufi 80|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|vicini cococciola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|vicini montepulciano|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|vicini montepulciano|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=262
W|giuliana|vicini montepulciano dabruzzo|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|vicini montepulciano dabruzzo|it|r|montepulciano|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|vicini montepulciano dabruzzo dop|it|r|montepulciano|??|??|2024|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliana|vicini pecorino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliana|vicini pecorino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliana|vicini trebbiano dabruzzo|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliana|vicini trebbiano dabruzzo|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliana|vicini trebbiano dabruzzo white dry 135 075|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliani|lavarossa primitivo|??|r|primitivo|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|costa toscana rosato|it|p|??|tuscany|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giuliano|rosati valpolicella ripasso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati pinot grigio friulivenezia giulia|it|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati amarone della valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati amarone della valpolicella|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati amarone della valpolicella|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=277
W|giuliano|rosati cabernet franc|??|r|cabernet franc|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati chianti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati chianti|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati friuli pinot grigio|it|w|pinot grigio|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati montepulciano dabruzzo|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati montepulciano dabruzzo doc|it|r|montepulciano|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati montepulciano dabruzzo doc|it|r|montepulciano|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|giuliano|rosati pinot grgio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati pinot grgio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=286
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=288
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=288
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=288
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=288
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=295
W|giuliano|rosati pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=295
W|giuliano|rosati pinot grigio delle venezie igt|??|w|pinot grigio|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio friuli|it|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio friuli|it|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=299
W|giuliano|rosati pinot grigio friuli|it|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio friuli|it|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=301
W|giuliano|rosati pinot grigio friuli v|it|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati pinot grigio friulivenezia|it|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|rosati rosso di toscana igt|it|r|??|tuscany|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella ripasso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella ripasso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=310
W|giuliano|rosati valpolicella ripasso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|giuliano|rosati valpolicella ripasso mwo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella ripasso superiore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella ripasso superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|rosati valpolicella ripasso superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=315
W|giuliano|tartufi 01|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 100|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 120|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 250|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 30|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 45|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 460|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 500|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 70|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi 80|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi black summer truffle salt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi condimento olio extra vergine al bianchetto natives olivenol extra aromatisiert mit weiem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi condimento olio extra vergine al bianchetto natives olivenol extra aromatisiert mit weiem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|giuliano|tartufi condimento olio extra vergine al bianchetto natives olivenol extra aromatisiert mit weiem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|giuliano|tartufi condimento olio extra vergine al bianchetto natives olivenol extra aromatisiert mit weiem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|giuliano|tartufi condimento olio extra vergine al tartufo nero natives olivenol extra aromatisiert mit schwarzem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi condimento olio extra vergine al tartufo nero natives olivenol extra aromatisiert mit schwarzem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|giuliano|tartufi condimento olio extra vergine al tartufo nero natives olivenol extra aromatisiert mit schwarzem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|giuliano|tartufi condimento olio extra vergine al tartufo nero natives olivenol extra aromatisiert mit schwarzem truffel italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|giuliano|tartufi crema con pecorino romano dop e tartufo nero pecorino romano dop creme mit schwarzem truffel italien 1 x 80g|??|w|??|??|??|nv|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi crema con pecorino romano dop e tartufo nero pecorino romano dop creme mit schwarzem truffel italien 12 x 80g|??|w|??|??|??|nv|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi crema con pecorino romano dop e tartufo nero pecorino romano dop creme mit schwarzem truffel italien 3 x 80g|??|w|??|??|??|nv|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi crema di olive e tartufo creme mit oliven und truffel italien 1 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema di olive e tartufo creme mit oliven und truffel italien 12 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema di olive e tartufo creme mit oliven und truffel italien 3 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema di olive e tartufo creme mit oliven und truffel italien 6 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema tartufata truffelcreme italien 1 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema tartufata truffelcreme italien 12 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema tartufata truffelcreme italien 3 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi crema tartufata truffelcreme italien 6 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi dop 80|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi gnocchi con tartufo gnocchi mit sommertruffeln italien 1 x 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi gnocchi con tartufo gnocchi mit sommertruffeln italien 12 x 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi gnocchi con tartufo gnocchi mit sommertruffeln italien 3 x 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi gnocchi con tartufo gnocchi mit sommertruffeln italien 6 x 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi lamelle di tartufo estivo lamellen von sommertruffeln italien 1 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi lamelle di tartufo estivo lamellen von sommertruffeln italien 12 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi lamelle di tartufo estivo lamellen von sommertruffeln italien 3 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi lamelle di tartufo estivo lamellen von sommertruffeln italien 6 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi minced summer truffle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi sliced bianchetto truffle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi sliced summer truffles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi specialita a base di burro e tartufo bianco butter mit weiem truffel italien 1 x 75g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi specialita a base di burro e tartufo bianco butter mit weiem truffel italien 12 x 75g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi specialita a base di burro e tartufo bianco butter mit weiem truffel italien 3 x 75g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi specialita a base di burro e tartufo bianco butter mit weiem truffel italien 6 x 75g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuliano|tartufi specialita con parmigiano reggiano e tartufo creme aus parmesan und truffel italien 1 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi specialita con parmigiano reggiano e tartufo creme aus parmesan und truffel italien 12 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi specialita con parmigiano reggiano e tartufo creme aus parmesan und truffel italien 6 x 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi spolverata di tartufo truffelpulver 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi spolverata di tartufo truffelpulver italien 1 x 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi spolverata di tartufo truffelpulver italien 12 x 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi spolverata di tartufo truffelpulver italien 3 x 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi spolverata di tartufo truffelpulver italien 6 x 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi summer truffle butter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi tartufo estivo intero ganzer sommertruffel italien 1 x 35g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi tartufo estivo intero ganzer sommertruffel italien 12 x 35g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi tartufo estivo intero ganzer sommertruffel italien 3 x 35g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi tartufo estivo intero ganzer sommertruffel italien 6 x 35g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi tris 2 240|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufi truffle powder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|giuliano|tartufi whole summer truffle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuliano|tartufo 120|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulietta|appassimento casa girelli veneto italien|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulietta|biae powytrawne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulietta|dolceterra gift selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giulietta|garganega veronese igp|??|w|??|??|??|2024|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|giulietta|wino sodkie musujace|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulin|barbera del monferrato|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulin|barbera del monferrato doc|??|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulin|barbera del monferrato superiore docg accornero|??|r|barbera|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulin|barbera docg|??|r|barbera|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulin|barbera docg|??|r|barbera|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulin|barbera docg 37|??|r|barbera|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|armani denavolo catavela|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|arnera barbera dasti symphonia docg|??|r|barbera|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|arnera piemonte chardonnay doc|it|w|chardonnay|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giulio|arnera piemonte sauvignon doc|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi americano aperitivo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi americano aperitivo piedmont|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi americano bianco aperitivo piedmont italy|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|cocchi americano rosa aperitivo piedmont italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi aperitivo americano italy 165|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi aperitivo americano rosa italy 165|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi barolo chinato piedmont italy|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi dopo teatro vermouth italy 16|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi nv americano bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|cocchi nv americano rosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi nv cocchi storico vermouth di torino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi nv storico vermouth di torino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi rosa americano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi storico vermouth di torino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi storico vermouth di torino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|giulio|cocchi storico vermouth di torino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|giulio|cocchi storico vermouth di torino italy 16|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi vermouth di torino extra dry italy 17|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|cocchi vino chinato italy 165|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari edizione limitata|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore edizione limitata in cassa legno|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari edizione limitata 2 bottiglie sboccatura|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari edizione limitata 2 bottiglie sboccatura|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=420
