W|dalva|10 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva dry|white reserve|fr|w|??|??|??|NV|12.5|RESERVE|medio|peixe, frutos do mar|seco
W|dalva dry|white reserve port|fr|w|??|??|??|NV|12.5|RESERVE|medio|peixe, frutos do mar|seco
W|dalva dry|white reserve port|fr|w|??|??|??|NV|12.5|RESERVE|medio|peixe, frutos do mar|seco|=261
W|dalva espumante|espumante|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva espumante|bruto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva espumante|bruto 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva espumante|bruto 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva extra|dry white porto rotulo branco|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|dalva finest|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva golden|white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco|=270
W|dalva golden|white colheita 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white colheita 1963 2022|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white colheita 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white colheita 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco|=274
W|dalva golden|white colheita 1971 2021|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white colheita 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white colheita 1989 2018|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva golden|white colheita 1989 porto|pt|f|??|??|??|1989|20|??|encorpado|sobremesas, queijos|doce
W|dalva golden|white colheita port 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva grande|reserva 2016|fr|r|??|??|??|2016|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva grande|reserva 3x tinto|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva grande|reserva tinto|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva grande|reserva tinto 2015|fr|r|??|??|??|2015|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva grande|reserva tinto 2016|fr|r|??|??|??|2016|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1934 port|fr|r|??|??|??|1934|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1940 port|fr|r|??|??|??|1940|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1952 gw port|fr|r|??|??|??|1952|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1963 gw port|fr|r|??|??|??|1963|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1966 port|fr|r|??|??|??|1966|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1967 port|fr|r|??|??|??|1967|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1968 port|fr|r|??|??|??|1968|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1971 gw port|fr|r|??|??|??|1971|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1975 port|fr|r|??|??|??|1975|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1977 port|fr|r|??|??|??|1977|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1992 port|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva harvest|1997 port|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva house|reserve 10 anos porto|pt|f|??|??|??|NV|20|RESERVE|encorpado|sobremesas, queijos|doce
W|dalva house|reserve 30 anos porto|pt|f|??|??|??|NV|20|RESERVE|encorpado|sobremesas, queijos|doce
W|dalva house|reserve 40 anos porto rotulo antigo|pt|f|??|??|??|NV|20|RESERVE|encorpado|sobremesas, queijos|doce
W|dalva house|reserve more than 40 years old|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva hvid|20 ars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lagrima|christi porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva late|bottled vintage 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2002 matured|fr|r|??|??|??|2002|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2004 port|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2008 port|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2011 unfiltered|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2011 unfiltered|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=309
W|dalva lbv|2011 unfiltered porto|pt|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos|doce
W|dalva lbv|2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2013 porto|pt|f|??|??|??|2013|20|??|encorpado|sobremesas, queijos|doce
W|dalva lbv|2015 port|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2017 port|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2017 portvin 20|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|2019 portvin|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lbv|porto 2013|pt|f|??|??|??|2013|20|??|encorpado|sobremesas, queijos|doce
W|dalva lbv|unfiltered 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva lote|miguel castro silva dry white porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|dalva lote|octavio freitas dry white porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|dalva lote|vitor matos 20 anos porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva metamorfose|metamorfose|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva metamorfose|2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva metamorfose|branco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva metamorfose|grande reserva branco 2014|fr|r|??|??|??|2014|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|moscatel|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|colheita 2003 vitor matos|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|do douro|pt|r|??|??|??|NV|13.5|DO|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|do douro 17|pt|r|??|??|??|NV|13.5|DO|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|do douro portugal hedvin 17|pt|r|??|??|??|NV|13.5|DO|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|douro|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva moscatel|douro portugal hedvin|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva port|late bottled vintage 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva port|white colheita 2015|fr|w|??|??|??|2015|12.5|??|medio|peixe, frutos do mar|seco
W|dalva porto|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|10 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|10 year old|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|10 year old dry white|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|dalva porto|20 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|20 year old|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|30 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|30 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=343
W|dalva porto|40 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|40 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=345
W|dalva porto|colheita 1963 golden nugget|pt|f|??|??|??|1963|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita 1968|pt|f|??|??|??|1968|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita 1982|pt|f|??|??|??|1982|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita 1985|pt|f|??|??|??|1985|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita 1997|pt|f|??|??|??|1997|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita 2007 white|pt|f|??|??|??|2007|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita 2011 white|pt|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita golden white 1963|pt|f|??|??|??|1963|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita golden white 1971|pt|f|??|??|??|1971|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|colheita golden white 1989|pt|f|??|??|??|1989|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|dry white|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|dalva porto|golden white 63|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|golden white 71|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|golden white 89|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|lbv|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|lbv 2012|pt|f|??|??|??|2012|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|lbv portugal 2019|pt|f|??|??|??|2019|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|rose|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|rose|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=364
W|dalva porto|rose|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=364
W|dalva porto|ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=367
W|dalva porto|ruby reserva|pt|f|??|??|??|NV|20|RESERVA|encorpado|sobremesas, queijos|doce
W|dalva porto|tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=370
W|dalva porto|tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=370
W|dalva porto|tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=370
W|dalva porto|tawny 30 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|tawny 40 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|tawny reserva|pt|f|??|??|??|NV|20|RESERVA|encorpado|sobremesas, queijos|doce
W|dalva porto|vintage 2003|pt|f|??|??|??|2003|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|vintage 2007|pt|f|??|??|??|2007|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|vintage 2011|pt|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|vintage 2011|pt|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos|doce|=379
W|dalva porto|white|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva porto|white|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=381
W|dalva porto|white 50 anos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva portvin|late bottled vintage lbv|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva portvin|late bottled vintage lbv 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva portvin|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva pure|kologisk tawny reserve|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva pure|organic ruby reserve|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva pure|organic tawny reserve|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva pure|organic vintage 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva pure|reserva tawny porto|pt|f|??|??|??|NV|20|RESERVA|encorpado|sobremesas, queijos|doce
W|dalva pure|ruby reserve portvin kologisk|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva pure|tawny reserva 8y organic|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva pure|white reserve organic port wine portugal 19|pt|w|??|??|??|NV|12.5|RESERVE|medio|peixe, frutos do mar|seco
W|dalva reserva|reserva|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|branco|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|branco 2019|fr|r|??|??|??|2019|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|branco 2022|fr|r|??|??|??|2022|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|pure organic|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|ruby|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tawny|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tinto|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tinto 2017|fr|r|??|??|??|2017|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tinto 2017|fr|r|??|??|??|2017|13.5|RESERVA|encorpado|carne vermelha, queijo|seco|=403
W|dalva reserva|tinto 2018|fr|r|??|??|??|2018|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tinto 2019|fr|r|??|??|??|2019|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tinto 2022|fr|r|??|??|??|2022|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|tinto 2022 1|fr|r|??|??|??|2022|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva reserva|white|fr|w|??|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco
W|dalva reserve|reserve|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=411
W|dalva rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=411
W|dalva rose|port|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva rose|port|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=414
W|dalva rose|port|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=414
W|dalva rose|port|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=414
W|dalva rose|port|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=414
W|dalva rose|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva rose|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=419
W|dalva rose|porto 19|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva rose|portvin husets pink port|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva ruby|ruby|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva ruby|ruby|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=423
W|dalva ruby|ruby|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=423
W|dalva ruby|12 fl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva ruby|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva ruby|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=427
W|dalva ruby|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=427
W|dalva ruby|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=427
W|dalva ruby|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=427
W|dalva ruby|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva ruby|reserva|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva ruby|reserve port|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva ruby|tinto doce porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva silva|dry white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva sunrise|douro branco 2012|pt|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva sunset|reserva douro branco 2010|pt|r|??|??|??|2010|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva tawny|tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=439
W|dalva tawny|10 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|10 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=441
W|dalva tawny|10 year|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|10 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|10 years port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|12 fl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|20 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|20 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|20 years old porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva tawny|30 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|30 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|30 years old porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva tawny|40 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|40 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|40 years port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|douro portugal|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva tawny|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=457
W|dalva tawny|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=457
W|dalva tawny|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=457
W|dalva tawny|port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=457
W|dalva tawny|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva tawny|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=462
W|dalva tawny|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=462
W|dalva tawny|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=462
W|dalva tawny|porto antiga|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva tawny|porto baixa|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva tawny|reserve port|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dalva tinto|tinto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva trawny|trawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva very|old 50 ars hvid tawny eksklusiv portvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva very|old 50 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva very|old 50 ars white tawny|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva very|old 50 ars white tawny|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=473
W|dalva very|old tawny 50 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva very|old tawny 50 ars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva very|old tawny 50 ars portvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva very|old tawny 50 ars portvin eksklusiv kvalitet|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vinica|velhissima|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|12 flaske 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|1970|fr|r|??|??|??|1970|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|1977|fr|r|??|??|??|1977|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|1997|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|1997|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco|=484
W|dalva vintage|1997 port|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco|=487
W|dalva vintage|2000 port|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2003|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2003 port|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2003 port|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco|=491
W|dalva vintage|2004|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2004|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco|=493
W|dalva vintage|2004 port|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2004 porto|pt|f|??|??|??|2004|20|??|encorpado|sobremesas, queijos|doce
W|dalva vintage|2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2005 port|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco|=499
W|dalva vintage|2007 port|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2008|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2008 port|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2009 port|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2009 port|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco|=505
W|dalva vintage|2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=507
W|dalva vintage|2011 port|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2011 port|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=509
W|dalva vintage|2011 porto|pt|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos|doce
W|dalva vintage|2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=513
W|dalva vintage|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=515
W|dalva vintage|2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=517
