W|large|leather purse black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|arcangelo gran reserva do|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|arcangelo gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|gran reserva|medio|peixes; frutos do mar; aves|seco
W|larens|blanje bleu wijngoed gelders laren|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larene|des anges costieres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larene|larene|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larene|larene|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=256
W|larenal|old vine monastrell valencia do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larenal|larenal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larena|white blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larena|bonarda|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lareith|lagrein riserva doc|??|r|??|??|??|2020|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|lareith|lagrein riserva alto adige|it|r|??|alto adige|??|2022|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|lareith|lagrein linea selezione cantina di caldaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|rillettes de canard entenrillettes klassischer franzosischer brotaufstrich frankreich 6 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|rillettes de canard entenrillettes klassischer franzosischer brotaufstrich frankreich 3 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|rillettes de canard entenrillettes klassischer franzosischer brotaufstrich frankreich 12 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|rillettes de canard entenrillettes klassischer franzosischer brotaufstrich frankreich 1 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|hasenterrine mit rosmarin franzosischer brotaufstrich frankreich 6 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|hasenterrine mit rosmarin franzosischer brotaufstrich frankreich 12 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|hasenterrine mit rosmarin franzosischer brotaufstrich frankreich 1 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|ganserillettes klassischer franzosischer brotaufstrich frankreich 6 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|ganserillettes klassischer franzosischer brotaufstrich frankreich 3 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|ganserillettes klassischer franzosischer brotaufstrich frankreich 12 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|ganserillettes klassischer franzosischer brotaufstrich frankreich 1 x 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredy|entenmousse mit sauternes klassischer franzosischer brotaufstrich frankreich 6 x 180g|??|d|??|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laredy|entenmousse mit sauternes klassischer franzosischer brotaufstrich frankreich 3 x 180g|??|d|??|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laredy|entenmousse mit sauternes klassischer franzosischer brotaufstrich frankreich 12 x 180g|??|d|??|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laredy|entenmousse mit sauternes klassischer franzosischer brotaufstrich frankreich 1 x 180g|??|d|??|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laredo|square transparent pouch with handle big|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laredo|5000x telar master tombstone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardy|moulin a vent les thorins|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardot|riesling der graf mosel germany|de|w|riesling|mosel|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lardot|phillip mosel pinot noir k|de|r|pinot noir|mosel|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardot|phillip kontakt pinot noir rose|??|p|pinot noir|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lardot|kontakt white save the mosel|de|r|??|mosel|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardone di|radda casa porciatti 200 gr ca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardocreme|med trffelsmag|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|stagionato trancio da 300 gr ca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|stagionato alle erbe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|salato alle erbe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|in conca di marmo 100g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|iberico de bellota|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|erborinato della valdelsa 200 gr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|smarano alle erbe aromatiche 200 gr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|patanegra 500g piece villani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|patanegra 150g piece villani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|colonnata igp stagionato in conca 1kg|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|colonnata igp online stagionato in conca di marmo direttamente dalla toscana|it|r|??|toscana|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|colonnata dop 200 gr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|colonnata 480g530g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|colonnata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|colonato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|cinta senese online il lardo toscano dalla razza suina piu pregiata di siena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|cinta senese confezione da gr sottovuoto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo di|cinta senese confezione da 15 kg sottovuoto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo de|colonnata antica larderia mafalda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|bianco alle erbe dolce zahre ampezzo e sauris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|bianco alle erbe affumicato zahre ampezzo e sauris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|aromatizzato con erbette a trancio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|aromatico fiorucci|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardo|aromatico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardito|royal aged tuscan pecorino with italian chili|??|w|pecorino|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larding|knife classic line 20cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardiata|napoletana sugo pronto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larder|fresh falafel 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larder|fresh burgers roast pumpkin and chickpea 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardenza|sicilia igt|it|r|??|sicilia|??|2007|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lardenza|doc cottanera|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lardenza|cottanera|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lard|sec du valais igp bloc denviron 500g|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lard|sec du valais igp bloc denviron 250g|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lard|sec du valais igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lard|sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lard|sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=324
W|larcomar|recibe la licencia de marca peru y se posiciona como vitrina emblematica de la gastronomia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|vleesfond|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|vini ripasso arcum|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|valpolicello ripasso classico superiore|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|valpolicella ripasso classico superiore|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|valpolicella ripasso classico superiore|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|valpolicella ripasso classico superiore|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|valpolicella classico ripasso|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rubeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rubeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=334
W|larco|rosso veronese veneto italy|it|r|??|veneto|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso del veronese rubeo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso del veronese pario|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso del veronese pario|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso del veronese|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso del veronese|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=340
W|larco|rosso del veronese|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=340
W|larco|rosso del veronese|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=340
W|larco|rosso del veronese|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=340
W|larco|rosso del veronese|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso del veronese|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=347
W|larco|pario veronese|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|pario|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|pario|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|pario|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=351
W|larco|merlot ticino doc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|larco rosso|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|dei sapori papillon 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|dei sapori fiorellini al 5 sapori 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|dei sapori barchette al 5 sapori 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|chianti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|arcum rosso veronese igt|??|r|??|??|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|larco|amarone della valpolicella classico|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|amarone della valpolicella classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|amarone classico della valpolicella|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larco|igt rosso del veronese|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|larco|valpoicella classico superiore|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcisse|ducasse|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcisducasse|grand cru classe saintemilion|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larcisducasse|grand cru classe saintemilion|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=366
W|larcis|ducasse st emilion grand cru|??|r|??|??|??|2004|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse st emilion grand cru|??|r|??|??|??|2003|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse saint emilion|fr|r|??|saint emilion|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=371
W|larcis|ducasse cb6 stemilion|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=374
W|larcis|ducasse|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=376
W|larcis|ducasse|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=376
W|larcis|ducasse|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=376
W|larcis|ducasse cb6 stemilion|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=381
W|larcis|ducasse|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=383
W|larcis|ducasse|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse stemilion cb6|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse stemilion cb12|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse st emilion|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=390
W|larcis|ducasse|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse st emilion|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse st emilion|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|larcis|ducasse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|larcin|larcin|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcin|larcin|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=402
W|larcin|larcin|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcin|barouillet dordogne|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcin|larcin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larcille|morellino di scansano docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|larchwood farms|wild oregon huckleberry mixed truffles 7oz|us|r|??|oregon|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchwood farms|wild oregon huckleberry jam 2oz|us|r|??|oregon|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|pork saucisson sec piquant retail pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|pork saucisson sec piquant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|pork saucisson sec deli size 16pound package|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|pate de campagne with congnac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|bresaola whole 25pound package|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|beef saucisson sec deli size 16pound package|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchmont|beef saucisson sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes rouge|??|r|??|??|??|1979|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes|??|r|??|??|??|1976|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes|??|r|??|??|??|1974|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=420
W|larchiviste|rivesaltes|??|r|??|??|??|1967|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|maury|??|r|??|??|??|1978|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|maury|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1992|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1991|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1974|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|rivesaltes vin doux naturel|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1967|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1965|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchiviste|larchiviste|??|r|??|??|??|1964|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchibrut les|vergers de lille|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larchette|viognier|??|w|viognier|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larchetipo|verdeca sette lune|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|verdeca sette lune|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|verdeca sette lune|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=440
W|larchetipo|verdeca sette luna|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|susumante rosato brut|??|s|??|??|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larchetipo|susumante|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|susumante mag|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|susumaniello rosato puglia italy|it|p|??|puglia|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larchetipo|spumante rosato susumante bio|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larchetipo|spumante rosato susumante|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larchetipo|spumante rosato susumante|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=448
W|larchetipo|spumante brut nature marasco|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larchetipo|spumante brut nature marasco|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larchetipo|salento susumante rosato brut rose pgi|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larchetipo|salento primitivo pgi|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|rosato di susumaniello|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larchetipo|rosato di primitivo|??|p|primitivo|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larchetipo|rosato di primitivo|??|p|primitivo|??|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larchetipo|puglia litrotto rosso 1 liter|it|r|??|puglia|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|primitvo puglia italy|it|r|??|puglia|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|primitivo puglia igt|it|r|primitivo|puglia|??|2013|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|primitivo|??|r|primitivo|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|primitivo|??|r|primitivo|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=460
W|larchetipo|primitivo|??|r|primitivo|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=463
W|larchetipo|niuru maru salento igt|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru puglia italy|it|r|??|puglia|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru puglia igt|it|r|??|puglia|??|2014|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|niuru maru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=471
W|larchetipo|moscatello selvatico salento igt|??|r|??|??|??|2015|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|moscatello selvatico sweet sparkling wine|??|s|??|??|??|2025|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larchetipo|moscatello selvatico|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|moscatello selvatico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|marasco nature|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|marasco nature|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=477
W|larchetipo|marasco brut nature salento igt|??|s|??|??|??|2015|12|igt|leve|aperitivos; frutos do mar; canapes|brut nature
W|larchetipo|marasco brut nature|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larchetipo|marasco brut nature|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larchetipo|litrotto rosso red wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larchetipo|litrotto rosso puglia rosso igp|it|r|??|puglia|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
