1. W|casa madero|chardonnay mexico|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
219. W|casa marin cartagena|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=218
220. W|casa marin cartagena|riesling 2018|pt|w|riesling|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
221. W|casa marin cartagena|riesling 2021|pt|w|riesling|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
222. W|casa marin cartagena|riesling 2024|pt|w|riesling|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
223. W|casa marin cartagena|riesling san antonio valley 2024 white dry 13 075|pt|w|riesling|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
224. W|casa marin cartagena sauv|blanc 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|casa marin cartagena|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
226. W|casa marin cartagena|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=225
227. W|casa marin cartagena|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=225
228. W|casa marin cartagena|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=225
229. W|casa marin cartagena|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=225
230. W|casa marin cartagena|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
231. W|casa marin cartagena|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco|=230
232. W|casa marin cartagena|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
233. W|casa marin cartagena|sauvignon blanc 2025|pt|w|sauvignon blanc|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
234. W|casa marin cartagena|sb|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|casa marin casona|gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
236. W|casa marin casona|premium gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
237. W|casa marin casona vineyard|gewurztraminer 2021|pt|w|gewurztraminer|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
238. W|casa marin|chardonnay jeronimo 2022|pt|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
239. W|casa marin cipreses|premium sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
240. W|casa marin cipreses|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
241. W|casa marin cipreses|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=240
242. W|casa marin cipreses|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=240
243. W|casa marin cipreses|sauvignon blanc 2021|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
244. W|casa marin cipreses vineyard|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
245. W|casa marin cipreses vineyard|sauvignon blanc 2018|pt|w|sauvignon blanc|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
246. W|casa marin cipreses vineyard|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
247. W|casa marin|espumante maria luz brut nature 2018|pt|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
248. W|casa marin estero|premium sauvignon gris|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|casa marin estero vineyard|sauvignon gris 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|casa marin estero vineyard|sauvignon gris 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|casa marin gewurtzraminer|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|casa marin|gewurztraminer casona 2025|pt|w|gewurztraminer|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
253. W|casa marin|gewurztraminer casona vineyard|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
254. W|casa marin litoral|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|casa marin litoral|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=254
256. W|casa marin litoral|pinot noir 2024|pt|r|pinot noir|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|casa marin litoral|premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|casa marin litoral|syrah 2013|pt|r|syrah|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
259. W|casa marin litoral vineyard|pinot noir 2019|pt|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|casa marin litoral vineyard|pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|casa marin litoral vineyard|pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=260
262. W|casa marin litoral vineyard|pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|casa marin lo abarca|garnacha 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|casa marin lo abarca hills magnum|pinot noir 2016|pt|r|pinot noir|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|casa marin lo abarca hills|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|casa marin lo abarca hills|pinot noir 2018|pt|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|casa marin lo abarca hills super|premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|casa marin lo abarca|pinot noir 2018|pt|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|casa marin lo abarca|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
270. W|casa marin magnum miramar vineyard|syrah 2017|pt|r|syrah|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
271. W|casa marin miramar icono|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
272. W|casa marin miramar norte|rose 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
273. W|casa marin miramar|premium riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
274. W|casa marin miramar|riesling 2024|pt|w|riesling|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
275. W|casa marin miramar|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
276. W|casa marin miramar|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=275
277. W|casa marin miramar|syrah 2015|pt|r|syrah|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
278. W|casa marin miramar vineyard|riesling 2021|pt|w|riesling|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
279. W|casa marin miramar vineyard|riesling 2022|pt|w|riesling|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
280. W|casa marin no|2 lo abarca sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
281. W|casa marin|pinot noir cartegena 2022|pt|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|casa marin|pinot noir litoral|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|casa marin|pinot noir litoral vineyard|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|casa marin|pinot noir litoral vineyard 2022|pt|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|casa marin|pinot noir litoral vineyard san antonio valley chile 2018|pt|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|casa marin|pinot noir n1 vinedos lo abarca 2022|pt|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|casa marin|premium rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
288. W|casa marin|riesling brut nature|pt|s|riesling|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
289. W|casa marin|riesling miramar 2021|pt|w|riesling|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
290. W|casa marin|riesling miramar vineyard|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
291. W|casa marin|riesling miramar vineyard 2023|pt|w|riesling|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
292. W|casa marin|rose miramar norte 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
293. W|casa marin|rose miramar norte pinot noir 2021|pt|p|pinot noir|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
294. W|casa marin|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
295. W|casa marin|sauvignon blanc cartegena 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
296. W|casa marin|sauvignon blanc cipres 2020|pt|w|sauvignon blanc|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
297. W|casa marin|sauvignon blanc cipreses 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
298. W|casa marin|sauvignon blanc cipreses 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
299. W|casa marin|sauvignon blanc cipreses 2025 nuevo|pt|w|sauvignon blanc|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
300. W|casa marin|sauvignon blanc cipreses vineyard|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
301. W|casa marin|sauvignon blanc cipreses vineyard 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
302. W|casa marin|sauvignon blanc cipreses vineyard san antonio valley chile 2020|pt|w|sauvignon blanc|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
303. W|casa marin|sauvignon gris|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|casa marin|sauvignon gris estero 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casa marin|sauvignon gris estero 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|casa marin|sauvignon gris estero vineyard|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|casa marin|sauvignon gris estero vineyard san antonio valley chile 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|casa marin|syrah miramar vineyard|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
309. W|casa marin vinedos lo abarca|pinot noir 2018|pt|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|casa mariol catalonia negre vermut|liter|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|casa mariol catalunya negre|vermut|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|casa mariol|crianza|pt|r|??|??|??|NV|13.5|crianza|medio|carne vermelha, massas, queijos curados|seco
313. W|casa mariol garnatxa blanca ecologic|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|casa mariol negre|vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
315. W|casa mariol|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|casa mariol|red vermut|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|casa mariol|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
318. W|casa mariol samso crianca terra alta|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|casa mariol samso crianza|2021|pt|r|??|??|??|2021|13.5|crianza|medio|carne vermelha, massas, queijos curados|seco
320. W|casa mariol vermouth|blanc|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
321. W|casa mariol vermut|blanc|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|casa mariol vermut|blanc|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
323. W|casa mariol vermut|blanc|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
324. W|casa mariol vermut|blanc spain|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|casa mariol vermut|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=326
328. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=326
329. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=326
330. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=326
331. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=326
332. W|casa mariol vermut|negre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=326
333. W|casa mariol vermut negre|catalonia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|casa mariol vermut negre|catalonia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
335. W|casa mariol vermut negre catalonia|spain|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|casa mariol vermut negre|liter|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|casa mariol vermut negre|spain|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|casa mariol vermut|nerge|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|casa mariol vermut|red 15|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|casa mariol vermut spain|blanco vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
341. W|casa mariol vermut|white 15|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
342. W|casa mariol|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
343. W|casa mariol|white vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
344. W|casa mariol|white vermut|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
345. W|casa market quince|paste|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|casa marot|75|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|casa marques|pereira|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|casa marques pereira as torres|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
349. W|casa marques pereira as torres|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=348
350. W|casa marques pereira as torres|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=348
351. W|casa marques pereira blush|vintage gamaymalbec rose|pt|p|malbec|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
352. W|casa marques pereira cachos temporoes licoroso|tinto doce 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|casa marques pereira cachos temporoes|vinho licoroso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|casa marques pereira cachos temporoes|vinho licoroso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=353
355. W|casa marques pereira|espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
356. W|casa marques pereira|espumante exitv anni brut alvarinho|pt|s|alvarinho|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
357. W|casa marques pereira|espumante exitv anni nature alvarinho|pt|s|alvarinho|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
358. W|casa marques pereira|espumante exitv anni nature alvarinho|pt|s|alvarinho|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=357
359. W|casa marques pereira exitv anni|espumante brut vindima mmxvii|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
360. W|casa marques pereira licoroso cachos|temporoes|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|casa marques pereira|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
362. W|casa marques pereira|pinotage blush compre 2 leve 3|pt|p|pinotage|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
363. W|casa marques pereira quinta da orada corte|v|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|casa marques pereira quinta da orada corte v|2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|casa marques pereira quinta da orada corte|vi|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|casa marques pereira quinta da orada corte vi|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|casa marques pereira quinta da orada|nebbiolo|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
368. W|casa marques pereira quinta da orada|vinho tinto corte v 2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|casa marques pereira|reserva cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
370. W|casa marques pereira|reserva cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=369
371. W|casa marques pereira|reserva cabernet francem ate3xdesem juroscomprar|pt|r|cabernet franc|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
372. W|casa marques pereira|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
373. W|casa marques pereira|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=372
374. W|casa marques pereira|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
375. W|casa marques pereira|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=374
376. W|casa marques pereira|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=374
377. W|casa marques pereira|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=374
378. W|casa marques pereira|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
379. W|casa marques pereira|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=378
380. W|casa marques pereira|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=378
381. W|casa marques pereira|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=378
382. W|casa marques pereira|reserva sangiovese|pt|r|sangiovese|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
383. W|casa marques pereira|reserva sangiovese|pt|r|sangiovese|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=382
384. W|casa marques pereira|reserva sangiovese|pt|r|sangiovese|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=382
385. W|casa marques pereira|reserva tannat|pt|r|tannat|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
386. W|casa marques pereira|reserva tannat|pt|r|tannat|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=385
387. W|casa marques pereira|reserva tannat|pt|r|tannat|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=385
388. W|casa marques pereira|reserva tannat preco|pt|r|tannat|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
389. W|casa marques pereira|reserva teroldego|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
390. W|casa marques pereira|reserva teroldego|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=389
391. W|casa marques pereira|reserva teroldego|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=389
392. W|casa marques pereira|reserva teroldego|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=389
393. W|casa marques pereira|reserva teroldego|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=389
394. W|casa marques pereira segredos da adega|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
395. W|casa marques pereira segredos da adega|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=394
396. W|casa marques pereira segredos da adega|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=394
397. W|casa marques pereira segredos da adega|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=394
398. W|casa marques pereira segredos da adega|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
399. W|casa marques pereira segredos da adega|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
400. W|casa marques pereira segredos da adega|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
401. W|casa marques pereira segredos da adega|corte|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|casa marques pereira segredos da adega|gran reserva corte d|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
403. W|casa marques pereira segredos da adega|gran reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
404. W|casa marques pereira segredos da adega|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|casa marques pereira segredos da adega|merlot 2014|pt|r|merlot|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|casa marques pereira segredos da adega|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|casa marques pereira segredos da adega|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
408. W|casa marques pereira segredos da adega|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
409. W|casa marques pereira segredos da adega|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
410. W|casa marques pereira segredos da adega|tannat|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
411. W|casa marques pereira segredos da adega|vinho branco chardonnay 2022|pt|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
412. W|casa marques pereira segredos da adega|vinho branco gran reserva chardonnay 2021|pt|w|chardonnay|??|??|2021|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
413. W|casa marques pereira segredos da adega|vinho tinto corte d 2014|pt|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|casa marques pereira segredos da adega|vinho tinto tannat 2016|pt|r|tannat|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
415. W|casa marques pereira|vinho branco vinho branco gran reserva segredos da adega alvarinho|pt|w|alvarinho|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
416. W|casa marques pereira|vinho espumante safra historica brut 2020|pt|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, sushi|brut
417. W|casa marques pereira|vinho espumante safra historica extra brut 2020|pt|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
418. W|casa marques pereira|vinho tinto reserva cabernet franc 2020|pt|r|cabernet franc|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
419. W|casa marques pereira|vinho tinto reserva malbec 2020|pt|r|malbec|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
420. W|casa marques pereira|vinho tinto reserva merlot 2019|pt|r|merlot|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
421. W|casa marques pereira|vinho tinto reserva tannat 2018|pt|r|tannat|??|??|2018|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
422. W|casa marques pereira|vinho tinto segredos da adega merlot gran reserva 2014|pt|r|merlot|??|??|2014|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
