1. W|jeanneret|big fine girl riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
215. W|jeanpaul|brun terres dorees beaujolais blanc vinification bourguignonne|fr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
216. X
217. W|jeanpaul|brun terres dorees bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
218. W|jeanpaul|brun terres dorees bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
219. X
220. W|jeanpaul|brun terres dorees frv 100 mousseux rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
221. W|jeanpaul|brun terres dorees frv100 sparkling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
222. X
223. X
224. X
225. X
226. X
227. X
228. W|jeanpaul|charly thevenet morgon la roche pilee|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
229. W|jeanpaul|charly thevenet morgon tradition|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
230. W|jeanpaul|charly thevenet morgon vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
231. W|jeanpaul|charly thevenet morgon vieilles vignes 2023 case only|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
232. W|jeanpaul|charly thevenet morgon vieilles vignes|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
233. W|jeanpaul|charly thevenet morgon vieilles vignes 2024 case only|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
234. W|jeanpaul|charly thevenet regnie en voiture simone beaujolais france|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
235. W|jeanpaul|charly thevenet regnie en voiture simone beaujolais france|fr|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
236. W|jeanpaul|charly thevenet regnie grain granit beaujolais france|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
237. W|jeanpaul|daumen cotesdurhone|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
238. W|jeanpaul|deville agape brut nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
239. W|jeanpaul|deville carte noir champagne brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
240. W|jeanpaul|deville carte noire grand cru brut nv|??|s|??|??|??|NV|12|grand cru|medio|aperitivos, frutos do mar, sushi|brut
241. W|jeanpaul|deville champagne opalis blanc de blancs nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
242. W|jeanpaul|deville champagne opalis blanc de blancs nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut|=241
243. W|jeanpaul|deville helios carte dor brut nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
244. W|jeanpaul|deville millesime brut|??|s|??|??|??|2012|12|??|medio|aperitivos, frutos do mar, sushi|brut
245. W|jeanpaul|deville opalis blanc de blanc brut nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
246. W|jeanpaul|deville quinte essences extra brut|??|s|??|??|??|2014|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
247. X
248. X
249. X
250. W|jeanpaul|droin chablis 1er cru montee de tonnerre|fr|r|??|chablis|chablis|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
251. X
252. W|jeanpaul|droin chablis grand cru grenouille|fr|r|??|chablis|chablis|NV|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
253. X
254. X
255. X
256. X
257. X
258. X
259. X
260. X
261. W|jeanpaul|dubost beaujolaislantignie 2023 beaujolais france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
262. W|jeanpaul|dubost beaujolaislantignie chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
263. W|jeanpaul|dubost beaujolaislantignie france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
264. W|jeanpaul|dubost beaujolaislantignie rouge|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
265. X
266. X
267. W|jeanpaul|dubost brouilly vielles vignes 13vol|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
268. W|jeanpaul|dubost en brenay moulinavent|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
269. W|jeanpaul|dubost les cerises coteaux bourguignons rouge dantan 13vol|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
270. W|jeanpaul|dubost les cerises dantan coteaux bourguignons 2023 red dry|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
271. W|jeanpaul|dubost morgon cote du py|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
272. W|jeanpaul|dubost morgon la ballofiere 135vol|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
273. X
274. W|jeanpaul|dubost moulinavent les burdelines 135vol|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
275. W|jeanpaul|dubost regnie potet|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
276. W|jeanpaul|dubost regnie potet|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=275
277. W|jeanpaul|et benoit droin 1er montmains|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
278. W|jeanpaul|et benoit droin chablis 1er cru cote de lechet|fr|r|??|chablis|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
279. W|jeanpaul|et benoit droin chablis 1er cru montmains|fr|r|??|chablis|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
280. W|jeanpaul|et benoit droin chablis 1er cru montmains|fr|r|??|chablis|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=279
281. W|jeanpaul|et benoit droin chablis|fr|r|??|chablis|chablis|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
282. W|jeanpaul|et benoit droin chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
283. W|jeanpaul|et benoit droin chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=282
284. W|jeanpaul|et benoit droin chablis grand cru hommage a louis|fr|r|??|chablis|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
285. W|jeanpaul|et benoit droin chablis grand cru valmur|fr|r|??|chablis|chablis|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
286. W|jeanpaul|et benoit droin chablis grand cru valmur|fr|r|??|chablis|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
287. W|jeanpaul|et benoit droin chablis montmains 1er cru|fr|r|??|chablis|chablis|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
288. W|jeanpaul|et benoit droin chablis premier cru vaillons|fr|r|??|chablis|chablis|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
289. W|jeanpaul|et benoit droin montmains chablis 1er cru|fr|r|??|chablis|chablis|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
290. W|jeanpaul|et charly thevenet en voiture simone|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
291. W|jeanpaul|et charly thevenet grain et granit|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
292. X
293. W|jeanpaul|et charly thevenet morgon|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
294. W|jeanpaul|et charly thevenet morgon|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=293
295. W|jeanpaul|et charly thevenet morgon|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
296. X
297. X
298. X
299. X
300. W|jeanpaul|et charly thevenet morgon vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
301. W|jeanpaul|et charly thevenet morgon vieilles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
302. W|jeanpaul|et charly thevenet morgon vieilles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=301
303. W|jeanpaul|et charly thevenet morgon vieilles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=301
304. W|jeanpaul|et charly thevenet morgon vielles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
305. W|jeanpaul|et charly thevenet regnie en voiture simone|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
306. W|jeanpaul|et charly thevenet regnie grain granit|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
307. W|jeanpaul|et charly thevenet roche pilee|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
308. W|jeanpaul|et charly thevenet vieilles vignes morgon beaujolais france|fr|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
309. W|jeanpaul|et stephane magnien clos saintdenis grand cru|??|r|??|??|??|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
310. X
311. W|jeanpaul|jamet cote rotie|fr|r|??|cote rotie|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
312. W|jeanpaul|morel millesime|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
313. W|jeanpaul|morel millesime 2008 magnumpaket|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
314. W|jeanpaul|morel millesime|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
315. X
316. X
317. X
318. W|jeanpaul|paquet pouillyfuisse|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
319. W|jeanpaul|seguin le petit sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
320. W|jeanpaul|seguin sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
321. W|jeanpaul|thevenet 2021 morgon vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
322. W|jeanpaul|thevenet 2022 morgon vieilles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
323. W|jeanpaul|thevenet beaujolais blanc terrain rouge|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
324. W|jeanpaul|thevenet beaujolais blanc terrain rouge|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
325. W|jeanpaul|thevenet cuvee tradition morgon|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
326. W|jeanpaul|thevenet morgon|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
327. W|jeanpaul|thevenet morgon vieilles vignes|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
328. W|jeanpaul|thevenet morgon vieilles vignes|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
329. W|jeanpaul|thevenet morgon vieilles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
330. W|jeanpaul|thevenet morgon vieilles vignes|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
331. W|jeanpaul|thevenet vieilles vignes morgon|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
332. W|jeanpaul|tollot anne gros minervois la ciaude|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
333. W|jeanpaul|tollot anne gros minervois les fontanilles|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
334. W|jeanphilippe|fichet 2023 meursault|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
335. W|jeanphilippe|fichet auxey duresses blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
336. W|jeanphilippe|fichet auxeyduresses|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
337. W|jeanphilippe|fichet auxeyduresses|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
338. W|jeanphilippe|fichet auxeyduresses|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
339. W|jeanphilippe|fichet auxeyduresses blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
340. W|jeanphilippe|fichet auxeyduresses blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
341. W|jeanphilippe|fichet auxeyduresses blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
342. W|jeanphilippe|fichet bourgogne aligote|fr|r|??|bourgogne|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
343. W|jeanphilippe|fichet bourgogne aligote 2022 burgundy france|fr|r|??|burgundy|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
344. W|jeanphilippe|fichet bourgogne aligote|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
345. W|jeanphilippe|fichet bourgogne blanc|fr|w|??|bourgogne|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
346. W|jeanphilippe|fichet bourgogne blanc|fr|w|??|bourgogne|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
347. W|jeanphilippe|fichet bourgogne blanc 2023 burgundy france|fr|w|??|burgundy|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
348. W|jeanphilippe|fichet bourgogne blanc cote dor|fr|w|??|bourgogne|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
349. W|jeanphilippe|fichet bourgogne blanc cote dor|fr|w|??|bourgogne|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
350. W|jeanphilippe|fichet bourgogne blanc cote dor|fr|w|??|bourgogne|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
351. W|jeanphilippe|fichet bourgogne blanc cote dor vieilles vignes|fr|w|??|bourgogne|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
352. W|jeanphilippe|fichet bourgogne blanc cote dor vieilles vignes|fr|w|??|bourgogne|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
353. W|jeanphilippe|fichet bourgogne blanc vv|fr|w|??|bourgogne|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
354. W|jeanphilippe|fichet bourgogne blanc vv cote dor|fr|w|??|bourgogne|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
355. W|jeanphilippe|fichet bourgogne cote dor blanc vieilles vignes|fr|w|??|bourgogne|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
356. W|jeanphilippe|fichet bourgogne cote dor blanc vieilles vignes|fr|w|??|bourgogne|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
357. W|jeanphilippe|fichet bourgogne cotedor|fr|r|??|bourgogne|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
358. W|jeanphilippe|fichet bourgogne hautes de beaune blanc|fr|w|??|bourgogne|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
359. W|jeanphilippe|fichet bourgogne rouge|fr|r|??|bourgogne|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
360. W|jeanphilippe|fichet chassagnemontrachet|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
361. W|jeanphilippe|fichet chassagnemontrachet 2023 burgundy france|fr|r|??|burgundy|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
362. W|jeanphilippe|fichet chassagnemontrachet blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
363. W|jeanphilippe|fichet chassagnemontrachet blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
364. W|jeanphilippe|fichet cote dor bourgogne blanc|fr|w|??|bourgogne|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
365. W|jeanphilippe|fichet cote dor bourgogne blanc|fr|w|??|bourgogne|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
366. W|jeanphilippe|fichet le meix sous le chateau meursault|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
367. W|jeanphilippe|fichet le meix sous le chateau meursault|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
368. W|jeanphilippe|fichet les chevalieres meursault|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
369. W|jeanphilippe|fichet mersault|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
370. W|jeanphilippe|fichet meursault|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
371. W|jeanphilippe|fichet meursault|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
372. W|jeanphilippe|fichet meursault|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
373. W|jeanphilippe|fichet meursault|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=372
374. W|jeanphilippe|fichet meursault|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=372
375. W|jeanphilippe|fichet meursault 2023 burgundy france|fr|r|??|burgundy|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
376. W|jeanphilippe|fichet meursault blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
377. W|jeanphilippe|fichet meursault burgundy france|fr|r|??|burgundy|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
378. W|jeanphilippe|fichet meursault burgundy france|fr|r|??|burgundy|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=377
379. X
380. W|jeanphilippe|fichet meursault chevalieres|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
381. W|jeanphilippe|fichet meursault cote de beaune france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
382. X
383. W|jeanphilippe|fichet meursault gruyaches|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
384. W|jeanphilippe|fichet meursault le tesson|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
385. W|jeanphilippe|fichet meursault le tesson|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
386. W|jeanphilippe|fichet meursault le tesson 2022 net|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
387. W|jeanphilippe|fichet meursault le tesson|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
388. X
389. W|jeanphilippe|fichet meursault les chevalieres|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
390. W|jeanphilippe|fichet meursault les chevalieres|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
391. W|jeanphilippe|fichet meursault les chevalieres|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
392. W|jeanphilippe|fichet meursault les chevalieres|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
393. W|jeanphilippe|fichet meursault les chevalieres cote de beaune france|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
394. W|jeanphilippe|fichet meursault les gruyaches|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
395. W|jeanphilippe|fichet meursault les gruyaches|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
396. W|jeanphilippe|fichet meursault meix sous le chateau|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
397. W|jeanphilippe|fichet meursault mieux sous la chateau 2023 burgundy france|fr|r|??|burgundy|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
398. W|jeanphilippe|fichet meursault tesson|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
399. W|jeanphilippe|fichet meursault tesson|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
400. X
401. W|jeanphilippe|fichet puligny montrachet les referts premier cru|??|r|??|??|??|2020|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
402. X
403. W|jeanphilippe|fichet pulignymontrachet 1er cru les referts|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
404. W|jeanphilippe|fichet pulignymontrachet 1er cru les referts 2022 net|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
405. W|jeanphilippe|fichet rully|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
406. W|jeanphilippe|fichet rully|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
407. W|jeanphilippe|fichet rully blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
408. W|jeanphilippe|fichet volnay 1er cru champans|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
409. W|jeanphilippe|janoueix chateau croixmouton bordeaux superieur france|fr|r|??|bordeaux|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
410. W|jeanphilippe|janoueix chateau croixmouton bordeaux superieur france|fr|r|??|bordeaux|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=409
411. W|jeanphilippe|janoueix chateau croixmouton bordeaux superieur france|fr|r|??|bordeaux|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
412. W|jeanphilippe|janoueix chateau le conseiller|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
413. W|jeanphilippe|janoueix chateau mouton bordeaux superieur|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
414. W|jeanphilippe|padie gibraltar vdf|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
415. X
416. W|jeanphilippe|trousset champagne 1er cru brut nature terre dhistoire|fr|s|champagne|champagne|??|NV|12|1er cru|medio|aperitivos, frutos do mar, sushi|extra brut
417. W|jeanphilippe|trousset extra brut base|??|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
418. W|jeanphilippe|trousset meunier extra brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
419. W|jeanphilippe|trousset rose extra brut|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|extra brut
420. X
421. X
422. W|jeanpierre|bailly pouilly fume|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
423. X
424. W|jeanpierre|baudouin champagne brut cuvee prestige|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
425. W|jeanpierre|charton mercurey vieilles vignes|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
426. W|jeanpierre|et alexandre ellevin chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
427. W|jeanpierre|et alexandre ellevin chablis premier cru vaucoupin|fr|r|??|chablis|chablis|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
428. W|jeanpierre|et alexandre ellevin petit chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
429. X
430. X
431. W|jeanpierre|gaussen bandol blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
432. W|jeanpierre|grossot 2020 chablis 1er cru fourneaux|fr|r|??|chablis|chablis|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
433. W|jeanpierre|grossot chablis 1er cru vaucoupin|fr|r|??|chablis|chablis|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
434. W|jeanpierre|guyon bourgogne cote dor|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
435. W|jeanpierre|guyon choreylesbeaune les bons ores|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
436. W|jeanpierre|guyon choreylesbeaune les bons ores cote de beaune|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
437. W|jeanpierre|guyon clos vougeot grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
438. W|jeanpierre|guyon clos vougeot grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
439. W|jeanpierre|guyon echezaux grand cru|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
440. W|jeanpierre|guyon echezaux grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
441. W|jeanpierre|guyon en orveaux vosneromanee premier cru|??|r|??|??|??|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
442. W|jeanpierre|guyon gevrey chambertin les platieres|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
443. W|jeanpierre|guyon les brulees vosneromanee premier cru|??|r|??|??|??|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
444. W|jeanpierre|guyon les peuillets savignylesbeaune premier cru|??|r|??|??|??|2021|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
