W|pouilly fume|silex 2015 didier dagueneau|??|r|??|??|??|2015|??|??|??|??|??
W|pouilly fume|silex 2014|??|r|??|??|??|2014|??|??|??|??|??
W|pouilly fume|silex|??|r|??|??|??|NV|??|??|??|??|??
W|portvin dalva|rose porto portugal|??|p|rose|??|??|NV|??|??|??|??|??
W|portvin dalva|pure tawny reserve ko portugal|??|r|??|??|??|NV|??|??|??|??|??|=316
W|portvin dalva|lbv porto portugal|??|f|??|??|??|NV|??|??|??|??|??|=316
W|portvin dalva|20 ars porto portugal|??|f|??|??|??|NV|??|??|??|??|??|=316
W|portvin dalva|10 ars porto portugal|??|f|??|??|??|NV|??|??|??|??|??|=316
W|portvin borges|white porto|??|f|??|??|??|NV|??|??|??|??|??
W|portvin borges|tawny porto|??|f|??|??|??|NV|??|??|??|??|??|=328
W|portvin borges|ruby porto|??|f|??|??|??|NV|??|??|??|??|??|=328
W|portvin|1963 miguels|??|r|??|??|??|1963|??|??|??|??|??
W|portvin|1937 colheita feist cuvee|??|r|??|??|??|1937|??|??|??|??|??
W|portuguese pours|trio|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser weissherbst|2018|??|r|??|??|??|2018|??|??|??|??|??
W|portugieser weiherbst|lieblich|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser weiherbst|dqw 2023|??|r|??|??|??|2023|??|??|??|??|??
W|portugieser weiherbst|portugieser weiherbst|??|r|??|??|??|NV|??|??|??|??|??|=335
W|portugieser trocken|rheinhessen qba 2022|??|r|??|??|??|2022|??|??|??|??|??
W|portugieser trocken|2021 fruchtbetont ausgewogen|??|r|??|??|??|2021|??|??|??|??|??
W|portugieser trocken|portugieser trocken|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser storr|rheinhessen duitsland|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser rotwein|trocken|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser rotwein|mild 1|??|r|??|??|??|NV|??|??|??|??|??|=342
W|portugieser rotwein|halbtrocken|??|r|??|??|??|NV|??|??|??|??|??|=342
W|portugieser|rose trocken 2024|??|p|rose|??|??|2024|??|??|??|??|??
W|portugieser|rose suss maybach|??|p|rose|??|??|NV|??|??|??|??|??
W|portugieser|rose suffig 2024|??|p|rose|??|??|2024|??|??|??|??|??|=345
W|portugieser|rose halbtrocken 1 erst ab 2026 wieder|??|p|rose|??|??|2026|??|??|??|??|??
W|portugieser|rose feinherb|??|p|rose|??|??|NV|??|??|??|??|??|=346
W|portugieser|rose 21 deutscher qualitatswein dqw|??|p|rose|??|??|NV|??|??|??|??|??|=346
W|portugieser|rose 2025|??|p|rose|??|??|2025|??|??|??|??|??
W|portugieser|rose 2024|??|p|rose|??|??|2024|??|??|??|??|??|=345
W|portugieser|rose 1|??|p|rose|??|??|NV|??|??|??|??|??|=346
W|portugieser|rose|??|p|rose|??|??|NV|??|??|??|??|??|=346
W|portugieser|rose|??|p|rose|??|??|NV|??|??|??|??|??|=346
W|portugieser|pinot noir rose trocken|??|p|pinot noir, rose|??|??|NV|??|??|??|??|??
W|portugieser nagytotfalu|2014|??|r|??|??|??|2014|??|??|??|??|??
W|portugieser mild|rheinhessen 2022|??|r|??|??|??|2022|??|??|??|??|??
W|portugieser meckenheimer|spielberg anno 1951 2019|??|r|??|??|??|1951|??|??|??|??|??
W|portugieser meckenheimer|spielberg anno 1951 2018|??|r|??|??|??|1951|??|??|??|??|??|=359
W|portugieser mandelbaum|2021|??|r|??|??|??|2021|??|??|??|??|??
W|portugieser halbtrocken|portugieser halbtrocken|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser classic|portugieser classic|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser|2025 halbtrocken|??|r|??|??|??|2025|??|??|??|??|??
W|portugieser|2024 3 liter|??|r|??|??|??|2024|??|??|??|??|??
W|portugieser|2024 15 liter|??|r|??|??|??|2024|??|??|??|??|??|=365
W|portugieser|2024|??|r|??|??|??|2024|??|??|??|??|??|=365
W|portugieser|2024|??|r|??|??|??|2024|??|??|??|??|??|=365
W|portugieser|2021 akcio|??|r|??|??|??|2021|??|??|??|??|??
W|portugieser|2020|??|r|??|??|??|2020|??|??|??|??|??
W|portugieser 0|portugieser 0|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser|portugieser|??|r|??|??|??|NV|??|??|??|??|??
W|portugieser|portugieser|??|r|??|??|??|NV|??|??|??|??|??|=372
W|portugieser|portugieser|??|r|??|??|??|NV|??|??|??|??|??|=372
W|portugeezer pet|nat 2020|??|s|??|??|??|2020|??|??|??|??|??
W|portugalia vilacetihno|vinho verde dod 10 sgr|??|r|??|??|??|NV|??|??|??|??|??
W|portugal wine|firm belzebu tavoravarosa verdelho 2020|??|w|verdelho|??|??|2020|??|??|??|??|??
W|portugal wine|firm alfrocheiro 2018 tinto|??|r|??|??|??|2018|??|??|??|??|??
W|portugal vin|regional de lisbonne corvos de lisboa|??|r|??|??|??|NV|??|??|??|??|??
W|portugal velho|aloirado doce|??|r|??|??|??|NV|??|??|??|??|??
W|portugal rufia|joao eduardo 2018|??|r|??|??|??|2018|??|??|??|??|??
W|portugal ramos|alvarinho branco|??|r|??|??|??|NV|??|??|??|??|??
W|portugal porto|fine white andresen blanc|??|f|??|??|??|NV|??|??|??|??|??
W|portugal porto|fine tawny andresen rouge|??|f|??|??|??|NV|??|??|??|??|??|=383
W|portugal porto|century 10 ans andresen rouge|??|f|??|??|??|NV|??|??|??|??|??|=383
W|portugal natural|wines collection|??|r|??|??|??|NV|??|??|??|??|??
W|portugal natural|pet nat|??|s|??|??|??|NV|??|??|??|??|??|=386
W|portugal ig|alentejano comenda grande tinto|??|r|??|??|??|NV|??|??|??|??|??
W|portugal eremitas|douro antao do deserto 2016|??|r|??|??|??|2016|??|??|??|??|??
W|portugal|doc alentejo rouge 2022 colheita superieure herdade da|??|r|??|??|??|2022|??|??|??|??|??
W|portugal com|ilha da madeira 28 de abril|??|f|??|??|??|NV|??|??|??|??|??
W|portugal castelao|serradinha 2021|??|r|??|??|??|2021|??|??|??|??|??
W|portugal branco|portugal branco|??|r|??|??|??|NV|??|??|??|??|??
W|portugal boutique|winery vinho verde loureiro gorro 2023|??|r|??|??|??|2023|??|??|??|??|??
W|portugal boutique|winery gorro vinho verde loureiro 2023|??|r|??|??|??|2023|??|??|??|??|??|=394
W|portugal boutique|winery gorro loureiro vinho verde portugal|??|r|??|??|??|NV|??|??|??|??|??
W|portugal boutique|winery gorro loureiro vinho verde|??|r|??|??|??|NV|??|??|??|??|??|=396
W|portugal boutique|winery gorro loureiro 2023 vinho verde portugal|??|r|??|??|??|2023|??|??|??|??|??|=394
W|portugal boutique|winery gorro loureiro 2023 vinho verde portugal|??|r|??|??|??|2023|??|??|??|??|??|=394
W|portuga|white lisboa|??|w|??|??|??|NV|??|??|??|??|??
W|portuga|tinto lisboa 2022 gold|??|r|??|??|??|2022|??|??|??|??|??
W|portuga|tinto lisboa 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto lisboa 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022 gold|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto alentejo 2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|tinto|??|r|??|??|??|NV|??|??|??|??|??|=400
W|portuga|red lisboa|??|r|??|??|??|NV|??|??|??|??|??|=400
W|portuga casa|santos lima portugal 12|??|r|??|??|??|NV|??|??|??|??|??
W|portuga branco|portuga branco|??|r|??|??|??|NV|??|??|??|??|??
W|portuga alentejo|tinto 2020|??|r|??|??|??|2020|??|??|??|??|??
W|portuga|2022|??|r|??|??|??|2022|??|??|??|??|??|=401
W|portuga|2016|??|r|??|??|??|2016|??|??|??|??|??
W|porttable tawny|10 anos|??|r|??|??|??|NV|??|??|??|??|??
W|porttable tawny|porttable tawny|??|r|??|??|??|NV|??|??|??|??|??|=430
W|porttable|reserve tawny|??|r|??|??|??|NV|??|??|??|??|??
W|porttable porto|wit douro|??|f|??|??|??|NV|??|??|??|??|??
W|porttable porto|rood reserva douro|??|f|??|??|??|NV|??|??|??|??|??|=433
W|porttable cesteira|tinto 2021|??|r|??|??|??|2021|??|??|??|??|??
W|porttable cesteira|branco 2024|??|r|??|??|??|2024|??|??|??|??|??
W|porttable branco|porttable branco|??|r|??|??|??|NV|??|??|??|??|??
W|porttable arribas|do douro superior tinto 2021|??|r|??|??|??|2021|??|??|??|??|??
W|porttable arribas|do douro superior branco 2021|??|r|??|??|??|2021|??|??|??|??|??|=438
W|porttable arribas|do douro rose 2021|??|p|rose|??|??|2021|??|??|??|??|??
W|portske|vino krohn white doc porto|??|f|??|??|??|NV|??|??|??|??|??
W|portske|vino krohn tawny doc porto|??|f|??|??|??|NV|??|??|??|??|??|=441
W|portske|vino krohn ruby reserve doc porto|??|f|??|??|??|NV|??|??|??|??|??|=441
W|portske|vino krohn ruby doc porto|??|f|??|??|??|NV|??|??|??|??|??|=441
W|portske|vino krohn lbv doc porto 2019|??|f|??|??|??|2019|??|??|??|??|??
W|portske|vino krohn lagrima doc porto|??|f|??|??|??|NV|??|??|??|??|??|=441
W|portske|vino krohn 10 years old doc porto|??|f|??|??|??|NV|??|??|??|??|??|=441
W|portscatho|pinot noir precoce rose 2023|??|p|pinot noir, rose|??|??|2023|??|??|??|??|??
W|portret|rose|??|p|rose|??|??|NV|??|??|??|??|??
W|portret|merlot|??|r|merlot|??|??|NV|??|??|??|??|??
W|portret de|gitana merlot rara neagra|??|r|merlot|??|??|NV|??|??|??|??|??
W|portret de|gitana chardonnay feteasca regala|??|w|chardonnay|??|??|NV|??|??|??|??|??
W|portret|chardonnay|??|w|chardonnay|??|??|NV|??|??|??|??|??
W|portret|cabernet|??|r|??|??|??|NV|??|??|??|??|??
W|portraits of|america white zinfandel rose la zin|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??
W|portraits of|america la zin white zinfandel rose nv|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la zin white zinfandel rose 6 bottle case|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la zin white zinfandel rose 2022|??|p|zinfandel, rose|??|??|2022|??|??|??|??|??
W|portraits of|america la zin white zinfandel rose|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la zin white zinfandel rose|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la zin white zinfandel rose|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la zin white zinfandel rose|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la white zinfandel rose california usa 95|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america la white zin zinfandel rose|??|p|zinfandel, rose|??|??|NV|??|??|??|??|??|=455
W|portraits of|america cabernet franc lodi|??|r|cabernet franc|??|??|NV|??|??|??|??|??
W|portraits of|america cabernet franc 6 bottle case|??|r|cabernet franc|??|??|NV|??|??|??|??|??|=465
W|portraits of|america cabernet franc 2020|??|r|cabernet franc|??|??|2020|??|??|??|??|??
W|portone|pinot grigio rose|??|p|pinot grigio, rose|??|??|NV|??|??|??|??|??
W|porton mosto|verde quebranta x|??|r|??|??|??|NV|??|??|??|??|??
W|porton mosto|verde quebranta x|??|r|??|??|??|NV|??|??|??|??|??|=469
W|porton mosto|verde italia x|??|r|??|??|??|NV|??|??|??|??|??|=469
W|porton mosto|verde italia x|??|r|??|??|??|NV|??|??|??|??|??|=469
W|porton mosto|verde acholado x|??|r|??|??|??|NV|??|??|??|??|??|=469
W|porton mosto|verde acholado x|??|r|??|??|??|NV|??|??|??|??|??|=469
W|porton mosto|verde acholado|??|r|??|??|??|NV|??|??|??|??|??|=469
W|porton chilcano|maracuya en lata|??|r|??|??|??|NV|??|??|??|??|??
W|porton chilcano|mango en lata|??|r|??|??|??|NV|??|??|??|??|??|=476
W|porton chilcano|limon en lata|??|r|??|??|??|NV|??|??|??|??|??|=476
W|porton chilcano|frutos rojos en lata|??|r|??|??|??|NV|??|??|??|??|??|=476
W|portokali minutolo|puglia igp 2022|??|r|??|??|??|2022|??|??|??|??|??
W|portogallo vinho|verde doc docil loureiro niepoort 2024|??|r|??|??|??|2024|??|??|??|??|??
W|portofino|white wine 1964|??|w|??|??|??|1964|??|??|??|??|??
W|portofino vitt|vin 1964|??|r|??|??|??|1964|??|??|??|??|??
W|portofino|vino bianco 1964|??|w|??|??|??|1964|??|??|??|??|??|=482
W|portofino spumante|metodo classico riserva dosaggio zero doc abissi 2019 bisson|??|s|??|??|??|2019|??|??|??|??|??
W|portofino spumante|metodo classico riserva dosaggio zero doc abissi 2019 bisson|??|s|??|??|??|2019|??|??|??|??|??|=485
W|portofino spumante|metodo classico riserva dosaggio zero doc abissi 2019 bisson|??|s|??|??|??|2019|??|??|??|??|??|=485
W|portofino spumante|metodo classico riserva dosaggio zero doc abissi 2019 bisson|??|s|??|??|??|2019|??|??|??|??|??|=485
W|portofino spumante|metodo classico dosaggio zero rose doc abissi 2018 bisson|??|p|rose|??|??|2018|??|??|??|??|??
W|portofino spumante|metodo classico dosaggio zero rose doc abissi 2018 bisson|??|p|rose|??|??|2018|??|??|??|??|??|=489
W|portofino spumante|metodo classico dosaggio zero rose doc abissi 2018 bisson|??|p|rose|??|??|2018|??|??|??|??|??|=489
W|portofino spumante|metodo classico dosaggio zero rose doc abissi 2018 bisson|??|p|rose|??|??|2018|??|??|??|??|??|=489
W|portofino spumante|metodo classico dosaggio zero doc abissi 2019 bisson|??|s|??|??|??|2019|??|??|??|??|??|=485
W|portofino spumante|metodo classico dosaggio zero doc abissi 2019 bisson|??|s|??|??|??|2019|??|??|??|??|??|=485
W|portofino bianchetta|genovese doc u pastine 2024 bisson|??|r|??|??|??|2024|??|??|??|??|??
W|portofino bianchetta|genovese doc u pastine 2024 bisson|??|r|??|??|??|2024|??|??|??|??|??|=495
W|portofino bianchetta|genovese doc u pastine 2024 bisson|??|r|??|??|??|2024|??|??|??|??|??|=495
W|portofino bianchetta|genovese doc u pastine 2024 bisson|??|r|??|??|??|2024|??|??|??|??|??|=495
W|portofino bianchetta|genovese doc u pastine 2024 bisson|??|r|??|??|??|2024|??|??|??|??|??|=495
W|portoferraio aleatico|1955|??|r|??|??|??|1955|??|??|??|??|??
W|portodoc dourofine|tawny|??|r|??|??|??|NV|??|??|??|??|??
W|portocarro manuel|de santa maria loureiro alvarinho branco vinhos verdes|??|r|??|??|??|NV|??|??|??|??|??
W|portobello road|no171|??|r|??|??|??|NV|??|??|??|??|??
W|portobello road|no171|??|r|??|??|??|NV|??|??|??|??|??|=503
W|portobello road|no 171|??|r|??|??|??|NV|??|??|??|??|??|=503
W|portobello road|no 171|??|r|??|??|??|NV|??|??|??|??|??|=503
W|portobello|pinot grigio|??|w|pinot grigio|??|??|NV|??|??|??|??|??
W|porto|white weiss 2019|??|f|??|??|??|2019|??|??|??|??|??
W|porto|white sandeman|??|f|??|??|??|NV|??|??|??|??|??
W|porto|white sandeman|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white ramospinto|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white ramospinto|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white ramos pinto|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white ramos pinto|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval fine white quinta do noval|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval fine white quinta do noval|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval fine white quinta do noval|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval fine white quinta do noval|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval extra dry quinta do noval|??|s|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval extra dry quinta do noval|??|s|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval extra dry quinta do noval|??|s|??|??|??|NV|??|??|??|??|??|=509
W|porto|white noval extra dry quinta do noval|??|s|??|??|??|NV|??|??|??|??|??|=509
W|porto|white niepoort|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white niepoort|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white niepoort|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white niepoort|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto|white niepoort|??|f|??|??|??|NV|??|??|??|??|??|=509
W|porto messias|tawny|??|f|??|??|??|NV|??|??|??|??|??
W|porto messias|special reserve|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|special reserve|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|ruby 1 vaso|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|ruby|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|rose|??|p|rose|??|??|NV|??|??|??|??|??
W|porto messias|lbv 2019|??|f|??|??|??|2019|??|??|??|??|??
W|porto messias|lbv 2017|??|f|??|??|??|2017|??|??|??|??|??
W|porto messias|lbv 2014|??|f|??|??|??|2014|??|??|??|??|??
W|porto messias|lbv 2013|??|f|??|??|??|2013|??|??|??|??|??
W|porto messias|lbv 2012|??|f|??|??|??|2012|??|??|??|??|??
W|porto messias|lbv 2004|??|f|??|??|??|2004|??|??|??|??|??
W|porto messias|lagrima doce|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|lagrima doce|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|lagrima|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|colheita 2013|??|f|??|??|??|2013|??|??|??|??|??|=537
W|porto messias|colheita 2012|??|f|??|??|??|2012|??|??|??|??|??|=538
W|porto messias|colheita 2011|??|f|??|??|??|2011|??|??|??|??|??
W|porto messias|colheita 2011|??|f|??|??|??|2011|??|??|??|??|??|=545
W|porto messias|colheita 2010|??|f|??|??|??|2010|??|??|??|??|??
W|porto messias|colheita 2010|??|f|??|??|??|2010|??|??|??|??|??|=547
W|porto messias|colheita 2009|??|f|??|??|??|2009|??|??|??|??|??
W|porto messias|colheita 2008|??|f|??|??|??|2008|??|??|??|??|??
W|porto messias|colheita 2008|??|f|??|??|??|2008|??|??|??|??|??|=550
W|porto messias|colheita 2007|??|f|??|??|??|2007|??|??|??|??|??
W|porto messias|colheita 2005|??|f|??|??|??|2005|??|??|??|??|??
W|porto messias|colheita 2005|??|f|??|??|??|2005|??|??|??|??|??|=553
W|porto messias|colheita 2004|??|f|??|??|??|2004|??|??|??|??|??|=539
W|porto messias|colheita 2004|??|f|??|??|??|2004|??|??|??|??|??|=539
W|porto messias|colheita 2003|??|f|??|??|??|2003|??|??|??|??|??
W|porto messias|colheita 2003|??|f|??|??|??|2003|??|??|??|??|??|=557
W|porto messias|colheita 2000|??|f|??|??|??|2000|??|??|??|??|??
W|porto messias|colheita 2000|??|f|??|??|??|2000|??|??|??|??|??|=559
W|porto messias|colheita 1995|??|f|??|??|??|1995|??|??|??|??|??
W|porto messias|colheita 1995|??|f|??|??|??|1995|??|??|??|??|??|=561
W|porto messias|colheita 1985|??|f|??|??|??|1985|??|??|??|??|??
W|porto messias|colheita 1985|??|f|??|??|??|1985|??|??|??|??|??|=563
W|porto messias|colheita 1982|??|f|??|??|??|1982|??|??|??|??|??
W|porto messias|colheita 1980|??|f|??|??|??|1980|??|??|??|??|??
W|porto messias|colheita 1980|??|f|??|??|??|1980|??|??|??|??|??|=566
W|porto messias|colheita 1980|??|f|??|??|??|1980|??|??|??|??|??|=566
W|porto messias|colheita 1977|??|f|??|??|??|1977|??|??|??|??|??
W|porto messias|colheita 1977|??|f|??|??|??|1977|??|??|??|??|??|=569
W|porto messias|colheita 1977|??|f|??|??|??|1977|??|??|??|??|??|=569
W|porto messias|colheita 1970|??|f|??|??|??|1970|??|??|??|??|??
W|porto messias|colheita 1970|??|f|??|??|??|1970|??|??|??|??|??|=572
W|porto messias|colheita 1970|??|f|??|??|??|1970|??|??|??|??|??|=572
W|porto messias|colheita 1967|??|f|??|??|??|1967|??|??|??|??|??
W|porto messias|colheita 1967|??|f|??|??|??|1967|??|??|??|??|??|=575
W|porto messias|colheita 1966|??|f|??|??|??|1966|??|??|??|??|??
W|porto messias|colheita 1966|??|f|??|??|??|1966|??|??|??|??|??|=577
W|porto messias|colheita 1966|??|f|??|??|??|1966|??|??|??|??|??|=577
W|porto messias|colheita 1965|??|f|??|??|??|1965|??|??|??|??|??
W|porto messias|colheita 1965|??|f|??|??|??|1965|??|??|??|??|??|=580
W|porto messias|colheita 1964|??|f|??|??|??|1964|??|??|??|??|??
W|porto messias|colheita 1964|??|f|??|??|??|1964|??|??|??|??|??|=582
W|porto messias|colheita 1963|??|f|??|??|??|1963|??|??|??|??|??
W|porto messias|colheita 1963|??|f|??|??|??|1963|??|??|??|??|??|=584
W|porto messias|colheita 1948|??|f|??|??|??|1948|??|??|??|??|??
W|porto messias|50 anos branco|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|50 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|40 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|30 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|30 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|20 anos branco|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|20 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|20 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|20 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|20 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|20 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|10 anos branco|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|10 anos branco|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|10 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|10 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|10 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto messias|10 anos|??|f|??|??|??|NV|??|??|??|??|??|=528
W|porto maynards|tawny|??|f|??|??|??|NV|??|??|??|??|??
W|porto maynards|fine ruby|??|f|??|??|??|NV|??|??|??|??|??|=604
W|porto maynards|colheita 2006|??|f|??|??|??|2006|??|??|??|??|??
W|porto marthas|tawny|??|f|??|??|??|NV|??|??|??|??|??
W|porto lbv|doc 2021 quinta nova de nossa senhora do carmo|??|f|??|??|??|2021|??|??|??|??|??
W|porto lbv|doc 2021 quinta nova de nossa senhora do carmo|??|f|??|??|??|2021|??|??|??|??|??|=608
W|porto lbv|doc 2021 quinta nova de nossa senhora do carmo|??|f|??|??|??|2021|??|??|??|??|??|=608
W|porto lbv|doc 2021 quinta nova de nossa senhora do carmo|??|f|??|??|??|2021|??|??|??|??|??|=608
W|porto lbv|2020 w j grahams|??|f|??|??|??|2020|??|??|??|??|??
W|porto lbv|2020 w j grahams|??|f|??|??|??|2020|??|??|??|??|??|=612
W|porto lbv|2020 w j grahams|??|f|??|??|??|2020|??|??|??|??|??|=612
W|porto lbv|2020 w j grahams|??|f|??|??|??|2020|??|??|??|??|??|=612
W|porto lbv|2020 niepoort|??|f|??|??|??|2020|??|??|??|??|??|=612
W|porto lbv|2020 niepoort|??|f|??|??|??|2020|??|??|??|??|??|=612
W|porto lagrima|porto lagrima|??|f|??|??|??|NV|??|??|??|??|??
W|porto lagarada|reserva ruby port|??|f|??|??|??|NV|??|??|??|??|??
W|porto lagarada|reserva ruby port|??|f|??|??|??|NV|??|??|??|??|??|=619
W|porto krohn|colheita 1999|??|f|??|??|??|1999|??|??|??|??|??
W|porto kopke|vintage 2020|??|f|??|??|??|2020|??|??|??|??|??
W|porto kopke|vintage 2011|??|f|??|??|??|2011|??|??|??|??|??
W|porto kopke|tawny 40 anos|??|f|??|??|??|NV|??|??|??|??|??
W|porto kopke|tawny 20 anos|??|f|??|??|??|NV|??|??|??|??|??|=624
W|porto kopke|fine tawny|??|f|??|??|??|NV|??|??|??|??|??|=624
W|porto kopke|fine tawny|??|f|??|??|??|NV|??|??|??|??|??|=624
W|porto kopke|colheita 2003|??|f|??|??|??|2003|??|??|??|??|??
W|porto kopke|colheita 2002|??|f|??|??|??|2002|??|??|??|??|??
W|porto kopke|colheita 2002|??|f|??|??|??|2002|??|??|??|??|??|=629
W|porto kopke|colheita 2001|??|f|??|??|??|2001|??|??|??|??|??
W|porto kopke|colheita 1998|??|f|??|??|??|1998|??|??|??|??|??
W|porto kopke|colheita 1996|??|f|??|??|??|1996|??|??|??|??|??
W|porto kopke|colheita 1987|??|f|??|??|??|1987|??|??|??|??|??
W|porto kopke|colheita 1986|??|f|??|??|??|1986|??|??|??|??|??
W|porto kopke|colheita 1986|??|f|??|??|??|1986|??|??|??|??|??|=635
W|porto kopke|colheita 1985|??|f|??|??|??|1985|??|??|??|??|??
W|porto kopke|colheita 1981|??|f|??|??|??|1981|??|??|??|??|??
W|porto kopke|colheita 1979|??|f|??|??|??|1979|??|??|??|??|??
W|porto kopke|colheita 1976|??|f|??|??|??|1976|??|??|??|??|??
W|porto kopke|colheita 1975|??|f|??|??|??|1975|??|??|??|??|??
W|porto kopke|colheita 1974|??|f|??|??|??|1974|??|??|??|??|??
W|porto kopke|colheita 1966|??|f|??|??|??|1966|??|??|??|??|??
W|porto kopke|colheita 1966|??|f|??|??|??|1966|??|??|??|??|??|=643
W|porto kopke|colheita 1965|??|f|??|??|??|1965|??|??|??|??|??
W|porto kopke|10 years old tawny|??|f|??|??|??|NV|??|??|??|??|??|=624
W|porto kopke|10 ans tawny|??|f|??|??|??|NV|??|??|??|??|??|=624
W|porto kopke|porto kopke|??|f|??|??|??|NV|??|??|??|??|??|=624
W|porto intermares|ruby|??|f|??|??|??|NV|??|??|??|??|??
W|porto grahams|vintage 2007|??|f|??|??|??|2007|??|??|??|??|??
W|porto grahams|vintage 2000|??|f|??|??|??|2000|??|??|??|??|??
