W|grapetiser|red cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef ribeye 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef rump 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef rump bulk 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef rump roast 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef shin 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef sirloin 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef stew 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef stirfry 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tallow|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tallow 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tallow 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tallow 420g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tallow 5kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tallow 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed beef tbone 775g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed bone in ribeye 700 1kg chilled online exclusive|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed bone in ribeye 900g1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed brisket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed chuck|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed diced beef|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed flank|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed minced beef|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed minced beef 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed osso bucco 400g frozen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed ribeye 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed rosemary infused beef tallow 200g|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grass|fed sirloin 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed stalk bone marrow 900g1kg frozen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed stir fry strips|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed tbone 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed tenderloin steak|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed ultra collagen 198 gr 7 oznatures truth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|fed ultra collagen 283 gr 10 oznaturest truth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|handbody wash|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grass|roots organic hunter valley shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasselli|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassfed|beef fillet steaks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassfed|beef ribeye steaks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassfed|beef sirloin steaks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassfed|striploin shabu shabu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassfields|cotes du rhone red|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|grasshopper|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|grasshopper|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|grasshopper|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|grasshopper|grasshopper|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|grasshopper|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|grasshopper|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|grasshopper|grasshopper|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|grasshopper|grasshopper|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|grasshopper|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=287
W|grasshopper|grasshopper|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=287
W|grasshopper|pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock central otago pinot noir|nz|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock central otago pinot noir|nz|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=291
W|grasshopper|rock central otago pinot noir|nz|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock central otago pinot noir|nz|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=293
W|grasshopper|rock central otago pinot noir|nz|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=293
W|grasshopper|rock central otago pinot noir museum release|nz|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock earnscleugh vineyard central otago|nz|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock earnscleugh vineyard pinot noir|??|r|pinot noir|??|??|1922|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock pinot gris|??|w|pinot gris|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=300
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=300
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|grasshopper|rock pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|grasshopper|rocks pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasshopper|rocks pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=309
W|grassi|cabernet sauvignon napa|us|r|cabernet sauvignon|california|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassi|riserva napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassi|sangiovese|??|r|sangiovese|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassi|wine company cabernet|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassi|wine company cabernet sauvignon estate|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassia|grassia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassia|grassia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=316
W|grassini|articondo cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassini|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassini|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|grassl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|grassl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=321
X
X
X
W|grassl|carnuntum gruner veltliner|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grassl|barwurz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|barwurz 40 07 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|blutwurz krauterlikor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|carnuntum gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grassl|carnuntum sankt laurent|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|champagne glasses|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grassl|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
X
X
W|grassl|elemental 7piece set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|elemental champagne 6pack|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
X
X
X
W|grassl|elemental series champagne set of 6|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grassl|elemental series versatile|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|elemental series versatile set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|elemental series water set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|grassl|gruner veltliner|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grassl|verre 1855|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre 1855 serie vigneron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre cru serie vigneron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre cru xx|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre liberte serie vigneron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre liberte tube|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre mineralite|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre mineralite|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|grassl|verre versatile|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre water|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|verre water|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=388
X
W|grassl|vigneron cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series 1855|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series 1855 1 stem|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series 1855 1 stem|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=393
W|grassl|vigneron series 1855 set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series cru set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series liberte 1 stem|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series liberte 1 stem|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=398
W|grassl|vigneron series liberte set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassl|vigneron series liberte set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=400
W|grassl|vigneron series liberte set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=400
W|grassl|vigneron series mineralite set of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassnitzberg|grassnitzberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassnitzberg|grassnitzberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=404
W|grasso|barbaresco vallegrande|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barolo bricco luciani|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barolo bricco manzoni|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barolo bricco manzoni|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barolo docg gavarini chiniera|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|barolo turne|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo ginestra gavarini|it|r|??|barolo|barolo|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo gavarini chiniera|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barbera dalba vigna martina|??|r|barbera|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo ginestra casa mate|it|r|??|barolo|barolo|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo gavarini vigna runcot|it|r|??|barolo|barolo|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barbera martina|??|r|barbera|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barbera dalba gavarini vigna martina|??|r|barbera|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo|it|r|??|barolo|barolo|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo runcot|it|r|??|barolo|barolo|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo casa mate|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo gavarini chiniera|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo ginestra casa mate|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo ginestra casa mate|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo riserva runcot|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo ginestra casa mate|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo gavarini chiniera|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo ginestra casa mate|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio barolo riserva runcot|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio educato chardonnay langhe bianco doc vino bianco|it|w|chardonnay|langhe|langhe|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grasso|elio educato chardonnay langhe bianco doc vino bianco|it|w|chardonnay|langhe|langhe|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grasso|elio gavarini chiniera barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera barolo docg vino rosso|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera barolo docg vino rosso|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera barolo docg vino rosso|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio gavarini chiniera owc barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate barolo docg vino rosso|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate barolo docg vino rosso|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate barolo docg vino rosso|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate barolo docg vino rosso|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate owc barolo docg vino rosso|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio ginestra casa mate owc barolo docg vino rosso|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio langhe nebbiolo gavarini langhe nebbiolo doc vino rosso|it|r|nebbiolo|langhe|langhe|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva barolo docg vino rosso|it|r|??|barolo|barolo|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva barolo docg vino rosso|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio runcot riserva mgm owc barolo docg vino rosso|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio vigna martina barbera dalba barbera dalba doc vino rosso|??|r|barbera|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio vigna martina barbera dalba barbera dalba doc vino rosso|??|r|barbera|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio vigna martina mgm owc barbera dalba doc vino rosso|??|r|barbera|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio vigna martina mgm owc barbera dalba doc vino rosso|??|r|barbera|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|elio vigna martina mgm owc barbera dalba doc vino rosso|??|r|barbera|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|fratelli barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|fratelli langhe bianco|it|w|??|langhe|langhe|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grasso|fratelli langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|fratelli settembino chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grasso|fratelli trej rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|fratelli trej rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|grasso|fratelli trej vino rosso nv piedmont italt|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|fratelli vallegrande barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|fratelli vallegrande barbaresco|it|r|??|barbaresco|barbaresco|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|m|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grasso|trej vino rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grassroots|athletics phoenix professional soccer ball size 5 handstitched football textured surface for superior grip control durable pu leather butyl bladder for air retention|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grat|kalenderlys med guldtal 3338 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grat|kalenderlys med slvtal 3338 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grata|magna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|gratallops|gratallops|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|gratallops|gratallops|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|gratallops|gratallops|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|gratallops|gratallops|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|gratallops|gratallops|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|gratallops|gratallops|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|gratallops|gratallops|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gratallops|gratallops|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=494
W|gratallops|gratallops|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=494
