W|grahams|late bottle vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port six grapes old vines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port six grapes reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port six grapes reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=252
W|grahams|port six grapes river quintas special edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port spat abgefullter vintage port|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port stone terraces vintage in owc1|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port tawny 10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port tawny 20 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port tawny 30 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grahams|port the tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port the tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|grahams|port the tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|grahams|port the tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|grahams|port the tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|grahams|port variety pack 10 year 20 year 6 grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port vintage|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port vintage|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port vintage|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port vintage port duoro portugal|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port vintage port duoro portugal|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=270
W|grahams|port vintage quinta dos malvedos|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|port white douro|pt|w|??|douro|douro|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grahams|port wine dinner henry rosewood hotel|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grahams|portglas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|portglazen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=277
W|grahams|porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=277
W|grahams|porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=277
W|grahams|porto 10 years old tawny port vino fortificato|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto 10y|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto 20 jaar|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto 20 years old tawny port vino fortificato|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto 20y|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto extra dry white|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto fine tawny|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto fine white|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto fine white|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=288
W|grahams|porto fine white|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=288
W|grahams|porto fine white|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=288
W|grahams|porto late bottled vintage|??|f|??|??|??|2019|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto late bottled vintage|??|f|??|??|??|2020|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto late bottled vintage port|??|f|??|??|??|2020|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto late bottled vintage port|??|f|??|??|??|2020|20|??|encorpado|queijos, sobremesas, chocolate|doce|=294
W|grahams|porto lbv tawny port vino fortificato|??|f|??|??|??|2017|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto lbv tawny port vino fortificato|??|f|??|??|??|2019|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto porto late bottled vintage|??|f|??|??|??|2013|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto quinta dos malvedos vintage the stone terraces|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto quinta dos malvedos vintage the stone terraces wood box|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto reserva natural porto|??|f|??|??|??|nv|20|reserva|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto reserva tawny|??|f|??|??|??|nv|20|reserva|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto reserve six grapes portugal|pt|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto six grapes special river quintas edition|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 10 years old|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 10 years old|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=305
W|grahams|porto tawny|??|f|??|??|??|1963|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 20 anos|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 20 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 20 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=309
W|grahams|porto tawny 20 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=309
W|grahams|porto tawny 30 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 30 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=312
W|grahams|porto tawny 40 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny 40 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=314
W|grahams|porto tawny 40yr portugal|pt|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny portugal 30yr|pt|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny single harvest limited bottling|??|f|??|??|??|1974|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny single harvest limited bottling wood box|??|f|??|??|??|1974|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto tawny single harvest limited bottling wood box|??|f|??|??|??|1997|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto vintage|??|f|??|??|??|1994|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto vintage|??|f|??|??|??|1994|20|??|encorpado|queijos, sobremesas, chocolate|doce|=321
W|grahams|porto vintage|??|f|??|??|??|1994|20|??|encorpado|queijos, sobremesas, chocolate|doce|=321
W|grahams|porto vintage|??|f|??|??|??|2007|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto vintage|??|f|??|??|??|2016|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|portugal fine tawny port|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|portvins masterclass med gustavo devesas 07 marts|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|portvinssmagning masterclass med gustavo devesas middag fredag den 13 nov kl 1830|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|proptrkker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|proptrkker i tr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|proto 10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta de malvedos vintage|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta do tua vinho vinhas velhas|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta do tun special edition vintage port|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos maledos vintage|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port vila nova de gaia portugal|pt|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos 2012vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos single quinta vintage port|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|grahams|quinta dos malvedos|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|grahams|quinta dos malvedos single quinta vintage port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos late bottled vintage port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos lbv|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos lbv port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos lbv port 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos lbv port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=350
W|grahams|quinta dos malvedos lbv port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=350
W|grahams|quinta dos malvedos lbv special edition|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos single quinta port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos single quinta vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port wine|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage ruby|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage ruby|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=364
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=366
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=366
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=343
W|grahams|quinta dos malvedos vintage port|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grahams|quinta malvedos vintage|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|relish selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|reserva the tawny|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|reserve port natura organic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|reserve six grapes double port wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|reserve six grapes port wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|reserve six grapes porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|ruby 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|ruby port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|ruby port 19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|ruby port blend 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|ruby port blend 12 19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|ruby port blend no 12 douro|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|ruby porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|selection finest ports 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
W|grahams|selection of finest port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grahams|selection of finest ports portwein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|selection of finest ports portwein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|grahams|selection pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|selection pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=408
W|grahams|selection pack 11 ltr w j graham co|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|selection pack 5|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|selection pack nb sendes pa eget ansvar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|selection ports|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest 4|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest colheita port|??|r|??|??|??|1950|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest porto|??|f|??|??|??|1952|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest tawny|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=419
W|grahams|single harvest tawny port|??|r|??|??|??|1963|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port in luxe tube|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=427
W|grahams|single harvest tawny port|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=429
W|grahams|single harvest tawny port in luxe tube|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny the apprentice 20|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest the cellar master trilogy presentation box portvin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single tawny|??|r|??|??|??|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grape port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grape rsv port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|grahams|six grapes 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=445
W|grahams|six grapes 34 ltr w j graham co|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes douro portugal|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes drs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes limited edition reserve ruby|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes limited edition reserve ruby|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|grahams|six grapes limited edition ruby reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=476
W|grahams|six grapes port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=476
W|grahams|six grapes port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|grahams|six grapes porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|six grapes porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=480
W|grahams|six grapes quinta da vila velha port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes quinta da vila velha port special edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|grahams|six grapes reserve 3 x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes reserve port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|six grapes reserve port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
W|grahams|six grapes reserve port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
W|grahams|six grapes reserve port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
