W|gonzalez|byass matusalem vors|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|de berceo blanco white wine 125 rioja spain|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalo|de berceo crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|de berceo gran reserva|??|r|??|??|??|1991|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|de berceo gran reserva|??|r|??|??|??|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|de berceo gran reserva red wine 14 rioja spain|es|r|??|rioja|rioja|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|de berceo reserva rioja doca bodegas berceo|es|r|??|rioja|rioja|1996|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|de berceo reserva red wine 14 rioja spain|es|r|??|rioja|rioja|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|gonzalo gran cerdo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|grijalba gran cerdo blanco 125|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalo|grijalba gran cerdo tempranillo 135|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|grijalba gran cerdo tempranillo rioja|es|r|tempranillo|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|grijalba gran cerdo tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|grijalba gran cerdo white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalo|guzman alba de andes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman alba de andes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=227
W|gonzalo|guzman alba de andes|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman alba de andes albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalo|guzman alba de andes albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=230
W|gonzalo|guzman alba de los andes albarino|??|w|albarino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalo|guzman amatista carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman cabernet sauvignon vontade|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman cabernet sauvignon vontade|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=234
W|gonzalo|guzman cinsault oriundo de itata|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman cinsault oriundo de itata|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=236
W|gonzalo|guzman el afan mencia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman el afan mencia|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman g2 amatista carmenere|??|r|carmenere|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman g2 garboso pirque|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman g2 vontade cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman garboso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman garboso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman garboso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman garboso ensamblaje|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman mencia el afan|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman oriundo de itata cinsault|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman vontade|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman vontade|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=249
W|gonzalo|guzman vontade cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman vontade cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=251
W|gonzalo|guzman vontade cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=251
W|gonzalo|guzman vontade cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|guzman vontade cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|santibanez pura roca pais|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|santibanez rupestre cinsault|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|santibanez rupestre syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gonzalvez|france roussette de savoie des promesses|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalvez|france vin de savoie feerhic|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalvez|france vin de savoie inouie|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalvez|france vin de savoie miss mond|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalvez|france vin de savoie toni p|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|bianco aurete|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|bianco aurete|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=265
W|gonzo|flying dog imperial porter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|militia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|rosso aurete|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|rosso aurete|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=269
W|gonzo|vino crystal healing riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|vino get a grip vermentino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|vino heterodox fiano|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|vino heterodox fiano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|vino holy roller red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino house party white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|vino le freak skinsy bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzo|vino schism petit verdot|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino schism petit verdot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino shadows in polygon grenache|??|r|grenache|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino splishy splashy tinta barocca|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino splishy splashy chilled red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino splishy splashy tinta barocca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino throw shade|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzo|vino throw shade rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goo|and adhesive remover|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|cepillo bright boost oval|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|cepillo bright boost paddle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|cepillo detangle it vent brush|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|goo cluster pecan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|goo clusters cheerwine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|goo clusters original|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|goo clusters pecan supreme|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|jit zu buzz light year and zyclops double pack stretchy and squishy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|jit zu lightyear izzy hawthorne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|set family pack combs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goo|set styling essentials brushcomb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goobaums|white quinoa 340g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|2 grow bigger paradise punch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|adobo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|and proper jade tips teabags 375g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|apple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bacon 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bagoong 225g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bev co margarita variety pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bistek tagalog|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bones organic beef bone broth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bones organic chicken bone broth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy heavy petting|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy 5panel swirl hat in camo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy antibacterial degradable poo bags|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|good|boy john daly variety|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy john daly variety|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|good|boy john daly variety|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|good|boy mackerel fillets with curry and piripiri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy swirl dad hat in blackblue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy swirl dad hat in blackwhite|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|boy swirl t in black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|boy swirl t in offwhite|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
X
W|good|boy tuna fillets with lemon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bubble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bubble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=325
W|good|bubble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=325
W|good|bubble 400gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|bubble dragon fruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|butcher hot sopressata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|good|catholic girl hail mary cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|catholic girl hail mary cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|catholic girl hail mary cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|good|catholic girl hail mary full of grace cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|catholic girl hail mary full of grace cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=335
W|good|catholic girl hallelujah sparkling chardonnay pinot noir nv|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|good|catholic girl hell bent shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|catholic girl james brazill shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|catholic girl james brazill shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|catholic girl teresa riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|catholic girl teresa riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|catholic girl the james brazill shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change bamboo reusable towels sheets|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change bottle bathroom cleaner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change bottle kitchen cleaner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change eco cloths large pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change eco cloths medium pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change scrubs with loofah|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|change wooden dish brush|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
X
X
X
W|good|company 24 semi sweet riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|good|company chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|good|company hawkes bay chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company hawkes bay chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company hawkes bay chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough pinot gris|nz|w|pinot gris|??|marlborough|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough pinot gris|nz|w|pinot gris|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough pinot gris|nz|w|pinot gris|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough pinot gris|nz|w|pinot gris|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough pinot gris|nz|w|pinot gris|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough pinot noir|nz|r|pinot noir|??|marlborough|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|company marlborough pinot noir|nz|r|pinot noir|??|marlborough|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|company marlborough pinot noir|nz|r|pinot noir|??|marlborough|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|company marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|company marlborough rose|nz|p|??|??|marlborough|2017|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|good|company marlborough rose|nz|p|??|??|marlborough|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|good|company marlborough rose|nz|p|??|??|marlborough|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|good|company marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|company pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|company rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|good|company sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|craic lervig local|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|crisp company crisps aged white cheddar|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|crisp company crisps outback bbq|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=390
W|good|day 25|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day apple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day apple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=393
W|good|day blueberry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day calamasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day cashew|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day cashew butter cookies 75gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day cashew cookies 75gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day green grape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day guava bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day mango|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day melon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day melon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=403
W|good|day melon bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day pet nat pinot noir rondo phoenix seyval|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day pet nat pinot noir rondo phoenix seyval|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|good|day pineapple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day pista almond 75gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day pomegrante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day stawberry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day strawberry bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day sunshine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day sunshine|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|day sunshine|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=414
W|good|day sunshine no2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|daycherry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|days kavesbogre 4dl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|drop sticker blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth antaraa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth antaraa cabernet shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth basso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth bella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth blanca|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|earth bleu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth brio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|earth brio shiraz reserve|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|eggs cage free 6 pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|energies b cure laser classic ref180000 ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|energy bar cocoa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|enough to treat collection nail lacquer 4piece minipack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|family anise 36g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|family ground white pepper 30g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|family handmade crispy shallot slice 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|family white pepper salt 45g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|good|father|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|fish salmon fillet in brine 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|fish tuna in brine 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=439
W|good|food 110|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food 130|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food 200|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food good mood pencil set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based adobo sa gata 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based bagnet 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based bbq 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based bistek 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based calamares 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based caldereta 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based chickun fillet 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based chickun inasal 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based chili con veggie 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based chix curry 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based corned beef 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|good|food plant based corned tuna 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
