1. W|cardhu|12yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|cardiff|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
239. W|cardiff|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=238
240. W|cardiff|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=238
241. W|cardigan|005fgi035 blanclait|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
242. W|cardigan|005fgi035 marine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|cardigan|005fgi035 smoke|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|cardigan|011fgi195 bluedenim|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|cardigan|011fgi195 green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|cardigan|21mycherry greymelange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|cardigan|21mycoolred cherryred|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|cardigan|21mygigi beigemix|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|cardigan|21mygigi burgundymix|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|cardigan|21mylover coolpink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|cardigan|21mynewgiulio black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|cardigan|2301wpc01131 1500grischine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|cardigan|2301wpc01131 navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|cardigan|2401wph00007 chocolat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|cardigan|2401wto02234 noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|cardigan|2501wpc03297 noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|cardigan|2501wpc03358 noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|cardigan|2501wpc03361 grischinefoncef|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|cardigan|460fgi232 cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cardigan|460fgi232 navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cardigan|4hvc07v03502 ecru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|cardigan|brown|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|cardigan|65001 navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|cardigan|65001 offwhite|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
265. W|cardigan|97537 sonia ecru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|cardigan|agatha cardigan midgrey|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|cardigan|ainoa bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|cardigan|alyssa blanccasse|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
269. W|cardigan|barbara acajou|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|cardigan|beaded fringe ca cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|cardigan|bridge3 deepblackmulti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|cardigan|bully cardigan ecru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|cardigan|c03 rowen jeanblue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|cardigan|c10 violet cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|cardigan|c10 violet green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|cardigan|c12 june burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|cardigan|c13 cora black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|cardigan|c18 flora camel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|cardigan|c19 fay black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|cardigan|c25 allegra black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|cardigan|c25 allegra green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|cardigan|c25 allegra oatmeal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cardigan|cashmere fri car brown|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|cardigan|cashmere fri car gray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|cardigan|celeste ss cardi multiweave|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|cardigan|cneck cardigan 09black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|cardigan|crochet cardigan black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|cardigan|dam19e glycinechine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|cardigan|dam19e indigo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|cardigan|dam19e pannacotta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|cardigan|dam19e raisinchine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|cardigan|donut milkmulti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|cardigan|dx8033 nero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|cardigan|e2340 ecru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|cardigan|east19a anthracitechine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|cardigan|east19a charcoalme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|cardigan|east19a cielchine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|cardigan|east19a kiwichine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|cardigan|east19a nacrechine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|cardigan|east19a navymelang|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|cardigan|east19a pearlmelan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|cardigan|east19a pimentchine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|cardigan|east19a poudreusechine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|cardigan|east19g anthracitec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|cardigan|east19g nacrechine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|cardigan|east19g poudreusechine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|cardigan|east19l anthracitec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|cardigan|gakkin52 k1675u lightgrey|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|cardigan|gant cardigan brown|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|cardigan|gant cardigan malva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|cardigan|gant cardigan pink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|cardigan|gd254 darkgrey|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|cardigan|gianna grisclair|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|cardigan|gracelynnll knit bluemelange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|cardigan|griffith lilas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|cardigan|idabowie rayuresahara|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|cardigan|idacalizia ecru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|cardigan|idacelestin chataigne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|cardigan|idem navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|cardigan|idem navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=319
321. W|cardigan|isla 1762 oat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|cardigan|jani nectarine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|cardigan|jolene noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|cardigan|jorine marine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|cardigan|journey caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|cardigan|journey caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=325
327. W|cardigan|journey fleurdesel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|cardigan|k 011fgi195 bluedenim|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|cardigan|k 011fgi195 green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|cardigan|layered cardigan yellow|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|cardigan|lillian cardigan redstripe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|cardigan|lona anthraciteblack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|cardigan|m001fgi035 anthraciteheather|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|cardigan|m001fgi035 forest|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|cardigan|m001fgi035 grege|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|cardigan|m001fgi035 malachite|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|cardigan|m001fgi035 plum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|cardigan|m001fgi035 white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
339. W|cardigan|m823 uni bleuciel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|cardigan|madia camel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|cardigan|matilda 008 charcoal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|cardigan|meavy bcmg509 midnight|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|cardigan|meavy bcmg509 midnight|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=342
344. W|cardigan|meavy bcmg509 stone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|cardigan|melis bemd509 05lipstick|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|cardigan|melis bemd509 08indigo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|cardigan|melis bemd509 08indigo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=346
348. W|cardigan|message benq522 02navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|cardigan|mobius bamx518 04black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|cardigan|mobius bamx518 05navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|cardigan|mokashi navybrown|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|cardigan|nabel noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|cardigan|neeta51 k1118u ivory|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|cardigan|neeta51 k1450u antiquegold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|cardigan|orsina noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|cardigan|pao noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cardigan|permwpc02132 velvetpurple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|cardigan|rs26076 burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|cardigan|shimoteka graffit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|cardigan|trudie cardigan redrobin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|cardigan|vienna navy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|cardigan|vito19e acierchine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|cardigan|vito19e rosechine|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
364. W|cardigan|wool ballet card black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|cardigan|wool ballet card powder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|cardigan|yhc7783 camel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|cardigan|zak19a anthracitec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|cardigan|zak19a ouraganchi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|cardigan|zak19a pinky|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|cardile|vermentino di sardegna doc biologico cantine antigori|??|w|vermentino|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
371. W|cardilla|frappato igp terre siciliane|it|r|??|sicilia|??|2021|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
372. W|cardilla|grillo pellegrino|??|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|cardilla|grillo pellegrino|??|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=372
374. W|cardilla|nero davola doc sicilia|it|r|nero davola|sicilia|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
375. W|cardilla|nero davola pellegrino|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|cardilla|nero davola pellegrino|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=375
377. W|cardilla|nero davola pellegrino|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=375
378. W|cardillan|graves|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|cardillone|par alzeto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|cardin|cardin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|cardinal|cardinal|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|cardinal|71080 grand savoie excalibur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. X
384. W|cardinal|arcoroc h3032 old fashion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|cardinal|arcoroc h3089 stack up old fashioned|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|cardinal|arcoroc h3856 stack up beverage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|cardinal|arcoroc h3858 rocks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|cardinal|arcoroc j4227 islande hi ball|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|cardinal|artisjok|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. X
391. W|cardinal|bamboo roots 540gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. X
393. X
394. X
395. W|cardinal|bean sprouts cardinal 412gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|cardinal|bistro champagne|fr|s|??|champagne|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
397. S
398. X
399. W|cardinal|classics wood chess set|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
400. W|cardinal|coconut cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|cardinal|cremant de bordeaux|fr|s|??|bordeaux|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
402. W|cardinal|crispy onions100gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|cardinal|de duplessis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|cardinal|du four armagnac 21 rebellion france 21yr|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|cardinal|efry torpedo shrimps|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
406. W|cardinal|eve cosmopolitan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|cardinal|eve litchi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|cardinal|eve pink mimosa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|cardinal|eve pink mimosa 4x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|cardinal|eve strawberry mojito|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|cardinal|glennon donation|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|cardinal|gran rose spumante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
413. W|cardinal|h2090 mineral flute|??|r|??|??|??|2090|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|cardinal|hirata buns 10 400gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|cardinal|mass wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|cardinal|melon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|cardinal|mendoza brady de xeres solera grand reserva in gb|ar|r|??|mendoza|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
418. W|cardinal|mendoza gran reserva|ar|r|??|mendoza|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
419. W|cardinal|mendoza solera gran reserva|ar|r|??|mendoza|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
420. W|cardinal|n0232 triborough rocks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|cardinal|n0235 triborough hiball|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|cardinal|n2793 triborough rocks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|cardinal|oriental style noodles 200gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|cardinal|ornament|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|cardinal|panko breadcrumbs 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|cardinal|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
427. W|cardinal|prosecco brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
428. W|cardinal|prosecco extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
429. W|cardinal|prosecco extra dry doc|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
430. W|cardinal|pure grape mass wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|cardinal|richard muscadet sur lie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cardinal|sparkling shiraz|??|s|shiraz|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
433. W|cardinal|spirits flora bloomington in|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|cardinal|spirits maui mule can 12oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. S
436. W|cardinal|spirits straight bbn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|cardinal|spring rolls 8x45gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cardinal|spring rolls vegetable 40x25gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cardinal|spring rolls with vegetables 60x15gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. X
441. X
442. W|cardinal|sweet corn|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
443. W|cardinal|udon noodles 200gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|cardinal|vegetable samosa 750gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|cardinal|villemaurine saint emilion 1958 0375 bordeaux frankrijk|fr|r|??|bordeaux|??|1958|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|cardinal|villemaurine saint emilion 1962 0375 bordeaux frankrijk|fr|r|??|bordeaux|??|1962|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|cardinal|villemaurine saint emilion 1964 frankrijk bordeaux rood|fr|r|??|bordeaux|??|1964|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|cardinal|villemaurine saint emilion 1966 0750 bordeaux frankrijk|fr|r|??|bordeaux|??|1966|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|cardinal|villemaurine saint emilion 1966 bordeaux frankrijk|fr|r|??|bordeaux|??|1966|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|cardinal|villemaurine saint emilion 1967 0375 bordeaux frankrijk|fr|r|??|bordeaux|??|1967|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|cardinal|villemaurine saint emilion 1967 0750 bordeaux frankrijk|fr|r|??|bordeaux|??|1967|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|cardinal|villemaurine saint emilion 1970 0375 bordeaux frankrijk|fr|r|??|bordeaux|??|1970|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|cardinal|villemaurine saint emilion 1981 1500 bordeaux frankrijk|fr|r|??|bordeaux|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|cardinal|villemaurine saint emilion 1988 1500 bordeaux frankrijk|fr|r|??|bordeaux|??|1988|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|cardinal|villemaurine saint emilion 1989 5000 bordeaux frankrijk|fr|r|??|bordeaux|??|1989|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|cardinal|villemaurine saint emilion 2004 1500 bordeaux frankrijk|fr|r|??|bordeaux|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|cardinal|whole straw mushrooms|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|cardinal|young baby corn 425gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|cardinale|cardinale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|cardinale|cardinale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=459
461. W|cardinalis|schales cabernet sauvignon merlot dq|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
462. W|cardinat|cardinat|??|r|??|??|??|1985|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|cardinat|cardinat|??|r|??|??|??|1988|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|cardinat|cardinat|??|r|??|??|??|1994|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|cardinat|cardinat|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|cardinat|cardinat|??|r|??|??|??|2002|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|cardinat|vsop|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|cardine|manzoni bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
469. W|cardine|manzoni bianco 2013 cantina la salute veneto italien|it|w|??|veneto|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
470. W|cardinia|ranges|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|cardinis|gourmet cut italian croutons 142g|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|cardio|zero alcohol free red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|cardio|zero blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
