W|syrah|vdf|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=243
W|syrah|reserve|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=243
W|syrah|reserve weingut dr kohr|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve cave de chateauneuf|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve swartland|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco|=250
W|syrah|reserve|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco|=250
W|syrah|reserve|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco|=250
W|syrah|reserve|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco|=254
W|syrah|reserve weingut zeter pfalz|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=257
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=257
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=257
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=257
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=257
W|syrah|reserve|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=257
W|syrah|reserva rood|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva privada rdvin aromo|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva magoni|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva linea equina|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva finca flichman|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva de familia|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva cuvee|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva clava quintay|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva 347 vineyard reserva|??|r|syrah|??|??|2013|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva santa alicia wine of chile cervene suche|??|r|syrah|??|??|2021|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva|??|r|syrah|??|??|2020|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva bodega boutique el legado carmelo colonia|??|r|syrah|??|??|2020|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva|??|r|syrah|??|??|2020|13.5|Reserva|encorpado|carnes, massas, queijos|seco|=274
W|syrah|reserva|??|r|syrah|??|??|2018|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|reserva|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco|=278
W|syrah|reserva|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco|=278
W|syrah|reserva|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco|=278
W|syrah|rendezvo|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|red dry wine|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|quintessence 2022aoc valais epuise|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|quinta do noval|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|quel che syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|q gran reserva|??|r|syrah|??|??|NV|13.5|Gran Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|ps santa barbara county piedrasassi|us|r|syrah|santa barbara county|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|prodigo giangirolami bio|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|prodigo giangirolami bio|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=289
W|syrah|private collection rdvin vina marchigue|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|primitivo vecchia torre ennio c6|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|primitivo vecchia torre ennio c6|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|prestige|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|prestige|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|presquile|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|premium 50 barricas jumilla dop bodegas alceno|??|r|syrah|??|??|2022|13.5|DOP|encorpado|carnes, massas, queijos|seco
W|syrah|premium|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|premium|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pre des pierres domaine de la rameau|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|planeta|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|planeta|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=301
W|syrah|planeta|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=301
W|syrah|plaisir rood domaine bruyere et david|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|plageoles|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|plageoles|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pisano rpf|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pirra favre tchippis|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|piedrasassi bien nacido|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|piaz azienda agricola bianchi|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|petracastalda riserva biologico cantina petracastalda|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|petit ours matthieu barret cotesdurhone rhone valley fra|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|petasos|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|petasos|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|per sempre tua rita|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pequenas x 6|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pequenas x|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pays doc igp le versant|??|r|syrah|??|??|2023|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|pays doc|??|r|syrah|??|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|paxmentis|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pax sonomahillsides|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|patria igt terre siciliane|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|passagem|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|paparuda cramele recas|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pallavicini|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|pallavicini|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=325
W|syrah|pago de los balagueses|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|paccamora|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ovation premium rdvin ravanal|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|organico caja 6 unidades|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|organic segreante doc|??|r|syrah|??|??|2016|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|organic|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|organic 6 units|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|or shiraz|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|on sandstone|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|omma wild fermentation|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|oliver zeter|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ohne schwefelzusatz|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ohne schwefelzusatz|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|oak|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|o ma jolie syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
X
W|syrah|nouveau maceracion carbonica|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nostra julien peyras|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nostra julien peyras|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=344
W|syrah|nostra|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nostra|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|north coast pax|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nord|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|no sex for butterfly ricomechateau de valcombe|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|njiro falco rosso|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|njiro falco rosso|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=351
W|syrah|nature margot sauvignon scene|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nature fut de chene aoc valais|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|nature chateau de gragnos|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nature|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|naturally|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|natural|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nasyr tenuta le quinte|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nagyeged|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nadir rapitala|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|nadir rapitala|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=361
W|syrah|mullineux leeu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mullineux leeu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=363
W|syrah|mourvedre|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mosaique igt domaine pichon|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|monte noughty|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mondeuse les petits riens ici et maintenant|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mnrl vigna di mandranova bio|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|miraz feravino|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|miocene la guicharde|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|migdal oz single vineyard|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot reserve persoonlijke aanbeveling|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot reserve personliche empfehlung|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot reserve personliche empfehlung|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=374
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=376
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=376
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=376
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=376
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=376
W|syrah|merlot reserve gold|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=376
W|syrah|merlot reserve|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot reserve|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=383
W|syrah|merlot reserve|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=383
W|syrah|merlot marselan domaine deshenrys|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot and xinomavro blend vintage alpha estate florina|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot and xinomavro blend vintage alpha estate florina|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco|=387
W|syrah|merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=391
W|syrah|mercier|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|memento|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|melchisedec trocken|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mega spileo|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mayu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mavrotragano|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mavrotragano|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mavrotragano|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco|=399
W|syrah|mavrotragano|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|mas de rey rouge igp 3 liter|??|r|syrah|??|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|martigny les serpentines|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|maroccoli sicilia menfi doc|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|maroccoli sicilia doc planeta|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|maroccoli planeta|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|maroccoli 21 planeta|??|r|syrah|??|??|NV|21|??|encorpado|carnes, massas, queijos|seco
W|syrah|mandrarossa|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|malvasia nera salento igt coribante castello monaci|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|malvasia nera salento igt coribante castello monaci|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco|=409
W|syrah|malbec rose|??|p|malbec|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|malbec merlot bernat|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|malbec by lucien lurton fils|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|maison les alexandrins northern rhone france|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|maipo valley|??|r|syrah|??|??|2014|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|maiblumen|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|maharis sicilia doc feudo maccari|it|r|syrah|sicilia|??|2021|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|ktima gerovassiliou|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|2300 148026 riedel|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco|=422
W|syrah|syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco|=422
W|syrah|syrah|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2001|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=427
W|syrah|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=427
W|syrah|madame de bio vin rouge suisse aoc valais|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|lunar apoge biodynamisk rdvin|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|luma cantine cellaro|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|luma|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|luc et denis lattard rhone valley france|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lovers x6 wines|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|louis eschenauer languedoc igp|??|r|syrah|??|??|2023|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|los carneros single vineyard vegan 149 z|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lorpailleur|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lor du sud vignobles foncalieu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lof premium|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|linea equina|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|limited edition|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lillian 0750 californie usa|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lillian 0750 californie usa|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lillian 1500 californie usa|??|r|syrah|??|??|2014|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lillian 0750 californie usa|??|r|syrah|??|??|2014|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|lillian 0750 californie usa|??|r|syrah|??|??|2013|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|light rouge|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|library vintages|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|leytron defayes et crettenand|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les vignes da cote igp collines rhodaniennes cave yves cuilleron|??|r|syrah|??|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|les vignes da cote cave yves cuilleron|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les vignes da cote|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les titans aoc valais provins|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|les titans provins sa|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les serpentines gerald besse|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les sentes|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les pyramides|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les parcellaires domaine dussex|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les monestiers|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les larmes dheracles aoc valais|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|les jamelles|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les jacques igp comtes rhodaniens rr|??|r|syrah|??|??|2022|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|les graviers famille cecillon|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les graviers|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les gravieres igp pays d oc|??|r|syrah|??|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|les grands parcelles domaine garon rouge|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les grandes parcelles|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les epalins la rodeline|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les claives aoc valais gerard dorsaz|??|r|syrah|??|??|2021|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|les claives|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les candives yves cuilleron|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les aoutres|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|leone rouge domaine peyre rose aoc coteaux du languedoc|??|p|syrah|??|??|2003|12.5|AOC|medio|saladas, peixes, aves|seco
W|syrah|leone coteaux du languedoc domaine peyre rose|??|p|syrah|??|??|2009|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|legno|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le vin solitaire vin de la alex stauffer|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le vent en pourpre selection bibovino|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le pavillon domaine de la petite gallee|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le grand noir|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le cabanon maison les alexandrins|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le cabanon des alexandrins|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le cabanon les alexandrins|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le cabanon les alexandrins|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=483
W|syrah|le cabanon les alexandrins|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=483
W|syrah|le cabanon les alexandrins|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=483
W|syrah|le cabanon les alexandrins wine outlet|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le cabanon les alexandrins wine outlet|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=487
W|syrah|le cabanon les alexandrins wine outlet|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=487
W|syrah|le cabanon les alexandrins wine outlet|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=487
