W|gardies|flor muscat de rivesaltes aoc france|fr|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gargantilla|en plata con motivo cilindrico y simil de rubi talla carre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargantilla|en plata con tres motivos rectangulares de ambar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargantilla|rigida en plata con circulos diamantados|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargantua|gargantua|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargantua|california syrah|us|r|syrah|california|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargantua|california syrah|us|r|syrah|california|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=225
W|gargantua|syrah california|us|r|syrah|california|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garganuda|bianco garganuda|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garganuda|soave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garganuda|soave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=229
W|garganuda|valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garganuda|valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=231
W|garganuda|valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=231
W|garganuda|verde soave veneto|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garger|kekfrankos valogatas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garger|pince|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargiulo|g major 7 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargiulo|money road cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargiulo|vineyards cabernet sauvignon 575 ovx vineyard g major seven study|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargiulo|vineyards g major 7 study cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargngo|gargngo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargngo|gargngo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=241
W|gargngo|gargngo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargngo|la biancara|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargngo|la biancara|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=244
W|gargngo|la biancara|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=244
W|gargngo|gargngo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gargngo|gargngo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=247
W|gargngo|igt veneto angiolino maule la biancara|it|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gargngo|pet nat la biancara veneto italy|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gari|en sachet jfc 5 gr un|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gari|grillo brut spumante doc sicilia|it|s|??|sicily|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gari|la cuvee de chateauneuf du pape single bottle|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gari|la cuvee de chateauneuf du pape single case|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gari|la cuvee de chateauneuf du pape single case 6 magnums|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gari|la cuvee de chateauneuf du pape single|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|80 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|acordes champenoise espumante extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|garibaldi|acordes chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|acordes chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=259
W|garibaldi|acordes merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|acordes merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|garibaldi|acquasantiera reservado assemblage branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|acquasantiera reservado assemblage demi sec tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|acquasantiera reservado assemblage suave tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|acquasantiera reservado assemblage tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|astral biodinamico espumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|chardonnay branco seco|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|chardonnay espumante brut|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|chardonnay espumante brut caixa com 6|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|da casa organico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|dolce marsala superiore invecchiato 2 anni angileri baglio baiata alagna|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|garibaldi|edicao especial 90 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|edicao especial 90 anos espumante extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|garibaldi|espumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|espumante brut prosecco rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|espumante brut viognier|??|s|viognier|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|espumante chardonnay|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante chardonnay|??|s|chardonnay|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante chardonnay brut|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|espumante moscatel|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscatel|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=282
W|garibaldi|espumante moscatel caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscatel ed especial|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscatel edicao especial citadelles du vin|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscatel edicao especial citadelles du vin caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscatel rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscatel rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante moscato bianco|??|s|moscato|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante pinot noir|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante pinot noir|??|s|pinot noir|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante prosecco|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante prosecco rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante trebbiano|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante vero brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|espumante vero brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|espumante vero demisec|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante vero demisec rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante vero moscatel|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante vero moscatel rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante vg blanc de blanc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|espumante vg brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|floratta espumante moscatel rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|floratta espumante moscatel rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|gotas dor filtrado doce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|garibaldi|gotas dor filtrado doce caixa com 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|garibaldi|gotas dor filtrado doce rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|garibaldi|gotas dor filtrado doce rose caixa com 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|garibaldi|gotas dor sem alcool filtrado doce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|garibaldi|gotas dor sem alcool filtrado doce caixa com 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|garibaldi|gotas dor sem alcool filtrado doce rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|garibaldi|gotas dor sem alcool filtrado doce rose caixa com 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|garibaldi|gotas festa sem alcool filtrado doce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|garibaldi|gotas festa sem alcool filtrado doce rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|garibaldi|granja uniao cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|granja uniao cabernet franc suave|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|granja uniao cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|granja uniao malvasia suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|granja uniao merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|granja uniao merlot meio seco|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|granja uniao merlot rose|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|granja uniao riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|granja uniao tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|grignolino dasti docg mura mura|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|harmonia chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|harmonia chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=327
W|garibaldi|harmonia corte i|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|harmonia corte i|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|garibaldi|ice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|ice prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=332
W|garibaldi|ice prosecco espumante demi sec|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice prosecco espumante demi sec caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|ice rose demisec|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|ice rose espumante demi sec|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice rose espumante demi sec caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice rose zero alcool|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|ice sem alcool 00|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|ice zero alcool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|ice zero alcool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=342
W|garibaldi|ice zero alcool espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice zero alcool espumante caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice zero alcool espumante rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|ice zero alcool espumante rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|in veritas irsai oliver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|in veritas irsai oliver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=348
W|garibaldi|memorias reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|1931|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|memorias moscato giallo|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|memorias moscato giallo|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=351
W|garibaldi|moscatel espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|moscatel nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|moscato rose sem alcool 00 espumante|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|moscato zero|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|moscato zero alcool|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|moscato zero alcool|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|garibaldi|moscato zero alcool 00 espumante alcohol free|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|moscato zero alcool rose|??|p|moscato|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|pinot noir espumante brut rose|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|pinot noir espumante brut rose caixa com 6|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|pinot noir rose|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|precioso tinto suave caixa com 6 unidades|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|precioso vinho de mesa tinto demi sec|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|precioso vinho de mesa tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|precioso vinho rosado licoroso|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|precioso vinho rosado licoroso caixa com 6|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|primicias brut espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|primicias espumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|primicias espumante brut caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|primicias espumante demi sec|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|primicias espumante demi sec caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|primicias espumante moscatel|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|primicias espumante moscatel caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|primicias espumante moscatel rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|primicias espumante moscatel rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|prosecco espumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|prosecco espumante brut caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|prosecco espumante brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|prosecco espumante brut rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|prosecco ice espumante demisec branco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|prosecco rose sweet|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|garibaldi|prosecco sweet rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|garibaldi|prosecco zero|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|prosecco zero alcool|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|prosecco zero alcool|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=386
W|garibaldi|prosecco zero alcool 00 espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|relax frisante demi sec|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|relax frisante demi sec caixa com 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|relax frisante suave rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|relax frisante suave rose caixa com 6|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|relax zero alcool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|reserva 90 anos|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|reserva merlot|??|r|merlot|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|reserva merlot|??|r|merlot|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=396
W|garibaldi|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|sur lie espumante nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|sweet prosecco espumante demi sec rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|garibaldi|sweet prosecco espumante demi sec rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|garibaldi|terroir chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|terroir pinot noir rose|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|terroir sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|vero brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero brut espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero demi sec rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garibaldi|vero demi sec rose vero brut vero brut rose moscatel|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero espumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero espumante brut caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero espumante brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero espumante brut rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero espumante demi sec|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante demi sec caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante demi sec rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante demi sec rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante moscatel|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante moscatel caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante moscatel rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero espumante moscatel rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vero verao espumante brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vero verao espumante brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vg alvarinho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|vg alvarinho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=424
W|garibaldi|vg alvarinho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=424
W|garibaldi|vg ancellotta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|vg ancellotta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=427
W|garibaldi|vg ancellotta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=427
W|garibaldi|vg blanc de blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garibaldi|vg blanc de blanc espumante nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vg blanc de blanc espumante nature caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garibaldi|vg espumante brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vg espumante brut rose caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|garibaldi|vg espumante extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|garibaldi|vg espumante extra brut caixa com 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|garibaldi|vg marselan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|vg marselan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|garibaldi|vg marselan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=437
W|garibaldi|vg palava|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garibaldi|vg palava|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=440
W|garibaldi|vg palava|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=440
W|garibaldi|vg tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
