W|quinta barroca da tilia probono|probono|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pueblo del sol tannat|tinto|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pueblo del sol tannat|rose|??|p|tannat|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|pueblo del sol sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pueblo del sol cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pucon winemaker viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pucon winemaker|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon winemaker|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon winemaker|gran rescarignan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pucon winemaker|gran rescabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pucon varietal sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pucon varietal chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pucon varietal chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=236
W|pucon|tinto varietal cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pucon|tinto varietal blend cabernet carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pucon|tinto reserva syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|tinto reserva merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|tinto reserva carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|tinto reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|tinto gran reserva cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pucon|rose varietal syrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|pucon|winemaker tinto malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|winemaker malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|viogner|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|pucon|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=250
W|pucon|rose syrah|??|p|syrah|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|pucon|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|cabernet sauv mini|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pucon|branco varietal sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pucon|branco reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|pucon|blend cabernetcarmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pt|rose pescada doc beira interior|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|psique limited|edition gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|psique limited edit dolos lingues petit verdot|verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|psique|do leyda pinot noir gran reserva|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|prunotto|tinto ochhetti nebbiolo 2022 14|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto|tinto barbaresco nebbiolo 2021 14|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto occhetti nebbiolo dalba|dalba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto occhetti langhe|doc nebbiolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto fiulot barbera dasti|dasti|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto dolcetto dalba|dalba|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barolo|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barolo bussia|bussia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barolo|barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barbera dalba|dalba|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barbaresco|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barbaresco|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barbaresco|barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prunotto barbaresco|barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=274
W|pruno villacreces|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pruno|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pruno finca villacreces tempranillo|tinto 2021 145|??|r|tempranillo|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
S
S|=279
W|prugnolo rosso di montepulciano|montepulciano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prugnolo rosso di montepulciano|montepulciano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=281
W|provincial|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|provincia de sao pedro red|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|provincia de sao pedro marie gabi|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|provincia de sao pedro marie gabi|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|provincia de sao pedro chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|provincia de sao pedro cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|provence ch de l aumerade|cru classe cuvee marie christine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|provenance du bourry|rose demisec|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|provenance bourry|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|prova regia|branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|protugues ferreira|porto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|protos roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|protos|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|protos|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|protos crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prosecco|sperone celebration brut|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|prosecco|mionetto treviso brut|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|prosecco|mionetto treviso brut|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=299
W|prosecco|mionetto rose doc|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|prosecco|mionetto rose doc|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=301
W|prosecco|martini|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|prosecco|brut la gioiosa docg superiore valdobiadenevinho prosecco brut la gioiosa docg supercomprar|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|prosecco|prosecco|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|proprieta sperino uvaggio|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promis|igp toscana tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promis|igp toscana 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promis|igp toscana 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa syrah|2021|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa sauvignon blanc seco|seco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|promesa sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|promesa sauvignon blanc|2022|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|promesa|rose reserva|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|promesa|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|promesa|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|promesa malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa chardonnay|2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|promesa chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|promesa carmenere|2020|??|r|carmenere|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa cabernet sauvignon|2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|promesa cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=323
W|proibido vinha|do pombal tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proibido marufo|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proibido grande|tinto 2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proibido grande|tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proibido garrafeira|tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proibido deja vu|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proibido a capela|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|profugo frutos rojos malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|profugo frutos de verano|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|profugo el escapista sir malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|profugo el escapista mr franc|cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|profecia tannat|tinto|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|profecia tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|profecia tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=337
W|profecia sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|profecia sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=339
W|profecia sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=339
W|profecia merlot|rose|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|profecia cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proemio syrahgrenache|syrahgrenache|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proemio|petit verdot|??|r|petit verdot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|proemio|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|limited petit verdot|??|r|petit verdot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|limited cabernet franc|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=348
W|proemio red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proemio petit verdot|verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proemio|grand reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio|gran reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|proemio barrel selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|proemio barrel selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=357
W|procura vinhas velhas|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|procura|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|procura|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|procura|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|procura|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|procura|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|privilegio de langdar crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|privado norton|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prisionero|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|prisionero malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prisionero cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|priscus primitivo di|manduria dop|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|principe corsini zac toscana|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|principe corsini le corti|chianti classico docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|principe corsini don tomasso|chianti classico docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|principe corsini cortevecchia|chianti classico riserva|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|principe corsini camporsino|chianti docg 2014|it|r|??|toscana|chianti|2014|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|principe corsini camporsino|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|principal tete de|cuvee rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|principal tete|cuvee rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|principal|rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|principal grande|tinto 2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto 2013|??|r|??|??|??|2013|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto 2012 1|??|r|??|??|??|2012|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto 2012 0|??|r|??|??|??|2012|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto 2011 1|??|r|??|??|??|2011|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto 2011 0|??|r|??|??|??|2011|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto 2011|??|r|??|??|??|2011|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|principal grande|branco 2019|??|w|??|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|principal edicao especial trilogia 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|principal edicao especial quadrifolio 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primus the|blend 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primus the|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primus carmenere|2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primus carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primus cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primus cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primogenito sangre azul merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primogenito pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primogenito pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=398
W|primogenito merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primogenito malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primogenito malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=401
W|primogenito edicion limitada chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primogenito ed limitada chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primogenito ed limitada chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=404
W|primogenito cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primo maggio|tinto seco corte especial bag in box c4|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primo maggio|tinto seco corte especial bag in box c4|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=407
W|primo maggio|tinto seco corte especial bag in box 3lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primo maggio|tinto seco corte especial bag in box 3lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=409
W|primo fior seco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primo fior niagara seco|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primltivo di|manduria 1400 vulcanici doc|it|r|??|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo visconti della rocca|rocca|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo torcicoda|torcicoda|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo|tinto 0|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo tacco barocco|barocco|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo sessantanni|sessantanni|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo salento|igt pirovano italiano|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo salento|igp madreterra|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo salento fontenutta|fontenutta|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo salento capoforte|capoforte|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo rossi vulcanici puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia pazzia|pazzia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia messapo|igp|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia mandorla|mandorla|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia luccarelli|luccarelli|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia lucarelli|igp 2019 tinto italia|??|r|primitivo|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia levorata|levorata|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia la pruina|2023|??|r|primitivo|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia|igp a mare 2021 tinto italia|??|r|primitivo|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia esperanto|esperanto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia codici masserie|2023 tinto italia|??|r|primitivo|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo puglia amare|amare|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo primo puglia torrevento|torrevento|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo pazzia|pazzia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo|manduria magma rosso 2015|it|r|primitivo|puglia|manduria|2015|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo|manduria conte di campiano riserva|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo macchia|macchia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo lifili salento|igp|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo levorato puglia|igt 2023 tinto italia|??|r|primitivo|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo le casine|casine|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo la marchesana|marchesana|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo|igt puglia collezione|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo|igp leggero appasimento masseria santa maria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo dolce primitivo di|manduria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di salento pirovano|2020 igt tinto italia|??|r|primitivo|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
