W|blanco|lambrusco dell emilia sarsitano|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|vineyards cabernet sauvignon howell mountain usa 2015|lamborn family|us|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2014|lamborn family|us|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2013|lamborn family|us|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2012|lamborn family|us|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2010|lamborn family|us|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2009|lamborn family|us|r|cabernet sauvignon|??|??|2009|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2007|lamborn family|us|r|cabernet sauvignon|??|??|2007|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2006|lamborn family|us|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain proprietor grown napa valley usa 2010|lamborn family|us|r|cabernet sauvignon|napa|??|2010|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain napa valley usa 2008|lamborn family|us|r|cabernet sauvignon|napa|??|2008|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain napa valley usa 2005|lamborn family|us|r|cabernet sauvignon|napa|??|2005|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards 2019 zinfandel|lamborn family|??|r|zinfandel|??|??|2019|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards 2019 cabernet sauvignon|lamborn family|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards 2019 2200 red blend|lamborn family|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|lamborn family the fire storm zinfandel|zinfandel|??|r|zinfandel|??|??|2015|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lamborn family carnation cabernet sauvignon happy canyon|canyon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lamborn family|2200 red blend|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|lamborn carnation cabernet|cabernet|??|r|cabernet|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborn|2200 red wine blend howell mountain napa|us|r|??|napa|??|2019|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
W|lamborghini|vino spumante prosecco doc treviso extra dry wine wine|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante prosecco doc treviso extra dry silver wine wine|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante 15 ltr|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante extra dry wine wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante di qualita metodo classico brut rose wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut yellow 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut silver pudeko|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut red 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut pinot chardonnay wine wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut green 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut gold pudeko|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|vino spumante brut blue 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini valdobbiadene|prosecco superiore demi sec wine wine|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini v12|brut vino spumante with gift|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini v12|brut vino spumante umbria|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini v12|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini v12|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=291
W|lamborghini v12|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=291
W|lamborghini v12|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=291
W|lamborghini v12|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini umbria campoleone|campoleone|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|lamborghini trescone|rosso umbria igt|it|r|??|??|??|2018|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
W|lamborghini torami umbria|rosso igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini torami umbria|red wine igt italy|it|r|??|??|??|2015|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
W|lamborghini torami umbria|igt|it|r|??|??|??|2015|13.5|IGT|medio|carne vermelha, queijo|seco
X
W|lamborghini torami|umbria rosso igt 0 135|it|r|??|??|??|2015|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini taurus umbria|rosso igt|it|r|??|??|??|2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini taurus umbria|rosso igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
W|lamborghini still|red merlot alcohol free 0 0|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|spumante metodo classico organic brut millesimato 0 125 gb|??|s|??|??|??|2020|12|??|leve|aperitivos, saladas|brut
W|lamborghini|spumante gold brut 12 fadoboz|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|spumante brut pinot chardonnay 1 12 gb|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|spumante brut pinot chardonnay 0 12 2 pohar gb|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|spumante brut pinot chardonnay 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|spumante brut gold umbria|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini spumant gold|brut 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini|sparkling wine extra dry chrome italy|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling wine brut luminous dj italy|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling spumante brut pinot chardonnay italy 3li|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling rose alkoholmentes 0 0|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling rose alcoholvrij|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling gold alcoholvrij umbria|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling brut gold|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling 0 rose|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|sparkling 0 gold|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini sleeve orange|demi sec vino spumante millesimato|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|demi-sec
X
W|lamborghini sleeve black extra|dry vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
W|lamborghini silver|prosecco doc extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini silver|prosecco doc demi sec|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
X
W|lamborghini serie luxe oro merlot sangiovese|sangiovese|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini sangue di miura amarone della valpolicella|docg classico|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo, churrasco|seco
X
W|lamborghini|rose mosto duva spumante dolce alcol 0|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|rose merlot umbria igt|it|p|merlot|??|??|NV|13.5|IGT|leve|saladas, peixes|seco
W|lamborghini|rose merlot umbria igt|it|p|merlot|??|??|NV|13.5|IGT|leve|saladas, peixes|seco|=342
W|lamborghini|rose merlot umbria|it|p|merlot|??|??|NV|13.5|??|leve|saladas, peixes|seco
W|lamborghini|rose merlot umbria|it|p|merlot|??|??|NV|13.5|??|leve|saladas, peixes|seco|=344
W|lamborghini|rose merlot umbria|it|p|merlot|??|??|NV|13.5|??|leve|saladas, peixes|seco|=344
W|lamborghini|rose merlot umbria|it|p|merlot|??|??|NV|13.5|??|leve|saladas, peixes|seco|=344
W|lamborghini|rose brut|??|p|??|??|??|NV|13.5|??|leve|saladas, peixes|seco
X
W|lamborghini|red rosso wine italy|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|prosecco superiore docg demi sec millesimato 11 0 2 pohar gb|it|s|glera|??|??|2021|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini|prosecco superiore docg demi sec millesimato 11 0|it|s|glera|??|??|2021|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini|prosecco extra dry platinum|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini|prosecco extra dry gold|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini|prosecco doc 11|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
X
X
X
W|lamborghini platinum extra|dry prosecco treviso|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini platinum extra|dry prosecco doc treviso|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini platinum extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini platinum extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=361
W|lamborghini platinum extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=361
W|lamborghini platinum|demi sec doc prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini pinot chardonnay|spumante brut dj 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
W|lamborghini oro|vino spumante with crystal glasses|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini oro|vino spumante with crystal glasses|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=367
W|lamborghini oro|vino spumante with 2 glasses gift|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini oro|vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini oro|spumante brut pinot chardonnay|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
X
W|lamborghini millesimato valdobbiadene|spumante brut v12 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
W|lamborghini metodo classico the legend|brut rose|??|p|??|??|??|NV|13.5|??|leve|saladas, peixes|seco
W|lamborghini metodo classico the legend|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
W|lamborghini metodo classico|rose the legend brut|??|p|??|??|??|NV|13.5|??|leve|saladas, peixes|seco
X
X
X
X
W|lamborghini metodo classico millesimato|brut bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini metodo classico|brut rose millesimato|??|p|??|??|??|2020|13.5|??|leve|saladas, peixes|seco
W|lamborghini metodo classico|brut millesimato bio pudeko|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini metodo classico|brut millesimato|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini met class legend|brut 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini merlot umbria|0|it|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini luxe titanio|rosso umbria igt 0 14|it|r|??|??|??|2016|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe titanio|igt umbria rosso|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe|rosso umbria igt 0 13|it|r|??|??|??|2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe|rosso umbria igt 0 13|it|r|??|??|??|2016|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe|rosso igt umbria rosso|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe|rose igt umbria merlot|it|p|merlot|??|??|NV|13.5|IGT|leve|saladas, peixes|seco
W|lamborghini luxe|rosato merlot umbria igt 0 125|it|p|merlot|??|??|2022|13.5|IGT|leve|saladas, peixes|seco
X
X
W|lamborghini luxe oro|igt umbria rosso|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe grechetto umbria|bianco igt 0 125|it|w|??|??|??|2022|12.5|IGT|leve|peixe, frutos do mar|seco
W|lamborghini luxe grechetto umbria|bianco igt|it|w|??|??|??|NV|12.5|IGT|leve|peixe, frutos do mar|seco
W|lamborghini luxe collection titanio umbria|igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
W|lamborghini luxe collection|rosso igt umbria|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe collection|rosso|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini luxe collection|rose umbria igt|it|p|??|??|??|NV|13.5|IGT|leve|saladas, peixes|seco
W|lamborghini luxe collection oro umbria|igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe collection oro|rosso umbria igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe collection oro|oro|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|lamborghini luxe collection grechetto|igt umbria|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
W|lamborghini luxe collection blu umbria|igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini luxe collection blu|blu|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini luxe blu|igt umbria rosso merlot|it|r|merlot|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
W|lamborghini ice|sparkling wine pinot chardonnay italy|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini ice|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini ice|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini grechetto umbria|igt wine|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
W|lamborghini grechetto alice|bianco umbria igt 0 125|it|w|??|??|??|2022|12.5|IGT|leve|peixe, frutos do mar|seco
W|lamborghini golden treviso|prosecco doc brut 1|it|s|glera|??|??|2022|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini gold|vino spumante brut gift w glasses|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gold|sparkling w crystal glasses|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gold|sparkling brut gift italy|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gold|red wine italy|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini gold|prosecco doc extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini gold|prosecco doc demi sec|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini gold mosto duva|spumante dolce alcol 0|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gold extra|dry prosecco gift|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini gold extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini gold extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=451
W|lamborghini gold extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=451
X
X
W|lamborghini gold|brut sparkling wine gift with 2 crystal glasses|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gold|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini gift box sangue di miura amarone della valpolicella|docg classico|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo, churrasco|seco
W|lamborghini gift box glacette|brut vino spumante silver|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gift box dj luminous|vino spumante brut|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini gift box|4 flesjes spumante in een ice bag|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
X
X
W|lamborghini extra|dry silver prosecco doc|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco platinum|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc treviso silver|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc treviso millesimato 0 11 2 pohar|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc treviso millesimato 0 11|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc treviso gold|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc treviso gold|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=471
W|lamborghini extra|dry prosecco doc treviso bronze|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc treviso|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc silver|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc silver|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=475
W|lamborghini extra|dry prosecco doc platinum|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc bronze|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco doc blue|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
X
W|lamborghini extra|dry pinot chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lamborghini extra|dry gold prosecco doc gift with 2 crystal glasses|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
X
X
X
X
X
X
W|lamborghini era sangiovese|umbria rosso igt 0 125|it|r|sangiovese|??|??|2015|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini era sangiovese|sangiovese|??|r|sangiovese|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini era sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|docg demi sec prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini|doc extra dry spumante sangue di miura|??|s|??|??|??|NV|12|DOC|leve|aperitivos, saladas|brut
W|lamborghini|doc extra dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini dj|spumante extra dry|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini dj luminous extra|dry brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini dj luminous|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini dj luminous|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini diszdoboz|2 prosecco poharral|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
X
X
W|lamborghini|demi sec valdobbiadene prosecco superiore docg millesimato|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini|demi sec superiore docg|??|r|??|??|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamborghini|demi sec prosecco platinum|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini|demi sec prosecco platinum|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec|=505
W|lamborghini|demi sec prosecco docg|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec
W|lamborghini|demi sec prosecco docg|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec|=507
W|lamborghini|demi sec prosecco docg|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|demi-sec|=507
W|lamborghini copper|prosecco doc extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamborghini copper extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
X
X
W|lamborghini chrome bronze|champagne|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
X
X
W|lamborghini centanni|rosso umbria igt red wine|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini centanni|rosso umbria igt|it|r|??|??|??|2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini centanni|rosso umbria igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
W|lamborghini campoleone umbria|rosso igt|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
X
W|lamborghini campoleone umbria|umbria|it|r|??|??|??|2000|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini campoleone|umbria rosso igt 0 135|it|r|??|??|??|2015|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini campoleone|umbria rosso igt 0 14|it|r|??|??|??|2013|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini campoleone|umbria igt italy|it|r|??|??|??|2011|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini campoleone|campoleone|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini campoleone|umbria igt italy|it|r|??|??|??|2006|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
W|lamborghini|brut vino spumante v12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante v12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=541
W|lamborghini|brut vino spumante v12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=541
W|lamborghini|brut vino spumante v12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=541
W|lamborghini|brut vino spumante silver|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante platinum|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante oro 2|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante oro|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante mini fluo yellow|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante mini fluo red|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante mini fluo green|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante mini fluo blue|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante ice 0 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante gold 3|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante gold 1 12|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante gold|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante gold|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=556
W|lamborghini|brut vino spumante gold|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=556
W|lamborghini|brut vino spumante gold|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=556
W|lamborghini|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=560
W|lamborghini|brut v12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut spumante platinum 12 0|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut spumante oro 12 0|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut spumante gold 2 glazen|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut spumante gold 12 0 2 pohar gb|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut rose metodo classico the legend italy|it|p|??|??|??|NV|13.5|??|leve|saladas, peixes|seco
W|lamborghini|brut rose|??|p|??|??|??|NV|13.5|??|leve|saladas, peixes|seco
W|lamborghini|brut pinotchardonnay ice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut pinot chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lamborghini|brut pinot chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=570
W|lamborghini|brut oro vino spumante wtwo glasses|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
