W|ghost|block cabernet sauvignon single vineyard napa valley|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock iris pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock iris pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock la filles chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock la filles pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock la filles pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock oulton chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock oulton chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock oulton pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=225
W|ghost|rock riesling|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|ghost|rock supernatural cellar rat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural cellar rat|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural illusion white pinot noir|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock supernatural illusions pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural illusions pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pet nat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pet nat|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pet nat|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=235
W|ghost|rock supernatural pet net|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural petillant naturel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=241
W|ghost|rock supernatural summer skins|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural summer skins|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock supernatural summer skins|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=244
W|ghost|rock supernatural summer skins|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|ship alcohol free bottles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|ship alcohol free cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|spicy reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|swedish fish 16oz12ct|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|town chardonnay mt difficulty|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|town pena smrti 12 degree czech style pils 16oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|train judge juicy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|train maple brownie brunch porter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|train pineapple daze|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|train select blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|train starbrite watermelon gose|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|train the standard porter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|union jack skull|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|writer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|writer willamette valley pinot noir|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|zero belly set of 2 glasses|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghosted|white negroni cocktail|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghostfish|close encounters of the 8th kind|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|ghostfish|gosefish hibiscus cranberry gose|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
W|ghostnote|aglianico|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostnote|calleri vineyard corvina|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostnote|corvina|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostnote|corvina calleri|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostnote|sagrantino|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostnote|wines ascona vineyard super santa cruz|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostrunner|ungrafted lodi red|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostrunner|ungrafted red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostrunner|ungrafted red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|ghostrunner|ungrafted red 24|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostrunner|ungrafted red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostrunner|ungrafted red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|ghostrunner|ungrafted red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|ghosts|drinking napkin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwood|ghostwood|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|santa cruz pinot noir|??|r|pinot noir|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|santa cruz county cuvee pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|cabernet bates vyd|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|cabernet sauvignon bates ranch|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|cabernet sauvignon single vineyard bates ranch|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghostwriter|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=292
W|ghostwriter|chardonnay santa cruz mountains|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghostwriter|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=295
W|ghostwriter|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=295
W|ghostwriter|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=295
W|ghostwriter|pinot noir ahlgrenmount madonna|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir amaya ridge|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir amaya ridge vineyard|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir belle farms|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir santa cruz|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir santa cruz|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|ghostwriter|pinot noir santa cruz mountains|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir santa cruz mountains|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir santa cruz mountains usa|us|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|pinot noir vino tinto|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|santa cruz pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghostwriter|syrah santa cruz|??|r|syrah|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghouls|night out cocktail napkin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghr15|colageno hidrolizado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvili|saperavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvili|saperavi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvili|zhgia|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvilis|marani gua|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvilis|marani jghia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvilis|marani saperavi|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvilis|marani zghia|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvilis|marani zhgia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvardzelashvilis|marani zhgia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvenakhe|kotsakhura|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghvenakhe|saperavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghyjpajk|beautiful country flag design s mini issue foot ball thigh plate adult lower thigh|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|2018gi 2657|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|iii 2657|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|2019gi 2759|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|3010|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|a|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|citronella tealights set of 28|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|koana|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|metal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gi|photos red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|gia|guttarolo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|gia|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|24 guttarolo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|colection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|coppola organic cabernet sauvignon 22|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|coppola organic red blend|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|coppola paso robles cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|fragolino red sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gia|fragolino red sparkling rosso|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gia|garlic paste tube 31oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|gia giacoblambrsorbdoc giacobazzi 1 075 czerwone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|giacobazzi 2 lambrgaspdoc 075 czerwone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|giacobazzi 3 cuveerougespum075 6 butelek|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|giacobazzi lambrusco di sorbara doc 1|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|giacobazzi lambrusco gasprarossa di castelvetro doc 2|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|giacobazzi lambrusco vellutato cuve rouge 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|kykytesti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|lambrusco igt emilia|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|lambrusco igt emilia bianco|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gia|lambrusco igt emilia rosa|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|langhe doc rosso|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|moscato vino spumante aromatico di qualita dolce bianco|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|gia|moscato vino spumante aromatico di qualita dolce rosato|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|gia|peperoncino paszta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|rosso|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gia|szardella paszta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|bulles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|bulles domaine giachino|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|bulles domaine giachino|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|bulles nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|potes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|potes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|potes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=368
W|giac|potes|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giac|potes tilapaisesti loppu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacalone|karol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacalone|karol bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacamo|conterno barolo francia piemonte italy|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacamo|conterno barolo cerretta piemonte italy|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacchino|altesse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacchino|apremont|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacchino|monfarina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacchino|persan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giaccone|uomo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachi|allegretto olio extra vergine doliva 100 italiano|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachi|giolio olio extra vergine doliva 100 italiano|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|albarossa piemonte doc|it|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|albarossa piemonte doc 800|it|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|barbera dasti superiore docg 800|??|r|barbera|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|freres giac|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|giac bulles|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|giac bulles jacqueremondeuse pet nat|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|giac potes mondeusegamay vin du savoie|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|giacbulles terroir savoie vin petillant nature|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|giacpotes savoie rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|monfarina savoie blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giachino|monferrato nebbiolo doc|??|r|nebbiolo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|monferrato nebbiolo superiore doc 800|??|r|nebbiolo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|piasi passito bianco moscato|??|d|moscato|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giachino|piasi passito rosso albarossa|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giachino|ru monferrato rosso doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|sauvignon piemonte doc|it|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giachino|spumante brut metodo classico chardonnay|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giachino|spumante brut metodo classico rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giaco|rosso fermo villa corlo cl 750 cod vc008|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|1 elegante lambrusco di sorbara secco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|2 fruttato lambrusco grasparossa di castelvetro amabile|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|7 intrigante prosecco brut doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|giacobazzi|7 prosecco brut doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|giacobazzi|7 prosecco rose brut doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|giacobazzi|8 muscato spumant rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giacobazzi|asti docg spumant|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|lambrusco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|lambrusco vellutato cuvee rouge 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|moscato bianco|??|w|moscato|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacobazzi|moscato rose|??|p|moscato|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giacobazzi|moscato spumante bianco|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giacobazzi|non alcoholic red wine orginal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|prosecco doc extra dry|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|giacobazzi|red grape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobazzi|red sparkling nonalcoholic grape wine|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giacobazzi|red sparkling nonalcoholic wine|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giacobazzi|red sparkling nonalcoholic wine pink edition|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giacobbe|cesanese di olevano romano|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobbe|duchessa passerina del frusinate lazio italy|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacobbe|mombaruzzo amaretti morbidi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobbe|passerina duchessa|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacobini|bitter mediterraneo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobini|vermouth bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacobini|vermouth bianco bio|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacobini|vermouth rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacobini|vermouth rosso bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomelli|boboli vermentino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacomelli|vermentino colli di luni pianacce|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacometta|giacometta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacometti|patrimonio rose crus des argiate|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giacometti|patrimonio rouge cuvee des agriate corsica france|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacometti|sempre cuntentu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacometti|vdf rouge sempre cuntentu|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacometti|vdf rouge sempre cuntentu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacometto|bruno erbaluce di caluso docg piedmont italy|it|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacometto|bruno spumante brut erbaluce di caluso docg italy|it|s|??|??|??|2012|12|docg|leve|aperitivos, frutos do mar, canapes|brut
W|giacomin|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomin|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|giacomo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|anselma felice barolo riserva|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|ascheri moscato dasti piedmont italy|it|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo 185k pinot noir waipara valley|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo caccialupi rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo cru il bossolo|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo il bossolotto mgm toscana igt vino rosso|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
