W|leaf|street cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum lt 3|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum lt 15|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum in cassa legno|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum 1 cassa legno tenuta ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia jeroboam in cassa legno|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia cassa legno tenuta ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia 0|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|le|volte dellornellaia tenuta dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum lt 15|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum in cassa legno|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum 1 nudo tenuta ornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia jeroboam in cassa legno|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia cassa legno tenuta ornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=268
W|le|volte dellornellaia tenuta dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia rp 91 js 90|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia ornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia ornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=279
W|le|volte dellornellaia magnum ornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum 1 in cassa legno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum 1|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia jeroboam in cassa legno|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=285
W|le|volte dellornellaia ornellaia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum 1 in cassa legno|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia jeroboam in cassa legno|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=297
W|le|volte dellornellaia ornellaia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=302
W|le|volte dellornellaia 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=305
W|le|volte dellornelaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia vinho tinto italiano regiao toscana safra|it|r|??|toscana|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia tuscany cabernet sauvignonmerlotpetit verdot|it|r|cabernet sauvignon|tuscany|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia tuscan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana wine|it|r|??|toscana|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana igt rosso|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana igt|it|r|??|toscana|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana igt|it|r|??|toscana|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana|it|r|??|toscana|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana 135|it|r|??|toscana|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana|it|r|??|toscana|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia toscana|it|r|??|toscana|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=337
W|le|volte dell ornellaia super tuscan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia jeroboam|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia igt toscana|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia igt toscana|it|r|??|toscana|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia igt 3rd wine of tenuta dell ornellaia|??|r|??|??|??|2020|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia 6 fl a 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia 3doppel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=348
W|le|volte dell ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=348
W|le|volte dell ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=348
W|le|volte dell ornellaia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=353
W|le|volte dell ornellaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=353
W|le|volte dell ornellaia ornellaia italienischer rotwein|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=357
W|le|volte dell ornellaia toscana|it|r|??|toscana|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=361
W|le|volte dell ornellaia doppel|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|le|volte dell ornelaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dell ornelaia|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte del ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte tenuta dellornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte igt toscano rosso magnum 1 tenute dellornellaia|??|r|??|??|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=382
W|le|volte tenuta dellornellaia double magnum|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte igt ornellaia toscana italien|it|r|??|toscana|??|2016|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=386
W|le|volpare soave classico doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volcanoes line europe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volcanoes line australia co|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volcanoes asia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volcanoes africa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vol des etourneaux la mariota vin de france rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|voisin du dessous viognier dauvergne et ranvier|??|w|viognier|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|voisin den face syrah igp ardeche|??|r|syrah|??|??|NV|13.5|igp|encorpado|carnes vermelhas; massas; queijos|seco
W|le|voisin den face syrah dauvergne et ranvier|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le|vivant se souleve|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vivant se souleve|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=397
W|le|vivant se souleve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico zibibbo orange bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico zibibbo orange|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico primitivo|??|r|primitivo|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico pecorino bio|??|w|pecorino|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|virtu del vignaiolo biodinamico pecorino|??|w|pecorino|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|virtu del vignaiolo biodinamico nero davola bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico nero davola 20|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico grillo bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamico grillo b|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virtu del vignaiolo biodinamic primitivo bio|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virage du breitstein|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|virage du breitstein|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|viole tre vi langhe nebbiolo doc vino rosso|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le|viole tre vi langhe nebbiolo doc vino rosso|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le|viognier reserve de val joanis|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|viognier perle de sandar|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|viognier la marquise selection mathelin|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|viognier des acanthes igp vin de pays doc|??|w|viognier|??|??|2024|12.5|igp|medio|peixes; frutos do mar; aves|seco
W|le|viognier|??|w|viognier|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|viognier|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|vintage brut lanson champagne frankrig|fr|s|??|champagne|??|2012|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|le|vins pirouettes pet nat de david|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|le|vins pirouettes eros de vincent|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vins pirouettes eros de vincent|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vins de yura labeille et le papillon|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vins de belema yen a|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vins de belema mais pas que|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vins de belema imago|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin violette verdejo|??|w|verdejo|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|vin violette tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le|vin violette pedro ximenez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin tranquille rouge pinot meunier|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin tranquille coteaux champenois blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin tranquile blanc meunier|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin tranquile blanc chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
X
W|le|vin super facile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin super facile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=436
W|le|vin super facile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=436
W|le|vin super facile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=436
W|le|vin selon le meilleur sommelier du monde astuces et coups de coeur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin rouge tendance n 1 primitivos en assortiment decouverte gold|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin rouge tendance n 1 primitivos en assortiment decouverte|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin rorange de la cousine|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin ramat hebron macpela|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin pinot grigio 12 bib|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|vin orange de bellemaman|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin orange de bellemaman|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin orange de beaupapa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin noir magnum|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin noir|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin noir|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin nature audela des modes livre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin nature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin multidimensionnel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin ideal chardonnay de limoux aop limoux|??|w|chardonnay|??|??|2024|12.5|aop|medio|peixes; frutos do mar; aves|seco
W|le|vin ideal chardonnay de limoux aop limoux|??|w|chardonnay|??|??|2024|12.5|aop|medio|peixes; frutos do mar; aves|seco|=455
W|le|vin gold sparkling with chateau label|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|le|vin gold sparkling with cassidy label|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|le|vin est une fete solidaires|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin est une fete rouge elian da ros|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin est une fete cotes du marmandais domaine elian da ros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin est une fete elian da ros|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin est une fete|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin est une fete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin est une fete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=464
W|le|vin en question|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin du sorcier la mandragore borie de maurel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin du sorcier|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|vin du solitaire le vin de la aoc valais|??|r|??|??|??|2023|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|le|vin du solitaire le vin de la aoc valais mag|??|r|??|??|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|le|vin du solitaire le vin de la aoc valais|??|r|??|??|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|le|vin du rosier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
