W|vinho|tinto franca ferraton las tournee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fino seco merlot instantes weber|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot gran reseva dedicato basso|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot gran reserva mena kaho|??|f|merlot|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot gazzaro|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot e sangiovese entre colunas|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot e cabernet sauvignon premier rendezvous franca|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot do don laurindo|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot de mari|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot dal pizzol|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot cusumano igt italia|it|f|merlot|??|??|NV|15|igt|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot cave luiz argenta|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot cave antiga|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot casacorba|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot capella dos campos familia lemos de almeida|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan sentidos casa eva|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan rotava kit com 6|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan rotava|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan michele carraro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan instantes weber|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan cepas selecionadas larentis|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan cave antiga|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marselan 1896 gazzaro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco marques de estremoz reserva 2018|??|f|??|??|??|2018|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec ws santa alba|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec vintage don guerino|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec reserva vista del plata|??|f|malbec|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec reserva larentis|??|f|malbec|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec reserva finca rivadavia|??|f|malbec|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec michele carraro|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec instantes weber|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec finca rivadavia|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec don laurindo|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec collina doro vaccaro|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec chakana nuna vineyard organico argentina|ar|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec andeluna 1300 argentina|ar|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco malbec|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco le sorbole rosso vinosia igt italia|it|f|??|??|??|NV|15|igt|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco joel gott cabernet sauvignon 2022 california|us|f|cabernet sauvignon|??|??|2022|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco joaquim villa francioni|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco gran reserva vindima 70 vaccaro|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco geracoes em sintonia 2021 750m|??|f|??|??|??|2021|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco garnacha seleccion borsao espanha|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco gamay beaujolais dal pizzol|fr|f|gamay|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco fronteira reserva 2020 douro portugal|pt|f|??|??|??|2020|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco fronteira private selection 2017 douro portugal|pt|f|??|??|??|2017|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco fronteira grande reserva 2018 douro doc portugal|pt|f|??|??|??|2018|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco francesco villa francioni|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco fonte da galega quinta dos castelares douro superior portugal|pt|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco flor do coa 2022 douro portugal|pt|f|??|??|??|2022|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco estilo don laurindo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco egoista alentejo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco don tannat don laurindo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco dom afonso henriques doc udaca|??|f|??|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco dolcetto dalba rousori icardi doc italia|it|f|dolcetto|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|doce
W|vinho|tinto fino seco dogliani doc terra italia|it|f|??|piemonte|dogliani|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco dna99 single vineyard merlot pizzato|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cruzeiro do pinhao douro doc|pt|f|??|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco corte villa francioni|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco corte elementos cor dunamis|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco corte classico luiz argenta|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco corte cave luiz argenta|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco corte altos ares casacorba|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco convento de sao juliao peninsula de setubal|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco comemorativo 80 anos don laurindo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco comemorativo 25 anos don laurindo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco casa geraldo syrah reserva colheita de inverno premiado|??|f|syrah|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carrascal|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere ws santa alba|??|f|carmenere|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere reserva toro de piedra|??|f|carmenere|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere reserva santa vita|??|f|carmenere|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere reserva santa alba|??|f|carmenere|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere reserva gran pareja|??|f|carmenere|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere reserva bouchon chile|cl|f|carmenere|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere gran reserva santa vita|??|f|carmenere|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere collina doro vaccaro|??|f|carmenere|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carmenere arboleda chile|cl|f|carmenere|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco carbenet franc l oitenta ulian|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cajado real|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon ws santa alba|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon vista del plata|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon vintage mena kaho|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon vallebello|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon vaccaro|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon unus ulian|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon sinais don guerino|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon segreto irmaos motter|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon segreto baginbox irmaos motter|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva torcello|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva terroir lovara|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva santa vita|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva santa alba|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva monte paschoal|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva mondadori|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva mayos|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva larentis|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva gran pareja|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva finca sophenia argentina|ar|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva don laurindo|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva don guerino|??|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon reserva bisquertt petirrojo chile|cl|f|cabernet sauvignon|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon nonsensevenice wine|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon michele carraro|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon merlot e tannat xx arbugeri|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon instantes weber|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon gran reserva dedicato basso|??|f|cabernet sauvignon|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon gazzaro|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon decima colheita weber|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon de mari|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon classico luiz argenta|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon cave luiz argenta|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon armador odfjell organico chile|cl|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet sauvignon|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry|=330
W|vinho|tinto fino seco cabernet gran reserva|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc vaccaro|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc terroir exclusino casa valduga|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc sergio canfield villa francioni|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc rotava kit com 6|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc rotava|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc pleno marzarotto|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc otto|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc michele carraro|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc gran reserva marzarotto|??|f|cabernet franc|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc gran reserva dunamis|??|f|cabernet franc|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc don laurindo|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc dal pizzol|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc classico luiz argenta|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc cave luiz argenta|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc britto velho villa francioni|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco cabernet franc alceu bett villa francioni|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco bonarda finca rivadavia|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco bonarda colonia las liebres clasica argentina|ar|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco bolota dourada reserva 2017|??|f|??|??|??|2017|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend v cinquenta ulian|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend terroir pessoa doc portugal|pt|f|??|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend spotachio ulian|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend special edition porta da ravessa|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend regional alma de lisboa kit com 6|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend regional alma de lisboa|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend dona cepa douro|pt|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend doc alentejo porta da ravessa|??|f|??|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend altos las hormigas argentina|ar|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend alentejano conde villar|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco blend 2 netos don laurindo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco beiral vineyards reserva baga 2017|??|f|??|??|??|2017|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barolo docg 750mlcomprar|??|f|??|??|??|NV|15|docg|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barolo docg|??|f|??|??|??|NV|15|docg|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barolo docg|??|f|??|??|??|NV|15|docg|encorpado|sobremesas; queijos azuis|dry|=365
W|vinho|tinto fino seco barbera piemonte salvati e sirena|??|f|barbera|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barbera piemonte michele carraro|??|f|barbera|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barbera piemonte gran reserva mena kaho|??|f|barbera|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barbera d asti docg|it|f|barbera|??|??|NV|15|docg|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco barbaresco docg|??|f|??|??|??|NV|15|docg|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco assemblage texugo organico hex von wein|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco assemblage reserva do don laurindo|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco assemblage quinta do herval don basilio|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco assemblage michele carraro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ancellotta rotava kit com 6|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ancellotta rotava|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ancellotta michele carraro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ancellotta dal pizzol|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco amaro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco allgodao 2018|??|f|??|??|??|2018|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco 80 regional alentejano|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino rufia|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino riccitelli father malbec e cab franc|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino reserva merlot|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino renascer malbec|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino quinta de sao cristovao lisboa 2020|??|f|??|??|??|2020|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino pinot noir|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino pinot nero villagio conti|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino piatelli trinita|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino phi|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino origem elegance casa valduga|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino nico by luca|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino merlotcabernet reserva bob junior do dom candido|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino merlot gran reserva|??|f|merlot|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino merlot castellamare|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino meio seco vitoria regia|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
X
W|vinho|tinto fino meio seco arcos do convento|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino mauricio lorca inspirado cabernet franc|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino matervini|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino marselan safra 2018 viapiana|??|f|??|??|??|2018|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino luca pinot noir|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino lotte tannat vinicola ferracini|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino lotte cabernet franc vinicola ferracini|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino hey malbec|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
X
W|vinho|tinto fino habitat refosco lote i quinta don bonifacio|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino frances les legendes r medoc 2020|??|f|??|??|??|2020|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino don nicanor malbec|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino de mesa de la colonia tempranillo merlot 2023 12|??|f|merlot|??|??|2023|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino de mesa cuna de piedra estate tannat 2021 128|??|f|??|??|??|2021|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino de mesa cuna de piedra estate cabernet franc 2021 128|??|f|cabernet franc|??|??|2021|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino cobos cabernet franc|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino clos de los siete|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino cabernet sauvignon castellamare|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino cabernet sauvignon barricas castellamare|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino cabernet sauvignon|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino cabernet reserva don ivo|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino blend historico 90 anos|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino assemblage reserva merlotcabernet dom candido|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino arcangel maalik|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino animal malbec|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
X
W|vinho|tinto fino alfa crux malbec|??|f|malbec|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino 4000 cabernet sauvignon|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto finis terrae cousinomacul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
