W|guigal|la doriane condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|pot de vin chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|pot de vin chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=236
W|guilhem|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilhem|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=238
W|guilhem|rose mas de daumas gassac|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilhem|rose by gassac can|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilhem|rose by gassac can|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=241
W|guilhem|rose igp pays dherault|??|p|??|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|guilhem|rose moulin de gassac|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilhem|rose moulin de gassac languedoc france|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilhem|rouge mas de daumas gassac|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|rouge igp de pays dherault|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|rouge moulin de gassac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhouret|guilhouret|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilia|negri barolo marassio rouge|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilia|negri barolo serradenari rouge|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilia|negri barolo tartufaia rouge|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiliguili|brasserie la montagnarde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiliguili|brasserie la montagnarde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=254
W|guiliguili|la montagnarde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaman|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaman|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=257
W|guillaman|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=257
W|guillaman|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=257
W|guillaman|colombard sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaman|colombard sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|guillaman|frisson dautomne moelleux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaman|gascony blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaman|gascony chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaman|moelleux frisson|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaman|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guillaman|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaman|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillame|clusel galet coteaux du lyonnais red rhonne|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillame|gilles syrah cornas rhone france|fr|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillame|selosse largillier nv aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|guillame|sergent les pres dieu champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guillard|gevrey chambertin corbeaux|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillard|gevrey chambertin corvees vv|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillard|gevrey chambertin lavaut saint jacques|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillard|gevrey chambertin poissenot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|armand le petit camartel languedoc|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|aurele chardonnay igp pays doc|??|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|guillaume|aurele ga cabernet sauvignon igp pays doc|??|r|cabernet sauvignon|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele ga merlot igp pays d oc|??|r|merlot|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=285
W|guillaume|aurele pinot noir alma cersius|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele sauvignon|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|aurele viognier pays doc|??|w|viognier|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|guillaume|aurele viognier pays doc igp|??|w|viognier|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|guillaume|aurele viognier pays doc igp 202223|??|w|viognier|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|guillaume|baduel sous roches|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|baptiste sauvignon la parenthese|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|belle crozeshermitage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|chanal le grand raymond vin rose vdf|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guillaume|chanal le grand raymond vin rouge vdf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|chanudet fleurie la madone|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|chanudet fleurie la madone beaujolais france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=299
W|guillaume|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=299
W|guillaume|chardonnay blanc|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|charpentiere chardonnay tradition loire valley france|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|clusel coteaux du lyonnais galet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|clusel coteaux du lyonnais galet gamay|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|clusel galet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|clusel galet coteaux du lyonnais france|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|clusel st joseph rouge|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|clusel traboules coteaux du lyonnais france|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|cluselroch traboules coteaux du lyonnais rhone france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|cluselroch traboules coteaux du lyonnais rhone france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=310
W|guillaume|darria rivesaltes ambre nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|de guers picpoul de pinet|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|de vergy blanc de blanc nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|de vergy cremant de bourgogne brut|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guillaume|et baptiste la parenthese sauvignon blanc val de loire|fr|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gangloff aop limoux blanc|??|w|??|??|??|2020|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gangloff aop limoux blanc|??|w|??|??|??|2020|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=317
W|guillaume|gangloff aop limoux blanc|??|w|??|??|??|2020|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=317
W|guillaume|gangloff aop limoux blanc|??|w|??|??|??|2020|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=317
W|guillaume|gangloff aop minervoisla liviniere rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gangloff aop minervoisla liviniere rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=321
W|guillaume|gangloff aop minervoisla liviniere rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=321
W|guillaume|gangloff aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gangloff aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=324
W|guillaume|gangloff aop terrasses du larzac rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=324
W|guillaume|gilles cornas nouvelle les rieux|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles combeaux massardiere gamay|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|guillaume|gilles cornas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|guillaume|gilles cornas|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|guillaume|gilles cornas|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=336
W|guillaume|gilles cornas|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|guillaume|gilles cornas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|guillaume|gilles cornas rhone valley france|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas rhone valley france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas chaillot|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas la combe de chaillot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles cornas millesime|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gilles les peyrouses cdr rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses cdr white|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gilles les peyrouses cotes du rhone|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses cotes du rhone|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses cotes du rhone|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses old vines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses rouge red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrouses vin de france rouge|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gilles les peyrousses cdr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet bel ami chateauneuf du pape rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet bel ami chateauneufdupape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet bel ami chateauneufdupape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=358
W|guillaume|gonnet bel ami chateauneufdupape|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet bel ami chateauneufdupape|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet bel ami chateauneufdupape|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet cairanne le brave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet chardonnay the bird vin de france blanc|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gonnet chardonnay the bird vin de france blanc|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=364
W|guillaume|gonnet chardonnay the bird vin de france blanc|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=364
W|guillaume|gonnet chardonnay the bird vin de france blanc|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=364
W|guillaume|gonnet chardonnay the bird vin de france blanc|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=364
W|guillaume|gonnet chateauneuf du pape bel ami|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet chateauneuf du pape rouge bel ami|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet chateauneufdupape bel ami|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet chateauneufdupape bel ami rhone france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet chateauneufdupape rouge bel ami|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet cotes du rhone blanc le reveur|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gonnet cotes du rhone le reveur rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet cotes du rhone le reveur rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|guillaume|gonnet cotes du rhone rouge le reveur rhone france 675|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet cotes du rhone rouge le reveur|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet cotes du rhone villages|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet grenache the bird vin de france rouge|fr|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet grenache the bird vin de france rouge|fr|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=380
W|guillaume|gonnet grenache the bird vin de france rouge|fr|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=380
W|guillaume|gonnet grenache the bird vin de france rouge|fr|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=380
W|guillaume|gonnet grenache the bird vin de france rouge|fr|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=380
W|guillaume|gonnet hommage a maryline chateauneufdupape|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet hommage a maryline chateauneufdupape|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet la muse chateauneufdupape|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet la nymphe tavel rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guillaume|gonnet la nymphe tavel rose southern rhone france|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guillaume|gonnet la reveur rouge cotes du rhone|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet la virtuose lirac southern rhone france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet le maestro rasteau|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet le mentor gigondas|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet le reveur cotes du rhone|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet le reveur cotes du rhone aoc|fr|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet le reveur cotes du rhone blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gonnet le reveur cotes du rhone blanc france|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gonnet le reveur cotes du rhone rouge|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet le reveur cotes rhone blanc|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gonnet le reveur cotes rhone blanc|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guillaume|gonnet le vertuose lirac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet lirac 202123|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet lirac le virtuose|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet lirac le virtuose|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=403
W|guillaume|gonnet muscat beaumes de venice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet pinot noir the bird rouge|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet pinot noir the bird rouge|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|guillaume|gonnet pinot noir the bird rouge|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|guillaume|gonnet pinot noir the bird rouge|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|guillaume|gonnet pinot noir the bird rouge|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=406
W|guillaume|gonnet syrah the bird vin de france rouge|fr|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gonnet syrah the bird vin de france rouge|fr|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|guillaume|gonnet syrah the bird vin de france rouge|fr|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|guillaume|gonnet syrah the bird vin de france rouge|fr|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|guillaume|gonnet syrah the bird vin de france rouge|fr|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|guillaume|gonnet tavel la nymphe rose rhone valley france|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guillaume|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guillaume|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=417
W|guillaume|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=417
W|guillaume|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=417
W|guillaume|gros a contrecourant|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gros coteau de lara|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gros domaine|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gros la selection de vieux millesimes par aime|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gros les biguieres|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gros luberon rouge|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|gros luberon rouge|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|guerin vineyards eole aop cotesdebourg rot|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|guerin vineyards eos aop blaye cotesdebordeaux wei|fr|r|??|bordeaux|??|2023|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|guerin vineyards eos aop blayecotesdebordeaux wei|fr|r|??|bordeaux|??|2024|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|guerin vineyards zephyr aop cotesdebourg rot|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|henin les terres chaudron extrabrut blanc de noirs 1|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guillaume|lou coulego|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|marteaux champagne le metisse extra brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guillaume|marteaux champagne lindigene extra brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guillaume|marteaux le metisse champagne aoc extra brut vino spumante|fr|s|??|champagne|??|nv|12|aoc|leve|aperitivos, frutos do mar, canapes|extra brut
W|guillaume|marteaux le metisse mgm champagne aoc extra brut vino spumante|fr|s|??|champagne|??|nv|12|aoc|leve|aperitivos, frutos do mar, canapes|extra brut
W|guillaume|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=438
W|guillaume|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=438
W|guillaume|merlot rouge|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|michaut chablis cru beauroy|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|michaut chablis cru cote de savant|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|noire cabernet franc|??|r|cabernet franc|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|noire ch pn03 chenin pet nat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|noire chgg m01 chenin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|noire elements vdf rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guillaume|noire elements vin de france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
